fond,annee,titre,durée,région,source,fond_coût,coût_total,bénéficiaire,thématique(s)
FEP,2013,"Rencontre avec les acteurs des Criées de Lorient, Guilvinec et Boulogne sur Mer",,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Rencontre-avec-les-acteurs-des-Criees-de-Lorient-Guilvinec-et-Boulogne-sur-Mer/(offset)/145/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,3 943 €,9 278 €,Organisation de producteurs Pêcheurs d’Aquitaine,Agriculture et pêche ; Développement local et cohésion territoriale ; Formation
FEP,2013,"Valorisation patrimoniale : ""Si l'Adour m""était conté…""",,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Valorisation-patrimoniale-Si-l-Adour-m-etait-conte/(offset)/145/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,4 789 €,14 964 €,L’Association Val d’Adour Maritime,Agriculture et pêche ; Culture et tourisme
FEP,2013,Soutenir la création et la transmission des entreprises de pêche,,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Soutenir-la-creation-et-la-transmission-des-entreprises-de-peche/(offset)/145/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,8 835 €,17 670 €,Comité interdépartemental des pêches maritimes et des élevages marins Pyrénées-Atlantiques/Landes (CIDPMEM 64-40),Agriculture et pêche ; Aides aux entreprises
FEP,2013,Informer sur les postes de relevage,,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Informer-sur-les-postes-de-relevage/(offset)/145/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,31 648 €,73 296 €,Comité Régional Conchylicole de Bretagne Sud en partenariat avec la SAUR,Agriculture et pêche
FEP,2013,Soutien à la recherche sur les éponges marines,,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Soutien-a-la-recherche-sur-les-eponges-marines/(offset)/145/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,25 500 €,51 000 €,Université Bretagne Sud- Laboratoire de Biotechnologie et Chimie Marines,Agriculture et pêche ; Développement durable et environnement
FEP,2013,Valoriser les coquillages par un passage sous criée,,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Valoriser-les-coquillages-par-un-passage-sous-criee/(offset)/150/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,17 243 €,38 317 €,Comité Départemental des Pêches Maritimes et des Elevages Marin 56,Agriculture et pêche ; Aides aux entreprises
FEP,2013,Soutenir le tannage de peaux marines sur le Bassin d'Arcachon,,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Soutenir-le-tannage-de-peaux-marines-sur-le-Bassin-d-Arcachon/(offset)/150/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,4 034 €,10 085 €,Association des Femmes de mer - FEMER,Agriculture et pêche ; Recherche et Innovation
FEP,2013,Une campagne d'essais de moteur électrique hors-bord pour la pêche et l'ostréiculture,,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Une-campagne-d-essais-de-moteur-electrique-hors-bord-pour-la-peche-et-l-ostreiculture/(offset)/150/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,48 000 €,150 000 €,Chantier naval CAI de Gujan-Mestras en partenariat avec le CRCAA et le CDPMEM33,Agriculture et pêche ; Développement durable et environnement
FEP,2013,Soutenir la formation pour les professionnels du Bassin d'Arcachon,,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Soutenir-la-formation-pour-les-professionnels-du-Bassin-d-Arcachon/(offset)/150/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,5 295 €,17 647 €,Comité Départemental des Pêches Maritimes et des Elevages Marins de Gironde (CDPMEM33),Agriculture et pêche ; Formation
FEP,2013,Construction d'une halle à poissons,2 ans,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Construction-d-une-halle-a-poissons/(offset)/150/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,54 000 €,216 000 €,Commune du Crotoy,Agriculture et pêche ; Développement local et cohésion territoriale
