fond,annee,titre,durée,région,source,fond_coût,coût_total,bénéficiaire,thématique(s)
FEDER,2010,Dépollution et réhabilitation d'une friche industrielle,2 ans,Rhône-Alpes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Depollution-et-rehabilitation-d-une-friche-industrielle/(offset)/265/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,905 000 €,1 810 000 €,Etablissement public d’aménagement de Saint- Etienne (EPASE),Développement urbain
FEDER,2008,Un réseau Internet haut débit accessible au plus grand nombre,2 ans,Rhône-Alpes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Un-reseau-Internet-haut-debit-accessible-au-plus-grand-nombre/(offset)/265/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,14 000 000 €,33 850 000 €,Syndicat mixte Ardèche Drôme Numérique,Développement local et cohésion territoriale ; TIC
FEDER,2010,Diversifier les sources d'approvisionnement énergetique du réseau de chaleur chambérien,9 mois,Rhône-Alpes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Diversifier-les-sources-d-approvisionnement-energetique-du-reseau-de-chaleur-chamberien/(offset)/265/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 150 000 €,3 877 845 €,Société chambérienne de distribution de chaleur (SCDC),Développement durable et environnement ; Energie
FEDER,2008,Optimiser les actions de prévention et de protection contre les inondations,2 ans et demi,Interrégional - Rhône,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Optimiser-les-actions-de-prevention-et-de-protection-contre-les-inondations/(offset)/270/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,61 844 €,123 688 €,"Direction régionale de l’environnement, de l’aménagement et du logement (DREAL)",Développement durable et environnement ; Prévention des risques ; Recherche et Innovation ; TIC
FEDER,2009,Création d'une station de lavage 100% écologique pour une société de transport,10 mois,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-une-station-de-lavage-100-ecologique-pour-une-societe-de-transport/(offset)/270/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,68 906 €,137 811 €,Société de transport du Grand Angoulême (STGA),Développement durable et environnement
FEDER,2009,Une carte multiservices au service des étudiants,4 ans,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Une-carte-multiservices-au-service-des-etudiants/(offset)/270/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,945 000 €,3 000 000 €,Centre régional des oeuvres universitaires et scolaires (CROUS) de Poitiers,Recherche et Innovation ; Services au public
FEDER,2009,Préservation du patrimoine environnemental,1 an,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Preservation-du-patrimoine-environnemental/(offset)/270/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,3 750 €,15 000 €,Conseil général de la Charente,Culture et tourisme ; Développement durable et environnement
FEDER,2009,Exporter à l'international le savoir-faire des entreprises,9 mois,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Exporter-a-l-international-le-savoir-faire-des-entreprises/(offset)/270/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,45 000 €,91 694 €,AURIGE,Aides aux entreprises
FEDER,2007,Accompagner la mutation technologique vers les matériaux composites,3 ans,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Accompagner-la-mutation-technologique-vers-les-materiaux-composites/(offset)/275/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,520 000 €,920 000 €,Plateforme technologique Innovaltech,Aides aux entreprises ; Emploi et inclusion sociale ; Formation ; Recherche et Innovation
FEDER,2008,Promouvoir la cohésion sociale dans les quartiers par la culture,5 ans,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Promouvoir-la-cohesion-sociale-dans-les-quartiers-par-la-culture/(offset)/275/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,183 000 €,427 000 €,Association Cardan,Culture et tourisme ; Développement local et cohésion territoriale ; Emploi et inclusion sociale
FEDER,2008,Contribuer à l'aménagement numérique et à la compétitivité de la région,1 an et demi,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Contribuer-a-l-amenagement-numerique-et-a-la-competitivite-de-la-region/(offset)/275/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,255 000 €,510 000 €,Université de Technologie de Compiègne,Développement local et cohésion territoriale ; TIC
FEDER,2008,Creation d'une plateforme d'accueil et de services pour faciliter l'accès à l'emploi,3 ans,Pays de la Loire,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-une-plateforme-d-accueil-et-de-services-pour-faciliter-l-acces-a-l-emploi/(offset)/275/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,66 939 €,133 878 €,Maison de l’Emploi de la Zone d’Emploi de La Roche-sur-Yon et du Centre Vendée,Emploi et inclusion sociale ; Formation
FEDER,2010,Création d'un lieu d'accueil pour les enfants au sein du site culturel La Belle de Mai,1 an,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-lieu-d-accueil-pour-les-enfants-au-sein-du-site-culturel-La-Belle-de-Mai/(offset)/275/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,405 183 €,1 654 000 €,Association « Création d’un lieu multi accueil petite enfance à la friche la belle de mai »,Développement local et cohésion territoriale ; Services au public
FEDER,2008,Soutien à la métrologie adaptée aux PME,1 an,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Soutien-a-la-metrologie-adaptee-aux-PME/(offset)/280/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,50 000 €,100 214 €,Institut Méditerranéen de la Qualité (IMQ),Aides aux entreprises ; Recherche et Innovation
FEDER,2009,Appui à l'effort de recherche,2 ans,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Appui-a-l-effort-de-recherche/(offset)/280/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,764 379 €,1 698 820 €,Université de la Méditerranée,Recherche et Innovation
FEDER,2011,Allier transports en commun et performance écologique,3 ans,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Allier-transports-en-commun-et-performance-ecologique/(offset)/280/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,9 700 000 €,74 153 111 €,Syndicat Mixte Val de Sambre (SMVS),Développement durable et environnement ; Les grands projets européens 2007-2013 ; Services au public ; Transports
FEDER,2009,"Concilier tourisme, protection de l'environnement et insertion par l'emploi",5 ans,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Concilier-tourisme-protection-de-l-environnement-et-insertion-par-l-emploi/(offset)/280/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,11 467 000 €,20 780 000 €,Conseil général du Pas-de-Calais,Culture et tourisme ; Développement durable et environnement
FEDER,2007,Création d'un huitième pôle de recherche à Lille,2 ans,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-huitieme-pole-de-recherche-a-Lille/(offset)/280/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,154 000 €,373 000 €,Institut national de recherche en informatique et en automatique (INRIA),Emploi et inclusion sociale ; Recherche et Innovation ; TIC
FEDER,2008,Developpement d'une flotte de bus circulant aux biocarburants à Lille,4 ans,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Developpement-d-une-flotte-de-bus-circulant-aux-biocarburants-a-Lille/(offset)/285/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,14 230 000 €,27 170 000 €,Lille Métropole Communauté urbaine (LMCU),Développement durable et environnement ; Energie ; Transports
FEDER,2008,Augmenter la capacité de circulation des trains régionaux entre Toulouse et Boussens,3 ans et demi,Midi-Pyrénées,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Augmenter-la-capacite-de-circulation-des-trains-regionaux-entre-Toulouse-et-Boussens/(offset)/285/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,6 468 000 €,14 000 000 €,Réseau Ferré de France (RFF),Services au public ; Transports
FEDER,2007,Accompagner le développement des energies renouvelables,2 ans,Midi-Pyrénées,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Accompagner-le-developpement-des-energies-renouvelables/(offset)/285/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,57 314 €,229 254 €,Société civile immobilière (SCI) Les jardins de Ceint d’Eau,Développement durable et environnement ; Energie
FEDER,2000,Proposer une offre touristique innovante tout en veillant à la préservation des ressources naturelles,9 ans,Midi-Pyrénées,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Proposer-une-offre-touristique-innovante-tout-en-veillant-a-la-preservation-des-ressources-naturelles/(offset)/285/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 103 566 €,7 149 000 €,Syndicat thermal et touristique de la Haute Vallée du Louron,Culture et tourisme ; Développement durable et environnement ; Développement local et cohésion territoriale ; Recherche et Innovation
FEDER,2009,Soutenir la recherche et l'innovation dans le secteur du bois,1 an et demi,Interrégional - Massif Central,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Soutenir-la-recherche-et-l-innovation-dans-le-secteur-du-bois/(offset)/285/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,197 460 €,394 919 €,"Ecole nationale supérieure d’arts et métiers (ENSAM), Centre Cluny",Recherche et Innovation
FEDER,2010,Mise en place d'un marché virtuel de produits du terroir,15 mois,Interrégional - Massif Central,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Mise-en-place-d-un-marche-virtuel-de-produits-du-terroir/(offset)/290/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,21 750 €,66 000 €,Société d’intérêt collectif agricole (SICA) du Caroux,Développement rural ; TIC
FEDER,2009,Location d'une liaison de fibres optiques pour dynamiser les territoires ruraux,2 ans,Interrégional - Massif Central,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Location-d-une-liaison-de-fibres-optiques-pour-dynamiser-les-territoires-ruraux/(offset)/290/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 184 000 €,4 368 000 €,Conseil régional d’Auvergne,Développement rural ; TIC
FEDER,2009,Echanger des bonnes pratiques en matière d'économie d'énergie,1 an,Interrégional - Massif Central,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Echanger-des-bonnes-pratiques-en-matiere-d-economie-d-energie/(offset)/290/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,29 500 €,59 000 €,Association Mecanic Vallée,Développement durable et environnement ; Energie
FEDER,2009,Soutenir et accompagner le développement de l'accueil familial social à la ferme dans le Massif-Central,2 ans,Interrégional - Massif Central,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Soutenir-et-accompagner-le-developpement-de-l-accueil-familial-social-a-la-ferme-dans-le-Massif-Central/(offset)/290/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,100 500 €,201 000 €,Fédération Régionale des Centres d’Initiatives pour Valoriser l’Agriculture et le Milieu rural (CIVAM) Auvergne,Agriculture et pêche ; Emploi et inclusion sociale
FEDER,2008,Soutenir l'importation de matériaux pour renforcer la competitivité des sociétés martiniquaises,1 an,Martinique,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Soutenir-l-importation-de-materiaux-pour-renforcer-la-competitivite-des-societes-martiniquaises/(offset)/290/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,25 000 €,50 000 €,PROCAP,Aides aux entreprises ; Recherche et Innovation ; Transports
FEDER,2007,Construction d'un bâtiment intercommunal à vocation sociale,5 ans,Lorraine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Construction-d-un-batiment-intercommunal-a-vocation-sociale/(offset)/295/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,854 723 €,2 108 346 €,Syndicat intercommunal d’action sociale (CIAS) de la rive droite,Services au public
FEDER,2008,Création d'une ligne de fabrication de couettes 100% automatique,6 mois,Lorraine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-une-ligne-de-fabrication-de-couettes-100-automatique/(offset)/295/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,130 000 €,727 095 €,Société FIBERS,Aides aux entreprises ; Développement durable et environnement ; Emploi et inclusion sociale ; Recherche et Innovation
FEDER,2008,Création du laboratoire de haute sécurité informatique,68 mois,Lorraine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-du-laboratoire-de-haute-securite-informatique/(offset)/295/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,300 879 €,792 198 €,Institut national de recherche en informatique et en automatique (INRIA),Recherche et Innovation ; TIC
FEDER,2007,Développer des projets de recherche fondamentale dans le domaine des sciences de l'univers et de la Terre,4 ans,Lorraine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Developper-des-projets-de-recherche-fondamentale-dans-le-domaine-des-sciences-de-l-univers-et-de-la-Terre/(offset)/295/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 136 000 €,3 245 280 €,Centre national de recherche scientifique (CNRS) de Nancy,Développement durable et environnement ; Emploi et inclusion sociale ; Prévention des risques ; Recherche et Innovation
FEDER,2006,Développement des transports intermodaux,5 ans,Limousin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Developpement-des-transports-intermodaux/(offset)/295/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,383 755 €,2 341 076 €,Ville d’Uzerche,Services au public ; Transports
FEDER,2008,Prolongement d'une ligne de Trolleybus et création d'un parc relais,2 ans,Limousin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Prolongement-d-une-ligne-de-Trolleybus-et-creation-d-un-parc-relais/(offset)/300/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,647 060 €,3 183 944 €,Communauté d’agglomération Limoges Métropole,Développement durable et environnement ; Développement urbain ; Services au public ; Transports
FEDER,2008,Création d'un réseau européen de coopération entre régions rurales,3 ans,Limousin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-reseau-europeen-de-cooperation-entre-regions-rurales/(offset)/300/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,500 000 €,1 000 000 €,Conseil régional du Limousin,Coopération ; Développement rural ; Recherche et Innovation
FEDER,2008,Renforcer les pôles de compétitivité au sein des grandes métropoles européennes,38 mois,CTE - Interreg - Europe,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Renforcer-les-poles-de-competitivite-au-sein-des-grandes-metropoles-europeennes/(offset)/300/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 239 245 €,1 642 127 €,Communauté urbaine de Lyon (Grand Lyon),Aides aux entreprises ; Développement urbain ; Emploi et inclusion sociale
FEDER,2008,Vers une meilleure gestion des espaces naturels,4 ans,CTE - Interreg - Europe,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Vers-une-meilleure-gestion-des-espaces-naturels/(offset)/300/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 168 561 €,1 491 740 €,Office de l’environnement de la Corse,Développement durable et environnement ; Espaces naturels à enjeux  ; Prévention des risques
FEDER,2008,L'égalité femmes-hommes au service de la croissance,3 ans,CTE - Interreg - Europe,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/L-egalite-femmes-hommes-au-service-de-la-croissance/(offset)/300/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 317 116 €,1 689 094 €,Région Ile-de-France,Emploi et inclusion sociale
FEDER,2007,Développer la prise en compte des risques d'inondation,5 ans,Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Developper-la-prise-en-compte-des-risques-d-inondation/(offset)/305/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,8 270 722 €,16 541 445 €,Directorate-General for Public Works and Water Management Programme - Directorate Room for the River (NL),Développement durable et environnement ; Développement urbain ; Prévention des risques
FEDER,2007,Coopération et échange sur la mise en place de transports à faible impact environnemental,67 mois,Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Cooperation-et-echange-sur-la-mise-en-place-de-transports-a-faible-impact-environnemental/(offset)/305/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,5 360 000 €,10 720 000 €,Société des transports intercommunaux de Bruxelles (STIB),Développement durable et environnement ; Développement urbain ; Transports
FEDER,2007,Création d'un observatoire de la qualité de l'eau,50 mois,Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-observatoire-de-la-qualite-de-l-eau/(offset)/305/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,3 899 380 €,8 030 529 €,Emschergenossenschaft (Allemagne) - Université de Limoges,Développement durable et environnement ; Prévention des risques
FEDER,2008,"Favoriser la production, la distribution et l'utilisation d'éco-matériaux dans le Nord de l'Europe",53 mois,Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Favoriser-la-production-la-distribution-et-l-utilisation-d-eco-materiaux-dans-le-Nord-de-l-Europe/(offset)/305/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,4 000 288 €,8 000 576 €,Création Développement d’Eco-Entreprises (Cd2e),Coopération ; Développement durable et environnement
FEDER,2007,"Promouvoir des activités culturelles entre la France, la Wallonie et les Flandres",4 ans,CTE - Interreg - France Wallonie Flandres,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Promouvoir-des-activites-culturelles-entre-la-France-la-Wallonie-et-les-Flandres/(offset)/305/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 269 496 €,2 535 040 €,Via Lactea vzw,Aucun objet associé.
FEDER,2007,"Améliorer la connaissance réciproque des réalités politiques, sociales et quotidiennes des populations transfrontalières",27 mois,CTE - Interreg - France Wallonie Flandres,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Ameliorer-la-connaissance-reciproque-des-realites-politiques-sociales-et-quotidiennes-des-populations-transfrontalieres/(offset)/310/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,482 304 €,949 179 €,Notélé - télévision régionale de la Wallonie picarde,Culture et tourisme ; Développement local et cohésion territoriale
FEDER,2008,Contribuer au développement des PME belges et françaises,4 ans,CTE - Interreg - France Wallonie Flandres,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Contribuer-au-developpement-des-PME-belges-et-francaises/(offset)/310/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 993 633 €,4 134 618 €,Intercommunale de développement économique (IDETA),Aides aux entreprises ; Coopération ; TIC
FEDER,2009,Investir pour le rayonnement culturel des arts du cirque,21 mois,CTE - Interreg - Manche,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Investir-pour-le-rayonnement-culturel-des-arts-du-cirque/(offset)/310/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,45 598 €,91 196 €,La Brèche - Centre des arts du cirque de Basse-Normandie,Culture et tourisme
FEDER,2009,Echange de compétences scientifiques en chimie moléculaire de part et d'autre de la Manche,5 ans,CTE - Interreg - Manche,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Echange-de-competences-scientifiques-en-chimie-moleculaire-de-part-et-d-autre-de-la-Manche/(offset)/310/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,6 500 000 €,13 500 000 €,"Centre national de la recherche scientifique (CNRS), Délégation Normandie",Recherche et Innovation
FEDER,2009,Favoriser les échanges scolaires entre Caen et Portsmouth,3 ans,CTE - Interreg - Manche,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Favoriser-les-echanges-scolaires-entre-Caen-et-Portsmouth/(offset)/310/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,330 880 €,752 000 €,Ville de Caen,Emploi et inclusion sociale ; Formation
FEDER,2008,Pour une meilleure gestion des ressources en eau dans les Alpes,3 ans,CTE - Interreg - Espace Alpin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Pour-une-meilleure-gestion-des-ressources-en-eau-dans-les-Alpes/(offset)/315/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 830 000 €,3 990 000 €,Université de Savoie,Développement durable et environnement
FEDER,2008,Préservation de la faune et flore alpines,3 ans,CTE - Interreg - Espace Alpin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Preservation-de-la-faune-et-flore-alpines/(offset)/315/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 200 000 €,3 198 000 €,Université de Médecine vétérinaire de Vienne - Institut de recherche en écologie faunique,Développement durable et environnement
FEDER,2008,Prévenir et anticiper le changement climatique dans l'arc alpin,3 ans,CTE - Interreg - Espace Alpin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Prevenir-et-anticiper-le-changement-climatique-dans-l-arc-alpin/(offset)/315/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 310 202 €,2 870 635 €,Pôle grenoblois d’études et de recherche pour la prévention des risques naturels,Développement durable et environnement ; Prévention des risques
FEDER,2007,Accéder à une meilleure connaissance et compréhension de l'environnement côtier amazonien,2 ans,CTE - Interreg - Amazonie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Acceder-a-une-meilleure-connaissance-et-comprehension-de-l-environnement-cotier-amazonien/(offset)/315/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,98 880 €,263 680 €,Institut de recherche pour le développement (IRD) de Guyane,Développement durable et environnement ; Espaces naturels à enjeux
FEDER,2009,Investir pour la prévention des risques naturels des territoires alpins de haute montagne,3 ans,CTE - Interreg - ALCOTRA,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Investir-pour-la-prevention-des-risques-naturels-des-territoires-alpins-de-haute-montagne/(offset)/315/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,7 776 901 €,12 234 460 €,Regione Autonoma Valle d’Aosta,Développement durable et environnement ; Prévention des risques
FEDER,2009,"Naissance de TV8 Mont Blanc, une chaîne de télévision pour promouvoir la culture alpine",1 an et demi,CTE - Interreg - ALCOTRA,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Naissance-de-TV8-Mont-Blanc-une-chaine-de-television-pour-promouvoir-la-culture-alpine/(offset)/320/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,579 500 €,1 000 000 €,TV 8 Mont-Blanc,Culture et tourisme ; TIC
FEDER,2009,Developper la coopération franco-italienne dans le domaine du spectacle vivant,2 ans,CTE - Interreg - ALCOTRA,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Developper-la-cooperation-franco-italienne-dans-le-domaine-du-spectacle-vivant/(offset)/320/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,618 754 €,1 045 192 €,"Espace Malraux, scène nationale de Chambéry et de la Savoie",Culture et tourisme
FEDER,2009,Pour un meilleur accès aux soins dans les zones rurales,2 ans et demi,CTE - Interreg - SUDOE,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Pour-un-meilleur-acces-aux-soins-dans-les-zones-rurales/(offset)/320/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 299 135 €,1 732 180 €,Syndicat mixte du Pays Couserans,Santé ; Services au public ; TIC
FEDER,2009,Bâtir une industrie textile plus compétitive,32 mois,CTE - Interreg - SUDOE,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Batir-une-industrie-textile-plus-competitive/(offset)/320/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,629 434 €,839 246 €,Centro Tecnológico das Indústrias Têxtil e do Vestuário de Portugal (CITEVE),Aides aux entreprises ; Développement durable et environnement ; Recherche et Innovation
FEDER,2009,Lutte contre les algues envahissantes dans les zones lagunaires du Sud-Ouest de l'Europe,2 ans,CTE - Interreg - SUDOE,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Lutte-contre-les-algues-envahissantes-dans-les-zones-lagunaires-du-Sud-Ouest-de-l-Europe/(offset)/320/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,812 788 €,1 083 717 €,Conseil général de l’Hérault,Développement durable et environnement ; Espaces naturels à enjeux
FEDER,2009,Soutenir les projets de gestion des ressources en eau en Europe du Sud-Ouest,2 ans et demi,CTE - Interreg - SUDOE,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Soutenir-les-projets-de-gestion-des-ressources-en-eau-en-Europe-du-Sud-Ouest/(offset)/325/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 215 362 €,2 835 903 €,Conseil général de la Gironde,Développement durable et environnement
FEDER,2009,Des entreprises plus compétitives grâce aux technologies de l'information et la communication,29 mois,CTE - Interreg - SUDOE,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Des-entreprises-plus-competitives-grace-aux-technologies-de-l-information-et-la-communication/(offset)/325/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 231 037 €,1 641 382 €,Cybermassif,Aides aux entreprises ; TIC
FEDER,2009,Optimiser le transport maritime dans l'espace méditerranéen,25 mois,CTE - Interreg - MED,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Optimiser-le-transport-maritime-dans-l-espace-mediterraneen/(offset)/325/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 015 698 €,1 400 372 €,"Association pour le développement de la formation professionnelle dans le transport Institut de formation aux techniques d’implantation et de manutention (AFT-IFTIM), Provence-Alpes-Côte d’Azur",Coopération ; Transports
FEDER,2009,Contribuer à l'innovation dans le domaine de la floriculture pour la conquête de nouveaux marchés,3 ans,CTE - Interreg - MED,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Contribuer-a-l-innovation-dans-le-domaine-de-la-floriculture-pour-la-conquete-de-nouveaux-marches/(offset)/325/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 058 721 €,1 866 667 €,Association Hyères Hortipole,Aides aux entreprises ; Coopération ; Recherche et Innovation
