"Name des Begünstigten","Bezeichnung des Vorhabens","Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbeitrag der förderfähigen Ausgaben des Vorhabens","Postleitzahl des Vorhabens oder andere angemessene Standortindikatoren","Land","Bezeichnung der Interventionskategorie für das Vorhaben gemäß Artikel 96 Absatz 2 Unterabsatz 1 Buchstabe b Ziffer vi"
AWO Perspektiven gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Q und B Bildungshaus Dietzenbach 2015 - Bistro im Bunten  ,1/1/2015,12/31/2015,"240,500.00",Frankfurt am Main,Deutschland,109
AWO Perspektiven gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Q und B Bildungshaus Dietzenbach 2016 - Bistro im Bunten  ,1/1/2016,12/31/2016,"218,200.00",Frankfurt am Main,Deutschland,109
Axel  Böhme BÖHME Formnormalien-CNC Fräsetechnik  ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/7/2015,8/31/2016,"4,156.00",Usingen,Deutschland,118
Bäckerei Jörg Halbig      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/5/2015,9/14/2016,"4,156.00",Mücke,Deutschland,118
Bäckerei Roth      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Brechen,Deutschland,118
BAFF-Frauen-Kooperation gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Personenbezogene Dienstleistungen lernen - wir steigen ein! (Berufsvorbereitung im Bereich Erziehung und Pflege),1/1/2016,12/31/2016,"120,700.00",Darmstadt,Deutschland,109
BAFF-Frauen-Kooperation gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Personenbezogene Dienstleistungen lernen - wir steigen ein! (Berufsvorbereitung im Bereich Erziehung und Pflege),5/1/2015,12/31/2015,"75,500.00",Darmstadt,Deutschland,109
basa e.V.      ,Qualifizierung und Beschäftigung junger Menschen,"Projekt ""Sprungbrett""  ",1/1/2015,12/31/2015,"241,300.00",Neu-Anspach,Deutschland,109
basa e.V.      ,Qualifizierung und Beschäftigung junger Menschen,"Projekt ""Sprungbrett""  ",1/1/2016,12/31/2016,"241,300.00",Neu-Anspach,Deutschland,109
Bauhaus Werkstätten Wiesbaden GmbH      ,Arbeitsmarktbudget,"Projektname: Sozialpädagogisches Coaching ""AGH plus""  ",6/1/2015,5/31/2018,"179,400.00",Wiesbaden,Deutschland,109
Bauhaus Werkstätten Wiesbaden GmbH      ,Qualifizierung und Beschäftigung junger Menschen,START-Projekt  ,1/1/2016,12/31/2016,"663,900.00",Wiesbaden,Deutschland,109
Bauhaus Werkstätten Wiesbaden GmbH      ,Qualifizierung und Beschäftigung junger Menschen,START-Projekt  ,1/1/2015,12/31/2015,"589,000.00",Wiesbaden,Deutschland,109
berami berufliche Integration e.V.    ,Bildungsberatung und -coaching,Nachqualifizierungsberatungsstelle Südhessen  ,1/1/2015,12/31/2016,"297,400.00",Frankfurt am Main,Deutschland,117
berami berufliche Integration e.V.    ,Impulse der Arbeitsmarktpolitik (IdeA),"NeW Mentoring und Kooperation Unternehmen, Koordination NeW",1/1/2015,12/31/2016,"493,400.00",Frankfurt am Main,Deutschland,109
Berufsbildungswerk Dr. Fritz Bauer Förderverein e.V.    ,Qualifizierung von Strafgefangenen,Qualifizierung in einer Malerwerkstatt  ,1/1/2015,12/31/2015,"102,800.00",Kassel,Deutschland,109
Berufsbildungswerk Dr. Fritz Bauer Förderverein e.V.    ,Qualifizierung von Strafgefangenen,Qualifizierung zum Elektroanlagenmonteur  ,1/1/2015,12/31/2015,"102,200.00",Kassel,Deutschland,109
Berufsbildungswerk Dr. Fritz Bauer Förderverein e.V.    ,Qualifizierung von Strafgefangenen,Umschulung zur Köchin in der JVA Ffm III  ,1/1/2015,12/31/2015,"204,800.00",Kassel,Deutschland,109
Berufsbildungswerk Südhessen gGmbH      ,Impulse der Arbeitsmarktpolitik (IdeA),Empowerment durch Arbeit (EdA)  ,1/1/2016,12/31/2018,"290,000.00",Karben,Deutschland,109
Berufsbildungswerk Südhessen gGmbH      ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Region Wetteraukreis,1/1/2016,12/31/2017,"251,700.00",Karben,Deutschland,117
Berufsbildungszentrum Marburg gGmbH      ,Arbeitsmarktbudget,"voice-competence: v-vocational, o-orientation, i-information, c-culture, e-experience",11/15/2015,11/14/2016,"424,800.00",Marburg,Deutschland,109
Berufsförderungswerk des Handwerks gemeinnützige GmbH    ,Qualifizierung und Beschäftigung junger Menschen,Durchstarter  ,1/1/2015,12/31/2015,"119,300.00",Korbach,Deutschland,109
Berufsförderungswerk des Handwerks gemeinnützige GmbH    ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschaeftigung junger Menschen-Durchstarter  ,1/1/2016,12/31/2016,"143,600.00",Korbach,Deutschland,109
Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw) Geschäftsstelle RESO/ProG,Qualifizierung von Strafgefangenen,Arbeitsmarktintegration für jugendliche Strafentlassene - ArJuS  ,1/1/2015,12/31/2015,"49,700.00",Erkrath,Deutschland,109
Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw) Geschäftsstelle RESO/ProG,Qualifizierung von Strafgefangenen,Projekt: Integration 50plus  ,1/1/2015,12/31/2015,"19,900.00",Erkrath,Deutschland,109
Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw) Geschäftsstelle RESO/ProG,Qualifizierung von Strafgefangenen,Umschulung zum Koch  ,1/1/2015,12/31/2015,"180,200.00",Erkrath,Deutschland,109
Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw) Geschäftsstelle RESO/ProG,Qualifizierung von Strafgefangenen,Umschulung zum Zimmerer in der JVA Schwalmstadt  ,1/1/2015,12/31/2015,"149,800.00",Erkrath,Deutschland,109
Berufswege für Frauen e.V.      ,Impulse der Arbeitsmarktpolitik (IdeA),Ankommen in Deutschland (AiDe) - Migrantinnen und Unternehmen Hand in Hand,1/1/2016,12/31/2017,"134,400.00",Wiesbaden,Deutschland,109
Berufswege für Frauen e.V.      ,Impulse der Arbeitsmarktpolitik (IdeA),"Plan ""W"" - Zukunftschancen für Wiedereinsteigerinnen",1/1/2015,12/31/2016,"186,300.00",Wiesbaden,Deutschland,109
Bildungsstätte Anne Frank e.V.      ,Impulse der Arbeitsmarktpolitik (IdeA),Mach dich zum Profi - Programm zur Qualifizierung pädagogischer Fachkräfte,11/1/2015,10/31/2017,"137,000.00",Frankfurt am Main,Deutschland,109
Bildungswerk BAU Hessen-Thüringen e.V.    ,Qualifizierung und Beschäftigung junger Menschen,Aktivierung und Orientierung für Jugendliche u. junge Erwachsene für eine Perspektive in der Bauwirtschaft,10/1/2015,2/29/2016,"69,400.00",Erfurt,Deutschland,109
Bildungswerk der Hessischen Wirtschaft e.V.    ,Alphabetisierung und Grundbildung Erwachsener,Grundbildungszentrum für die Wissenschaftsstadt Darmstadt und den Landkreis Darmstadt-Dieburg,1/1/2016,12/31/2019,"351,200.00",Frankfurt am Main,Deutschland,117
Bildungswerk der Hessischen Wirtschaft e.V.    ,Arbeitsmarktbudget,Grundbildung sichern - Beschäftigung fördern  ,4/15/2015,12/31/2016,"101,400.00",Frankfurt am Main,Deutschland,109
Bildungswerk der Hessischen Wirtschaft e.V.    ,Maßnahmen zur Nachwuchsgewinnung,I AM MINT - Mit Azubi-Mentoren zum MINT-Beruf  ,7/1/2015,12/31/2016,"681,700.00",Frankfurt am Main,Deutschland,117
Bildungswerk der Hessischen Wirtschaft e.V.    ,Mobilitätsberatungsstellen,Mobilitätsberatung der hessischen Wirtschaft in der Stadt Wiesbaden und dem Rhein-Main-Gebiet,1/1/2015,12/31/2017,"152,000.00",Frankfurt am Main,Deutschland,117
Bildungswerk der Hessischen Wirtschaft e.V.    ,Praxis und Schule (PuSch),PuSch A: Gerhart- Hauptmann- Schule  ,8/5/2015,7/31/2017,"44,200.00",Frankfurt am Main,Deutschland,115
Bildungswerk der Hessischen Wirtschaft e.V.    ,Praxis und Schule (PuSch),PuSch A: Salzmannschule  ,12/1/2015,7/31/2017,"32,100.00",Frankfurt am Main,Deutschland,115
Bildungswerk der Hessischen Wirtschaft e.V.    ,Praxis und Schule (PuSch),PuSch B: Hans-Viessmann-Schule  ,8/1/2015,7/31/2016,"14,900.00",Frankfurt am Main,Deutschland,115
Bildungswerk der Hessischen Wirtschaft e.V.    ,Praxis und Schule (PuSch),PuSch B: Landrat-Gruber-Schule  ,9/1/2015,7/31/2016,"28,000.00",Frankfurt am Main,Deutschland,115
Bildungswerk der Hessischen Wirtschaft e.V.    ,Projekte der beruflichen Bildung,Quali IN zwei Nachqualifizierung initiieren und vernetzen  ,7/1/2015,7/31/2016,"95,800.00",Frankfurt am Main,Deutschland,118
Bildungswerk der Hessischen Wirtschaft e.V.    ,Projekte der beruflichen Bildung,WIRTSCHAFT INTEGRIERT (Koordinationsprojekt)  ,4/1/2016,8/31/2017,"850,000.00",Frankfurt am Main,Deutschland,118
Bildungswerk der Hessischen Wirtschaft e.V.    ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule im Landkreis Offenbach,10/1/2015,9/30/2017,"188,100.00",Frankfurt am Main,Deutschland,117
Bildungswerk der Hessischen Wirtschaft e.V.    ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in den Regionen Odenwaldkreis und Hochtaunuskreis,7/1/2015,12/31/2017,"215,500.00",Frankfurt am Main,Deutschland,117
Bildungswerk der Hessischen Wirtschaft e.V.    ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in den Regionen Stadt Darmstadt und Landkreis Darmstadt-Dieburg,9/1/2015,8/31/2017,"235,900.00",Frankfurt am Main,Deutschland,117
Bildungswerk der Hessischen Wirtschaft e.V.    ,Technische Hilfe,Beruf und Pflege vereinbaren - die Hessische Initiative Baustein 4 Verstetigung der Initiative,1/1/2015,12/31/2016,"157,000.00",Frankfurt am Main,Deutschland, 
