"Name des Begünstigten","Bezeichnung des Vorhabens","Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbeitrag der förderfähigen Ausgaben des Vorhabens","Postleitzahl des Vorhabens oder andere angemessene Standortindikatoren","Land","Bezeichnung der Interventionskategorie für das Vorhaben gemäß Artikel 96 Absatz 2 Unterabsatz 1 Buchstabe b Ziffer vi"
Grümel gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Produktionsschule  ,1/1/2015,12/31/2015,"150,400.00",Fulda,Deutschland,109
GWAB mbH      ,Arbeitsmarktbudget,Chance Arbeitsmarkt: Ein Projekt des Lahn-Dill-Kreises (im Verbund mit dem Landkreis Limburg-Weilburg) mit Flüchtlingen,10/1/2015,9/30/2018,"901,200.00",Wetzlar,Deutschland,109
GWAB mbH      ,Arbeitsmarktbudget,Schuldnerberatung für SGB II Leistungsberechtigte und Wohnhilfebüro,4/1/2015,3/31/2017,"745,100.00",Wetzlar,Deutschland,109
GWAB mbH      ,Bildungsberatung und -coaching,Bildungscoach Lahn-Dill-Kreis  ,1/1/2015,12/31/2016,"157,600.00",Wetzlar,Deutschland,117
GWAB mbH      ,Praxis und Schule (PuSch),PuSch A: August-Bebel-Schule  ,8/1/2015,7/31/2016,"30,000.00",Wetzlar,Deutschland,115
GWAB mbH      ,Praxis und Schule (PuSch),"PuSch B: Gewerbliche Schulen des Lahn-Dill-Kreises, Wetzlar  ",8/1/2015,7/31/2016,"45,000.00",Wetzlar,Deutschland,115
GWAB mbH      ,Praxis und Schule (PuSch),PuSch B: Werner-von-Siemens-Schule  ,8/1/2015,7/31/2016,"30,000.00",Wetzlar,Deutschland,115
GWAB mbH      ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Region Lahn-Dill-Kreis,7/15/2015,6/30/2017,"293,100.00",Wetzlar,Deutschland,117
GWAB mbH      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschaeftigung junger Menschen - Produktionsschule Neumühle,1/1/2015,12/31/2015,"154,000.00",Wetzlar,Deutschland,109
GWAB mbH      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschaeftigung junger Menschen Produktionsschule Neumühle,1/1/2016,12/31/2016,"162,500.00",Wetzlar,Deutschland,109
GWAB mbH      ,Qualifizierung und Beschäftigung junger Menschen,"Qualifizierung und Beschäftigung junger Menschen - Wege in Arbei t
individuelle - bedarfsgerecht - niedrigschwellig - aktivierend",1/1/2015,12/31/2015,"177,500.00",Wetzlar,Deutschland,109
GWAB mbH      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen-Wege in Arbeit  ,1/1/2016,12/31/2016,"182,100.00",Wetzlar,Deutschland,109
Haftentlassenenhilfe e.V.      ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Dieburg  ,1/1/2015,12/31/2015,"81,200.00",Frankfurt am Main,Deutschland,109
Haftentlassenenhilfe e.V.      ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Dieburg  ,1/1/2016,12/31/2016,"87,700.00",Frankfurt am Main,Deutschland,109
Handwerkskammer Frankfurt-Rhein-Main    ,Arbeitsmarktbudget,PAuL-Perspektive Arbeit und Lebensqualität-Ein integrationsorien tiertes Beschäftigungs- und Lernprojekt für Flüchtlinge,10/1/2015,11/30/2016,"287,000.00",Frankfurt am Main,Deutschland,109
Handwerkskammer Frankfurt-Rhein-Main    ,Bildungsberatung und -coaching,"Bildungscoach Hochtaunuskreis, Stadt Frankfurt sowie Stadt und Landkreis Offenbach",1/1/2015,12/31/2016,"409,600.00",Frankfurt am Main,Deutschland,117
Handwerkskammer Frankfurt-Rhein-Main    ,Mobilitätsberatungsstellen,Mobilitätsberatung der hessischen Wirtschaft im Rhein-Main- Gebiet und den Regionen Süd- und Nordhessen,1/1/2015,12/31/2017,"757,700.00",Frankfurt am Main,Deutschland,117
Hansmann & Dörenkämper Automobile GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/27/2015,1/31/2016,"4,156.00",Bad Hersfeld,Deutschland,118
Hansmann & Dörenkämper Automobile GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/27/2015,7/31/2016,"4,156.00",Bad Hersfeld,Deutschland,118
HERBERT Management Inh. Susanne Herbert    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/9/2015,8/31/2017,"4,156.00",Frankfurt,Deutschland,118
Hessisches Statistisches Landesamt      ,Projekte der beruflichen Bildung,Verstetigung einer integrierten Ausbildungsberichterstattung für  Hessen (iABE),1/1/2016,12/31/2017,"168,000.00",Wiesbaden,Deutschland,118
Heußner-Nuhn GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/5/2015,8/31/2016,"4,156.00",Bad Hersfeld,Deutschland,118
Hip Hop Tanzstudio Dance United Inh. Heike Kilic    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/24/2016,8/31/2017,"4,156.00",Kassel,Deutschland,118
Hochschule Fulda University of Applied Sciences Der Präsident  ,"Offene Hochschulen: Potentiale nutzen, Übergänge vorbereiten",Vorbereitung auf die Arbeitswelt  ,1/1/2016,12/31/2018,"397,000.00",Fulda,Deutschland,116
Hochschule Geisenheim University Der Präsident    ,"Offene Hochschulen: Potentiale nutzen, Übergänge vorbereiten",Geisenheim International - Study & More  ,7/1/2015,6/30/2018,"1,060,300.00",Geisenheim,Deutschland,116
Hochschule RheinMain University of Applied Sciences Wiesbaden Rüsselsheim  ,"Offene Hochschulen: Potentiale nutzen, Übergänge vorbereiten",Potentiale Nutzen II - Sprachkompetenz erweitern für Studium und Beruf,1/1/2016,12/31/2018,"451,700.00",Wiesbaden,Deutschland,116
Höhler & Höhler GbR      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/10/2015,7/31/2017,"4,156.00",Löhnberg,Deutschland,118
Höhler & Höhler GbR      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/10/2015,7/31/2017,"4,156.00",Löhnberg,Deutschland,118
Holzschmiede Lichtenberg Inh. Maximilian Wiesner    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/14/2016,8/31/2016,"4,156.00",Lichtenberg,Deutschland,118
IHK Darmstadt Service GmbH      ,Bildungsberatung und -coaching,"Bildungscoach in den Landkreisen Bergstraße, Groß-Gerau, Odenwald, Darmstadt-Dieburg und der Stadt Darmstadt",1/1/2015,12/31/2016,"707,100.00",Darmstadt,Deutschland,117
"INBAS GmbH - Institut für ber. Bildung, Arbeitsmarkt- und Sozialpolitik    ",Impulse der Arbeitsmarktpolitik (IdeA),BeA+ - Berufseinstieg in die Altenpflege für Menschen mit Migrationshintergrund,4/1/2015,3/31/2017,"266,000.00",Offenbach am Main,Deutschland,109
"INBAS GmbH - Institut für ber. Bildung, Arbeitsmarkt- und Sozialpolitik    ",Projekte der beruflichen Bildung,Hessenweite OloV-Koordination: Struktur- und Prozessqualität im Übergang Schule - Beruf,7/1/2015,12/31/2017,"8,090,800.00",Offenbach am Main,Deutschland,118
"INBAS GmbH - Institut für ber. Bildung, Arbeitsmarkt- und Sozialpolitik    ",Projekte der beruflichen Bildung,"Koordinierungsstelle für das Programm ""Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule (QuABB)""",7/1/2015,2/28/2018,"1,484,600.00",Offenbach am Main,Deutschland,118
Industrie- und Handelskammer Frankfurt am Main    ,Bildungsberatung und -coaching,Bildungscoaches Stadt Frankfurt und Main-Taunus-Kreis  ,1/1/2015,12/31/2016,"325,600.00",Frankfurt am Main,Deutschland,117
Ing. A. Neumeister und Schnierle GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/16/2015,2/28/2018,"4,156.00",Frankfurt,Deutschland,118
Ing. A. Neumeister und Schnierle GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/16/2015,2/28/2018,"4,156.00",Frankfurt,Deutschland,118
Ing. A. Neumeister und Schnierle GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/16/2015,2/28/2017,"4,156.00",Frankfurt,Deutschland,118
Ingenieurbüro Kotsikas      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/20/2015,9/6/2016,"4,156.00",Frankfurt,Deutschland,118
Initiative Arbeit im Bistum Mainz e.V.      ,Arbeitsmarktbudget,MIA - Migranten in Arbeitserprobung  ,9/1/2015,12/31/2016,"326,100.00",Offenbach am Main,Deutschland,109
Initiative Arbeit im Bistum Mainz e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Computer für alle  ,1/1/2016,12/31/2016,"103,800.00",Offenbach am Main,Deutschland,109
Initiative Arbeit im Bistum Mainz e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Computer für Alle  ,1/1/2015,12/31/2015,"97,200.00",Offenbach am Main,Deutschland,109
Institut der deutschen Wirtschaft Köln JUNIOR gGmbH    ,Maßnahmen zur Nachwuchsgewinnung,JUNIOR-Schülerfirmenprogr. leisten einen Beitrag zur Berufswahl - und Lebenswegplanung für hessische Schülerinnen und Schüler,7/1/2015,12/31/2016,"139,600.00",Köln,Deutschland,117
Integral gGmbH      ,Arbeitsmarktbudget,"""Lichtblick: Teilhabe ermöglichen - Chancen ergreifen""",3/1/2015,2/28/2017,"286,600.00",Coelbe,Deutschland,109
Integral gGmbH      ,Arbeitsmarktbudget,Projektname: Aufbruch - Perspektiven fördern - Teilhabe fördern  ,6/1/2015,12/31/2017,"422,200.00",Coelbe,Deutschland,109
Integral gGmbH      ,Impulse der Arbeitsmarktpolitik (IdeA),Lichtblick plus  ,9/1/2015,8/31/2017,"299,000.00",Coelbe,Deutschland,109
Interbytes UG & Co. KG      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/27/2016,10/26/2017,"4,156.00",Hanau,Deutschland,118
Intercoiffure Inh. Peter Caligari    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/10/2015,6/30/2016,"4,156.00",Offenbach,Deutschland,118
Intercoiffure Inh. Peter Caligari    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/15/2015,8/31/2017,"4,156.00",Offenbach,Deutschland,118
Intercoiffure Inh. Peter Caligari    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/15/2015,9/30/2017,"4,156.00",Offenbach,Deutschland,118
Internationaler Bund e.V.      ,Praxis und Schule (PuSch),PuSch A: Theo-Koch-Schule  ,8/1/2015,7/31/2016,"29,300.00",Wetzlar,Deutschland,115
Internationaler Bund e.V.      ,Praxis und Schule (PuSch),PuSch B: Käthe-Kollwitz-Schule  ,8/1/2015,7/31/2016,"36,400.00",Offenbach,Deutschland,115
Internationaler Bund e.V.      ,Praxis und Schule (PuSch),"PuSch B: Käthe-Kollwitz-Schule, Wetzlar  ",8/1/2015,7/31/2016,"47,400.00",Wetzlar,Deutschland,115
Internationaler Bund e.V.      ,Praxis und Schule (PuSch),PuSch B: Ludwig-Geissler-Schule  ,8/1/2015,7/31/2016,"33,900.00",Offenbach,Deutschland,115
Internationaler Bund e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Arbeiten und Lernen in der Umweltwerkstatt  ,1/1/2015,12/31/2015,"227,200.00",Wetzlar,Deutschland,109
Internationaler Bund e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Arbeiten und Lernen in der Umweltwerkstatt  ,1/1/2016,12/31/2016,"213,600.00",Wetzlar,Deutschland,109
Internationaler Bund e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Grundqualifizierung im Bereich HoGa und Hauswirtschaft junger Frauen,1/1/2015,12/31/2015,"130,500.00",Darmstadt,Deutschland,109
Internationaler Bund e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Grundqualifizierung im Bereich HoGa und Hauswirtschaft junger Frauen,1/1/2016,12/31/2016,"134,300.00",Darmstadt,Deutschland,109
Internationaler Bund e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Mädchenwerkstatt  ,1/1/2016,12/31/2016,"237,900.00",Wetzlar,Deutschland,109
Internationaler Bund e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Mädchenwerkstatt  ,1/1/2015,12/31/2015,"249,200.00",Wetzlar,Deutschland,109
Internationaler Bund e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung für junge Frauen  ,1/1/2015,12/31/2015,"135,800.00",Frankfurt am Main,Deutschland,109
Internationaler Bund e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung für junge Frauen  ,1/1/2016,12/31/2016,"138,000.00",Frankfurt am Main,Deutschland,109
Internationaler Bund IB Südwest gGmbH für Bildung und soziale Dienste  ,Praxis und Schule (PuSch),PuSch A: Georg-Büchner-Schule  ,8/1/2015,7/31/2017,"42,000.00",Darmstadt,Deutschland,115
Internationaler Bund IB Südwest gGmbH für Bildung und soziale Dienste  ,Praxis und Schule (PuSch),PuSch A: Martin-Buber-Schule  ,8/1/2015,7/31/2016,"30,000.00",Darmstadt,Deutschland,115
Internationaler Bund IB Südwest gGmbH für Bildung und soziale Dienste  ,Praxis und Schule (PuSch),PuSch A: Martin-Niemöller-Schule  ,8/1/2015,7/31/2016,"30,000.00",Darmstadt,Deutschland,115
Internationaler Bund IB Südwest gGmbH für Bildung und soziale Dienste  ,Praxis und Schule (PuSch),PuSch B: Berufliche Schulen Groß-Gerau  ,8/1/2015,7/31/2016,"15,000.00",Darmstadt,Deutschland,115
Internationaler Bund IB Südwest gGmbH für Bildung und soziale Dienste  ,Qualifizierung von Strafgefangenen,modulare Qualifizierung für Strafgefangene im Metallbereich in der JVA Darmstadt Eberstadt,1/1/2015,12/31/2015,"19,100.00",Darmstadt,Deutschland,109
Internationaler Bund IB Südwest gGmbH für Bildung und soziale Dienste  ,Qualifizierung von Strafgefangenen,modulare Qualifizierung im Gebäudereinigerhandwerk  ,1/1/2015,12/31/2015,"52,300.00",Darmstadt,Deutschland,109
Internationaler Bund IB Südwest gGmbH für Bildung und soziale Dienste  ,Qualifizierung von Strafgefangenen,Qualifizierung für den externen Abschluss zum Maler/Lackierer in der JVA Weiterstadt,1/1/2015,12/31/2015,"20,000.00",Darmstadt,Deutschland,109
Internationaler Bund IB Südwest gGmbH für Bildung und soziale Dienste  ,Qualifizierung von Strafgefangenen,Umschulung zum Tischler und modulare Qualifizierung Holztechnik in der JVA Darmstadt Eberstadt,1/1/2015,12/31/2015,"75,500.00",Darmstadt,Deutschland,109
Internationaler Bund Verbund Hessen Bildungszentrum Langen  ,Qualifizierung und Beschäftigung junger Menschen,Q+B - Produktionsschule Langen  ,1/1/2015,12/31/2015,"134,000.00",Langen,Deutschland,109
Internationaler Bund Verbund Hessen Bildungszentrum Langen  ,Qualifizierung und Beschäftigung junger Menschen,Q+B - Produktionsschule Langen  ,1/1/2016,12/31/2016,"139,900.00",Langen,Deutschland,109
IT Intelligent GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/19/2016,6/30/2016,"4,156.00",Schlitz,Deutschland,118
J. & G. Adrian GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/8/2015,7/31/2016,"4,156.00",Wiesbaden,Deutschland,118
JAFKA Gemeinnützige Gesellschaft für Aus- und Fortbildung mbH  ,Praxis und Schule (PuSch),PuSch B: Arnold-Bode-Schule  ,8/1/2015,7/31/2016,"14,900.00",Kassel,Deutschland,115
JAFKA Gemeinnützige Gesellschaft für Aus- und Fortbildung mbH  ,Praxis und Schule (PuSch),PuSch B: Elisabeth-Knipping-Schule  ,8/1/2015,7/31/2016,"30,000.00",Kassel,Deutschland,115
JAFKA Gemeinnützige Gesellschaft für Aus- und Fortbildung mbH  ,Praxis und Schule (PuSch),PuSch B: Oskar-von-Miller-Schule  ,8/1/2015,7/31/2016,"30,000.00",Kassel,Deutschland,115
JAFKA Gemeinnützige Gesellschaft für Aus- und Fortbildung mbH  ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Stadt und dem Landkreis Kassel,9/1/2015,6/30/2017,"414,400.00",Kassel,Deutschland,117
JAFKA Gemeinnützige Gesellschaft für Aus- und Fortbildung mbH  ,Qualifizierung und Beschäftigung junger Menschen,CUBE Chance und Beruf  ,1/1/2015,12/31/2015,"259,700.00",Kassel,Deutschland,109
JAFKA Gemeinnützige Gesellschaft für Aus- und Fortbildung mbH  ,Qualifizierung und Beschäftigung junger Menschen,CUBE Chance und Beruf  ,1/1/2016,12/31/2016,"286,400.00",Kassel,Deutschland,109
Jens Kauss Elektrotechnik      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,9/11/2015,1/31/2016,"4,156.00",Hohenahr,Deutschland,118
Joblinge gemeinnützige AG Frankfurt am Main    ,Impulse der Arbeitsmarktpolitik (IdeA),Übertragung des JOBLINGE-Konzepts in Hessen  ,1/1/2015,12/31/2016,"213,800.00",Frankfurt am Main,Deutschland,109
Johann Wolfgang Goethe-Universität Der Präsident    ,Impulse der Arbeitsmarktpolitik (IdeA),Wissenschaftliche Beratung und Begleitung der hessischen Arbeitsmarktpolitik,11/16/2015,10/31/2018,"750,900.00",Frankfurt am Main,Deutschland,109
Johann Wolfgang Goethe-Universität Der Präsident    ,"Offene Hochschulen: Potentiale nutzen, Übergänge vorbereiten",Aequitas - Kompetent in Studium und Beruf  ,7/1/2015,6/30/2018,"1,180,400.00",Frankfurt am Main,Deutschland,116
Johann Wolfgang Goethe-Universität Der Präsident    ,Projekte der beruflichen Bildung,Auswertung des IAB-Betriebspanels Hessen 2015  ,7/1/2015,10/31/2016,"245,800.00",Frankfurt am Main,Deutschland,118
Johann Wolfgang Goethe-Universität Der Präsident    ,Projekte der beruflichen Bildung,Ergänzung des Mappings zur Nachqualifizierungslandschaft im Rahm en der fachlichen Begleitung der Initiative ProAbschluss Hessen,6/15/2015,12/31/2017,"540,500.00",Frankfurt am Main,Deutschland,118
Johann Wolfgang Goethe-Universität Der Präsident    ,Projekte der beruflichen Bildung,regio pro - Regionale Verankerung und konzeptionelle Weiterentwicklung des hessischen Frühinformationssystems,1/1/2015,12/31/2016,"261,700.00",Frankfurt am Main,Deutschland,118
JR Marketing GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/14/2016,8/13/2017,"4,156.00",Runkel-Steeden,Deutschland,118
Jugendberatung und Jugendhilfe e.V.      ,Arbeitsmarktbudget,Projektname: Suchtberatung  ,4/1/2015,3/31/2018,"105,400.00",Frankfurt am Main,Deutschland,109
Jugendwerkstatt Felsberg e. V.      ,Impulse der Arbeitsmarktpolitik (IdeA),Internationale Produktionsschule - IPS  ,1/1/2016,12/31/2018,"775,300.00",Felsberg,Deutschland,109
Jugendwerkstatt Felsberg e. V.      ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Region Schwalm-Eder-Kreis,1/1/2016,12/31/2017,"222,800.00",Felsberg,Deutschland,117
Jugendwerkstatt Felsberg e. V.      ,Qualifizierung und Beschäftigung junger Menschen,Produktionsschule Felsberg  ,1/1/2016,12/31/2016,"387,300.00",Felsberg,Deutschland,109
Jugendwerkstatt Felsberg e. V.      ,Qualifizierung und Beschäftigung junger Menschen,Produktionsschule Felsberg  ,1/1/2015,12/31/2015,"379,200.00",Felsberg,Deutschland,109
Jugendwerkstatt Gießen e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen  ,1/1/2015,12/31/2015,"650,000.00",Gießen,Deutschland,109
Jugendwerkstatt Gießen e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen  ,1/1/2016,12/31/2016,"673,900.00",Gießen,Deutschland,109
Jugendwerkstatt Hanau e.V.      ,Praxis und Schule (PuSch),PuSch A: Lindenauschule  ,8/1/2015,7/31/2016,"35,400.00",Hanau,Deutschland,115
Jugendwerkstatt Hanau e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen 2015: Modell zur fachlichen Qualifikation und beruflichen Integration,1/1/2015,12/31/2015,"292,000.00",Hanau,Deutschland,109
Jugendwerkstatt Hanau e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen 2016: Modell zur fachlichen Qualifikation und beruflichen Integration,1/1/2016,12/31/2016,"292,000.00",Hanau,Deutschland,109
Jugendwerkstatt Herrnhaag e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen  ,1/1/2016,12/31/2016,"158,000.00",Büdingen,Deutschland,109
Jugendwerkstatt Herrnhaag e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen  ,1/1/2015,12/31/2015,"156,400.00",Büdingen,Deutschland,109
Jugendwerkstätten Odenwald e.V.      ,Praxis und Schule (PuSch),PuSch B: Berufliches Schulzentrum Odenwaldkreis  ,8/1/2015,7/31/2016,"32,100.00",Erbach,Deutschland,115
JUKO Marburg e.V.      ,Impulse der Arbeitsmarktpolitik (IdeA),Delta - Einmündung in soziale Zukunft  ,10/1/2015,9/30/2017,"249,800.00",Marburg,Deutschland,109
JUKO Marburg e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen AQUA Forst und Umwelt / Bistro A Capella,1/1/2016,12/31/2016,"197,300.00",Marburg,Deutschland,109
JUKO Marburg e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen AQUA Forst und Umwelt / Bistro A Capella,1/1/2015,12/31/2015,"240,200.00",Marburg,Deutschland,109
jumpp Frauenbetriebe e.V.      ,Impulse der Arbeitsmarktpolitik (IdeA),"Netzwerk NeW, Mentoring und Aktivierung Betriebe",1/1/2015,12/31/2016,"297,800.00",Frankfurt am Main,Deutschland,109
JUNG IT Solution GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/5/2015,7/31/2017,"4,156.00",Spangenberg,Deutschland,118
JUNG IT Solution GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/11/2015,7/31/2016,"4,156.00",Spangenberg,Deutschland,118
Junghans + Formhals GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/5/2015,8/31/2016,"4,156.00",Weiterstadt,Deutschland,118
Kanzlei Dietermann Steuerberater    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/3/2015,7/31/2016,"4,156.00",Dillenburg,Deutschland,118
Karosserie & Fahrzeugtechnik Inh. Ilyas Kabaca    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/8/2015,6/7/2017,"4,156.00",Butzbach,Deutschland,118
khdesign GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/16/2016,7/31/2016,"4,156.00",Offenbach,Deutschland,118
Klaus Reinhardt Land- Forst- und Gartentechnik    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/24/2016,9/23/2017,"4,156.00",Sontra-Breitau,Deutschland,118
Koe48 e.K.      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/24/2015,7/31/2016,"4,156.00",Frankfurt am Main,Deutschland,118
Koe48 e.K.      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/24/2015,7/31/2016,"4,156.00",Frankfurt am Main,Deutschland,118
Koe48 e.K.      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/24/2015,7/31/2016,"4,156.00",Frankfurt am Main,Deutschland,118
Köller & Köller Partnerschaft mbB Steuerberatungsgesellschaft    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/17/2016,7/31/2017,"4,156.00",Kassel,Deutschland,118
Köller & Köller Partnerschaft mbB Steuerberatungsgesellschaft    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/17/2016,1/11/2018,"4,156.00",Kassel,Deutschland,118
Köller & Köller Partnerschaft mbB Steuerberatungsgesellschaft    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/16/2016,7/31/2016,"4,156.00",Kassel,Deutschland,118
Kompass Zentrum für Existenzgründungen Frankfurt am Main gGmbH  ,Impulse der Arbeitsmarktpolitik (IdeA),Modellsäule - Kompass Inklusion & Innovation II,1/1/2015,6/30/2016,"212,800.00",Frankfurt am Main,Deutschland,109
Königsberger Diakonissen-Mutterhaus der Barmherzigkeit auf Altenberg    ,Qualifizierung und Beschäftigung junger Menschen,"Qualifizierungs- und Beschäftigungsangebot für benachteiligte junge Menschen - ""Ausbildung mit Herz""",7/1/2015,12/31/2016,"274,800.00",Wetzlar,Deutschland,109
Kreisausschuss des Landkreises Fulda    ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule im Landkreis Fulda,7/1/2015,6/30/2017,"263,100.00",Fulda,Deutschland,117
Kreishandwerkerschaft Hersfeld-Rotenburg    ,Bildungsberatung und -coaching,Bildungscoach Landkreis Hersfeld-Rotenburg  ,1/1/2015,12/31/2016,"152,000.00",Bad Hersfeld,Deutschland,117
Kreishandwerkerschaft Hersfeld-Rotenburg    ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Region Hersfeld-Rotenburg,7/1/2015,6/30/2017,"136,700.00",Bad Hersfeld,Deutschland,117
Kreishandwerkerschaft Hersfeld-Rotenburg    ,Qualifizierung und Beschäftigung junger Menschen,Mitreisende 2015  ,1/1/2015,12/31/2015,"143,700.00",Bad Hersfeld,Deutschland,109
Kreishandwerkerschaft Hersfeld-Rotenburg    ,Qualifizierung und Beschäftigung junger Menschen,Mitreisende 2016  ,1/1/2016,12/31/2016,"150,200.00",Bad Hersfeld,Deutschland,109
Kreishandwerkerschaft Waldeck-Frankenberg    ,Impulse der Arbeitsmarktpolitik (IdeA),Flüchtlinge und Asylanten ins Bauhandwerk Waldeck-Frankenberg (FAB),10/1/2015,5/31/2016,"228,600.00",Korbach,Deutschland,109
Kreishandwerkerschaft Waldeck-Frankenberg    ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Region Waldeck-Frankenberg,1/1/2016,12/31/2017,"202,100.00",Korbach,Deutschland,117
Kreisvolkshochschule Groß-Gerau      ,Arbeitsmarktbudget,Netzwerk zur Deutschförderung für erwachsene Flüchtlinge im Kreis Groß-Gerau,9/15/2015,12/31/2016,"579,800.00",Groß-Gerau,Deutschland,109
KS-Assekuranzkontor e.K.      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/13/2015,7/31/2016,"4,156.00",Kassel,Deutschland,118
