Tytu³ projektu;Nazwa beneficjenta;Wartoœæ projektu;Dofinansowanie z EU;Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiêkszym ni¿ jedna jednostka administracyjna?
Wsparcie dla jednostek samorz¹du terytorialnego (JST) w latach 2015-2016;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;7640000.00;6494000.00;Nie;brak;Nie
Wsparcie Instytucji Koordynuj¹cej NSRO i Instytucji do spraw koordynacji UP w zakresie Regionalnych Programów Operacyjnych w latach 2016 -2017.;MINISTERSTWO ROZWOJU, DEPARTAMENT REGIONALNYCH PROGRAMÓW OPERACYJNYCH;7527000.00;6397950.00;Nie;brak;Nie
Finansowanie wynagrodzeñ pracowników Centrum Projektów Europejskich w 2015 roku.;CENTRUM PROJEKTÓW EUROPEJSKICH;7331000.00;6231350.00;Nie;administracja;Nie
Wsparcie Departamentu Polityki Przestrzennej w realizacji Umowy Partnerstwa w latach 2015-2016.;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;6990316.00;5941768.60;Nie;brak;Nie
Finansowanie kosztów zatrudnienia pracowników NCBR zaanga¿owanych w realizacjê programów operacyjnych w 2015 r.;NARODOWE CENTRUM BADAÑ I ROZWOJU;6000000.00;5100000.00;Nie;administracja;Nie
Wsparcie zatrudnienia pracowników OPI PIB w 2016 r. wykonuj¹cych zadania zwi¹zane z wdra¿aniem POIR oraz zamykaniem POIiŒ i POIG.;OŒRODEK PRZETWARZANIA INFORMACJI;6035098.47;4893450.00;Nie;administracja;Nie
Plan dzia³añ sektora zdrowie na lata 2014-2016;MINISTERSTWO ZDROWIA;5653000.00;4805050.00;Nie;administracja;Nie
Promocja Parków Narodowych jako marki;MINISTERSTWO ŒRODOWISKA;5600000.00;4760000.00;Nie;brak;Nie
Plan dzia³añ sektora œrodowisko na lata 2014-2016;MINISTERSTWO ŒRODOWISKA;5423412.00;4609900.20;Nie;administracja;Nie
Wsparcie systemu monitorowania polityki spójnoœci w perspektywie 2014-2020;G£ÓWNY URZ¥D STATYSTYCZNY;5350000.00;4541762.50;Nie;brak;Nie
Plan dzia³añ sektora energetyka na lata 2014-2016;MINISTERSTWO ENERGII;5070103.00;4309587.55;Nie;administracja;Nie
Finansowanie kosztów zatrudnienia pracowników Instytucji Poœrednicz¹cej Programu Operacyjnego Infrastruktura i Œrodowisko oraz Instytucji Poœrednicz¹cej Programu Operacyjnego Wiedza Edukacja Rozwój w 2015 roku.;MINISTERSTWO ZDROWIA;4980000.00;4233000.00;Nie;administracja;Nie
Wsparcie kadrowe MPiPS w 2015 r. we wdra¿aniu Programu Operacyjnego Wiedza Edukacja Rozwój;MINISTERSTWO RODZINY, PRACY I POLITYKI SPO£ECZNEJ;4594000.00;3904900.00;Nie;administracja;Nie
Plan dzia³añ IZ POIiŒ na lata 2014-2016;MINISTERSTWO ROZWOJU, DPI;4435000.00;3769750.00;Nie;administracja;Nie
Projekty pilota¿owe JST;MINISTERSTWO ROZWOJU, DEPARTAMENT REGIONALNYCH PROGRAMÓW OPERACYJNYCH;4399880.00;3739898.00;Nie;brak;Nie
Wsparcie funkcjonowania Ministerstwa Infrastruktury i Rozwoju realizujacego Umowê Partnerstwa w 2015 r.;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;4000000.00;3400000.00;Nie;brak;Nie
