Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu [z≥];Dofinansowanie z EU [z≥];Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
Modernizacja infrastruktury tramwajowej i trolejbusowej w Aglomeracji GÛrnoúlπskiej wraz z infrastrukturπ towarzyszπcπ;Tramwaje ålπskie S.A.;679265977.60;433439174.23;Nie;transport;Tak
GdaÒski Projekt Komunikacji Miejskiej - etap III A;Gmina Miasta GdaÒska;667016238.19;407926200.12;Nie;transport;Nie
Budowa Obwodnicy Augustowa;Generalna Dyrekcja DrÛg Krajowych i Autostrad;798000000.00;400000000.00;Nie;transport;Tak
Zakup tramwajÛw niskopod≥ogowych do obs≥ugi sieci komunikacji tramwajowej w Warszawie;Tramwaje Warszawskie Sp. z o.o.;596213817.77;387881222.79;Nie;transport;Nie
Program Gospodarki Odpadami Komunalnymi w Krakowie;Krakowski Holding Komunalny S.A.;824137944.43;371728052.96;Nie;ochrona úrodowiska;Nie
System gospodarki odpadami dla Miasta Poznania;Miasto PoznaÒ;894370653.52;330188978.26;Nie;ochrona úrodowiska;Nie
Zakup kolejowego taboru pasaøerskiego do obs≥ugi po≥πczeÒ dalekobieønych - Etap I;PKP Intercity S.A.;2110149133.60;317307764.20;Nie;transport;Tak
Budowa infrastruktury systemu GSM-R zgodnie z NPW ERTMS na linii kolejowej E20/C-E 20 korytarz F na odcinku Kunowice - Terespol;PKP Polskie Linie Kolejowe S.A.;409845322.05;316394067.84;Nie;transport;Tak
Modernizacja zbiornika wodnego Nysa w zakresie bezpieczeÒstwa przeciwpowodziowego - etap I;Regionalny Zarzπd Gospodarki Wodnej we Wroc≥awiu;424513983.86;314056189.49;Nie;bezpieczeÒstwo;Nie
Dostosowanie taboru TramwajÛw Warszawskich do potrzeb osÛb niepe≥niosprawnych - zakup 60 tramwajÛw niskopod≥ogowych;Tramwaje Warszawskie Sp. z o.o.;478068333.05;310837082.06;Nie;transport;Nie
Modernizacja linii kolejowej E 20/ CE 20 na odcinku Siedlce - Terespol, etap II;PKP Polskie Linie Kolejowe S.A.;508245382.36;307896797.25;Nie;transport;Tak
Polepszenie jakoúci us≥ug przewozowych poprzez poprawÍ stanu technicznego linii kolejowych nr 1, 133, 160, 186 na odcinku Zawiercie -Dπbrowa GÛrnicza Zabkowice - Jaworzno Szczakowa;PKP Polskie Linie Kolejowe S.A.;455795956.00;301239682.27;Nie;transport;Tak
"Budowa drogi dojazdowej do wÍz≥a drogowego ""Dπbrowica"" obwodnicy Miasta Lublin w ciπgu drÛg ekspresowych S12, S17, i S19 (odcinek od skrzyøowania alÖ Solidarnoúci z al.. Warszawskπ do granic miasta)";Lublin - Miasto na prawach powiatu;386238560.46;298453619.23;Nie;transport;Nie
Budowa systemu £Ûdzkiej Kolei Aglomeracyjnej;£Ûdzka Kolej Aglomeracyjna spÛ≥ka z ograniczonπ odpowiedzialnoúciπ;457770847.00;296440534.40;Nie;transport;Tak
RozwÛj infrastruktury paÒstwowego organu zarzπdzania ruchem lotniczym;Polska Agencja Øeglugi Powietrznej;576545009.62;289350491.61;Nie;transport;Nie
Polepszenie jakoúci us≥ug przewozowych poprzez poprawÍ stanu technicznego linii kolejowej nr 1 na odcinku Koluszki -CzÍstochowa;PKP Polskie Linie Kolejowe S.A.;582606270.04;286696775.07;Nie;transport;Tak
Zintegrowany transport publiczny w aglomeracji krakowskiej - II etap;Miejskie PrzedsiÍbiorstwo Komunikacyjne S.A. w Krakowie;397301615.52;281496989.06;Nie;transport;Nie
Budowa linii tramwajowej do dzielnicy Fordon z przebudowπ uk≥adu drogowego w Bydgoszczy;Tramwaj Fordon Sp. z o.o.;437308983.66;280645375.16;Nie;transport;Nie
Budowa Zak≥adu Termicznego Unieszkodliwiania OdpadÛw dla SzczeciÒskiego Obszaru Metropolitalnego;Zak≥ad Unieszkodliwiania OdpadÛw SpÛ≥ka z o.o.;711415215.00;279175702.37;Nie;ochrona úrodowiska;Tak
