fonds,start_date,end_date,eu_amount,co_financing,total,title,_source,programme,commune(s),coût_total,porteur_de_projet,objectifs_thématiques,catégorie_d'intervention
FEDER,01/03/2009 , 31/05/2012,576602, (31%),1.860.007 €,"Internationales Sport-, Kultur- und Freizeitzentrum Ralingen-Rosport",http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2014/I-iskfz-ralingen-rosport/index.html,INTERREG,Rosport,,"Syndicat intercommunal « Zweckverband Internationales Sport-, Kultur- und Freizeitzentrum Ralingen – Rosport »",Recherche et innovation,
FEDER,2009,2012,856000,,,Solare Klärschlammtrocknungsanlage - STEP Bettembourg,http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2014/sta_bettembourg/index.html,Compétitivité Régionale et Emploi (2007-2013),Bettembourg,6200000,STEP Bettembourg,Energie et réduction de CO2,
FEDER,2009,2012,2670000,,,Luxembourg Center for Systems Biomedecine (LCSB),http://www.fonds-europeens.public.lu/fr/projets-cofinances/feder/2014/biocenter_belval/index.html,Compétitivité Régionale et Emploi (2007-2013),Esch/Alzette,7620000,Etablissement public Fonds Belval,Recherche et innovation,
FSE,01/01/2014 , 31/12/2015,"249.950,00 €",,"499.900,00 €",Safe Mobility,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/IFSB_Safe-M/index.html,Compétitivité Régionale et Emploi (2007-2013),Bettembourg,,IFSB,Education et formation,
FSE,01/01/2014 , 31/12/2014,"1.592.050,00 €",,"3.184.100,00 €",COSP DE,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/COSP_DE/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,COSP,Marché de l'emploi / Education et formation,
FSE,01/01/2011 , 31/12/2014,"550.967,10 €",,"1.101.934,20 €",Consolidation de l'Observatoire de la formation,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/INFPC_Observatoire/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,INFPC,Education et formation,
FSE,01/01/2016 , 31/12/2017,191.000 €,,382.000 €,Kleederbitz,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1029/index.html,Investissement pour la croissance et l'emploi (2014-2020),Troisvierges,,CNDS Services Sàrl,Inclusion sociale et pauvreté,109
FSE,01/01/2016 , 31/12/2017,204.600 €,,409.200 €,Build up your life!,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1030/index.html,Investissement pour la croissance et l'emploi (2014-2020),Luxembourg,,Service national de la Jeunesse,Education et formation / Marché de l'emploi,103
FSE,01/01/2014 , 31/12/2014,"10.000,00 €",,"20.000,00 €",Education non formelle,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/4-motion_education/index.html,Compétitivité Régionale et Emploi (2007-2013),Esch-sur-Alzette,,4motion asbl,Education et formation,
FSE,01/01/2014 , 31/12/2015,"135.000,00 €",,"270.000,00 €",Agent d'accueil,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/IRS_Agent/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,Initiativ Rëm Schaffen,Education et formation,
FSE,01/01/2016 , 31/12/2017,120.250 €,,240.500 €,SCA (secrétaire au cabinet d’avocat),http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1001/index.html,Investissement pour la croissance et l'emploi (2014-2020),Luxembourg,,Initiativ Rem Schaffen,Education et formation / Marché de l'emploi,102
FSE,01/01/2014 , 31/12/2015,"160.850,00 €",,"321.700,00 €",Chef de chantier,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/CDEC_Chef/index.html,Compétitivité Régionale et Emploi (2007-2013),Bettembourg,,CDEC,Education et formation,
FSE,01/07/2015 , 31/12/2017,"1.356.925,00 €",,"2.713.815,00 €",Impulse 2020,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1003/index.html,Investissement pour la croissance et l'emploi (2014-2020),Luxembourg,,Fédération des Artisans,Education et formation / Marché de l'emploi,117
FSE,01/12/2016 , 31/12/2017,269.750 €,,539.500 €,Recrutement Armée,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1027/index.html,Investissement pour la croissance et l'emploi (2014-2020),Luxembourg,,Armée luxembourgeoise,Education et formation / Marché de l'emploi,103
FSE,01/01/2014 , 31/12/2014,"836.400,00 €",,"1.672.800,00 €",COSP jeunes,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/COSP_jeunes/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,COSP,Marché de l'emploi / Education et formation,
FSE,01/07/2015 , 31/12/2015,"27.150,00 €",,"54.300,00 €",Act! Jeunes,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1023/index.html,Investissement pour la croissance et l'emploi (2014-2020),Luxembourg,,Chambre des Salariés Luxembourg (CSL),Marché de l'emploi,103
