Name des Begünstigten,Bezeichnung des Vorhabens,Jahr Bewilligung ,Jahr Projektende,Gewährte Beträge,bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"AUCOOP
Handwerks- und Ausbildungskooperative Bremen eV.","Injobs-ESF MAE.U65R. AUCOOP Bremen e. V.,
""Regionales Netzwerk Mitte"", geförderte Beschäftigung ab
26.03.2012",2012,2012,"138521,67",
"AUCOOP
Handwerks- und Ausbildungskooperative Bremen eV.","MAE.U65R. AUCOOP e. V., ""Regionales Netzwerk - Netz
Mitte""; geförderte Beschäftigung ab 02/2013",2013,2014,451350,
"AUCOOP
Handwerks- und Ausbildungskooperative Bremen eV.",Ausbildungsverhältnis,2012,2013,5000,
August Fiedler,Ausbildungsverhältnis,2012,2013,,4000
August Fiedler,Ausbildungsverhältnis,2012,2013,,4000
Aus- und Fortbildungszentrum der FHB (AFZ),Ausbildungsverhältnis,2012,2013,5000,
Ausbildungspool Bremerhaven e.V.,B-Ausbildungspool (Schaffung von Ausbildungsplätzen),2008,2012,"740266,47",
Ausbildungspool Bremerhaven e.V.,Ausbildungsverhältnis,2013,2014,3000,
Ausbildungspool Bremerhaven e.V.,Ausbildungsverhältnis,2013,2014,3000,
Ausbildungspool Bremerhaven e.V.,Ausbildungsverhältnis,2013,2014,3000,
Ausbildungspool Bremerhaven e.V.,Ausbildungsverhältnis,2013,2014,3000,
Ausbildungspool Bremerhaven e.V.,Ausbildungsverhältnis,2013,2014,3000,
Ausbildungsverbund Bremerhaven gGmbH,"B-Ausbildung und Qualifizierung im Verbund - Zukunft im
Metallgewerbe; AuQuaM",2008,2010,,"328225,36"
Aussiedler-Freizeit-Treff e. V. Blockdiek,"Berufliche Motivation für Menschen mit
Migrationshintergrund",2010,2010,,4000
Aussiedler-Freizeit-Treff e. V. Blockdiek,"Unterstützung bei der Suche nach Arbeitsplätzen für
langzeitarbeitslose Erwachsene und Jugendliche",2012,2013,,4085
Aussiedler-Freizeit-Treff e. V. Blockdiek,"Selbstbewußtsein und Chansenverbesserung für
Berufseinstieg",2009,2009,,4844
Aussiedler-Freizeit-Treff e. V. Blockdiek,Suche nach Praktikumsplätzen für Fachabiturienten,2011,2012,,4000
Auto-Center Horn GmbH,Ausbildungsförderung,2013,2014,4000,
Autohaus H. Hinte GmbH,Ausbildungsverhältnis,2013,2014,4000,
Autoteilevertrieb Heise u. Klatte GmbH,Ausbildungsverhältnis,2013,2014,5000,
AWO - Kreisverband Bremen e. V.,pro KiTa II,2008,2008,,"55186,36"
AWO - Kreisverband Bremen e. V.,pro KiTa II,2008,2008,,"119045,65"
AWO - Kreisverband Bremen e. V.,Bewerbungstraining und Berufsvorbereitung für Jugendliche,2008,2009,,"3017,46"
AWO - Kreisverband Bremen e. V.,"Hausaufgabenhilfe für benachteiligte Schüler und
Auszubildende mit Migrationshintergrund.",2010,2011,,"3319,45"
AWO - Kreisverband Bremen e. V.,B-KoMPart,2008,2010,"209454,46",
AWO - Kreisverband Bremen e. V.,"HIN - ""Helfer/in in der Nachbarschaft"" Integrationshilfe
durch berufliche Qualifizierung",2009,2009,,"9063,15"
AWO - Kreisverband Bremen e. V.,"BuS - Berufsorientierung und Sprachkompetenzerweiterung
für Migranten",2008,2009,,"9748,83"
AWO Pflegedienste GmbH,B-Altenpflegeausbildung,2008,2011,"911364,4",
AWO Sozialdienste GmbH,EMMI,2008,2010,,"232496,74"
AWO Sozialdienste GmbH,HIPPY für Lehe,2010,2011,,"8057,83"
AWO Sozialdienste GmbH,MiLo AWO Bhv FAV,2013,2013,"2288,96",
AWO Sozialdienste GmbH,QUIS,2008,2010,,"1198690,04"
AWO Sozialdienste GmbH,KAJE - Kwallie aktiviert junge Erwerbslose,2008,2010,,"435982,12"
AWO Sozialdienste GmbH,LOS mobil,2008,2009,,"7602,79"
AWO Sozialdienste GmbH,"MAE. AWO Sozialdienste GmbH Bremerhaven, ""Lene"",
geförderte Beschäftigung",2011,2012,,"215892,86"
AWO Sozialdienste GmbH,MAE Emmi,2011,2012,103197,
AWO Sozialdienste GmbH,"MAE. AWO Sozialdienste GmbH Bremerhaven, ""Karo"",
geförderte Beschäftigung",2011,2012,,"176721,2"
AWO Sozialdienste GmbH,Zukunftswerkstatt,2011,2012,,"8758,81"
AWO Sozialdienste GmbH,SILA=STÄRKE,2011,2012,,"3821,99"
AWO Sozialdienste GmbH,Die Nadel rennt,2012,2013,,"7272,97"
AWO Sozialdienste GmbH,Chor ohne Grenzen,2012,2013,,"8311,4"
AWO Sozialdienste GmbH,"FOR. MAE. AWO Sozialdienste GmbH Bremerhaven,
""Gesamtprojekt PaRoLe"", geförderte Beschäftigung ab
04/2012",2012,2014,539165,
AWO Sozialdienste GmbH,HIPPY für Familien in Leherheide,2013,2013,"9945,2",
AWO Soziale Dienste gemeinnützige GmbH,"Eigenständiges, offenes Qualifizierungsangebot im
Jugendcafé Hafen Höft",2013,2014,"5278,68",
AWO Soziale Dienste gemeinnützige GmbH,Übergangslotsen,2013,2014,8831,
AWO Soziale Dienste gemeinnützige GmbH,Die Jugend mit Zukunft,2012,2013,"4079,5",
AWO Soziale Dienste gemeinnützige GmbH,"Injobs-ESF AWO U65T11, geförderte Beschäftigung",2011,2011,128982,
AWO Soziale Dienste gemeinnützige GmbH,"Hausaufgabenhilfe für Schüler und Azubis mit
Migrationshintergrund",2011,2012,"5155,92",
Bäckerei Wattenberg,Ausbildungsverhältnis,2012,2013,,3000
Bäckerei Wilfried Schnaare,Ausbildungsverhältnis,2013,2014,3000,
Bahri Günay,Integration und Alphabetisierungstraining,2013,2013,7000,
Bahri Günay,Alphabetisierungstraining für Eltern,2012,2012,,7000
Barbara Giehler,Medienkompetenz sinnvoll und effektiv nutzen,2008,2009,,"6622,84"
Behrens Baugeschäft GmbH,Ausbildungsverhältnis,2012,2013,,5000
