Name des Begünstigten,Ort,Bezeichnung des Vorhabens,Beginn des Vorhabens,Ende des Vorhabens,Gewährte öffentliche Beträge in EUR
Kreisausschuss des Odenwaldkreises,Erbach,Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"126.385,00"
Kreisausschuss des Odenwaldkreises,Erbach,Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"137.724,00"
Kreisausschuss des Odenwaldkreises,Erbach,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"115.539,00"
Kreisausschuss des Odenwaldkreises,Erbach,Studien und Modelle in der Bildung,01.08.2012 , 31.10.2013,"78.400,00"
Kreisausschuss des Odenwaldkreises,Erbach,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"160.409,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"176.082,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"183.137,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"201.520,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"165.344,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Verbesserung des Ausbildungsumfeldes,01.11.2012 , 31.12.2014,"533.300,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"185.134,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"174.857,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Ausbildung in Partnerschaften,05.05.2008 , 31.08.2011,"31.646,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"370.042,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Quit - Qualifizierungsbeauftragte,01.01.2010 , 30.06.2010,"20.841,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"289.591,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Ausbildung in Partnerschaften,18.05.2009 , 28.02.2013,"26.110,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"201.520,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"165.344,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Verbesserung des Ausbildungsumfeldes,01.11.2012 , 31.12.2014,"533.300,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"185.134,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"174.857,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Ausbildung in Partnerschaften,05.05.2008 , 31.08.2011,"31.646,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"370.042,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Quit - Qualifizierungsbeauftragte,01.01.2010 , 30.06.2010,"20.841,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"289.591,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Ausbildung in Partnerschaften,18.05.2009 , 28.02.2013,"26.110,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Quit - Qualifizierungsbeauftragte,01.07.2010 , 31.12.2012,"159.700,00"
