Name des Begünstigten/beneficiary name,Bezeichnung des Vorhabens/operation name,Zusammenfassung des Vorhabens/operation summary,Datum des Beginns des Vorhabens/operation start date,Datum des Endes des Vorhabens/operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/total eligible expenditure allocated to the operation,Postleitzahl des Vorhabens/operation postcode,Land/country,Bezeichnung der Interventionskategorie für das Vorhaben/name of category of intervention for the operation,Spezifisches Ziel/specific objective,Internet-Adresse des Vorhabens/website of the operation
AgilEvent GmbH  ,Bildungslotse 2016,"Ortenauer Bildungslotse 2016
     Mit dem OB sollen ausbildungsferne, marginalisierte Menschen, die von regelhaften Angeboten am Übergang zum Arbeitsleben nicht oder nicht mehr ausreichend erreicht werden durch eine aufsuchende Hilfe begleitet werden.",01.01.2016,31.12.2016,"231.669,45",77736,Deutschland,115,C 1.1,www.agilevent.de
Agrartransporte Lauber  ,Coaching,Förderprogramm Coaching 2015,19.03.2015,19.03.2016,"12.000,00",88263,Deutschland,106,A 5.1,www.natur-reich.com
Air for all GmbH & Co. KG  ,Coaching,Förderprogramm Coaching 2015,24.04.2015,30.09.2016,"12.000,00",70839,Deutschland,106,A 5.1,www.airforall.de
Akademie der Ingenieure AkadIng GmbH ,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"754.418,00",73760,Deutschland,106,A 5.1,www.akademie-der-ingenieure.de
Akademie der Ingenieure AkadIng GmbH ,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,12.12.2015,"223.481,26",73760,Deutschland,106,A 5.1,www.akademie-der-ingenieure.de
Akon Werkzeuge GmbH & Co.KG ,Coaching,Förderprogramm Coaching 2016,14.01.2016,13.01.2017,"9.000,00",71069,Deutschland,106,A 5.1,www.akon-werkzeuge.de
Aktion Jugendberufshilfe im Ostalbkreis e.V. ,Esperanza,Esperanza - ein ganzheitliches Integrationsprojekt für alleinerziehende Frauen mit und ohne Migrationshintergrund.,01.01.2016,31.12.2016,"107.955,44",73430,Deutschland,109,B 1.1,www.ajoev.de
Aktion Jugendberufshilfe im Ostalbkreis e.V. ,Esperanza,Esperanza - ein ganzheitliches Integrationsprojekt für alleinerziehende Frauen mit einem oder mehreren Kindern,01.01.2015,31.12.2015,"106.502,12",73430,Deutschland,109,B 1.1,www.ajo-ev.de
Aktion Jugendberufshilfe im Ostalbkreis e.V. ,TAFF 2.0,TAFF 2.0 - Teilzeitausbildung für alleinerziehende Frauen,01.01.2015,31.12.2017,"1.030.881,48",73430,Deutschland,103,A 2.1,www.ajo-ev.de
Albert Haussmann GmbH  ,Coaching,Förderprogramm Coaching 2015,10.09.2015,09.09.2016,"8.000,00",72622,Deutschland,106,A 5.1,www.albert-haussmann.de
Albert-Ludwigs-Universität Freiburg ,Weiter in Südbaden,Auf- und Ausbau von Strukturen der wissenschaftlichen Weiterbildung an Hochschulen in Baden-Württemberg (Weiter in Südbaden),01.01.2016,31.12.2020,"1.099.855,00",79098,Deutschland,118,C 4.2,www.weiterbildung.uni-freiburg.de
Alexander Schlotter  ,Coaching,Förderprogramm Coaching 2015,07.07.2015,07.07.2016,"4.800,00",71140,Deutschland,106,A 5.1,www.bwhm-beratung.de
Alexandra Ticar  ,Coaching,Förderprogramm Coaching 2015,01.12.2015,30.03.2016,"12.000,00",72800,Deutschland,106,A 5.1,www.sansavon.com
Alfons Blaser e.K. Inh. Andreas Kiechle ,Coaching,Förderprogramm Coaching 2015,01.09.2015,01.08.2016,"12.000,00",88239,Deutschland,106,A 5.1,www.stadtmetzgerei-blaser.de
Alfred Kiess GmbH  ,Coaching,Förderprogramm Coaching 2015,21.04.2015,20.04.2016,"12.000,00",70567,Deutschland,106,A 5.1,www.alfred-kiess.de
Alpensped GmbH Internationale Logistik ,Coaching,Förderprogramm Coaching 2015,11.05.2015,31.12.2015,"12.000,00",68199,Deutschland,106,A 5.1,www.alpensped.de
Am Tiergarten Hotel u. Cafe ,Coaching,Förderprogramm Coaching 2016,01.05.2016,01.05.2017,"9.000,00",76137,Deutschland,106,A 5.1,www.hotelamtiergarten.de
