SAM / pasākuma nr.,Projekta nosaukums,Finansējuma saņēmējs,Kopējais finansējums,ES finansējums,Projekta īstenošanas vieta
6.1.5.,"Valsts galvenā autoceļa A3 Inčukalns - Valmiera - Igaunijas robeža (Valka), km 60,20 – 79,45 segas pārbūve",LR Satiksmes ministrija,"21096100,00","17931685,00","Kocēnu pag., Kocēnu nov. Kocēnu pag., Kocēnu nov. Valmiera Valmiera Kocēnu pag., Kocēnu nov. Valmieras pag., Burtnieku nov. Kocēnu pag., Kocēnu nov. Kocēnu pag., Kocēnu nov. Kocēnu pag., Kocēnu nov. Valmieras pag., Burtnieku nov. Valmieras pag., Burtnieku nov."
6.1.5.,"Valsts galvenā autoceļa A10 Rīga - Ventspils, km 20,06 – 23,84 un 36,49 – 38,57 segas pārbūve",LR Satiksmes ministrija,"11623212,00","9879730,00","Jūrmala Salas pag., Babītes nov. Jūrmala Jūrmala Salas pag., Babītes nov."
6.1.5.,"Valsts galvenā autoceļa A10 Rīga - Ventspils, km 57,76 – 68,60 segas pārbūve (rotācijas aplis)",LR Satiksmes ministrija,"11034000,00","9378900,00","Slampes pag., Tukuma nov. Smārdes pag., Engures nov. Slampes pag., Tukuma nov. Smārdes pag., Engures nov. Tumes pag., Tukuma nov. Tumes pag., Tukuma nov. Slampes pag., Tukuma nov. Slampes pag., Tukuma nov. Smārdes pag., Engures nov. Smārdes pag., Engures nov. Smārdes pag., Engures nov. Smārdes pag., Engures nov."
6.1.5.,"Valsts galvenā autoceļa A12 Jēkabpils – Rēzekne – Ludza – Krievijas robeža (Terehova), km 114,34 – 125,14 segas pārbūve",LR Satiksmes ministrija,"12500000,00","10625000,00","Cirmas pag., Ludzas nov. Ludza, Ludzas nov. Ludza, Ludzas nov. Cirmas pag., Ludzas nov. Cirmas pag., Ludzas nov. Cirmas pag., Ludzas nov. Ludza, Ludzas nov."
6.1.5.,"Valsts galvenā autoceļa A13 Krievijas robeža (Grebņeva) - Rēzekne - Daugavpils - Lietuvas robeža (Medumi), km 144,70 - 156,40 segas pārbūve",LR Satiksmes ministrija,"16095312,00","13681015,00","Kalkūnes pag., Daugavpils nov. Medumu pag., Daugavpils nov. Kalkūnes pag., Daugavpils nov. Kalkūnes pag., Daugavpils nov. Kalkūnes pag., Daugavpils nov."
6.3.1.,"Valsts reģionālā autoceļa P73 Vecumnieki – Nereta – Subate posma Valles pagasta robeža - tilts pār Iecavu (km 7,30 – 20,89) pārbūve",LR Satiksmes ministrija,"13572950,22","11537007,00","Vecumnieku pag., Vecumnieku nov. Valles pag., Vecumnieku nov. Kurmenes pag., Vecumnieku nov. Kurmenes pag., Vecumnieku nov. Valles pag., Vecumnieku nov. Valles pag., Vecumnieku nov."
6.3.1.,"Valsts reģionālā autoceļa P85 Rīgas HES - Jaunjelgava posma krustojums ar P88 - Enkurnieki (km 40,20 – 48,80) pārbūve (tilts)",LR Satiksmes ministrija,"10065272,93","8555481,00","Birzgales pag., Ķeguma nov. Birzgales pag., Ķeguma nov. Birzgales pag., Ķeguma nov."
6.3.1.,"Valsts reģionālā autoceļa P62 Krāslava - Preiļi - Madona posma Atašiene - Ļūmāni (km 104,20 – 113,40) pārbūve (tilts)",LR Satiksmes ministrija,"4607121,82","3916053,00","Atašienes pag., Krustpils nov. Mētrienas pag., Madonas nov."
6.3.1.,"Valsts reģionālā autoceļa P104 Tukums – Auce – Lietuvas robeža (Vītiņi) posmu km 55,70 – 60,80 un km 63,39 – 65,22 pārbūve",LR Satiksmes ministrija,"6659444,80","5660528,00","Lielauces pag., Auces nov. Vecauces pag., Auces nov. Vītiņu pag., Auces nov."
6.3.1.,"Valsts reģionālā autoceļa P32 Augšlīgatne – Skrīveri posma Augšlīgatne - Nītaure km 0,006 – 13,96 pārbūve (tilts)",LR Satiksmes ministrija,"13363190,66","11358712,00","Līgatnes pag., Līgatnes nov. Nītaures pag., Amatas nov. Līgatnes pag., Līgatnes nov. Mores pag., Siguldas nov. Mores pag., Siguldas nov. Mores pag., Siguldas nov."
