"Name des Begünstigten / beneficiary name","Bezeichnung des Vorhabens / operation name","Zusammenfassung des Vorhabens / operation summary","Datum des Beginns des Vorhabens / operation start date","Datum des Endes des Vorhabens / operation end date","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens / total eligible expenditure allocated to the operation","Unions-Kofinanzierungssatz pro Prioritätsachse / Union co-financing rate, as per priority axis","Postleitzahl des Vorhabens / operation postcode","Land / country","Interventionsbereich / intervention field","Finanzierungsform / form of finance","Art des Gebiets / territorial dimension","Territoriale Umsetzungsmechanismen / territorial delivery mechanism","Thematisches Ziel / thematic objective dimension"
Berg & Tal GmbH & Co. KG,Neuansiedlung,"Neuansiedlung, Berg & Tal GmbH & Co. KG IN Pfronten",06.02.2015,30.06.2016,2800000,25%*,87459,Pfronten,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,"02 - Kleinstädtische Gebiete (mittlere Bevölkerungsdichte, Bevölkerung > 5 000)",07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Berufliche Fortbildungszentren der Bayerischen Wirtschaft (bfz) gemeinnützige GmbH,Neubau und Ausstattung eines Schulungsgebäudes des Beruflichen Fortbildungszentrums gGmbH am Standort Marktredwitz,Neubau und Ausstattung eines Schulungsgebäudes des Beruflichen Fortbildungszentrums gGmbH am Standort Marktredwitz,01.08.2015,30.06.2017,3029400,25%*,95615,Marktredwitz,"066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,"02 - Kleinstädtische Gebiete (mittlere Bevölkerungsdichte, Bevölkerung > 5 000)",07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
BIHK Service GmbH,"""Export Bavaria 3.0"" - Außenwirtschaftsportal (Verwaltung)","Ausbau und Weiterentwicklung eines webbasierten, auf das Tagesgeschäft von KMU ausgerichteten bay. Außwirtschaftsportals unter Einbeziehung der außenwirtschaftlich aktiven bay. Verbände und Institutionen, das den KMU-spezifischen Außenwirtschaftsinformationsbedarf komplett und aktuell abbildet.",01.01.2015,31.12.2020,626800,25%*,90402,Nürnberg,"066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
BIHK Service GmbH,"""Export Bavaria 3.0"" - Go International (Verwaltung)","Verwaltung und Abwicklung des parallel beantragten Förderprojektes ""Go International"" zur Unterstützung von bay. KMUs bei der Erschließung neuer Zielmärkte.",01.01.2015,31.12.2020,508800,25%*,90402,Nürnberg,"066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Bio Strohhalme GmbH,Markterschließung Italien,"Export von Natur-Strohhalme, Papier-Trinkhalme und nachhaltige PLA Halme.",12.05.2015,11.05.2016,55000,25%*,83064,Raubling,"066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Byodo Naturkost GmbH,Erweiterung,"Erweiterung, Byodo Naturkost GmbH IN Mühldorf a Inn",01.06.2015,31.12.2016,6042000,25%*,84453,Mühldorf a Inn,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,"02 - Kleinstädtische Gebiete (mittlere Bevölkerungsdichte, Bevölkerung > 5 000)",07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
CERA GmbH,Anbau Produktionsgebäude,Anbau eines Produktionsebäudes sowie der Kauf von Maschinen und Einrichtung zur Betriebserweiterung der Fa. CERA GmbH IN Ruderatshofen,15.06.2015,30.09.2016,2711000,25%*,87674,Ruderatshofen,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Christian Geiger e. K.,Erweiterung,"Erweiterung, Christian Geiger e.K. IN Drachselsried",11.08.2015,01.12.2016,1148000,25%*,94256,Drachselsried,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Daffner & Nielsen GbR / Betriebs GmbH,Modernisierung,"Modernisierung, Daffner & Nielsen GbR / Betriebs GmbH IN Viechtach",25.08.2014,31.12.2016,725000,25%*,94234,Viechtach,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
die printzen GmbH und Nemmer Neudecker Grundstücks GbR,Neuansiedlung,"Neuansiedlung, die printzen GmbH und Nemmer Neudecker Grundstücks GbR IN Amberg , Oberpf",01.06.2015,30.09.2016,5582000,25%*,92289,Ursensollen,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
