Name der Begünstigten,Vorhaben,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge (insgesamt),Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Landkreis St. Wendel,Holzhackschnitzel-Heizanlage,2014,,"126.289,37 €","126.289,37 €"
Landkreis St. Wendel,Fenstererneuerung Außenwanddämmung Dachdämmung,2014,,"122.318,53 €","120.357,08 €"
Landkreis St. Wendel,Dachdämmung,2014,,"30.331,71 €","30.331,71 €"
Landkreis St. Wendel,Holzhackschnitzelheizung,2014,,"82.818,20 €","92.818,20 €"
"Linnebacher Bau GmbH, Neunkirchen",Beschäftigung einer Innovationsassistentin,2008,,"15.024,00 €","15.024,00 €"
Logic4Business,Entwicklungsprojekt logische Analyse von Produktdaten,2013,,"237.318,52 €",
"Lorscheider GmbH, St. Ingbert",Einführung eines Umwelt- Managementsystems,2009,,"2.050,50 €","2.033,15 €"
"Lorscheider GmbH, St. Ingbert",Revalidierung des Umwelt- Managementsystems,2012,,"2.073,25 €","2.041,79 €"
"L & P Innovation GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2011,,"16.800,00 €","16.800,00 €"
"LuWotec Projekt, Neunkirchen",Einführung eines Umwelt- Managementsystems,2009,,"5.369,00 €","5.369,00 €"
"manus GmbH, Saarbrücken",Entwicklung einer neuen Softwarearchitektur mit der Bezeichnung manusDynamic,2012,,"174.383,00 €",
"Maschinenbau Schedler, Lebach",Erweiterung der Betriebsstätte in 66828 Lebach,2012,2013,"24.607,00 €",
Klaus Nathieu GmbH,Vorbereitende Maßnahme,2014,,"4.095,00 €",
"Max-Planck- Gesellschaft zur Förde- rung der Wissenschaf- ten e. V., München",Neubau des Max-Planck-Instituts für Soft- waresysteme in Saarbrücken,2009,,"19.944.000,00 €",
"MEA Gesellschaft für Produktionstechnik und Logistik GmbH, Kirkel",Erweiterung der Betriebsstätte in 66459 Kirkel,2010,2011,"100.695,00 €",
"Mecadi GmbH, Homburg",Beschäftigung einer Forschungsmitarbeiterin,2008,,"18.600,00 €","18.600,00 €"
"Mecadi GmbH, Homburg",Beschäftigung eines Forschungsmitarbeiters,2013,,"15.000,00 €","15.000,00 €"
"Mecadi GmbH, Homburg","Beschäftigung des Forschungsmitarbeiters Francesco Arena, Dipl. Chem.",2014,,"19.200,00 €",
"Medicoplast Internatio- nal GmbH, Ilingen",Beschäftigung eines Forschungsmitarbeiters,2012,,"19.200,00 €","19.200,00 €"
"MedienNetzwerk Saar- LorLux e.V., Saarbrücken",Onlinerland Saar 3.0,2008,2010,"622.000,00 €","552.550,47 €"
"MedienNetzwerk Saar- LorLux e.V., Saarbrücken",Onlinerland Saar 4.0,2011,2014,"1.117.443,61 €",
"MEDTRON AG, Saarbrücken",Entwicklung eines einfach anzuwendenden Lufterkennungssystems zur Verhinderung von Luftembolien in automatisierten kon- trastmittelgestützten Diagnoseverfahren – Kurzbezeichnung Air-Safe,2011,,"156.314,00 €",
"META LEVEL Software AG, Saarbrücken",Entwicklung eines generativen Multiprojekt- managementwerkzeuges mit vollständiger Integration in das Dokumenten- und Wis- sensmanagementsystem META-DOK,2011,,"66.593,00 €",
"META LEVEL Software AG, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2013,,"19.200,00 €","19.200,00 €"
"MHA ZENTGRAF GmbH & Co. KG, Merzig",Beschäftigung eines Forschungsmitarbeiters,2012,,"19.200,00 €","19.200,00 €"
"MHA ZENTGRAF GmbH & Co. KG, Merzig",Energieoptimiertes Schalten von Fluiden (in Kooperation mit ZeMA - Zentrum für Mechat- ronik und Automatisierungstechnik gemein- nützige GmbH),2012,,"150.147,00 €",
"MHA ZENTGRAF GmbH & Co. KG, Merzig",Skalierbares automatisiertes Fertigungskon- zept zur weltweiten wirtschaftlichen Fertigung von Komponenten,2012,,"124.449,00 €",
"MHA ZENTGRAF GmbH & Co. KG, Merzig",Beschäftigung eines Forschungsmitarbeiters,2013,,"18.000,00 €","17.730,24 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken",Neugestaltung der Printmedien der Saarland Offensive für Gründer (SOG) und Relaunch des Internetangebotes www.sog.saarland.de,2008,,"147.742,56 €","144.172,39 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken",Anpassung der Gründercard (SOG-Intranet) im Relaunch des Internetangebotes www.sog.saarland.de,2008,,"16.065,00 €","16.065,00 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken","Bewerbung, Organisation und Betreuung der Kick-Off-Veranstaltung am 25.08.2008",2008,,"26.536,42 €","26.536,42 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken",Einrichtung eines SOG-Büros,2009,,"215.534,00 €","215.533,92 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken",Miete der Halle 1 im Anwesen des Saarbrü- cker Messegeländes zwecks Durchführung einer Existenzgründermesse,2009,,"31.984,10 €","31.984,10 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken","Bewerbung, Organisation und Betreuung des SOG Beratershops am 04.02.2009",2009,,"6.259,40 €","6.017,12 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken","Organisation, Bewerbung und Durchführung der Veranstaltung Gründermesse SOG 09 am 25.04.2009 auf dem Messegelände Saarbrücken",2009,,"219.523,86 €","205.009,33 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken","Bewerbung, Organisation und Betreuung der SOG-Beratershops am 13.05., 02.09. und 04.11.2009",2009,,"11.374,02 €","11.374,02 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken",Aktualisierung der Printmedien,2010,,"26.427,52 €","26.427,52 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken",Miete der Halle 1 auf dem Anwesen des Saarbrücker Messegeländes zwecks Durch- führung der SOG-Gründermesse,2010,,"31.229,22 €","31.229,22 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken","Organisation, Bewerbung und Durchführung der SOG-Gründermesse am 25.09.2010 auf dem Messegelände in Saarbrücken",2010,,"187.793,07 €","187.793,07 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken",Durchführung einer 2-jährigen Motivations- kampagne für die Themen Gründung und Unternehmergeist,2010,,"229.146,40 €","228.892,12 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken","Bewerbung, Organisation und Betreuung der SOG-Beratershops 2011 am 15.03., 13.04., 17.05., 16.06., 23.08., 27.09., 26.10. und 06.12.2011",2011,,"29.784,87 €","18.764,61 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken",Organisation und Durchführung der Grün- dermesse 2012 „Du CHEFst das“,2011,2012,"166.482,25 €","144.189,33 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken",Miete einer Halle auf dem Saarbrücker Mes- segelände zwecks Durchführung der SOG- Gründermesse 2012,2012,,"33.628,28 €","32.973,78 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken","Bewerbung, Organisation und Betreuung der SOG-Beratershops 2012 am 18.04., 05.06., 05.09. und 14.11.2012",2012,,"12.340,30 €","12.257,00 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken","Bewerbung, Organisation und Betreuung des 4. Saarländischen Gründerinnentags am 16.11.2012",2012,,"18.730,12 €","18.730,12 €"
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken",Demografie Netzwerk Saar,2013,,"106.839,11 €",
"Ministerium für Wirt- schaft und Wissen- schaft, Saarbrücken",Weiterbildungsberatung für KMU im Saarland,2013,,"42.978,65 €",
"Ministerium für Wirt- schaft, Arbeit, Energie und Verkehr, Saarbrü- cken",Beratershop 2013,2013,,"9.781,80 €","7.665,03 €"
"Ministerium für Wirt- schaft, Arbeit, Energie und Verkehr, Saarbrü- cken",Gründermesse 2013,2013,,"204.927,79 €","191.964,78 €"
"Ministerium für Wirt- schaft, Arbeit, Energie und Verkehr, Saarbrü- cken",Durchführung Motivationskampagne 2013- 2015,2013,,"271.051,75 €",
"Ministerium für Wirt- schaft, Arbeit, Energie",Vertrag Saarmesse,2013,,"24.334,70 €","24.334,70 €"
"Ministerium für Wirt- schaft, Arbeit, Energie und Verkehr, Saarbrü- cken",Beratershops 2014,2014,,"18.831,75 €","18.831,75 €"
"Ministerium für Wirt- schaft, Arbeit, Energie und Verkehr, Saarbrü- cken",5. saarländischer Gründerinnentag,2014,,"23.186,36 €","20.196,01 €"
"Mittelstadt Völklingen, Völklingen",Wärmedämmmaßnahmen an der Grund- schule Schlosspark Geislautern,2010,,"158.590,79 €","158.590,79 €"
"Mittelstadt Völklingen, Völklingen",Wärmedämmmaßnahmen an der Waldschu- le in Fürstenhausen,2010,,"61.270,29 €","61.270,29 €"
"Mittelstadt Völklingen, Völklingen",Wärmedämmmaßnahmen an der Grund- schule Ludweiler „Dependance Lauterbach“,2010,,"146.572,21 €","111.080,37 €"
"Mittelstadt Völklingen, Völklingen",Wärmedämmmaßnahme am Dach  der Grundschule Ludweiler - Dependance Lau- terbach,2011,,"139.703,10 €","127.949,93 €"
"Mittelstadt Völklingen, Völklingen",Wärmedämmmaßnahmen am alten Rathaus in Völklingen,2011,,"30.921,53 €","29.559,25 €"
"Mittelstadt Völklingen, Völklingen",Wärmedämmung am Dach der Hermann- Neuberger Sporthalle Völklingen,2013,,"619.450,95 €","464.986,56 €"
"Mittelstadt Völklingen, Völklingen",Fenstererneuerung und Außenwanddäm- mung Warndtstadion Ludweiler:,2013,,"38.719,41 €","26.779,04 €"
"Mittelstadt Völklingen, Völklingen",Energetische Fenster- und Dachsanierung Jugendzentrum Hofstattstr,2013,,"71.725,74 €","63.941,14 €"
"Mittelstadt Völklingen, Völklingen",Dachdämmung und Außenwanddämmung Leichenhalle Ludweiler:,2013,,"62.935,91 €","37.203,20 €"
"Mittelstadt Völklingen, Völklingen",Energetische Sanierung der Turnhalle in Völklingen-Wehrden,2013,,"99.011,37 €","89.547,80 €"
"Mittelstadt Völklingen, Völklingen",Energetische Sanierung der Lauterbachhalle,2013,,"527.514,31 €","518.218,40 €"
"Mittelstadt Völklingen, Völklingen",Dachdämmung,2014,,"74.337,42 €",
"Mittelstadt Völklingen, Völklingen",Wärmdämmung,2014,,"104.497,75 €",
"MJR PharmJet GmbH, Saarlouis",Entwicklung eines nanopartikulären Wirk- stoff-Transportsystems zur gezielten Be- handlung von Gehirntumoren,2010,,"181.237,00 €","135.966,25 €"
"MJR PharmJet GmbH, Saarlouis",Errichtung der Betriebsstätte in 66424 Hom- burg,2011,2014,"38.783,00 €","38.783,00 €"
"MJR PharmJet GmbH, Saarlouis",Beschäftigung eines Forschungsmitarbeiters,2013,,"18.600,00 €",
"Modellbau Junker GmbH, Illingen","Diversifizierung der Produktion einer Be- triebsstätte in neue, zusätzliche Produkte",2009,2010,"125.000,00 €","125.000,00 €"
Motama GmbH,Entwicklungsprojekt personalisierte Werbung für Internet-TV,2013,,"84.117,00 €",
"MTG GmbH, Sulzbach",Weiterentwicklung eines OP-Gelenkarms,2010,,"34.990,00 €","34.990,00 €"
"NANOGATE Advanced Materials GmbH, Göttelborn",Entwicklung der Dotfarm-Optics-Technologie für großflächige Anwendungen,2009,,"200.000,00 €","200.000,00 €"
"NetComSolutions GmbH, Sulzbach",Einführung eines Umwelt- Managementsystems,2009,,"4.095,00 €","4.020,38 €"
"O.E.M. GmbH, Saarbrücken","„CROMEX – CrossMedia E-Examination“ (in Kooperation mit der Deutschen Forschungs- zentrum für Künstliche Intelligenz GmbH (DFKI), Centre for e-Learning Technology der DFKI GmbH)",2011,,"240.450,00 €","169.231,39 €"
"PharmBioTec GmbH, Saarbrücken",Anschub- und Startprojekt Pharm- bioTec,2010,,"4.027.910,00 €",
"PHAST GmbH, Homburg",Beschäftigung von zwei Forschungsmitarbei- tern,2009,,"32.400,00 €","32.400,00 €"
"PMT Präzision-Medizin- Technik GmbH, 66709 Weiskirchen",Erweiterung der Betriebsstätte,2013,,"63.600,00 €",
Profitech GmbH,Entwicklung eines Multisensor-Linienlasers,2013,,"126.755,00 €",
"Prochem GmbH, Oberthal",Einführung eines Umwelt- Managementsystems,2009,,"5.187,00 €","3.856,12 €"
"Projektgesellschaft Thermalbad Rilchingen mbH, Kleinblittersdorf",Neubau Thermalbad in Rilchingen-Hanweiler,2010,,"2.600.000,00 €",
"Projektgesellschaft Thermalbad Rilchingen mbH, Kleinblittersdorf",Touristische Erschließung an der Saarland Therme in Rilchingen-Hanweiler,2011,2013,"9.095.168,00 €",
"Projektgesellschaft Thermalbad Rilchingen mbH, Kleinblittersdorf",Errichtung von Wohnmobilstellplätzen am Thermalbad Rilchingen,2014,2015,"1.147.223,58 €",
"Prot. Kirchengemeinde, Homburg-Erbach",Energetische Dachsanierung am Martin- Luther-Haus,2013,,"39.120,37 €",
"Prot. Kirchengemeinde, St. Ingbert-Hassel",Dachdämmung,2014,,"23.207,84 €","23.207,84 €"
"Prot. Kirchengemeinde, Bruchhof-Sanddorf- Hassel",Energetische Sanierung,2014,,"30.313,13 €",
Rahbarsoft Websystems e.K.,"Beschäftigung der Forschungsmitarbeiterin Susanne Smilek, Bachelor of Arts",2014,,"17.100,00 €",
"Raimund Lesch KG, Illingen",Einführung eines Umwelt- Managementsystems,2009,,"6.911,45 €","6.911,45 €"
"RBE Ralf Brill Engineer- ing GmbH, Sulzbach",Beschäftigung eines Forschungsmitarbeiters,2011,,"14.800,00 €",
"Regionalverband Saar- brücken, Saarbrücken",Erneuerung der Treppenhausverglasung an der Gesamtschule in Riegelsberg,2010,,"7.830,31 €","7.830,31 €"
"Regionalverband Saar- brücken, Saarbrücken",Flachdachsanierung über dem Duschtrakt zwischen der alten und neuen Sporthalle am Otto-Hahn-Gymnasium,2010,,"7.517,41 €","7.515,41 €"
"Regionalverband Saar- brücken, Saarbrücken","Sanierung des Steil- und Flachdaches an der ERS Gersweiler, 2. BA",2010,,"28.028,71 €","24.744,93 €"
"Regionalverband Saar- brücken, Saarbrücken","Deutsch-Französisches Gymnasium, Erneu- erung der Fenster BT D, Westfassade",2010,,"71.316,00 €","71.316,00 €"
"Regionalverband Saar- brücken, Saarbrücken","Ludwigsgymnasium, Erneuerung der Fenster im Turmzimmer",2010,,"13.867,00 €","13.867,00 €"
"Regionalverband Saar- brücken, Saarbrücken","Wirtschaftsschulen Saarbrücken, Fassaden- sanierung des Treppenhauses",2010,,"30.507,40 €","19.652,91 €"
"Regionalverband Saar- brücken, Saarbrücken","TGBBZ II, Paul-Schmook-Schule, Erneue- rung der Fenster im Altbau",2010,,"15.848,00 €","15.848,00 €"
"Regionalverband Saar- brücken, Saarbrücken","Theodor-Heuss-Gymnasium Sulzbach, Erneuerung der Fenster der Turnhalle",2010,,"27.734,00 €","21.481,81 €"
"Regionalverband Saar- brücken, Saarbrücken","ERS Völklingen I, Fassadensanierung 4. BA, Fenstererneuerung und Wärmedämmver- bundsystem",2010,,"48.732,60 €","47.744,48 €"
"Regionalverband Saar- brücken, Saarbrücken","ERS Klarenthal, Flachdachsanierung",2010,,"27.337,80 €","22.337,80 €"
"Regionalverband Saar- brücken, Saarbrücken","ERS Heusweiler, Fenstererneuerung im Ostflügel und im Nebengebäude (WC-Trakt)",2010,,"105.785,40 €","104.546,00 €"
"Regionalverband Saar- brücken, Saarbrücken",Lernwerkstatt für Erzieher/-innen am SBBZ Saarbrücken,2010,,"57.490,11 €","43.730,28 €"
"Regionalverband Saar- brücken, Saarbrücken",Kompetenzzentrum für Nahrungstechnik und das Hotel- und Gaststättengewerbe am TGBBZ II Saarbrücken,2010,,"523.858,23 €","290.941,93 €"
"Regionalverband Saar- brücken, Saarbrücken",Aufbau eines Werkstofflabors am TGSBBZ Völklingen,2011,,"64.500,00 €","64.500,00 €"
"Regionalverband Saar- brücken, Saarbrücken",Kompetenzzentrum für Rechnungslegung an den Günter-Wöhe-Schulen für Wirtschaft in Saarbrücken,2011,,"131.290,92 €","98.854,42 €"
"Regionalverband Saar- brücken, Saarbrücken",Flachdachsanierung an der Gesamtschule in Ludweiler / Warndthalle,2011,,"89.145,00 €","59.398,63 €"
"Regionalverband Saar- brücken, Saarbrücken",Cloud Computing-KBBZ Halberg,2012,,"198.324,36 €","173.226,48 €"
"Regionalverband Saar- brücken, Saarbrücken",CA*-Kompetenzzentrum für Holztechnik- TGBBZ I Saarbrücken,2012,,"95.901,69 €","69.762,62 €"
"Regionalverband Saar- brücken, Saarbrücken",Fenstererneuerung im Eingangsbereich der Erweiterten Realschule Bruchwiese,2013,,"31.763,03 €","19.891,70 €"
"Regionalverband Saar- brücken, Saarbrücken",Flachdachsanierung am Deutsch- Französisches Gymnasium,2013,,"79.198,79 €","67.576,06 €"
"Regionalverband Saar- brücken, Saarbrücken","Fenstererneuerung und Außenwanddäm- mung am SBBZ Saarbrücken, Bauteil B",2013,,"72.102,45 €","42.147,84 €"
"Regionalverband Saar- brücken, Saarbrücken",Flachdachsanierung an den Wirtschaftsschu- len Saarbrücken,2013,,"53.476,56 €","53.355,74 €"
"Regionalverband Saar- brücken, Saarbrücken","Kompetenzzentrum für Elektrotechnik, Me- chatronik und Mikrosystemtechnik – TGBBZ Saarbrücken",2013,,"367.322,40 €","367.322,40 €"
"Regionalverband Saar- brücken, Saarbrücken",Fenstererneuerung Dachdämmung,2014,,"147.605,62 €","139.688,93 €"
"Regionalverband Saar- brücken, Saarbrücken",Fenster- und Türenerneuerung,2014,,"56.962,41 €","46.256,70 €"
"Regionalverband Saar- brücken, Saarbrücken",Energetische Sanierung,2015,,"67.354,00 €",
"Regionalverband Saar- brücken, Saarbrücken",Fenstererneuerung,2015,,"68.146,40 €",
"Regionalverband Saar- brücken, Saarbrücken",Energetische Sanierung,2015,,"112.891,25 €",
"retailsolutions GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2009,,"15.000,00 €","15.000,00"
"retailsolutions GmbH, Saarbrücken",Beschäftigung einer Forschungsmitarbeiterin,2011,,"15.000,00 €","15.000,00 €"
"retailsolutions GmbH, Saarbrücken",Entwicklung einer „Integrated Data Quality Workbench“,2012,,"131.274,00 €",
"retailsolutions GmbH, Saarbrücken",Entwicklungsprojekt ALM Cockpit,2014,,"53.274,00 €",
"RIL-CHEMIE Marc Breit, Kleinblittersdorf",Beschäftigung eines Forschungsmitarbeiters,2011,,"6.900,00 €","6.900,00 €"
"RIL-CHEMIE Marc Breit, Kleinblittersdorf",Beschäftigung eines Forschungsmitarbeiters,2011,,"15.600,00 €","15.600,00 €"
"Roeder GmbH Bauun- ternehmung, Völklingen",Einführung eines Umwelt- Managementsystems,2009,,"1.456,00 €","1.301,76 €"
"Ropimex R. Opel GmbH, Neunkirchen",Erweiterung der Betriebsstätte in 66538 Neunkirchen,2010,2014,"150.000,00 €","150.000,00 €"
"Rosemarie Eppers e. K., Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2010,,"13.800,00 €","13.800,00 €"
"RRC power solutions GmbH, Homburg",Externe Antragsredaktion für Antragstellung im ZIM-Programm des Bundes (Projekt HIG- Com),2010,,"7.828,00 €","7.828,00 €"
"RRC power solutions GmbH, Homburg",Erweiterung der Betriebsstätte in 66424 Homburg,2012,2015,"152.913,00 €","152.913,00 €"
"Ro.Sch-Service e.K., Dillingen",Einführung eines Umwelt- Managementsystems,2012,,"3.676,00 €","3.611,94 €"
"2. RS Invest GmbH, Stadthotel Völklingen Betriebsgesellschaft mbH, Völklingen","Neubau eines 3-Sterne-Superior-Hotels in 66333 Völklingen, Kühlweinstraße / Ecke Parkhausweg",2011,,"2.012.500,00 €","2.012.500,00 €"
"R u. S Metallbau GmbH,",Diversifizierung der Produktion einer Be-,2009,,"4.456,00 €",
"Saar Hartmetall und Werkzeuge GmbH, Püttlingen",Erweiterung der Einsatzmöglichkeiten von SARACOM-Walzringen bzw. SARAMAX- Wellen,2009,,"38.704,00 €",
"Saarland Blumen Weber GmbH & Co. KG, Hans- Peter Weber (Mitunter- nehmer), Saarwellingen",Verlagerung der Betriebsstätte von 66773 Schwalbach nach 66793 Saarwellingen,2011,2012,"118.000,00 €","118.000,00 €"
"Saarland Innovation und Standort e. V. (saar.is), vormals Zentrale für Produktivität und Tech- nologie e. V. (ZPT) Saarbrücken",FuE-Projektbüro,2008,,"961.000,00 €","907.794,43 €"
"Saarland Innovation und Standort e. V. (saar.is), vormals Zentrale für Produktivität und Tech- nologie e. V. (ZPT) Saarbrücken",Projekte zur Stimulierung von Innovationen der Saarwirtschaft (PROSIS),2013,,"1.255.147,71 €","1.087.565,30 €"
Saarland Therme & Co. KG Zum Bergwald 1 66271 Kleinblittersdorf,Erweiterung der Saarland Therme um ein Soleintensivschwebebecken und Soleinhala- tion,2013,,"117.000,00 €","117.000,00 €"
saar.is,Koordinierungsstelle SOG- Qualifizierungsangebote,2013,,"163.840,00 €",
"Saar-Lor-Lux Umwelt- zentrum GmbH, Saarbrücken",Einführung eines Umwelt- Managementsystems,2010,,"1.581,56 €","1.581,56 €"
"Saar-Lor-Lux Umwelt- zentrum GmbH, Saarbrücken",Einführung EMAS,2013,,"1.648,01 €","1.297,66 €"
"Saarpfalz Kreis, Homburg",Errichtung eines Blockheizkraftwerkes an der Albert-Schweizer-Schule in St. Ingbert,2010,,"22.796,25 €","22.796,25 €"
"Saarpfalz Kreis, Homburg",Kompetenzverbund Mechatronik am BBZ Homburg,2010,,"182.191,38 €","170.189,79 €"
"Saarpfalz Kreis, Homburg",Kompetenzverbund Well- ness/Gesundheitsförderung/Hautschutz für jedermann am BBZ St. Ingbert,2010,,"181.224,56 €","181.224,56 €"
"Saarpfalz Kreis, Homburg",Rekonstruktion des Nebengebäudes B 6 im Europäischen Kulturpark Bliesbrück- Reinheim,2011,2015,"1.372.964,89 €","1.372.964,89 €"
"Saarpfalz Kreis, Homburg",Energetische Sanierung der Sport- und Spielhalle Wallerfeld,2013,,"187.258,55 €","170.048,39 €"
"Saarpfalz Kreis, Homburg",Energetische Dachsanierung am BBZ Hom- burg,2013,,"166.286,86 €",
"Saarpfalz Kreis, Homburg",Einbau einer Eisspeicherheizung in der Grundschule Bruchhof,2013,,"117.860,61 €","115.533,55 €"
"Saarpfalz Kreis, Homburg",Wärmedämmung der Gebäude in der Lap- pentascher Str.100,2013,,"135.103,68 €",
"Saarpfalz Kreis, Homburg",Energetische Sanierung,2014,,"14.909,67 €","14.909,67 €"
"Saarpfalz Kreis, Homburg",Machbarkeitsstudie,2014,,"9.429,56 €","9.429,56 €"
"sarastro GmbH, Quierschied",Technische Durchführbarkeitsstudie betref- fend die Herstellung und Entwicklung von core/shell-Nanopartikeln auf der Basis von Kupfer und Silber zur Anwendung als kos- tengünstige leitfähige Schicht mittels Druck- verfahren (in Kooperation mit dem INM Leibniz Institut für Neue Materialien gGmbH),2010,,"94.731,78 €","92.074,17 €"
"Satzweiss.com GmbH, Saarbrücken",Entwicklung eines Konverters für elektroni- sche Mehrwertbücher bzw. Added Value E- Books,2010,,"23.664,00 €","22.285,71 €"
"Satzweiss.com GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2013,,"15.750,00 €","15.219,51 €"
"SBB Saarland Bau und Boden Projektgesell- schaft mbH, Saarbrücken","Erschließung des Industrie- und Gewerbe- parks „BAB 1 – Am Schaumberg“, im Ortsteil Theley der Gemeinde Tholey (2. BA, 1., 2. 3. und 4. FA)",2009,2015,"5.385.421,00 €",
"SBB Saarland Bau und Boden Projektgesell- schaft mbH, Saarbrücken","Revitalisierung des Gewerbegebietes „Ehe- malige Ziegelei“, im Ortsteil Kleinblittersdorf der Gemeinde Kleinblittersdorf (2. BA, 1. und 2. FA)",2009,2010,"2.007.108,00 €",
"SBB Saarland Bau und Boden Projektgesell- schaft mbH, Saarbrücken","Erschließung des Industrieparks „Holz“ in der Gemeinde Losheim am See und der Stadt Wadern (1., 2. und 3. FA)",2009,2015,"4.726.591,00 €",
"SBB Saarland Bau und Boden Projektgesell- schaft mbH, Saarbrücken","Konversion des ehemaligen Bundeswehr Depots „Zunderbaum“ in der Gemeinde Kirkel und der Stadt Homburg, Grunderwerb (1. FA)",2011,2015,"8.867.494,00 €",
"Schaumbergbad Tholey GmbH, Tholey",Einführung eines Umwelt- Managementsystems,2009,,"16.266,25 €","16.266,25 €"
Scheer Management GmbH,Entwicklungsprojekt „Saarland- Stromsparland 1000 Plus“,2013,,"160.958,00 €",
"Schirra GmbH & Co KG, Wadern",Revalidierung des Umwelt- Managementsystems,2012,,"1.911,00 €",
"Schmid electronics GmbH, Rehlingen-Siersburg",Einführung eines Umwelt- Managementsystems,2009,,"1.876,87 €","1.856,25 €"
"Schmidt GmbH, Püttlingen",Einführung eines Umwelt- Managementsystems,2012,,"1.550,70 €","1.532,21 €"
"Schmidt GmbH, Püttlingen",Einführung EMAS,2014,,"4.095,00 €","4.095,00 €"
"Schneider Planta Che- micals GmbH, Eppelborn",Entwicklung eines speziellen Extrusionsver- fahrens zur Herstellung von streufähigen Granulaten mit steuerbarer Wirkungsdauer für den Pflanzenschutz,2011,,"139.070,00 €","89.732,77 €"
"Schneider Planta Che- micals GmbH, Eppelborn",Beschäftigung eines Forschungsmitarbeiters,2013,,"19.200,00 €","19.200,00 €"
"Schreinerei Stein, Saarbrücken",Einführung eines Umwelt- Managementsystems,2009,,"855,00 €","855,00 €"
"SemVox GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2010,,"19.200,00 €","19.200,00 €"
"SemVox GmbH, Saarbrücken",Entwicklung einer digitalen Home- Entertainment-Lösung mit der Bezeichnung SemMedia,2010,,"79.063,00 €","65.948,98 €"
"3 S GmbH, Saarbrücken",Entwicklung eines ultrakompakten Geruchs- sensors zur Integration in Ventilatoren und zur Energieeinsparung,2009,,"115.110,00 €","85.579,95 €"
"3 S GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2013,,"19.200,00 €","19.200,00 €"
"3 S GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2013,,"18.000,00 €","18.000,00 €"
"Siebert Industrieelektro- nik GmbH, Eppelborn",Beschäftigung eines Innovationsassistenten,2008,,"5.413,33 €","5.413,33 €"
"Siepmann GmbH, Lebach",Beschäftigung eines Forschungsmitarbeiters,2010,,"16.500,00 €","16.500,00 €"
Sparkasse Saarbrücken GmbH,Einführung EMAS,2014,,"8.478,40 €","8.356,46 €"
"SP CNC- Fertigungstechnik GmbH, St. Wendel",Erweiterung und Verlagerung der Betriebs- stätte innerhalb 66606 St. Wendel,2012,2015,"36.535,00 €","36.535,00 €"
"Spicher Automation GmbH, Lebach",Beschäftigung eines Forschungsmitarbeiters,2010,,"18.000,00 €","18.000,00 €"
"Spicher Automation GmbH, Lebach",Beschäftigung eines Forschungsmitarbeiters,2010,,"16.500,00 €","16.500,00 €"
"Stadt Bexbach, Bexbach","Energieeinsparmaßnahme an der Grund- schule ""Am Kälberberg"" in Oberbexbach:",2011,,"194.651,23 €","126.667,21 €"
"Stadt Bexbach, Bexbach",Energieeinsparmaßnahmen an der Goethe- schule in Bexbach,2011,,"95.386,00 €","95.386,00 €"
"Stadt Dillingen, Dillingen",Sanierung des Clubhauses Sportplatz Ba- belsberg Dillingen-Diefflen,2011,,"5.565,18 €","5.565,18 €"
"Stadt Dillingen, Dillingen",Teilsanierung der Römerhalle in  Dillingen,2011,,"12.531,56 €","12.531,56 €"
"Stadt Dillingen, Dillingen",Energetische Sanierung der Umkleideräume in der Freiwilligen Feuerwehr Dillingen- Innenstadt,2011,,"6.798,71 €","6.798,71 €"
"Stadt Dillingen, Dillingen",Erneuerung der Fensterelemente des Ge- bäudes Volkshochschule Dillingen,2011,,"26.787,28 €","26.787,28 €"
