Name der Begünstigten,Vorhaben,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge (insgesamt),Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Fraunhofer-Gesellschaft zur Förderung der angewandten For- schung e. V., Fraunhof- er-Institut für Biomedizi- nische Technik (IBMT), St. Ingbert",Biomat-Centre (Projektteil B),2008,,"2.394.081,00 €",
"Fraunhofer-Gesellschaft zur Förderung der angewandten For- schung e. V., Fraunhof- er-Institut für Zerstö- rungsfreie Prüfverfahren (lzfP), Saarbrücken","Automotive Quality Saar (AQS) - Baumaß- nahme, Geräte und Erstausstattung",2008,,"9.000.000,00 €",
"Fraunhofer-Gesellschaft zur Förderung der angewandten For- schung e. V., Fraunhof- er-Institut für Biomedizi- nische Technik (IBMT), St. Ingbert",AITS – AIDS/TB Saar – Initiative zur Bünde- lung und Stärkung von AIDS/TH- Forschungskompetenzen im Saarland,2010,,"91.372,33 €",
"Fraunhofer-Gesellschaft zur Förderung der angewandten For- schung e. V., Fraunhof- er-Institut für Zerstö- rungsfreie Prüfverfahren (lzfP), Saarbrücken",Errichtung eines Prototypen-Fertigungslabors für das in vitro-Tissue Engineering für das Frauenhofer Institut für Biomedizinische Technik am Standort Sulzbach,2013,,"750.000,00 €","750.000,00 €"
"Fraunhofer-Gesellschaft zur Förderung der angewandten For- schung e. V., Fraunhof- er-Institut für Zerstö- rungsfreie Prüfverfahren (lzfP), Saarbrücken",AITS-AIDS/TB-Saar Initiative zur Bündelung und Stärkung von AIDS/TB- Forschungskompetenzen im Saarland,2013,,"165.404,00 €",
"Fuchs & Tausend GmbH, Saarbrücken",Erweiterung der Betriebsstätte in 66130 Saarbrücken,2012,2013,"60.550,00 €","60.550,00 €"
"Gemeinde Eppelborn, Freizeit- und Hallenbe- trieb, Beckingen",Einführung eines Umwelt- Managementsystems,2011,,"4.004,00 €","4.004,00 €"
"Gemeinde Beckingen, Wasserwerk Beckingen, Beckingen",Wärmedämmmaßnahmen am Verwaltungs- gebäude des Wasserwerks Beckingen,2010,,"42.752,61 €","42.752,61 €"
"Gemeinde Bous, Bous","Einbau von hochwärmegedämmten Alufens- tern im Rahmen der Sanierung der Grund- schule Mühlenscheib, Bous",2011,,"49.363,78 €","49.363,78 €"
"Gemeinde Bous, Bous",Energetische Sanierung des Flachdachs am Clubheim SV 08 Bous,2013,,"7.077,76 €","7.077,76 €"
"Gemeinde Bous, Bous",Dachdämmung,2014,,"52.842,54 €","42.204,71 €"
"Gemeinde Bous, Bous",Energetische Sanierung,2014,,"28.831,53 €","28.216,46 €"
"Gemeinde Bous, Bous",Energetische Sanierung,2015,,"17.003,85 €",
"Gemeinde Eppelborn, Eppelborn",Austausch der vorhandenen Glasfassaden des Hellbergbades durch eine neue Pfosten- Riegelkonstruktion mit Wärmeschutzvergla- sung,2011,,"34.625,81 €","34.625,81 €"
"Gemeinde Freisen, Freisen",Forschungsauftrag zur Steigerung der Ge- bäudeeffizienz und dem Einsatz von erneu- erbaren Energien in der Gemeinde Freisen,2011,,"1.193,36 €","1.193,36 €"
"Gemeinde Gersheim, Gersheim",Fenstererneuerung mit Sonnenschutz am Rathaus in Gersheim,2010,,"11.513,57 €","10.414,26 €"
"Gemeinde Gersheim, Gersheim",Wärmedämmfassade an der Mehrzweckhalle im Ortsteil Bliesdalheim,2010,,"5.109,99 €","5.109,99 €"
"Gemeinde Gersheim, Gersheim",Fenstererneuerung an der ehemaligen Schu- le in Niedergailbach,2010,,"15.146,73 €","14.719,75 €"
"Gemeinde Gersheim, Gersheim",Fenstererneuerung am Feuerwehrgerä- tehaus in Rubenheim,2010,,"9.170,05 €","9.170,05 €"
"Gemeinde Gersheim, Gersheim",Fenstererneuerung an der ehemaligen Schu- le in Bliesdahlheim,2011,,"11.988,58 €","11.988,58 €"
"Gemeinde Heusweiler, Heusweiler",Dämmung der Außenfassade des Bürger- hauses in Niedersalbach mit einer zusätzli- chen Wärmedämmung von mind. 10 cm und einer Teilfläche des Flachdaches mit einer Wärmedämmung von mind. 20 cm,2011,,"29.798,65 €","26.555,38 €"
"Gemeinde Heusweiler, Heusweiler",Dämmung der Außenfassade der Großwald- halle in Eiweiler,2011,,"16.717,27 €","4.862,73 €"
"Gemeinde Heusweiler, Heusweiler",Dämmung der Außenfassade der Sport- und Kulturhalle in Wahlschied,2011,,"10.666,45 €","10.133,13 €"
"Gemeinde Heusweiler, Heusweiler",Dämmung der Außenfassade der Glück-auf- Halle Holz mit einer zusätzlichen Wärme- dämmung von 10 cm,2011,,"10.038,71 €","10.038,71 €"
"Gemeinde Heusweiler, Heusweiler",Energetische Sanierung der Decke im Bür- gerhaus Niedersalbach,2013,,"38.783,78 €","13.457,40 €"
"Gemeinde Heusweiler, Heusweiler",Energetische Sanierung der Decke Glück- Auf-Halle Holz,2013,,"34.766,79 €","34.766,79 €"
"Gemeinde Heusweiler, Heusweiler",Energetische Sanierung der Decke der Großwaldhalle in Eiweiler,2013,,"33.272,20 €","21.914,00 €"
"Gemeinde Illingen Freizeit-, Hallen- und Bäderbetrieb, Illingen",Einführung eines Umwelt- Managementsystems,2010,,"17.842,01 €","14.972,36"
"Gemeinde Illingen, Illingen",Energetische Sanierung des Daches und Erneuerung der Fenster an der Illtalhalle,2013,,"61.143,96 €","61.143,96 €"
"Gemeinde Kleinblitters- dorf, Kleinblittersdorf",Energetische Sanierung Kindertagesstätte St. Walfried in Rilchingen-Hanweiler,2013,,"61.909,88 €","50.153,16 €"
"Gemeinde Merchweiler, Merchweiler",Energetische Sanierung der Vordächer der Allenfeldhalle Merchweiler,2013,,"133.498,74 €","133.654,51 €"
"Gemeinde Nalbach, Nalbach","Umbau der ehemaligen Grundschule zum Rathaus der Gemeinde, Einsatz einer PV- Anlage im Bereich der Südfassade (transluzente Fassadenelemenete, sowie PV-Elemenete im Bereich der Fenster) im neuen Rathaus",2013,,"41.936,32 €",
"Gemeinde Nalbach, Nalbach","Umbau der ehemaligen Grundschule zum Rathaus der Gemeinde, Einsatz von LED- Beleuchtung und Lichtlenklamellen",2013,,"136.378,54 €",
