ANTRAGSNUMMER,Interventionskategorie,Name des Begünstigten,PLZ,BEGINN,ENDE,ZUSAMMENFASSUNG,BEZEICHNUNG,GESAMTBETRAG 1)
ESF/14-SM-B12r-0006/15,109.0,"Arbeitslosenverband Deutschland, Landesverband M-V e.V.",19063,05.08.15,29.02.16,Förderung von Integrationsprojekten,Integrationsprojekt - Aktivierung und Koordinierung regionaler und lokaler Potenziale des Arbeitslosenverbandes,100776.42
ESF/14-SM-B12r-0008/15,109.0,BilSE - Institut für Bildung und Forschung GmbH,18273,07.09.15,31.08.16,Förderung von Integrationsprojekten,Integrationsprojekt - SLALOM - Praktische Starthilfen für langzeitarbeitslose und von Langzeitarbeitslosigkeit bedrohte Menschen,405811.61
ESF/14-SM-B12r-0005/16,109.0,Blinden- und Sehbehinderten- Verein M-V e.V.,18106,06.05.16,28.02.18,Förderung von Integrationsprojekten,"Integrationsrojekt ""visionA"" - Begleitung und Unterstützung sehbehinderter und blinder Menschen in Beruf und Gesellschaft",164283.73
ESF/14-SM-B12r-0001/16,109.0,ISBW - Institut für Sozialforschung und berufliche Weiterbildung gGmbH,17235,17.12.15,31.12.16,Förderung von Integrationsprojekten,neuSTART PLUS II - Entwicklung und Erprobung eines partizipativen Messinstruments zur Erfassung der individuellen Beschäftigungsfähigkeit von langzeitarbeitslosen Menschen in Kooperation mit Institut für Sportwissenschaft der Universität Rostock,114599.07
ESF/14-SM-B12r-0003/15,109.0,Kreissportbund Vorpommern-Greifswald e. V.,17389,18.06.15,29.02.16,Förderung von Integrationsprojekten,"Integrationsprojekt ""BIGGER"" - Bewegung als Investition in Gesundheit - Gemeinsam erleben - Förderung und Stärkung der Gesundheit der Teilnehmenden um sie für den Arbeitsmarkt fit zu machen",41326.2
ESF/14-SM-B12r-0002/15,109.0,Fußballverband Vorpommern e.V.,17491,09.06.15,28.02.16,Förderung von Integrationsprojekten,"Integrationsprojekt ""Sportlich Miteinander"" - Durch Sportangebote sollen Langzeitarbeitslose gesellschaftlich integriert werden und ihre Gesundheit verbessern um somit eine Grundlage für eine berufliche Integration zu schaffen",83749.03
ESF/14-SM-B13-0041/16,109.0,BQG Bützow und Umland e.V.,18246,30.06.16,30.06.17,Förderung von Kleinprojekten,Schaffung einer Begegnungsstätte in Viezen - durch die gemeinsame Gestaltung eines Treffpunktes im Agrarmuseum Viezen sollen sozial Benachteiligte in das gesellschaftliche Leben der Gemeinde Bernitt integriert werden,8200.0
ESF/14-SM-B13-0045/15,109.0,ÜAZ Überregionales Ausbildungszentrum Waren/Grevesmühlen e.V.,17192,24.11.15,30.11.16,Förderung von Kleinprojekten,"Willkommen an der Müritz 'Zeitung für Alle in leichter Sprache' - ein Projekt  zur Integration von Migranten/Flüchtlingen und zur Förderung der Teilhabe am gesellschaftlichen, politischen und kulturellen Leben der Migranten und Flüchtlinge sowie von Menschen mit eingeschränkten Lesekompetenzen bzw. Textverständnis",8200.0
ESF/14-SM-B13-0023/15,109.0,Sozialverband VdK Mecklenburg - Vorpommern e. V. Ortsverband Stralsund,18437,31.07.15,14.12.15,Förderung von Kleinprojekten,Gemeinsam sind wir stark - Langzeitarbeitslosen Frauen und Männern sollen Fähigkeiten an modernen Kommunikationsmitteln vermittelt werden um sie sozial zu integrieren und somit Grundlagen für eine berufliche Integration zu schaffen,5000.0
ESF/14-SM-B13-0008/15,109.0,Familiensozialprojekt Vorpommern e.V.,18507,04.08.15,30.06.16,Förderung von Kleinprojekten,Gesund leben - Gesunde Ernährung für langzeitarbeitslose Frauen und Männer sowie deren Familien um Grundlagen für eine gesellschaftliche und berufliche Integration zu schaffen,8200.0
ESF/14-SM-B13-0006/16,109.0,Verein Neues Landleben Bresch e. V. / Ortsgruppe Ziegendorfer Landfrauen,19372,17.12.15,31.12.16,Förderung von Kleinprojekten,"Treffpunkt altes Pfarrhaus - gemeinsam statt einsam: generationsübergreifendes Projekt zur Schaffung einer Räumlichkeit für soziale Arbeit zur sozialen Teilhabe von Langzeitarbeitslosen, Arbeitslosen, Senioren, Kinder und Jugendlichen",8200.0
ESF/14-SM-B13-0015/16,109.0,Tollensewinkel (Vorpommern) e.V.,17091,17.12.15,31.12.16,Förderung von Kleinprojekten,Interaktives und integratives Vereinshaus in Wildberg - es soll ein Ort des Austausches sowie der sozialen Intgration entstehen. Hier sollen neue Angebote durch die vorhandenen Vereine und Verbände für Einheimische und Flüchtlinge etabliert werden,8200.0
ESF/14-SM-B13-0034/16,109.0,Kirchengemeinde Grünow / Triepkendorf,17237,30.05.16,31.05.17,Förderung von Kleinprojekten,"Archivkirche Goldenbaum - Das Eigene im Fremden - Durch gemeinsame Erlebnisse, Erfahrungen und den Austausch bzw. die Dokumentation zur eigenen Geschichte soll ein qualitatives Wir-Gefühl erzeugt werden. Eine solche Aufarbeitung soll Kontakt, Kommunikation und Engagment in der Gemeinde und Umgebung schaffen.",8200.0
ESF/14-SM-B13-0012/15,109.0,Kulturnetzwerk Mecklenburg - Vorpommern e.V.,18057,03.09.15,31.08.15,Förderung von Kleinprojekten,Generationsübergreifende Medienqualifizierung von Migrantinnen und Migranten beim Bürgerradio LOHRO - durch die Vermittlung von Medien- und Radiokompetenzen sowie von kommunikativen und sozialen Kompetenzen sollen den Teilnehmenden der Einstieg in die zivilgesellschaftlichen Strukturen Rostocks und die Chancen auf dem Arbeitsmarkt erhöht werden,5000.0
ESF/14-SM-B13-0006/15,109.0,Pommerscher Diakonieverein e.V.,17489,04.08.15,30.06.16,Förderung von Kleinprojekten,BEGREIFMICH - Schaffung von Begegnungsräumen für Menschen aus vielen Ländern mit der heimischen Bevölkerung mit dem Ziel der gesellschaftlichen Integration als Grundlage für eine berufliche Integration,8200.0
ESF/14-SM-B13-0010/15,109.0,Verein der Kinder- und Jugendförderung Burgsee e.V.,19205,04.08.15,31.12.15,Förderung von Kleinprojekten,"DRACHENMÄDCHEN - Entwicklung von Kompetenzen im Umgang mit Medien und der Wirkung von Medien durch die Erstellung eines Storybords für eine fiktive Geschichte und eines Dokumentarfilmes über das Projekt, die in der Öffentlichkeit eingesetzt werden können. Die Teilnehmenden sollen sich dadurch Grundlagen für die gesellschafliche und berufliche Intgration schaffen.",5000.0
ESF/14-SM-B13-0010/16,109.0,Kunstverein Teterow e.V.,17166,17.12.15,31.12.16,Förderung von Kleinprojekten,Kunst verbindet - ein Projekt zur gesellschaftlichen und sozialen Integration von Flüchtlingen und Menschen mit physischen und psychischen Beeinträchtigungen in das gesellschaftliche Alltagsleben durch das praktische Heranführen an die klassischen Künste,8200.0
ESF/14-SM-B13-0002/15,109.0,Internationales Kahnschifferzentrum STETTINER HAFF e.V.,17367,21.07.15,31.10.15,Förderung von Kleinprojekten,"Bau von Krippen als Sitzgelegenheiten - Durch das Projekt soll ein Angebot für Langzeitarbeitslose und andere geschaffen werden, um den sozialen Zusammenhalt durch praktische Arbeit zu stärken. Bei den Langzeitarbeitslosen soll damit ihre Beschäftigungsfähigkeit erhöht werden.",5000.0
ESF/14-SM-B13-0019/16,109.0,Landesverband evangelischer Gemeinschaften Vorpommern e. V. Evangelische Gemeinschaft Demmin,17109,17.12.15,31.12.16,Förderung von Kleinprojekten,"Miteinander lernen - Asylsuchende und Deutsche - Vermittlung deutscher Sprachkenntnisse zur Bewältigung des täglichen Lebens an Asylsuchenden von ehrenamtlich tätigen Bürgern aus der Region Demmin durch gemeinsames Lernen, Arbeiten, Kochen und anderer Tätigkeiten",8200.0
ESF/14-SM-B13-0034/15,109.0,"Arbeitslosenverband Deutschland, Ortsverein Gadebusch e.V.",19205,26.08.15,31.08.16,Förderung von Kleinprojekten,"Ziel ist es, die soziale Isolation von Langzeitarbeitslosen bzw. Langzeitleistungsbeziehenden zu durchbrechen, Wissen über verantwortungsvolles sowie sparsames, nachhaltiges Konsumverhalten zu vermitteln, Fähigkeiten zur Befriedigung des eigenen bzw. familiären Kleidungsbedarfes zu schaffen sowie positive Selbstwirksamkeitserfahrungen zu ermöglichen",8200.0
ESF/14-SM-B13-0021/16,109.0,Amt Demmin Land - Gemeinde Kletzin,17109,17.12.15,31.12.16,Förderung von Kleinprojekten,Kletzin - gelebte Integration und sozialer Zusammenhalt aller Bürger der Gemeinde - Durch gemeinsame Aktionen zum Austausch der verschiedenen Lebensweisen und Kulturen soll das gegenseitige Verständnis und die Integration der neuen Mitbürger von Einwohnern und Asylbewerbern erfolgen.,8200.0
ESF/14-SM-B13-0023/16,109.0,Gemeinde Siedenbollentin im Amt Treptower Tollensewinkel,17087,19.01.16,31.01.17,Förderung von Kleinprojekten,"Einwohner der Gemeinde stellen ihre Heimat vor - eine Bilderausstellung gibt Auskunft: ein Projekt zur Stärkung des gesellschaftlichen Engagements und der Verbundenheit zur Region. Die Teilnehmenden aus allen Generationen Siedenbollentins bilden unterschiedliche Interessengruppen und fotografieren und zeichnen Persönlichkeiten, Unternehmen, Veranstaltungen und die nähere Umgebung. Das Ergebnis werden unterschiedliche Ausstellungen in unterschiedlichen Räumen sein um so die Verbundenheit mit der Gemeinde zum Ausdruck zu bringen und zum Meinungsaustausch anzuregen.",8200.0
ESF/14-SM-B13-0042/16,109.0,ibu  institut für berufsbildung und umschulung gmbh,19306,15.08.16,28.02.17,Förderung von Kleinprojekten,Ein guter Holzweg - ein Projekt zur Integration von Kindern und Jugendlichen mit und ohne Migrationshintergrund aus Neustadt-Glewe und Umgebung durch das gemeinsame Kennenlernen der Holzverarbeitung und Herstellung von Kleinmöbeln,5000.0
ESF/14-SM-B13-0032/16,109.0,"Verein ""Hilfe zur Erziehung"" e. V.",17358,30.05.16,30.11.16,Förderung von Kleinprojekten,Gemeinsam planen und gestalten wir einen Familiengarten - im Familienzentrum Torgelow,5000.0
ESF/14-SM-B13-0031/16,109.0,polylux e. V.,17034,30.05.16,31.05.17,Förderung von Kleinprojekten,"Fremde Freunde - Patenschaften mit Flüchtlingen in Neubrandenburg - Patenschaften zwischen Einheimischen und Geflüchteten, die auf dem Datzeberg leben, sollen entstehen. Damit soll geflüchteten Menschen die Orientierung in die Gesellschaft und die Integration durch bürgerschaftliches Engagement erleichtert werden. Positive Begegnungen zwischen Menschen unterschiedlicher Kulturen sollen geschaffen und gegenseitiges Verständnis gefördert werden.",8200.0
ESF/14-SM-B13-0026/16,109.0,DGB Region Ost M-V,17033,08.04.16,31.03.17,Förderung von Kleinprojekten,"Begegnung statt Ausgrenzung - In Neubrandenburg sollen Möglichkeiten geschaffen werden für Begegnungen zwischen in Neubrandenburg lebenden Geflüchteten und Neubrandenburgerinnen und Neubrandenburger aus Stadtteilen Neubrandenburgs mit sozialen Problemlagen um Vorurteile abzubauen, gegenseitige Akzeptanz zu stärken und demokratische Werte zu vermitteln.",8200.0
ESF/14-SM-B13-0041/15,109.0,Gemeinde Wittendörp,19243,01.10.15,14.10.16,Förderung von Kleinprojekten,"""Du + Ich = Wir"" Eltern-Kind-Treff - Förderung des sozialen Zusammenhalts von sozial schwachen und immobilen Familien und Stärkung der Dorfgemeinschaft in Pogreß",8200.0
ESF/14-SM-B13-0001/16,109.0,Perspektive Deutschland e.V.,19063,17.12.15,31.12.16,Förderung von Kleinprojekten,"UBI - Unterstützung und Begleitung bei der Integration - von Bürgern mit und ohne Migrationshintergrund in die Gesellschaft durch diverse Aktivitäten, wie z.B. die Erhöhung der Sprachkompetenz, Hilfe bei Behördengängen/ Arztbesuchen/ Einkäufen und Herstellung von persönlichen Kontakten mit Personen im Wohnumfeld in den Stadttteilen Neu Zippendorf und Mueßer Holz",8200.0
ESF/14-SM-B13-0024/16,109.0,Gemeinde Siedenbollentin im Amt Treptower Tollensewinkel,17087,31.03.16,30.09.16,Förderung von Kleinprojekten,"Bewegung und Gesundheit - Freizeitgestaltung am See / Volleyballplatz - Jugendliche und Erwachsene gestalten in Eigeninitiative einen Volleyballplatz am See. Damit wird für alle Bürger des Ortes und der Umgebung die Möglichkeit geschaffen sich sportlich zu betätigen und sich fit zu halten. Mit der Fertigstellung des Platzes wird eine nachhaltige Nutzung für sportliche Ausscheide möglich, durch die eine überörtliche Ausstrahlung und Bedeutung erreicht wird.",5000.0
ESF/14-SM-B13-0003/16,109.0,Förderverein Marlen e. V.,23966,17.12.15,31.12.16,Förderung von Kleinprojekten,"- Fischerkoppel Wismar -  Ankerplatz für Visionen und Historie - ein Projekt zur Förderung des bürgerschaftlichen Engagements und der Teilhabe am gesellschaftlichen Leben durch das Erarbeiten von Konzepten zur Strukturierung des Hafenareals Fischerkoppel durch gemischte Projektteams aus Studierenden der Hochschule Wismar, Fischern und Interessierten",8200.0
ESF/14-SM-B13-0014/16,109.0,Tischtennisverein 03 Demmin e.V.,17109,17.12.15,31.12.16,Förderung von Kleinprojekten,Aktive Betreuung der Migranten zur Integration in das öffentliche Leben in Deutschland -  Vorbereitung und Durchführung von  gemeinsamen Aktivitäten durch Migranten und Einheimischen in den Räumen des offenen O.S.K.A Treffs des TTV 03 Demmin mit dem Ziel einer aktiven Teilnahme  am gesellschaftlichen Leben und der Integration der Migranten und Flüchtlinge in der Region,8200.0
ESF/14-SM-B13-0027/16,109.0,IPSE Gemeinnützige Innovative Personal- und Strukturentwicklungsgesellschaft mbH Neustrelitz,17235,30.05.16,31.05.17,Förderung von Kleinprojekten,"Begegnungstreff ""International Mirow"" - Es soll Flüchtlingen und Einheimischen ein offener Treffpunkt und Begegnungsort geboten werden um Flüchtlingen zu helfen sich in einer neuen Kultur und Gesellschaft zurecht zu finden. Es können neue Freundschaften entstehen und durch offene Treffen und Begegnungen gemeinsame Erfahrungen gemacht werden, die die Akzeptanz, gesellschaftliche Toleranz und Teilhabe fördern sollen.",8200.0
ESF/14-SM-B13-0024/15,109.0,Lindendorf Alt Rehse e. V.,17217,04.08.15,14.07.16,Förderung von Kleinprojekten,"Fitness für Körper und Geist - Gesellschaftliche Integration, Förderung und Stabilisierung des körperlichen und seelischen Wohlbefindens in ländlicher Region; präventive und nachhaltige Vermeidung von Isolation, Stärkung und Erhaltung des Gemeinschaftsgefühls; Schaffung von Angeboten zu einer gesunden Lebensweise im Kontekt zwischen geistiger Fitness, Sport, Kultur und ausgewogener Ernährung, Stärkung der Integrationschancen",8200.0
ESF/14-SM-B13-0011/15,109.0,Güstrower Tafel e. V.,18273,04.08.15,14.01.16,Förderung von Kleinprojekten,"Tafelgarten - Durch die Bewirtschaftung eines Gartens sollen langzeitarbeitslose Frauen und Männer motiviert werden, sich im Gemeinwesen zu engagieren und füreinander einzustehen um somit Grundlagen für eine gesellschaftliche und berufliche Integration zu schaffen.",5000.0
ESF/14-SM-B13-0036/15,109.0,Wohltätigkeitsverein Wissen e.V.,19063,26.08.15,31.08.16,Förderung von Kleinprojekten,Verbesserung der gesellschaftlichen und sozialen Einbindung von Langzeitarbeitslosen mit Sprachhemmnissen durch gemeinsames Erarbeiten und Aufführen von Theaterstücken und gemeinsamer Herstellung der Kulissen und Kostüme,8200.0
ESF/14-SM-B13-0009/16,109.0,Arbeitslosenverband Deutschland Territorialverband Uecker-Randow e. V.,17309,17.12.15,31.12.16,Förderung von Kleinprojekten,"Zweiradhilfe - ein Projekt zur sozialen und gesellschaftlichen Integration  von Langzeitarbeitslosen mit multiplen und gesundheitlichen Einschränkungen durch die Aufarbeitung und Reparatur von gebrauchten Fahrrädern, Rollern, Puppenwagen, Dreirädern und Laufrädern in Pasewalk",8200.0
ESF/14-SM-B13-0018/16,109.0,Urlaub miteinAnders e.V.,17089,17.12.15,30.06.16,Förderung von Kleinprojekten,Ort der Begegnungen mit Flüchtlingen und Einwohnern in Seltz - ein Projekt zur Verbesserung der sozialen Integration von Flüchtlingen durch gemeinsame Treffen und Aktivitäten mit Bürgern aus der Region Seltz - Burow - Altentreptow,5000.0
ESF/14-SM-B13-0022/15,109.0,Tischtennisverein 03 Demmin e.V.,17109,27.07.15,03.05.16,Förderung von Kleinprojekten,Aufbau und Gestaltung eines Naturgartens in Demmin - Soziale Integration von Frauen und Männern und ihren Familien,8200.0
ESF/14-SM-B13-0014/15,109.0,Stralsunder Innovation Consult GmbH,18437,04.08.15,29.02.16,Förderung von Kleinprojekten,Aktiv im Quartier - Aktivierung und Inklusion von Langzeitarbeitslosen im Stadtteiltreff Nieper-West durch unterschiedliche Aktivitäten zur gesellschaftlichen Integration um Grundlagen zu schaffen für die berufliche Integration,8200.0
ESF/14-SM-B13-0031/15,109.0,Institut für Sozialforschung und berufliche Weiterbildung gGmbH Neustrelitz,17235,26.08.15,31.08.16,Förderung von Kleinprojekten,"Stärkung des Selbstwertgefühls von langzeitarbeitslosen Frauen und Männern durch Auseinandersetzen mit Ihrer Lebenssituation im Projekt ""Wanderausstellung: Mitten im Leben...""",8200.0
ESF/14-SM-B13-0035/15,109.0,Verein für Alternativsport e. V.,19243,26.08.15,31.08.16,Förderung von Kleinprojekten,"DodoMobile - Ein wöchentliches Mitmachangebot zu Gesundheit / Bewegung / Kommunikation für räumlich immobile Langzeitarbeitslose und Ältere aus wirtschaftstrukturell und demographisch besonders benachteiligten Ortsteilen der Gemeinde Wittendörp. Ins Projekt sollen Kitakinder und deren Eltern einbezogen werden. Nachhaltig soll ein Netzwerk weitgehend selbsthilfegetragener, ehrenamtlicher und generationsübergreifender Mobilitäts- und Gesundheitsförderung in den Wittendörper Ortsteilen (Dodow, Camin, Zühr) entstehen.",8200.0
ESF/14-SM-B13-0007/16,109.0,cultura mobile e.V.,17179,16.12.15,31.12.16,Förderung von Kleinprojekten,"STIELaUGE - Durch Film und Literatur mit gesellschaftlicher Relevanz soll eine neue gesellschaftliche Kommunikation hergestellt und ermöglicht werden, die den sozialen Zusammenhalt fördert und zur Stärkung des Gemeinwesens der Einwohner von Gnoien und des Umlandes beiträgt.",8200.0
ESF/14-SM-B13-0038/15,109.0,Kornhaus e.V.,18209,30.09.15,30.09.16,Förderung von Kleinprojekten,"Integration von Migrantinnen und Migranten in das gesellschaftliche Leben vor Ort durch gemeinsame Freizeitaktivitäten um Berührungsängste abzubauen, das Erlernen der  deutschen Sprache zu unterstützen und das Kennenlernen der Kultur des anderen zu ermöglichen.",8200.0
ESF/14-SM-B13-0005/16,109.0,Lübtheener Sportverein Concordia e.V.,19249,17.12.15,31.12.16,Förderung von Kleinprojekten,"Wir für LÜBTHEEN-SPORTS, SPORT MACHT BETRIEB, BETRIEB MACHT SPORT - ein Projekt zur sozialen und gesellschaftlichen Integration für ""entsandte"" Arbeiternehmer und deren Familienangehörigen durch sportliche Angebote in das Lübthener Gemeinwesen",8200.0
ESF/14-SM-B13-0019/15,109.0,DGB Region Ost M-V,17033,04.08.15,31.10.15,Förderung von Kleinprojekten,"Demokratie leben - Die Teilnehmenden sollen über die Vielfalt demokratischer Mitbestimmungsmöglichkeiten informiert und befähigt werden, diese zu nutzen sowie für eine Willkommenskultur für Menschen mit Migrationshintergrund sensibilisiert werden",5000.0
ESF/14-SM-B13-0005/15,109.0,Demokratischer Frauenbund e. V.,17389,04.08.15,31.08.15,Förderung von Kleinprojekten,"Teilhabe selbst bestimmt - Frauen und deren Familien, Alleinerziehende, Senioren und Migranten, die von sozialer Ausgrenzung bedroht sind und sich am Scheideweg ihrere persönlichen Entwicklung befinden, sollen motiviert werden für sich Veränderungen herbeizuführen. Die Teilnehmenden sollen zur aktiven Beteiligung am gesellschaftlichen Leben gewonnen werden um damit Grundlagen für die berufliche Integration zu schaffen.",5000.0
ESF/14-SM-B13-0043/15,109.0,"Arbeiter-Samariter-Bund Freizeithaus ""Sausewind"" Hagenow",19230,15.10.15,14.04.16,Förderung von Kleinprojekten,"Große Schritte - kleine Schritte - Kinder und Jugendliche sollen dazu animiert werden zusammen mit ihren Eltern, Großeltern, engagierten Bürgern und Vereinen mit ihren Jugendgruppen zusammen generationsübergreifend Aktivitäten zu entwickeln",5000.0
ESF/14-SM-B13-0013/16,109.0,Soziokulturelles Bildungszentrum Neubrandenburg e. V.,17033,17.12.15,31.12.16,Förderung von Kleinprojekten,Aufbau eines Servicepoints für neue Bürger - Der Sevicepoint mitten in Neubrandenburg soll die Integration von Zugewanderten durch die Begegnung mit Bürgern der Stadt und des Landkreises ermöglichen. Es soll eine positive Anerkennungskultur im Dialog der Kulturen organisiert und gesichert werden.,8200.0
ESF/14-SM-B13-0016/16,109.0,Tollensewinkel (Vorpommern) e.V.,17091,17.12.15,31.12.16,Förderung von Kleinprojekten,Integratives Theaterprojekt in Wolkow - ein generationsübergreifendes Projekt zur Teilhabe an der Gemeinschaft und Integration in die Gesellschaft durch das Erlernen und Umsetzen selbstständiger und eigenverantwortlicher Tätigkeit beim Umsetzen eines Theaterstücks in der Gruppe,8200.0
ESF/14-SM-B13-0037/16,109.0,Gemeinde Demen c/o Amt Crivitz,19089,13.06.16,14.12.16,Förderung von Kleinprojekten,Gemeinsame Aktivitäten und Sport verbinden in Demen - Durch die Organisation und die Durchführung von gemeinsamen Aktivitäten für und mit Menschen mit und ohne Migrationshintergrund der Gemeinde Demen soll die soziale Teilhabe realisiert werden.,5000.0
ESF/14-SM-B13-0043/16,109.0,Tischtennisverein 03 Demmin e.V.,17109,19.08.16,31.08.17,Förderung von Kleinprojekten,"Verbesserung der sozialen Integration in der Region durch das gemeinsame Erlernen der Tabla (Fingertrommel) - ein Projekt zur Stärkung des gegenseitigen Verständnisses und der Toleranz von MigranTinnen, AsylbewerberInnen, Flüchtlingen und Einheimischen aus allen Schichten",8200.0
ESF/14-SM-B13-0033/16,109.0,Katholische Pfarrgemeinde St. Petrus Teterow,17166,30.05.16,31.05.17,Förderung von Kleinprojekten,"Wo man singt...Musikalischer Dialog in Neukalen - Aufbau und Etablierung einer Singegemeinschaft als musikalischer Dialog zwischen Generationen, Weltanschauungen und Kulturen",8200.0
ESF/14-SM-B13-0044/15,109.0,Gemeinnützige Landwirtschaftsentwicklungsgesellschaft (LEG) Rosenow mbH,17091,29.10.15,31.10.16,Förderung von Kleinprojekten,"Förderangebot bürgerschaftliches Engagement für einen offenen Personenkreis zur gesellschaftlichen Integration durch die Teilnahme an den Kursen aus dem Bereich Ernährung, Gesundheit, Kunst und Handwerk etc.",8200.0
ESF/14-SM-B13-0026/15,109.0,Landesarbeitsgemeinschaft Jungen-Männer-Väter in Mecklenburg-Vorpommern e. V.,19053,31.07.15,31.01.16,Förderung von Kleinprojekten,"Jungen-Männer-Väter - Sozialarbeit in Greifswald, Wolgast, Anklam - Geben von Hilfe zur Selbsthilfe für Männer, Väter und Jungen in ihrer Rolle als Ehe-, Lebenspartner und Vater im pädagogischen Erziehungsprozess ihrer Kinder -",5000.0
ESF/14-SM-B13-0002/16,109.0,Deutscher Schwerhörigenbund (DSB) LV der Schwerhörigen und Ertaubten M-V e.V:,17036,17.12.15,31.12.16,Förderung von Kleinprojekten,"Ressourcenaufbau durch Gesundheitsförderung - ein Projekt zur Integration und Erhöhung der Chancengleichheit von Menschen mit Hörbehinderung durch ein gesundheitsförderliches Bildungsangebot, Erlernen eines anerkannten Entspannungsverfahren und Erschließen relevanter Lebensbereiche in Neubrandenburg",8200.0
ESF/14-SM-B13-0020/16,109.0,Kulturnetzwerk Mecklenburg - Vorpommern e.V.,18057,17.12.15,31.12.16,Förderung von Kleinprojekten,Horizonte-Redaktion: Die LOHRO-Stadtteilreporter der Generation 50+ - Stärkung der Medienkompetenz älterer MEnschen und Förderung ihrer aktiven Teilhabe am Leben des Gemeinwesens,8200.0
ESF/14-SM-B13-0029/15,109.0,"Arbeitslosenverband Deutschland, Landesverband M-V e.V. - Arbeitslosenzentrum -",19230,26.08.15,31.08.16,Förderung von Kleinprojekten,Vermittlung von Sozialkompetenzen an Langzeitarbeitslose mit multiplen Vermittlungshemmnissen aus Hagenow und Umgebung durch wöchentliche Treffs und Einzelberatung,8200.0
ESF/14-SM-B13-0028/16,109.0,Internationales Feuerwehrmuseum Schwerin e. V.,19063,29.04.16,30.04.17,Förderung von Kleinprojekten,"Feuergarten - Langzeitarbeitslose, ehrenamtlich Tätige und Flüchtlinge sollen gemeinsam einen öffentlich zugänglichen Feuergarten auf dem Gelände des Internationalen Feuerwehrmuseums Schwerin anlegen.",8200.0
ESF/14-SM-B13-0032/15,109.0,Bützower Berufsbildungsverein e.V.,18246,26.08.15,31.08.16,Förderung von Kleinprojekten,"Friedliche soziale Integration von Langzeitarbeitslosen und Menschen mit Migrationshintergrund durch Abbau von Ängsten, Aggression und Ausgrenzung mit Hilfe des gemeinsamen Bauens eines Drachenbootes. Die Vermittlung von sozialen, interkulturellen, sprachlichen sowie methodischen und fachpraktischen Fähigkeiten steht im Projektverlauf zu jeder Zeit im Vordergrund.",8200.0
ESF/14-SM-B13-0033/15,109.0,Bützower Berufsbildungsverein e.V.,18246,26.08.15,31.08.16,Förderung von Kleinprojekten,"Friedliche Soziale Integration von Langzeitarbeitslosen und Menschen mit Migrationshintergrund durch Abbau von Ängsten, Aggression und Ausgrenzung mit Hilfe des gemeinsamen  Bauens von Kleinmöbeln. Die Vermittlung von sozialen, interkulturellen, sprachlichen sowie methodischen und fachpraktischen Fähigkeiten steht im Projektverlauf zu jeder Zeit im Vordergrund.",8200.0
ESF/14-SM-B13-0037/15,109.0,Gesellschaft für nachhaltige Regionalentwicklung und Strukturforschung e.V.,17036,26.08.15,31.08.16,Förderung von Kleinprojekten,"Gemeinsam Lernen: Für Menschen mit Migrationshintergrund und Langzeitarbeitslose mit Mehrfach-Hemmnissen werden Möglichkeiten geschaffen, gemeinsam die Angebote der Stadt Neubrandenburg kennenzulernen und zu nutzen. Zugleich sollen Sprachkurse die soziale Teilhabe und den Erwerb wichtiger Kompetenzen, die gesellschaftliche und berufliche Integration fördern.",8200.0
ESF/14-SM-B13-0046/15,109.0,DGB Region Ost M-V,17033,24.11.15,30.11.16,Förderung von Kleinprojekten,Zugänge schaffen - ein Projekt zur Förderung einer toleranten weltoffenen und demokratischen Kultur in der Region Neubrandenburg durch die  gemeinsame Vermittlung von benachteiligten deutschen Jugendlichen und jugendlichen Flüchtlingen  in betriebliche Praktika bzw. Berufsausbildung,8200.0
ESF/14-SM-B13-0001/15,109.0,"""Mechaje""Jüdisches Theater Mecklenburg-Vorpommern e.V.",18055,04.08.15,29.02.16,Förderung von Kleinprojekten,"Die Jahreszeiten - eine Zirkusshow - Vermittlung sozialer Kompetenzen und Werte, die Kindern und ihren Eltern mit Migrationshintergrund die Eingliederung in eine demokratische Gesellschaft erleichtern und den sozialen Zusammenhalt in ihrer Umgebung stärken sollen",8200.0
ESF/14-SM-B13-0004/16,109.0,"""Rostocker für Inklusion und gesellschaftliche Teilhabe"" e. V.",18069,17.12.15,31.12.16,Förderung von Kleinprojekten,Netzwerk zur Entwicklung von Kompetenzen zur Förderung der gesellschaftlichen Teilhabe - Erstellung einer Datenbank von und für Menschen mit gesundheitlichen Beeinträchtigungen (vorerst) aus der Hansestadt Rostock zur Teilhabe am Arbeitsmarkt,8200.0
ESF/14-SM-B13-0038/16,109.0,Haus der Begegnung e.V.,19063,17.06.16,30.06.17,Förderung von Kleinprojekten,"Welcome im Haus der Begegnung  - Geflüchtete Menschen ansprechen, informieren und integrieren - Geflüchtete Neu-Schweriner und bereits in Schwerin lebende Einwohner mit Migrationshintergrund sollen durch verschiedene niederschwellige Angebote informiert undd bei der gesellschaftlichen Integration unterstützt werden, um so eine soziale Teilhabe zu ermöglichen.",8200.0
