ANTRAGSNUMMER,Interventionskategorie,Name des Begünstigten,PLZ,BEGINN,ENDE,ZUSAMMENFASSUNG,BEZEICHNUNG,GESAMTBETRAG 1)
ESF/14-WM-A33-0008/15,104.0,anonym,18439,16.02.16,31.08.17,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung zur „Herstellung von Sportgeräten (Longboards) unter Verwendung von neuartigen Pressverfahren, Formgestaltung und alternativen Faser- und Verbundstoffen“ unter der Firma „Drüding und Mersmann GbR (Treibholz Boards)“ ",21600.0
ESF/14-WM-A33-0008/16,104.0,anonym,18055,23.03.16,31.08.17,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung unter der Firma SMACON GmbH , deren Geschäftszweck insbesondere die Entwicklung und der Vertrieb der Applikation „SMACON Yacht“, einer Software für mobile Endgeräte zur Erleichterung der Organisation des Unterhalts, der Ausrüstung und der sicherheitsrelevanten Ablaufe an Bord von Yachten ist.",21600.0
ESF/14-WM-A33-0005/15,104.0,anonym,17493,16.02.16,31.10.17,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung zur „Entwicklung, Herstellung und Vertrieb von Geräten und Software zur automatisierten Erfassung und Auswertung von Daten in Industrie und Gesundheitswesen mit dem Ziel der Verbesserung der Hygiene und der Optimierung von Arbeitsabläufen“ unter der Firma „GWA Hygiene GmbH“ ",21600.0
ESF/14-WM-A33-0007/15,104.0,anonym,18439,08.04.16,30.09.17,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung zur Herstellung von Sportgeräten (Longboards) unter Verwendung von neuartigen Pressverfahren, Formgestaltung und alternativen Faser- und Verbundstoffen unter der Firma Drüding und Mersmann GbR (Treibholz Boards) ",21600.0
ESF/14-WM-A33-0011/16,104.0,anonym,18147,11.08.16,30.04.18,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung unter der Firma GetVise GmbH, deren Gegenstand insbesondere die Erbringung von Dienstleistungen im Bereich der internetbasierten Marktforschung auf Basis der Social Crowd-Plattform GetVise ist.
",28800.0
ESF/14-WM-A33-0001/15,104.0,anonym,18069,09.12.15,31.01.17,Gründungsstipendien,"Beihilfe zum Lebensunterhalt für eine innovative, technologieorientierte und wissensbasierte Unternehmensgründung zur „Entwicklung von Software als Medizinprodukt, speziell für die Humangenetik“ unter der Firma „Limbus Medical Technologies GmbH“ ",25200.0
ESF/14-SM-A41-0001/16,105.0,Hochschule Wismar,23966,22.02.16,31.12.18,Förderung der Gleichstellung der Geschlechter,"KarriereStartMentoring in M-V –Erhöhung der Aufstiegschancen und Verbesserung der Vereinbarkeit von Erwerbs- und Privatleben für Studentinnen der Hochschule Wismar auf dem Weg in Fach- und Führungspositionen durch individuelle Förderung, Beratung und Unterstützung unter Berücksichtigung der folgenden Maßnahmen:  
a)	Entwicklung und Durchführung von Mentoringprogrammen für Studentinnen aus den Fakultäten:
- Ingenieurwissenschaften
- Wirtschaftswissenschaften
- Gestaltung
Die zu erreichende Tandemzahl wird für das Mentoring-Programm auf 15 – 20 Tandempaare pro Durchgang festgelegt.
 b)	Erweiterung der Infrastruktur/Öffentlichkeitsarbeit und Verstetigung des Projektes in der regionalen Unternehmens- und Hochschullandschaft, Gewinnung von Multiplikatoren durch hochschulinterne Kooperationen, Bindung von Mentorinnen und Mentoren, Gründung eines Empfehlungssystems innerhalb der Hochschule
c)	Nachhaltige Vernetzung durch Förderung von Kommunikation, Austausch und Netzwerkbildung unter Studentinnen und Hochschulabsolventinnen (Mentee-Gruppen)
d)	Aufbau von Mentoringbeziehungen mit Unternehmerinnen und Unternehmern aus der Wirtschaft zur Förderung der Karriere von Studentinnen und Hoch-schulabsolventinnen der Hochschule Wismar
e)	Weiterentwicklung und Durchführung von Seminaren, Messen und Karrierebe-ratung
f)	Begleitung, Beratung und Koordination von Tandems
g)	Einbindung des Programms in Strukturen der Hochschule Wismar und Imple-mentierung in den Karriereservice der Hochschule Wismar
h)	Kooperation mit der Hochschule Neubrandenburg und der Fachhochschule Stralsund",238621.27
ESF/14-SM-A41-0005/15,105.0,Universität Rostock,18051,16.12.15,31.12.18,Förderung der Gleichstellung der Geschlechter,"KarriereWegeMentoring – Erhöhung der Aufstiegschancen und Verbesserung der Vereinbarkeit von Erwerbs- und Privatleben für Frauen aus dem Wissenschaftskontext der Universität Rostock in Kooperation mit der Ernst-Moritz-Arndt-Universität Greif-wald durch folgende Maßnahmen:
a)	Entwicklung und Durchführung von Mentoringprogrammen für die Zielgruppen:
-	Postdoktorandinnen und Juniorprofessorinnen
-	Doktorandinnen
-	Peer-Mentoring: „Option Promotion“
Die zu erreichende Tandemzahl wird für die Mentoring-Programme folgenderma-ßen festgelegt:
a.	Doktorandinnen-Mentoring: 		mind. 24 Tandems
b.	Postdoktorandinnen-Mentoring: 	mind. 20 Tandems
c.	Peer-Mentoring: 			mind. 20 Teilnehmerinnen
b)	Entwicklung, Konzeption und Durchführung von Veranstaltungen zur Verein-barkeit von Familie und Beruf
c)	Durchführung von Veranstaltungen zur Karriereorientierung
d)	Entwicklung eines Alumnae-Konzeptes zur langfristigen Nutzung von Mentoring-Netzwerken und Einbindung der Alumnae in strategische Aufgaben zur Weiterentwicklung von Konzepten in dem Bereich Mentoring oder Verbes-serung der Vereinbarkeit; sowie Unterstützung bei der inhaltlichen Umsetzung von Informations- und Auftaktveranstaltungen",387561.37
ESF/14-SM-A41-0010/16,105.0,Bildungswerk der Wirtschaft gGmbH,19417,02.03.16,31.12.17,Förderung der Gleichstellung der Geschlechter,Zukunft durch Aufstieg - Cross-Mentoring in der Region Vorpommern Rügen und nördliches Vorpommern-Greifswald zur Erhöhung der beruflichen Aufstiegschancen von weiblichen Führungskräften in Führungspositionen in Unternehmen oder in Füh-rungspositionen in Institutionen mit wirtschaftsnahen Strukturen. Die zu erreichende Tandemzahl wird für das Mentoring-Programm auf mindestens 8 Tandempaare festge-legt.,89694.77
ESF/14-SM-A41-0004/15,105.0,BilSE - Institut für Bildung und Forschung GmbH,18273,16.12.15,31.07.17,Förderung der Gleichstellung der Geschlechter,"Pro-Fe-Ma – Das Projekt leistet einen Beitrag zur stärkeren Überwindung von Rollen-stereotypen, um geschlechtsspezifische Berufswahlmuster aufzuweichen und Schüler an die Berufsfelder Gesundheit und Soziales, sowie junge Schülerinnen an die MINT-Berufe heranzuführen mit dem Ziel die SchülerInnen auf den Übergang in ein/e ent-sprechende Ausbildung oder Studium vorzubereiten. Es sollen folgende Teilziele er-reicht werden:
a)	Die teilnehmenden SchülerInnen sollen über die aktuellen Berufsbilder, Ausbil-dungs – und Studienwege in den MINT- bzw. Gesundheits- und Sozialberei-chen und den dazugehörigen Zugangsvoraussetzungen im Rahmen von Workshops und Seminaren informiert werden.
b)	Den teilnehmenden SchülerInnen soll durch Kompetenzfeststellungen und Pro-filanalyse die Möglichkeit gegeben werden, die eigenen Kompetenzen, Interes-sen und Fähigkeiten zu erkennen und auszubauen.
c)	Entwicklung, Konzeption und Durchführung von Seminaren/Workshops zum Abbau von Rollenstereotypen und zur Verdeutlichung von Gleichstellung und Vereinbarkeit in den Unternehmen aus dem MINT-Bereich und dem Gesund-heits- und Sozialwesen mit dem Ziel die verantwortlichen Akteure für eine Be-rufsorientierung bzw. das geschlechtsunabhängige Berufswahlverhalten zu sensibilisieren.
d)	In den Unternehmen sollen Handlungsstrategien praktisch umgesetzt werden, die Schülerinnen und Schüler durch die Projektarbeit an die Berufe heranfüh-ren.",260883.48
