Cod SMIS,Titlu,Beneficiar, Region , County ,Locality,FEDR,member state amount,own contribution,Ineligible Expenses ,total amount,Priority Axis,Intervention Category
27199,Diversificarea activitatii SC Redex Financing SRL prin achizitia unui utilaj pentru prelucrari metalice,SC Redex Financing SRL,Nord Vest,Maramures,BAIA MARE,776339,91661,533994,348379,1750373,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
24323,Repozitionarea revistei Sunete pe piata periodicelor cu profil muzical,SC Afaceri Prospere SRL,Centru,Brasov,BRASOV,555780,65620,0,167488,788888,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
29493,Dotare salon infrumusetare,SC CELLIER S.R.L.,Sud ,Arges,PITESTI,686004,80995,0,197606,964605,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
39089,Dezvoltarea activitatii de productie mobilier,SC Lten Projects SRL,Sud Vest,Olt,DRAGANESTI,776339,91661,19994,213119,1101113,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
39309,Dezvoltarea companiei prin achizitia de echipamente performante,SC Super Dent SRL,Sud Vest,Dolj,CRAIOVA,776339,91661,21517,213484,1103001,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
26666,DEZVOLTAREA CENTRULUI MEDICAL CUTERA,SC MEDICAL CENTER CUTERA SRL,Nord Est,Bacau,BACAU,753864,89007,0,207139,1050010,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
26904,"ACHIZITIE DE ECHIPAMENTE SI SOFTWARE SPECIFICE ACTIVITATII DE FOTOCOPIERE, DE PREGATIRE A DOCUMENTELOR SI ALTE ACTIVITATI SPECIALIZATE DE SECRETARIAT",SC BIASIL CONSULT SRL,Nord Est,NEAMT,PIATRA NEAMT,634974,74970,0,198084,908027,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
24253,"Cresterea capacitatii de cazare si dezvoltarea activitatii pensiunii turistice „Miresan” din localitatea Toplita, judetul Harghita, prin constructia, dotarea si amenajarea unui corp nou de cladire",SC Exclusiv Intermed SRL,Centru,Harghita,TOPLITA,776339,91661,263862,729840,1861703,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
26561,DIVERSIFICARE PRESTARI SERVICII PRIN CONSTRUIRE PENSIUNE TURISTICA D+P+E+M,SC MUNTE MUR RESORT SRL,Nord Est,Suceava,GURA HUMORULUI,737215,87042,0,369795,1194052,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
28454,ACHIZITIA DE UTILAJE MODERNE SI PERFORMANTE PENTRU DESFASURAREA ACTIVITATILOR DE SPALARE SI CURATARE A ARTICOLELOR TEXTILE SI A PRODUSELOR DIN BLANA,SC ROANA MAR SRL,Nord Est,Suceava,VATRA DORNEI,443354,52346,0,126036,621736,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
27895,Cresterea competitivitatii de piata la SC Damacom SRL ,SC Damacom SRL,Nord Vest,Cluj,CLUJ NAPOCA,678913,80158,0,279975,1039047,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30567,Achizitia de echipamente pentru activitatea de valorificare a deseurilor de catre SC DANMAR SISTEMS SOLUTIONS SRL,SC DANMAR SISTEMS SOLUTIONS SRL,Sud ,Prahova,PLOIESTI,306958,36242,0,291308,634508,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
39043,Cresterea competitivitatii la SC Comprest Agregat SRL prin achizitia de echipamente tehnologice si tehnica de calcul,SC Comprest Agregat SRL,Sud Vest,Olt,CORABIA,768705,90760,0,206272,1065737,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
27436,Calitatea inscrisa in identitate: modernizarea atelierului de productie prin retehnologizare,SC IVP Design SRL,Nord Vest,Cluj,CLUJ NAPOCA,464919,54892,0,129095,648905,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
39110,Achizitie mijloace fixe pentru dezvoltarea SC Geramo Trans SRL,SC Geramo Trans SRL,Sud Vest,Olt,SLATINA,776339,91661,95,235119,1103214,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
39312,Dig Global (Constructii - Valcea),SC Daex Consult SRL,Sud Vest,Valcea,RAMNICU VALCEA,776339,91661,18033,235654,1121687,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
27001,Centru de productie panouri ,"SC PUBLIC CREATION SRL, Buzau ",Sud Est,Buzau,BUZAU,503994,59505,0,137287,700786,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30722,Dezvoltarea durabila a SC SICAL SRL prin extinderea activitatii in domeniul fabricarii de echipamente electrice de iluminat,SC SICAL SRL,Sud ,Dambovita,TARGOVISTE,764712,90288,0,667435,1522435,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30774,Dotarea cu utilaj tehnologic fabrica de mobila SC AMITEL IMPEX SRL,SC AMITEL IMPEX SRL,Sud ,Ialomita,CAZANESTI,661335,78083,0,178452,917870,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30725,Dezvoltarea societatii Ciurea Constructii prin extinderea bazei materiale,SC CIUREA CONSTRUCTII SRL,Sud ,Calarasi,FUNDULEA,749714,88517,0,69882,908113,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30742,Cresterea competitivitatii societatii  AVI CONSTRUCT INVEST SRL prin diversificarea serviciilor prestate,SC AVI CONSTRUCT INVEST SRL,Sud ,Dambovita,GAESTI,262764,31024,0,99897,393685,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30737,Achizitie echipament forat pentru dezvoltarea SC HIDRA DRILL SRL,SC HIDRA DRILL SRL,Sud ,Dambovita,TARGOVISTE,315366,37235,0,88933,441534,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30724,Optometrie pentru viitor,SC SOFT IDEEA SRL,Sud ,Arges,PITESTI,274294,32385,0,99638,406317,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
26337,SC Circuit SRL - reabilitarea termica a halei de productie si achizitionare de echipamente tehnologice pentru cresterea competitivitatii,SC Circuit SRL,Nord Vest,Bistrita Nasaud,BISTRITA,203854,24069,0,70883,298807,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
