Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung / Jahr der Restzahlung,Gewährte Beträge - ERDF und Nationale Mittel ohne Eigenmittel,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Butzbacher Filmtheater Betriebsgesellschaft mbH, Butzbach",Umrüstung des Open-Air-Kinos im Landgrafenschloss (1Leinwand) von analoger auf digitale Projektionstechnik in 2k/4K-Qualität,2011,,"21.000,00"
"BZ Bildungszentrum Kassel GmbH, Kassel",Technologietransfer im Handwerk,2008,,"5.500,00"
"BZ Bildungszentrum Kassel GmbH, Kassel",Modernisierung der Ausstattung in den Bildungszentren der BZ Bildungszentrum Kassel GmbH,2010,,"622.397,30"
"BZH Bildungszentrum Handel und Dienstleistungen gGmbH, Marburg",Technologietransfer im Handel,2008,,"5.000,00"
"BZH Bildungszentrum Handel und Dienstleistungen gGmbH, Marburg","""Beauftragter für Innovation und Technologie - BIT"" im Handel",2009,,"9.569,48"
"cassel creative competence e.V., Kassel",Weiterentwicklung und Ausbau der Marken- und Netzwerkbildung,2008,,"22.900,00"
"Cesah GmbH, Darmstadt",Innovation und Strukturentwicklung basierend auf GALILEO Anwendungen - Fortsetzung,2008,,"21.420,00"
"Christa und Ludwig Böhmer, Büttelborn","Pilot- und Demonstrationsvorhaben ""Brennstoffzelle Viessmann Vitovalor 300-P im Wohnhaus""",2015,,"16.384,00"
"Christine und Michael Schmidt, Bad Arolsen","Pilot- und Demonstrationsvorhaben ""Mikro-KWK-Brennstoffzelle Viessmann Vitovalor 300-P im Wohnhaus""",2015,,"17.532,00"
"Christoph Pappert GmbH & Co. KG (BsG) Pappert Hydrocut GmbH & Co. KG (BtG), Dipperz",Verlagerung / Erweiterung einer Betriebsstätte in 36160 Dipperz,2011,,"309.900,00"
"Cineplex  Marburg GmbH & Co Filmtheater KG, Marburg","Umrüstung von 2 Leinwänden von analoger auf digitale Projektions technik, Capitol Center, 1. Capitol, 2. Cinema, Biegenstr. 8, M.",2011,,"32.816,00"
"Cluster CI3 vertreten durch CI3 Managment UG, Mainz",Cluster CI3 -  Aufbauphase 2013 - 2015,2013,,"200.527,89"
"Cluster CLEO, vertreten durch Energiegenossenschaft Odenwald e.G., Michelstadt",CLEO - Cluster Erneuerbare Energien Odenwald - Verstetigungsphase 2012 - 2014,2012,,"256.172,17"
"Cluster Comptence Center Aerospace (CCA) vertreten durch Wirtschaftsförderung Region Kassel GmbH, Kassel",Cluster- Competence Center Aerospace (CCA) / Aufbauphase 2011 - 2014,2011,,"200.987,93"
"Cluster ""IT FOR WORK"" vertreten durch IHK Darmstadt Service GmbH, Darmstadt","IT FOR WORK - Verstetigungsphase, 2012 - 15",2012,,"340.547,61"
"Cluster Logistik RheinMain, Die Wissensinitiative, vertreten durch House of Logistics & Mobility (HOLM) GmbH, Frankfurt",Cluster Logistik RheinMain - Verstetigungsphase,2011,,"318.571,55"
"Cluster MobilitätRheinMain vertreten durch House of Logsitics and Mobility GmbH, Frankfurt",Cluster MobilitätRheinMain - Aufbauphase 2013 - 2015,2013,,"309.985,15"
"CONPOWER Technik GmbH & Co. KG, Kaufungen",Einstellung eines Innovationsassistenten in 34260 Kaufungen,2011,,"27.400,00"
"Cornelia und Jean-Marc Vogt, Kelkheim","Pilot- und Demonstrationsvorhaben ""Brennstoffzelle Viessmann Vitovalor 300-P im Einfamilienwohnhaus""",2014,,"19.264,00"
"CreAppTec GmbH, Kronberg im Taunus",VibyGo,2015,,"25.000,00"
"DATAWERK GmbH & Co. KG, Kassel",Einstellung eines Innovationsassistenten in 34117 Kassel,2013,,"28.000,00"
"deeliva UG (haftungsbeschränkt), Frankfurt",Marktplatz für Sofortlieferungen,2015,,"25.000,00"
"Der Kreisausschuss des Landkreises Fulda, Fulda",Erstellung eines touristischen Entwicklungsgutachtens mit Masterplan für das Gebiet der Wasserkuppe,2008,,"85.100,00"
"Der Wert J-Werteverwaltungs- GmbH, Starnberg","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Autokino Gravenbruch, 63263 Neu-Isenburg",2011,,"17.500,00"
"Deula gGmbH, Witzenhausen",Modernisierung der Bodenhalle in der DEULA Witzenhausen gGmbH,2011,,"380.480,41"
"Deula gGmbH, Witzenhausen",Modernisierung der Schulungshallen und Werkstätten in der DEULA Witzenhausen gGmbH,2014,,"562.773,89"
"Deutsche Zukunfts-Akademie e.V., Wöllstadt","Kongress ""Regionales Zukunftsmanagement""",2012,,"11.580,00"
"Deutscher Designer Club e. V., Frankfurt am Main",25 Jahre DDC: Ziele des Jubiläums - 25 Jahre,2014,,"44.018,87"
"Deutsches Filminstitut - DIF e.V., Frankfurt am Main","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Deutsches Filmmuseum, Schaumainkai 41, Frankfurt",2011,,"19.500,00"
"Die Filminsel - Kommunales Kino Biblis e.V., Biblis","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Filminsel Biblis, Saal 1, Hintergasse 3, Biblis",2011,,"20.938,00"
"Dieter Liphardt GmbH & Co.KG, Großalmerode","Demonstrationsvorhaben ""Abwärmenutzung durch eine ORC-Anlage mit 2 Modulen in der Feuerfestindustrie""",2015,,"134.900,00"
"Dietz Automation GmbH, Neukirchen-Riebelsdorf",Errichtung einer Betriebsstätte in 34537 Bad Wildungen,2009,,"361.700,00"
"digitop media GmbH, Fulda",Einstellung eines/r Innovationsassistenten/in in 36037 Fulda,2007,,"26.100,00"
"Dr. Ing. Ulrich Esterer GmbH & Co. KG, Helsa",Grundlegende Änderung des Gesamtproduktionsverfahrens einer bestehenden Betriebsstätte,2008,,"626.397,20"
"Dr. Norbert Haspel, Lorsch","Pilot- und Demonstrationsvorhaben ""Brennstoffzellenheizgerät Ceramic Fuel Cells, BlueGEN""",2015,,"15.288,00"
"DVS Innovation GmbH, Eschwege","Errichtung einer Betriebsstätte in 37269 Eschwege, Hessenring 4",2008,,"482.345,18"
"EBS Universität für Wirtschaft und Recht gemeinnützige GmbH, Wiesbaden","Cluster ""Logistik RheinMain. Die Wissensinitiative"" Aufbauphase 2009 - 2011",2008,,"296.969,42"
"EBS Universität für Wirtschaft und Recht gemeinnützige GmbH, Wiesbaden",MarketingXChange - MArketing und Vertriebssupport für kleine Unternehmen,2009,,"38.410,90"
"ECOCAMPING e. V., Konstanz",Klimafreundlich Campen in Hessen 2013/2014,2013,,"49.800,00"
"eCommerce-Kompetenzzentrum Nordhessen GbR, Kassel",eCommerce-Center-Nordhessen,2008,,"140.000,00"
"eCommerce-Kompetenzzentrum Nordhessen GbR, Kassel",eCommerce Center Nordhessen (ECCN) Folgeantrag 2010 - 2011,2010,,"138.856,84"
