Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung / Jahr der Restzahlung,Gewährte Beträge - ERDF und Nationale Mittel ohne Eigenmittel,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Holzbau Deutschland Verband Hessischer Zimmermeister e. V., Kassel","Holzbau-Cluster, Initiierungsphase Juni bis Dezember 2015",2015,,"25.000,00"
"Holzbau Gutmann GmbH, Hilders","Demonstrationsvorhaben ""Holzvergasungsanlage im Betrieb Holzbau Gutmann GmbH in Hilders-Brandt""",2012,,"172.900,00"
"Holzfachschule Bad Wildungen e.V., Bad Wildungen",Technologietransfer-Stelle,2008,,"11.000,00"
"Holzfachschule Bad Wildungen e.V., Bad Wildungen",Ersatzbeschaffung im Bereich Modellbauerhandwerk / 3D Drucker,2008,,"20.991,00"
"Holzfachschule Bad Wildungen e.V., Bad Wildungen",Innovation und wissensbasierte Wirtschaft 2009,2009,,"22.000,00"
"Holzfachschule Bad Wildungen e.V., Bad Wildungen",Innovation und wissensbasierte Wirtschaft 2010,2010,,"15.773,32"
"Holzfachschule Bad Wildungen e.V., Bad Wildungen",Modernisierung der Ausstattung im Fachbereich Holzverarbeitung /  Tischlerhandwerk der Holzfachschule Bad Wildungen,2010,,"293.000,00"
"Holzfachschule Bad Wildungen e.V., Bad Wildungen",Beauftragter für Innovation und Technologie im Handwerk 2011,2011,,"15.764,20"
"Holzfachschule Bad Wildungen gGmbH, Bad Wildungen",Ersatzbeschaffungen im Modellbauerhandwerk / Messgeräte und Maschinen,2009,,"138.614,27"
"Holzfachschule Bad Wildungen gGmbH, Bad Wildungen",Modernisierung der Ausstattung an der Bundesfachschule des Deutschen Modellbauerhandwerks in Bad Wildungen,2012,,"401.509,78"
"Holzfachschule Bad Wildungen gGmbH, Bad Wildungen","Ersatzinvestition in die Ausstattung der Holzfachschule Bad Wildungen mit Maschinen, Werkzeugen und Geräten",2014,,"5.785,21"
"Holzfachschule Bad Wildungen gGmbH, Bad Wildungen",Ersatzinvestitionen in die Ausstattung von EDV-Geräten der Holzfachschule Bad Wildungen,2015,,"7.331,00"
"Holzfachschule Bad Wildungen gGmbH, Bad Wildungen","Ersatzinvestition in die Ausstattung von Maschinen, Werkzeugen, Geräten und Gebäuden der Holzfachschule Bad Wildungen",2015,,"18.381,62"
"Holzfachschule Bad Wildungen gGmbH, Bad Wildungen",Ersatzinvestition in die Ausstattung von Maschinen und Werkzeugen zur Durchführung neuer TSM 3 Lehrgänge für Auszubildende aus Fensterbaufachbetrieben in der Holzfachschule Bad Wildungen,2015,,"22.500,00"
"Hotel Röse & Biber Kinocenter Mirko Rehs, Bebra",Umrüstung von 2 Leinwänden von analoger auf digitale Projektionstechnik in 2K/4K Qualität,2011,,"38.692,20"
"House of IT e.V., Darmstadt",CIRECS - Center for Industrial Research in Cloud Security 2013-2014,2013,,"36.013,03"
"House of Logistics and Mobility (HOLM) GmbH, Frankfurt",Cluster MobilitätRheinMain - Initiierungsphase,2012,,"18.937,86"
"House of Pharma and Healthcare c/o Präsidium der Goethe- Universität, Frankfurt",House of Pharma & Healthcare,2014,,"231.934,89"
"HSE Abwasserreinigung GmbH & Co. KG, Darmstadt","Demonstrationsvorhaben ""Thermische Kältebereitstellung mittels Adsorptionskälteanlage im Zentralklärwerk Darmstadt""",2012,,"103.775,53"
"Hydrokomp GmbH, Mücke",Erweiterung einer Betriebsstätte in 35325 Mücke,2008,,"131.800,00"
"Hydrotechnik GmbH, Limburg a.d. Lahn",Erweiterung einer Betriebsstätte in 65549 Limburg,2008,,"372.600,00"
"Iacta Capital GmbH, Darmstadt",OSKAR,2014,,"25.000,00"
"Icecream Cloud Software UG (haftungsbeschränkt), Darmstadt",easy vineyard,2014,,"24.804,89"
"IdE - Institut dezentrale Energie- technologien gGmbH, Kassel",Anwendungszentrum IdE (Institut dezentrale Energietechnologien),2011,"2.500.000,00",
"IdE - Institut dezentrale Energie- technologien gGmbH, Kassel",INSEL in Hessen - Intelligente Steuerung elektrischer Industrie-Lasten in Hessen,2014,,"50.894,84"
"IHK Darmstadt Service GmbH, Darmstadt",Automotive-Cluster RheinMainNeckar,2009,,"34.000,00"
"IHK Darmstadt Service GmbH, Darmstadt","Netzwerk ""Automatisierungsregion Rhein Main Neckar"" Aufbauphase,  2010 - 2012",2010,,"43.580,49"
"IHK Darmstadt Service GmbH, Darmstadt",Netzwerk Automatisierungsregion RheinMainNeckar - Verstetigungsphase 01/2013 bis 12/2015,2013,,"133.247,04"
"IHK Frankfurt am Main, Frankfurt am Main",Außenwirtschaftsberatung durch die IHK Frankfurt im Jahr 2008,2008,,"66.460,00"
"IHK Frankfurt am Main, Frankfurt am Main",Außenwirtschaftsberatung durch die IHK Frankfurt im Jahr 2009,2009,,"60.432,00"
IK Arbeitsgemeinschaft Hessisches Kegelspiel,Interkommunales Dienstleistungszentrum - Kegelspielhaus,2015,,"785.968,92"
"Ilse Debus, Lustadt","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"15.882,89"
"impex-polymer-Service GmbH, Reinhardshagen","Verlagerung einer Betriebsstätte nach 34359 Reinhardshagen, Industriegebiet Süd, Kreis Kassel",2007,,"739.000,00"
"Industrie- und Handelskammer Darmstadt Rhein Main Neckar, Darmstadt","Netzwerk ""Automatisierungsregion Rhein Main Neckar""",2008,,"17.417,00"
"Industrie- und Handelskammer Darmstadt Rhein Main Neckar, Darmstadt",Aufbauphase des Software-Cluster Rhein Main Neckar 2009 - 2011,2009,"327.932,49",
"Industrie- und Handelskammer Frankfurt am Main, Frankfurt am Main",Außenwirtschaftsberatung durch die IHK Frankfurt im Jahr 2010,2010,,"56.018,00"
"Industrie- und Handelskammer Frankfurt am Main, Frankfurt am Main",Außenwirtschaftsberatung durch die IHK Frankfurt im Jahr 2011,2011,,"62.438,40"
"Industrie- und Handelskammer Frankfurt am Main, Frankfurt am Main",Außenwirtschaftsberatung durch die IHK Frankfurt im Jahr 2012,2012,,"71.302,20"
"Industrie- und Handelskammer Frankfurt am Main, Frankfurt am Main",Durchführung des Hessischen Außenwirtschaftstages 2013 am 02.07.2013 in Frankfurt,2012,,"15.000,00"
"Industrie- und Handelskammer Frankfurt am Main, Frankfurt am Main",Durchführung der Außenwirtschaftsberatungen 2013 durch die ArGe Hessen der Industrie- und Handelskammern,2013,,"33.260,00"
"Industrie- und Handelskammer Frankfurt am Main, Frankfurt am Main",Durchfürung der länderspezifischen Marktberatungen 2014 durch die ArGe Hessen der Industrie- und Handelskammern,2014,,"18.140,00"
"Industrie- und Handelskammer Frankfurt am Main, Frankfurt am Main",Hessischer Exportpreis 2015,2015,,"15.000,00"
"Industrie- und Handelskammer Frankfurt am Main, Frankfurt am Main",Durchführung der länderspezifischen Marktberatungen 2015,2015,,"16.740,00"
"Industrienetzwerk Optik, Elektronik, Mechanik, vertreten durch Magistrat der Stadt Wetzlar, Wetzlar","Industrienetzwerk Optik, Elektronik, Feinmechanik Verstetigungsphase 2013 - 2015",2013,,"74.025,74"
"Initiative Frauen, Leben und Arbeit in Mittelhessen e.V. Frau Ulrike Hoffmann, Gießen",Frauen-Mentoring-Programm Mittelhessen <S.E.T> 2008-2009,2008,,"66.161,00"
"Initiative Frauen, Leben und Arbeit in Mittelhessen e.V. Frau Ulrike Hoffmann, Gießen",Frauen-Mentoring-Programm Mittelhessen <S.E.T.> 2010/2011,2010,,"64.431,97"
"Innung der Metallhandwerke, Bad Hersfeld",Modernisierung der Ausstattung im BBZ Metall in Bad Hersfeld,2013,,"36.229,93"
"Innung der Metallhandwerke, Bad Hersfeld",Modernisierung der Ausstattung in Unterrichts- und Praxisräumen im BBZ Metall in Bad Hersfeld,2014,,"19.427,00"
"Innung des Bauhandwerks Vogelsbergkreis, Lauterbach","Ergänzung der Ausstattung für überbetriebliche Ausbildung im BZ Bau Osthessen Lauterbach, Lindenstraße 115, 36341 Lauterbach",2014,,"36.083,88"
"Institut für Freie Berufe an der Friedrich-Alexander-Universität Erlangen-Nürnberg e.V., Nürnberg",Beratungsdienstleistungen für Angehörige Freier Berufe in Hessen 2/2008,2008,,"22.600,00"
"Institut für Freie Berufe an der Friedrich-Alexander-Universität Erlangen-Nürnberg e.V., Nürnberg","Info, Beratung und Coaching für Angehörige Freier Berufe in Hessen 2009",2009,,"44.750,00"
"Institut für Freie Berufe an der Friedrich-Alexander-Universität Erlangen-Nürnberg e.V., Nürnberg","Information, Beratung und Coaching 2010",2010,,"50.820,97"
"Institut für Freie Berufe an der Friedrich-Alexander-Universität Erlangen-Nürnberg e.V., Nürnberg","Information, Beratung und Coaching von Gründern in Freien Berufen in Hessen 2011",2011,,"44.300,00"
"Institut für Freie Berufe an der Friedrich-Alexander-Universität Erlangen-Nürnberg e.V., Nürnberg","Information, Beratung und Coaching von Gründern in Freien Berufen in Hessen 2012-2013",2012,,"88.600,00"
"Institut für Freie Berufe an der Friedrich-Alexander-Universität Erlangen-Nürnberg e.V., Nürnberg",Information und Beratung von Gründern in Freien Berufen in Hessen 2014,2014,,"44.300,00"
"Institut für Freie Berufe an der Friedrich-Alexander-Universität Erlangen-Nürnberg e.V., Nürnberg",Information und Beratung von Gründern in Freien Berufen in Hessen 2015,2015,,"41.299,36"
"Institut Wohnen und Umwelt, Darmstadt","Wissenschaftl.Begleituntersuchungen zur energetischen Modernisierung der Gebäude Rotlintstr.116-128, Ffm., 1.Teil",2011,,"118.000,00"
"Institut Wohnen und Umwelt, Darmstadt","Wissenschaftl.Begleituntersuchungen zur energetischen Modernisierung der Gebäude Rotlintstr.116-128, Ffm., 2.Teil",2013,,"108.190,80"
"Institut Wohnen und Umwelt, Darmstadt","Entwicklung, Erprobung+Einführung einer differenzierten Verbrauchsstrukturanalyse für bestehende Nichtwohngebäude",2014,,"299.000,00"
"Interkommunale Arbeitsgemeinschaft Hessisches Kegelspiel, Hünfeld","Neubau (Anbau) ""Bürgerorientiertes Dienstleistungszentrum"" Nüsttal",2012,,"374.997,20"
"Interkommunale Arbeitsgemeinschaft Hessisches Kegelspiel, Hünfeld",Interkommunales Zentrum für Senioren und Soziales,2014,,"1.924.166,70"
"Interkommunale Kooperation Pro Region Mittleres Fuldatal, ZuBRA, Bebra",Alheim-Haus der Genarationen,2012,,"1.226.500,00"
"Interkommunale Kooperation Pro Region Mittleres Fuldatal, ZuBRA, Bebra","Statisch konstruktive Sicherung des Lokschuppen II, Industriedenkmal Bhf Bebra",2015,"306.900,00",
"ITS Hessen e. V. c/o House of Logistics and Mobility Gateway Gardens, Frankfurt",Kompetenzcluster ITS Hessen - Initiierungsphase,2010,,"25.000,00"
"ITS Hessen e. V. c/o House of Logistics and Mobility Gateway Gardens, Frankfurt",Kompetenzcluster ITS Hessen - Aufbauphase 2012 - 2015,2012,,"66.227,80"
"JAFKA Gemeinnützige Gesellschaft für Aus- und Fortbildung mbH, Kassel",Modernisierung der Ausstattung in den Ausbildungswerkstätten und Schulungsräumen der JAFKA gGmbH in Kassel,2010,,"164.100,00"
"Joachim Lucas, Freigericht","Pilot- und Demonstrationsvorhaben ""Brennstoffzellenheizgerät Ceramic fuel Cells, BlueGEN""",2015,,"18.552,00"
"Johannes & Michael Otto GbR Johannes & Michael Otto Immobilien GbR, Bad Endbach-Schlierbach","Erweiterung und Verlagerung einer Betriebsstätte in 35080 Bad Endbach, OT Schlierbach",2013,,"158.700,00"
"Johannes Hübner Fabrik elektrischer Maschinen GmbH, Gießen","Pilot- und Demonstrationsvorhaben ""Brennstoffzellenheizgerät Ceramic Fuel Cells, BlueGEN""",2015,,"14.450,00"
"Jotena3D e. K., Darmstadt",Entwicklung eines dezentral vernetzt einsetzbaren 3D-Kopfscannersystems,2014,,"48.800,00"
"Jugendwerkstatt Felsberg e. V., Felsberg",Ausbau und Ausstattung von Werkstatt- und Schulungsräumen in der Jugendwerkstatt Felsberg e. V.,2009,,"168.500,00"
"Jugendwerkstatt Gießen e.V., Gießen",Modernisierungsbeschaffungen,2009,,"66.688,00"
"Jugendwerkstatt Gießen e.V., Gießen",Beschaffung von Ausstattungen für die Entwicklung neuer Ausbildungs- und Qualifizierungsfelder,2010,,"13.031,71"
"Jugendwerkstatt Gießen e.V., Gießen",Modernisierung und Ergänzung der Ausstattung zum Erhalt und Verbesserung der Ausbildungsqualität in der Jugendwerkstatt Gießen e. V.,2013,,"19.507,13"
"Julia Halbritter, Bad Soden am Taunus","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Kult Kinobar",2013,,"12.559,97"
"jumpp Frauenbetriebe e.V., Frankfurt am Main",Koordinierungsstelle Frau & Wirtschaft 2015,2015,,"75.825,00"
"jumpp Frauenbetriebe e.V., Frankfurt am Main",Gender Gap - Generationswechsel in KMU 2015,2015,,"36.500,00"
"Junghans Kunststoffwaren-Fabrik GmbH & Co. KG, Hessisch Lichtenau",Erweiterung einer Betriebsstätte in Hessisch-Lichtenau,2009,,"655.000,00"
"Kaisersaal- Lichtspiele Frau Herzing-Müller, Münster","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Kaisersaal- Lichtspiele, Darmstädter Str. 23, Münster",2011,,"20.016,12"
"KAPPA Antipasti GmbH, Hüttenberg",Erweiterung einer Betriebsstätte in 35625 Hüttenberg,2012,,"437.527,68"
"Karl Alfons Gass GmbH & Co. KG, Alsfeld",Einstellung eines Innovationsassistenten in 36304 Alsfeld,2013,,"30.000,00"
"Katja Schmidt, Bad Camberg",Demonstrationsvorhaben Installation Biomasse-Stirling BHKW Sunmachine,2009,,"13.700,00"
"Kino Traumstern GbR Gsänger & Langer, Lich","Umrüstung einer Leinwand von analoger auf digitale Projektions technik, Kino Traumstern",2012,,"18.906,00"
"Kinobetriebe Ortwein Wilhelm Ortwein e.K., Frankenberg","Kinodigitalisierung-Umrüstung von analoger auf digitale Projekti onstechnik, Thalia-Kinotreff /Kino C",2014,,"10.461,00"
"Kinocenter Alsfeld Karl-Werner Rehs, Alsfeld","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Kinocenter Alsfeld, Kinosaal ""Jet"", Marburger Str. 11",2011,,"19.392,00"
"Kinocenter Alsfeld Mirko Rehs, Alsfeld","Umrüstung von 2 Leinwänden von analoger auf digitale Projektions technik des Kinocenters Alsfeld, Neues Theater und Bambi",2011,,"39.762,00"
"Kino-Kelkheim e.V., Kelkheim",Umrüstung von 2 Leinwänden von analoger auf digitale Projek- tionstechnik in 2K/4K Qualität,2012,,"39.300,00"
"Kirchner Solar Group GmbH, Alheim-Heinebach",Erweiterung einer Betriebsstätte in 36211 Alheim-Heinebach,2008,,"282.042,97"
"KIZ SINNOVA Gesellschaft für soziale Innovationen gGmbH, Offenbach",Gründertage Hessen 2008 in Idstein,2008,,"24.000,00"
"KIZ SINNOVA Gesellschaft für soziale Innovationen gGmbH, Offenbach",Gründertage Hessen 2009 in Gießen,2009,,"25.000,00"
"KIZ SINNOVA Gesellschaft für soziale Innovationen gGmbH, Offenbach",Gründertage Hessen 2010,2010,,"27.500,00"
"KIZ SINNOVA Gesellschaft für soziale Innovationen gGmbH, Offenbach",Gründertage Hessen 2011 in der Region Kassel,2011,,"25.000,00"
"KIZ SINNOVA Gesellschaft für soziale Innovationen gGmbH, Offenbach",Gründertage Hessen 2012,2012,,"25.000,00"
"KIZ SINNOVA Gesellschaft für soziale Innovationen gGmbH, Offenbach",Gründertage Hessen 2013,2013,,"25.000,00"
"KIZ SINNOVA Gesellschaft für soziale Innovationen gGmbH, Offenbach",Gründertage Hessen 2014,2014,,"25.000,00"
"KIZ SINNOVA Gesellschaft für soziale Innovationen gGmbH, Offenbach",Gründertage Hessen 2015,2015,,"25.000,00"
"Klaus Bonadt, Niedernhausen",Demonstrationsvorhaben Installation Biomasse-Stirling BHKW Sunmachine,2009,,"21.300,00"
"Klaus und Susanne Brameyer, Langen","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"12.910,51"
"KompetenzNetz Umwelttechnologie vertreten durch ECOWIN GmbH, Wettenberg",KompetenzNetz UmweltTechnologie - KNUT Verstetigungsphase 2012 - 14,2012,,"219.000,00"
"Kompetenznetzwerk Dezentrale Energietechnologien e.V. (deENet), Kassel","Organisation, Moderation + Energieberatung der 2.Phase des Modellvorhabens ""Energieeffizienztisch Nordhessen""",2012,,"177.000,00"
"Kompetenznetzwerk Dezentrale Energietechnologien Nordhessen e.V., Kassel","Cluster ""Dezentrale Energietechnologien - Verstetigungsphase 2008 - 2010""",2008,,"327.227,69"
"Kompetenzzentrum HessenRohstoffe e. V., Witzenhausen",Holzcluster Hessen: Initiierungsphase,2009,,"25.000,00"
"Kompetenzzentrum HessenRohstoffe e. V., Witzenhausen","Cluster ""Bauen und Sanieren mit Naturbaustoffen in Hessen"" Initiierungsphase",2011,,"25.000,00"
"Korbacher Energiezentrum GmbH & Co. KG, Korbach",Verlagerung einer Betriebsstätte mit Erweiterung in 34493 Korbach,2012,,"285.102,18"
"Kreisausschuss des Kreises Lahn-Dill, Wetzlar",Veranstaltungsreihe zur Förderung beruflicher Kompetenzen von Frauen,2008,,"3.345,00"
"Kreisausschuss des Lahn-Dill-Kreises, Wetzlar",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Lahn-Dill- Kreises,2008,,"206.607,44"
"Kreisausschuss des Lahn-Dill-Kreises, Wetzlar","Modernisierung und Ergänzung der IuK-Ausstattung in der Werner-von-Siemens-Schule in Wetzlar, in der Theodor-Heuss-Schule in Wetzlar, in der Käthe-Kollwitz-Schule in Wetzlar, in den Kaufmännischen Schulen in Dillenburg und in den Gewerblichen Schulen in Dillenburg",2012,,"129.259,47"
"Kreisausschuss des Landkreises Fulda, Fulda",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Landkreises Fulda,2008,,"128.000,00"
"Kreisausschuss des Landkreises Fulda, Fulda",Modernisierung und Ergänzung der IUK-Ausstattung der beruflichen Schulen im Landkreis Fulda,2010,,"37.545,75"
"Kreisausschuss des Landkreises Fulda, Fulda",Modernisierung und Ergänzung der IuK-Ausstattung in der Eduard- Stieler-Schule in Fulda,2012,,"40.304,00"
"Kreisausschuss des Landkreises Fulda, Fulda",Modernisierung und Ergänzung der IuK-Ausstattung in der Konrad-Zuse-Schule in Hünfeld,2012,,"40.834,00"
"Kreisausschuss des Landkreises Hersfeld-Rotenburg, Bad Hersfeld",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Landkreises Hersfeld-Rotenburg,2008,,"201.000,00"
"Kreisausschuss des Landkreises Hersfeld-Rotenburg, Bad Hersfeld","Modernisierung und Ergänzung der IuK-Ausstattung in den Beruflichen Schulen in Bebra, in der Modellschule Obersberg in Bad Hersfeld und in den Beruflichen Schulen Bad Hersfeld in Bad Hersfeld und Philippsthal",2012,,"73.887,54"
"Kreisausschuss des Landkreises Kassel Amt für Schulen und Bauwesen, Hofgeismar",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Landkreises Kassel,2008,,"31.301,89"
"Kreisausschuss des Landkreises Kassel Amt für Schulen und Bauwesen, Hofgeismar",Modernisierung und Ergänzung der IuK-Ausstattung der beruflichen Schulen des Landkreises Kassel,2009,,"10.165,65"
"Kreisausschuss des Landkreises Kassel Amt für Schulen und Bauwesen, Hofgeismar",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2011,,"20.024,95"
"Kreisausschuss des Landkreises Kassel Amt für Schulen und Bauwesen, Hofgeismar",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2011,,"14.295,47"
"Kreisausschuss des Landkreises Marburg-Biedenkopf, Marburg",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Landkreises Marburg-Biedenkopf,2008,,"143.419,00"
"Kreisausschuss des Landkreises Marburg-Biedenkopf, Marburg",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2009,,"69.087,79"
"Kreisausschuss des Landkreises Marburg-Biedenkopf, Marburg",Modernisierung und Ergänzung der IUK-Ausstattung der Berufliche Schulen Biedenkopf,2010,,"21.200,00"
"Kreisausschuss des Landkreises Marburg-Biedenkopf, Marburg",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2011,,"19.950,71"
"Kreisausschuss des Landkreises Marburg-Biedenkopf, Marburg",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2011,,"7.500,00"
"Kreisausschuss des Landkreises Marburg-Biedenkopf, Marburg",Modernisierung und Ergänzung der IUK-Ausstattung in den Beruflichen Schulen Kirchhain,2012,,"21.444,92"
"Kreisausschuss des Landkreises Marburg-Biedenkopf, Marburg",Modernisierung und Ergänzung der IuK-Ausstattung in den Beruflichen Schulen Biedenkopf,2012,,"20.200,00"
"Kreisausschuss des Main-Kinzig-Kreises Amt 20 Finanz-, Rechnungswesen und EDV, Gelnhausen",Modernisierung und Ergänzung der IuK-Ausstattung in der Kinzigschule in Schlüchtern,2012,,"23.342,13"
"Kreisausschuss des Main-Kinzig-Kreises Amt 20 Finanz-, Rechnungswesen und EDV, Gelnhausen",Modernisierung und Ergänzung der IuK-Ausstattung in den Beruflichen Schulen in Gelnhausen,2012,,"49.555,84"
"Kreisausschuss des Main-Kinzig-Kreises, Gelnhausen",Modernisierung und Ergänzung der IuK-Ausstattung der berulfichen Schulen des Main- Kinzig-Kreises,2009,,"54.000,00"
"Kreisausschuss des Odenwaldkreises, Erbach",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Odenwaldkreises,2008,,"131.671,01"
"Kreisausschuss des Schwalm-Eder-Kreises, Homberg (Efze)",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Schwalm- Eder-Kreises,2008,,"396.782,00"
"Kreisausschuss des Schwalm-Eder-Kreises, Homberg (Efze)",Modernisierung und Ergänzung der IUK-Ausstattung in der Radko-Stöckl-Schule in Melsungen,2011,,"10.236,97"
"Kreisausschuss des Vogelsbergkreises, Lauterbach",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Vogelsbergkreises,2008,,"179.025,00"
"Kreisausschuss des Vogelsbergkreises, Lauterbach",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2009,,"39.784,00"
"Kreisausschuss des Vogelsbergkreises, Lauterbach",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2010,,"40.134,00"
"Kreisausschuss des Vogelsbergkreises, Lauterbach",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2011,,"31.930,54"
"Kreisausschuss des Vogelsbergkreises, Lauterbach",Modernisierung und Ergänzung der IuK-Ausstattung in der Vogelsbergschule in Lauterbach,2012,,"49.179,00"
"Kreisausschuss des Wetteraukreises, Friedberg",Modernisierung und Ergänzung der IuK-Ausstattung in der Beruflichen Schule in Butzbach,2012,,"26.352,11"
"Kreisausschuss des Wetteraukreises, Friedberg",Beschaffung einer CNC-Fräsmaschine für die Berufliche Schule in Nidda,2012,,"35.494,00"
"Kreisausschuss des Wetteraukreises, Friedberg",Modernisierung und Ergänzung der IuK-Ausstattung in der Beruflichen Schule in Büdingen,2013,,"32.864,89"
"Kreisausschuss des Wetteraukreises, Friedberg",Modernisierung und Ergänzung der IuK-Ausstattung in der Kaufmännischen Schule des Wetteraukreises in Bad Nauheim,2013,,"20.348,27"
"Kreisausschuss des Wetteraukreises, Friedberg",Beschaffung einer CNC-Fräsmaschine für die Johann-Philipp-Reis- Schule in Friedberg,2014,,"47.268,48"
"Kreishandwerkerschaft Bergstraße, Bensheim",Unternehmensnachfolge in Handwerksbetrieben 01.05.2012-31.12.2014,2012,,"28.163,71"
"Kreishandwerkerschaft Hersfeld-Rotenburg, Bad Hersfeld",Beschaffung eines Staplers für den Einsatz auf dem Gelände der Lehrbaustelle in Bebra,2012,,"24.384,58"
"Kreishandwerkerschaft Waldeck-Frankenberg, Korbach",Entwicklung einer Übergabeagentur (Change Agency),2008,,"238.041,53"
"Kreishandwerkerschaft Waldeck-Frankenberg, Korbach",Modernisierung der Ausstattung im BBZ Korbach,2008,,"277.976,00"
"Kreishandwerkerschaft Waldeck-Frankenberg, Korbach",Machbarkeitsstudie für eine Qualifizierung zum Einsatz regenerativer Energieträger,2009,,"10.000,00"
"Kreishandwerkerschaft Waldeck-Frankenberg, Korbach",Modernisierung und Ergänzung der Ausstattung im BBZ Korbach der Kreishandwerkerschaft Waldeck-Frankenberg,2010,,"49.730,41"
"Kreishandwerkerschaft Waldeck-Frankenberg, Korbach",Fortführung und Weiterentwicklung der Übergabeagentur (Change Agency),2011,,"95.217,46"
"Kreishandwerkerschaft Waldeck-Frankenberg, Korbach",Modernisierung der Ausstattung im BBZ Korbach,2011,,"51.000,00"
"Kreiswerke Main-Kinzig GmbH, Gelnhausen","Pilot- und Demonstrationsvorhaben ""Mikro-KWK-Brennstoffzelle BlueGEN""",2015,,"9.360,00"
"Kronberger Lichtspiele Werner Hirsch, Kronberg","Umrüstung einer Leinwand von analoger auf digitale Projektions- technik, Kronberger Lichtspiele, Friedrich-Ebert-Straße 1, Kron.",2012,,"19.500,00"
"Kronenlichtspiele Willi & Helga Rebell, Rodgau","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Kronenlichtspiele, Kinosaal ""Cinema""",2012,,"15.812,00"
"Kronenlichtspiele Willi & Helga Rebell, Rodgau","Umrüstung einer Leinwand von analoger auf digitale Projektionstechnik, Kronenlichtspiele, Kinosaal ""Movie""",2012,,"12.625,88"
"Krüger Erodiertechnik GmbH & Co. KG, Biedenkopf",Erweiterung einer Betriebsstätte in 35216 Biedenkopf,2011,,"294.115,63"
"Kultur123 Stadt Rüsselsheim, Rüsselsheim",Modernisierung und Ergänzung der Ausstattung für die vhs- Bildungszentren in der Kürbisstraße und Feuerbachstraße,2014,,"11.023,12"
"Kunststoff Cluster Nordhessen vertreten durch Universität Kassel, Kassel",Kunststoff Cluster Nordhessen - Verstetigungsphase - 10/2013 bis 12/2015,2013,,"148.152,66"
"Kuntschar Energieerzeugung GmbH, Wolfhagen-Ippinghausen",Erweiterung einer Betriebsstätte in 34466 Wolfhagen-Ippinghausen,2009,,"414.000,00"
"Lahn-Dill-Kreis, Wetzlar",Machbarkeitsuntersuchung zur Vorbereitung von Breitbandinfra strukturmaßnahmen für einOdenwaldkreis in Michelstadt,2011,,"37.574,96"
"Kuntschar Energieerzeugung GmbH, Wolfhagen-Ippinghausen",Erweiterung einer Betriebsstätte in 34466 Wolfhagen-IppinghausenOdenwaldkreis in Michelstadt,2009,,"414.000,00"
"Lahn-Dill-Kreis, Wetzlar",Vorbereitung u. Begleitung von überörtlichen Breitband- Infrastrukturmaßnahmen,2012,,"34.898,84"
"Lahn-Dill-Kreis, Wetzlar",Vorbereitung und Begleitung von überörtlichen Infrastrukturmaß- nahmen - Umsetzung der Ergebnisse der Machbarkeitsstudie (2013),2013,,"29.992,16"
"Lahnpark GmbH, Gießen",Integriertes Entwicklungskonzept Lahnpark,2010,,"25.000,00"
"Landesinnung Hessen-Thüringen Kälte-Klima-Technik KdöR, Maintal",Technologietransfer-Stelle,2008,,"11.000,00"
"Landesinnung Hessen-Thüringen Kälte-Klima-Technik KdöR, Maintal",Technologie-Transfer-Stelle der Bundesfachschule Kälte-Klima-Technik,2009,,"11.000,00"
