Begünstigte/r,Maßnahmebezeichnung,Jahr der Bewilligung / Jahr der Restzahlung,Bewilligte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Kreissportbund OPR,Teilprojekt Regionalbudget Ostprignitz-Ruppin,2010,,"58.406,86"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"25,20"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"25,20"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"60,48"
Kreisvolkshochschule Barnim,Bildungsscheck,2013,,"60,90"
Kreisvolkshochschule Barnim,Bildungsscheck,2013,,"60,90"
Kreisvolkshochschule Barnim,Bildungsscheck,2011,,"62,41"
Kreisvolkshochschule Barnim,Bildungsscheck,2011,,"63,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"63,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"63,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"63,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"63,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"63,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2013,,"63,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2013,,"63,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2013,,"63,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2011,,"84,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"84,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"100,80"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"101,09"
Kreisvolkshochschule Barnim,Bildungsscheck,2011,,"112,00"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"117,94"
Kreisvolkshochschule Barnim,Bildungsscheck,2012,,"126,00"
"Kreisvolkshochschule Landkreis Elbe-Elster
Regionalstelle Bad Liebenwerda",Bildungsscheck,2011,,"58,80"
"Kreisvolkshochschule Landkreis Elbe-Elster
Regionalstelle Bad Liebenwerda",Bildungsscheck,2011,,"84,00"
"Kreisvolkshochschule Landkreis Elbe-Elster
Regionalstelle Bad Liebenwerda",Bildungsscheck,2013,,"225,40"
"Kreisvolkshochschule Landkreis Elbe-Elster
Regionalstelle Bad Liebenwerda",Bildungsscheck,2013,,"225,40"
"Kreisvolkshochschule Landkreis Elbe-Elster
Regionalstelle Bad Liebenwerda",Bildungsscheck,2011,,"270,20"
"Kreisvolkshochschule Landkreis Elbe-Elster
Regionalstelle Bad Liebenwerda",Bildungsscheck,2011,,"315,00"
"Kreisvolkshochschule Landkreis Elbe-Elster
Regionalstelle Bad Liebenwerda",Bildungsscheck,2011,,"315,00"
"Kreisvolkshochschule Landkreis Elbe-Elster
Regionalstelle Bad Liebenwerda",Bildungsscheck,2012,,"393,75"
"Kreisvolkshochschule Landkreis Elbe-Elster
Regionalstelle Bad Liebenwerda",Bildungsscheck,2013,,"393,75"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2010,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2010,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2010,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2010,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2010,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2011,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2011,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2011,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2012,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2012,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2012,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2013,,"56,70"
Kreisvolkshochschule Oberspreewald-Lausitz,Bildungsscheck,2013,,"56,70"
Kreisvolkshochschule Uckermark,Bildungsscheck,2010,,"63,28"
Kreisvolkshochschule Uckermark,Bildungsscheck,2010,,"65,80"
Kreisvolkshochschule Uckermark,Bildungsscheck,2010,,"85,40"
Kreisvolkshochschule Uckermark,Bildungsscheck,2010,,"115,50"
Kreisvolkshochschule Uckermark,Bildungsscheck,2010,,"118,80"
Kreisvolkshochschule Uckermark,Bildungsscheck,2010,,"196,00"
Kreisvolkshochschule Uckermark,Bildungsscheck,2010,,"2.028,60"
Kreisvolkshochschule Uckermark,Bildungsscheck,2011,,"39,20"
Kreisvolkshochschule Uckermark,Bildungsscheck,2011,,"39,20"
Kreisvolkshochschule Uckermark,Bildungsscheck,2011,,"61,88"
Kreisvolkshochschule Uckermark,Bildungsscheck,2011,,"85,96"
Kreisvolkshochschule Uckermark,Bildungsscheck,2012,,"176,40"
"Krenz, Uwe Weiterbildung",Bildungsscheck,2010,,"450,00"
"Krenz, Uwe Weiterbildung",Bildungsscheck,2011,,"450,00"
"Krenz, Uwe Weiterbildung",Bildungsscheck,2011,,"450,00"
"Krenz, Uwe Weiterbildung",Bildungsscheck,2011,,"450,00"
"Krenz, Uwe Weiterbildung",Bildungsscheck,2012,,"459,00"
"Krenz, Uwe Weiterbildung",Bildungsscheck,2011,,"500,00"
"Krenz, Uwe Weiterbildung",Bildungsscheck,2012,,"1.000,00"
"Krenz, Uwe Weiterbildung","Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2013,"7.470,00",
Kretzmann Elektro GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"17.186,40",
"Kreutz, Elvira Floristik & Blumenfachhandel","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"5.967,00",
"Kreuzkönigin Märchen u. Mehr
Peggy Neumann Eberswalde","Qualifizierung in kleinen und mittleren Unternehmen -Ausbildung zum Kinder -und
Jugendcoach / Potenzialtrainer Professional",2014,,"1.741,60"
Kriesel-Bumann GbR Schönmacherei,Bildungsscheck,2012,,"682,07"
"Kröger, Frank Autohaus","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"22.500,00",
Kröger's Centrum für technische Orthopädie GmbH,"Qualifizierung in kleinen und mittleren Unternehmen -Teamcoaching, Einzelcoaching",2014,"3.737,65",
Kronoply GmbH,Verbundausbildung - Grundlagen der Elektrotechnik,2012,,"2.120,00"
Kronotex GmbH & Co. KG,Verbundausbildung - Industriemechaniker,2010,,"2.760,00"
"Kronschwitz, Luisa, ""Professionelle
Wagenpflege Royal Carwash""","Existenzgründung ""Professionelle Wagenpflege Royal Carwash""",2013,,"8.231,00"
"Kronschwitz, Ron, Hausmeisterservice",Qualifizierung in kleinen und mittleren Unternehmen - Industriekletter-Kurs,2010,,"632,00"
"Krug, Simone Büroservice","Qualifizierung in kleinen und mittleren Unternehmen -AdA Schein und Einstellung
eines Mitarbeiters",2013,,"445,06"
"Krüger, Lutz Krüger-Modellbau",Qualifizierung in kleinen und mittleren Unternehmen -Schutzgasschweißen,2014,,"731,40"
"Krüger, Lutz Krüger-Modellbau",Qualifizierung in kleinen und mittleren Unternehmen -Grundschulung SolidWorks,2014,,"2.719,60"
"Kruß, Manfred Baubetrieb","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"7.518,42",
KSB Service GmbH Schwedt,Verbundausbildung - Demontage/Montage von Bauteilen und Baugruppen,2010,,"420,00"
KSB Service GmbH Schwedt,"Verbundausbildung - Steuerung, Fertigkeiten im Fertigen von Bauteilen",2011,,"860,00"
KSB Service GmbH Schwedt,"Verbundausbildung - Manuelle Fertigung von Bauteilen, Thermisches Fügen;
Brennschneiden",2011,,"2.280,00"
KSB Service GmbH Schwedt,"Verbundausbildung - Steuerungstechnische Systeme, Pneumatik, Hydraulik,
Elektropneumatik",2010,,"600,00"
KSB Service GmbH Schwedt,"Verbundausbildung - Steuerungstechnik, Vertiefungslehrgang",2012,,"1.160,00"
KSB Service GmbH Schwedt,"Verbundausbildung - Ausbildung Steuerungstechnische Systeme, Zerspanung Teil 2,
Projektarbeit, Prüfungsvorbereitung Teil 1",2009,,"1.440,00"
KSB Service GmbH Schwedt,"Verbundausbildung - Manuelles Fertigen, Thermisches Fügen, Brennschneiden,
Löten, E- und WIG-Schweißen, maschinelles Fertigen von Bauteilen",2010,,"2.060,00"
KSB Service GmbH Schwedt,"Verbundausbildung - Fertigen von Bauteilen, Thermisches Fügen (Gasschweißen),
Brennschneiden/Löten, E-Schweißen, WIG-Schweißen, Maschinelle Bauteilfertigung",2009,,"2.680,00"
KSC Kraftwerks-Service Cottbus Anlagenbau GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Aufbau- und
Spezialisierungskurs Word/Excel",2012,,"1.260,00"
KSC Kraftwerks-Service Cottbus Anlagenbau GmbH,"Allgemeine Verbundausbildung - Industriemechaniker, Elektroniker für Betriebstechnik",2013,,"9.260,00"
KSC Kraftwerks-Service Cottbus Anlagenbau GmbH,"Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Innovations-, Produktions-, Qualitäts-, Umweltmanagement",2013,"38.739,99",
"KSF Kommutatoren und Schleifringkörper
Finsterwalde GmbH","Verbundausbildung - beruflich fachpraktische Ausbildung bzw. Vorbereitung
Abschlußprüfung",2011,,"200,00"
"KSR Immobilien, Kathleen Schulze-Renk",Qualifizierung in kleinen und mittleren Unternehmen - CMS;Outlook,2011,,"2.380,00"
KT.de GmbH - Kagelmann Telecom Deutschland,"Qualifizierung in kleinen und mittleren Unternehmen -Sachkundiger für persönliche
Schutzausrüstung gegen Absturz",2014,,"549,50"
K-Taping Academy GmbH,Bildungsscheck,2012,,"385,00"
K-Taping Academy GmbH,Bildungsscheck,2012,,"385,00"
K-Taping Academy GmbH,Bildungsscheck,2012,,"385,00"
K-Taping Academy GmbH,Bildungsscheck,2012,,"504,00"
K-Taping Academy GmbH,Bildungsscheck,2012,,"770,00"
Küchen Vormelcher Gmbh & Co KG,"Qualifizierung in kleinen und mittleren Unternehmen -Elektrofachkraft für festgelegte
Tätigkeiten",2014,"525,00",
"Kuchta, Nora Dienstleistungen",Qualifizierung in kleinen und mittleren Unternehmen - Gesundheitsberater POLEA,2012,"0,00","3.000,00"
"Kühn, Peter Berliner Schule für Heilkunde",Bildungsscheck,2013,,"1.500,00"
"Kühnert, Steffi Zahntechnik Kühnert","Qualifizierung in kleinen und mittleren Unternehmen - Qualifizierungen in den
Bereichen der Totalprothetik, Presskeramik und des Einstück-Guss-Verfahrens",2013,,"1.406,30"
"Kühnert, Steffi Zahntechnik Kühnert","Qualifizierung in kleinen und mittleren Unternehmen - PSK® DentalProthetiker,
Funktion im Labor, Modernes Labormanagement, Moderne Teleskop- und
Kombinationstechnik",2014,,"1.785,00"
"Kühnert, Steffi Zahntechnik Kühnert","Qualifizierung in kleinen und mittleren Unternehmen -Modernes Labormanagement,
Klassische Teleskop-und Kombitechnik",2014,"924,00",
"Kujat, Candy Gebäude- und Systemtechnik Potsdam","Qualifizierung in kleinen und mittleren Unternehmen -KNX-Projektierung und
Inbetriebnahme, Elektrofachkraft für festgelegte Tätigkeiten",2014,,"692,30"
"Kultur- u. Heimatfreundevereinigung Wahrberge-
Verein e.V.","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"13.494,60",
"Kultur- u. Heimatfreundevereinigung Wahrberge-
Verein e.V.",Teilprojekt Regionalbudget Prignitz,2010,"6.897,00",
"Kultur- u. Heimatfreundevereinigung Wahrberge-
Verein e.V.",Teilprojekt Regionalbudget Prignitz,2010,"9.438,00",
"Kultur- u. Heimatfreundevereinigung Wahrberge-
Verein e.V.",Teilprojekt Regionalbudget Prignitz,2010,"12.446,00",
"Kultur- u. Heimatfreundevereinigung Wahrberge-
Verein e.V.",Teilprojekt Regionalbudget Prignitz,2011,"7.320,00",
"Kultur-, Sport- u. Tourismusbetrieb Wittenberge",Förderung Netzwerk Kultur - Kulturkonzeption für den Regionalen Wachstumskern,2010,,"37.852,31"
Kulturbund Wittenberge e.V.,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"9.956,70",
Kulturfabrik Fürstenwalde gGmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Incentiveveranstaltung
Teamentwicklung",2013,"999,60",
Kulturfabrik Fürstenwalde gGmbH,"Qualifizierung in kleinen und mittleren Unternehmen -Management, Marketing &
Kommunikation für Kunst und Kultur",2014,"1.134,00",
Kulturland Brandenburg e. V.,"Kompetenzentwicklung in Kunst und Kultur zur Profilierung des Kulturtourismus im
Land Brandenburg.",2014,,"75.734,36"
Kulturland Brandenburg e. V.,"Kompetenzentwicklung in Kunst und Kultur zur Profilierung des Kulturtourismus im
Land Brandenburg",2014,,"100.527,84"
Kulturland Brandenburg e. V.,"Regionalbüro Kulturelle Bildung Süd-West - Kompetenzentwicklung in Kunst und
Kultur zur Profilierung der Kulturellen Bildung im Land Brandenburg",2013,"75.185,09",
Kulturland Brandenburg e. V.,"Regionalbüro Kulturelle Bildung Nord-Ost - Kompetenzentwicklung in Kunst und
Kultur zur Profilierung der Kulturellen Bildung im Land Brandenburg",2013,"38.961,47",
Kulturverein Ponderosa e.V Stolzenhagen,"Aufbau eines Netzwerkes von Kulturschaffenden und Künstlern mit
Unterrichtsambitionen in Brandenburg",2012,,"23.099,18"
Kunella Feinkost GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"13.892,40",
Kunella Feinkost GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"13.280,40",
"Kunitz, Steffen Fleischerei","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"13.164,12",
"Kunowski, Tilman Unternehmensberater","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"14.904,00",
"Künstlerin Uhlig, Rebekka",Qualifizierung in kleinen und mittleren Unternehmen -Stimmtrainer,2014,,"1.832,60"
Kunstverein D E S I G N O e.V.,"KREATIV - WIRTSCHAFTS - HOF Uckermark: Professionalisierungskurse,
Qualifizierung, Beratung",2014,,"20.388,65"
"Küri, Gábor Bauplanung - Energieberatung",Qualifizierung in kleinen und mittleren Unternehmen - Energieberater für Baudenkmale,2013,,"966,00"
Kurier und Taxi Reitmayer,"Qualifizierung in kleinen und mittleren Unternehmen - Mitarbeiterführung, Umgang mit
dem Kunden, Sozialkompetenz",2011,,"3.990,00"
"Kurier&Transporte Manfred Fietze GbR Kolkwitz -
Inh. Gebr. Mario Torsten Fietze","Qualifizierung in kleinen und mittleren Unternehmen - Mitarbeiterführung im
Unternehmen, Umgang mit Kunden",2011,,"5.306,00"
Kurier&Transporte Manfred Fietze Kolkwitz,"Qualifizierung in kleinen und mittleren Unternehmen -
Personenbeförderungserlaubnis, Ersthelfer, Fahrerfortbildung Theorie und Praxis",2010,,"3.040,00"
Kurt Rotter BodyBalancePilates,Bildungsscheck,2012,,"500,00"
Kurt Rotter BodyBalancePilates,Bildungsscheck,2012,,"1.000,00"
"Kurth, Michael, Computerberatung","Qualifizierung in kleinen und mittleren Unternehmen - Betrieblicher
Datenschutzbeauftragter",2011,,"600,00"
"Kurth, Michael, Computerberatung","Qualifizierung in kleinen und mittleren Unternehmen - IT-Security Coordinator, IT-
Forensiker",2012,,"1.267,25"
"Kurth, Michael, Computerberatung","Qualifizierung in kleinen und mittleren Unternehmen - MCSA 2003 Seminar inklusive
Zertifizierung durch Prüfung",2010,,"3.000,00"
"Kusche, Frank Praxis für Krankengymnastik und
Massage","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"12.268,80",
"Küst, Mike Restaurant ""Wallenstein""","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"12.150,00",
KVS Klinik Verpflegung und Service GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"17.901,00",
KW-TV Fernsehproduktions und Vertriebs GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Datenbankentwickler Access
/MySQL",2014,,"1.142,40"
L. Dietze & Sohn Fördertechnik GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Weiterbildung Fachberater
Service, Mitarbeiterführung, Kaufmännisches Wissen, Prüfmittelmanagement",2010,,"3.525,06"
La Pasteria Italiana GmbH,"Qualifizierung in kleinen und mittleren Unternehmen -Grundlagen des
Qualitätsmanagements, interne Audits, Grundlagen der Lebensmittelhygiene,
allgemeines Lebensmittelrecht, HACCP, Anforderung der IFS, Infektionsschutzgesetz",2014,,"12.638,50"
"LAB-Landwirtschaftliche Beratung der
Agrarverbände Brandenburg GmbH","Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Innovations-, Produktions-, Qualitäts-, Umweltmanagement",2013,"30.240,00",
"LAB-Landwirtschaftliche Beratung der
Agrarverbände Brandenburg GmbH","Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Innovations-, Produktions-, Qualitäts-, Umweltmanagement",2013,"21.600,00",
"LackRepairs Karosserie- und Lackierfachbetrieb
GmbH","Qualifizierung in kleinen und mittleren Unternehmen - Lackschadenfreie
Ausbeultechnik",2012,,"2.023,00"
Lackwerk Eberswalde,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"7.560,00",
"LAFIM Dienste f. Menschen im Alter gGmbH ESZ
""Bethesda"" Bad Freienwalde",Lohnkostenzuschuss für Altenpflegehelfer/innen im 2. Jahr der geförderten Maßnahme,2014,"18.873,45",
"LAFIM Dienste f. Menschen im Alter gGmbH ESZ
""Bethesda"" Bad Freienwalde",Lohnkostenzuschuss für Altenpflegehelfer/innen im 2. Jahr der geförderten Maßnahme,2014,"22.282,26",
LaGa Prenzlau 2013 gGmbH,"Blütenfelder Uckermark - Winterprojekt 2011/2012: praxisbegleitende Qualifizierung
und Vermittlung in den ersten Arbeitsmarkt",2013,,"21.861,33"
LaGa Prenzlau 2013 gGmbH,"Anzucht und Vermehrung von seltenen Pflanzen für die LAGA2013 - Blütenfelder
Uckermark",2013,,"201.325,73"
LaGa Prenzlau 2013 gGmbH,Neue Einkommensquellen durch einen verbesserten Gästeservice,2014,,"232.003,52"
LaGa Prenzlau 2013 gGmbH,"Regionalbudget V Landkreis Uckermark LaGa Prenzlau 2013 gGmbH: Blütenfelder
Uckermark - eine Perspektive für Langzeitarbeitslose in grünen Berufen!",2012,"91.138,88",
LaGa Prenzlau 2013 gGmbH,"Regionalbudget V Landkreis Uckermark Teilprojekt LaGa Prenzlau 2013 gGmbH:
Blütenfelder 2013: Essbare Blüten und Kräuter - Neue Beschäftigungsperspektiven in
der Uckermark",2013,"89.520,34",
"Lagemann, Ulrich Unternehmensberatung","Qualifizierung in kleinen und mittleren Unternehmen -Zertifizierter Berater für
Unternehmensnachfolge",2014,,"2.485,00"
LAL Sprachreisen GmbH,Bildungsscheck,2011,,"145,60"
LAL Sprachreisen GmbH,Bildungsscheck,2011,,"240,10"
LAL Sprachreisen GmbH,Bildungsscheck,2012,,"242,20"
LAL Sprachreisen GmbH,Bildungsscheck,2012,,"242,20"
LAL Sprachreisen GmbH,Bildungsscheck,2012,,"250,00"
LAL Sprachreisen GmbH,Bildungsscheck,2011,,"271,98"
LAL Sprachreisen GmbH,Bildungsscheck,2012,,"283,50"
LAL Sprachreisen GmbH,Bildungsscheck,2012,,"340,00"
LAL Sprachreisen GmbH,Bildungsscheck,2012,,"406,00"
LAL Sprachreisen GmbH,Bildungsscheck,2011,,"500,00"
LAL Sprachreisen GmbH,Bildungsscheck,2012,,"500,00"
Land & Scheune GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"22.181,94",
Land in Sicht- Prowo gGmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Gesetzliche Grundlagen SGB
XII und SGB II; Führungskompetenzen, Management in sozialen Einrichtungen u. a.",2014,,"1.946,00"
Land in Sicht- Prowo gGmbH,"Qualifizierung in kleinen und mittleren Unternehmen -Sozialmanagerin /
Sozialmanager",2014,"1.610,00",
"Land-Café, Inh. Sylvia Hänßgen Röderland OT
Wainsdorf","Qualifizierung in kleinen und mittleren Unternehmen - Optimierung von
Dienstleistungsprozessen",2010,,"2.760,00"
"Landesagentur für Struktur und Arbeit
Brandendenburg GmbH",Erfahrungsaustausch Brandenburg/Lubuskie,2014,,"1 1.140,81"
"Landesagentur für Struktur und Arbeit
Brandendenburg GmbH","Programmagentur zur Umsetzung des Programms ""Vertiefte Berufsorientierung für
Schülerinnen und Schüler""",2013,,"8 7.324,63"
"Landesagentur für Struktur und Arbeit
Brandendenburg GmbH","Programmagentur zur Umsetzung des Programms ""Vertiefte Berufsorientierung für
Schülerinnen und Schüler""",2013,,"1 85.358,48"
"Landesagentur für Struktur und Arbeit
Brandendenburg GmbH","Servicestelle: ""Arbeitswelt, Mutterschutz und Elternzeit""",2010,,"3 51.936,08"
"Landesagentur für Struktur und Arbeit
Brandendenburg GmbH","Servicestelle: ""Arbeitswelt, Mutterschutz und Elternzeit""",2014,,"4 26.930,61"
"Landesagentur für Struktur und Arbeit
Brandendenburg GmbH","Gemeinsames Projekt LASA-ZAB für innovative wissensintensive und
technologieorientierte Unternehmensgründungen in Brandenburg - ""Innovationen
brauchen Mut"" (IbM)",2011,,"5 41.371,98"
"Landesagentur für Struktur und Arbeit
Brandendenburg GmbH",Unterhaltung der Regionalbüros für Fachkräftesicherung,2011,,"2 .955.535,74"
"Landesagentur für Struktur und Arbeit
Brandendenburg GmbH","Unterhaltung der Regionalbüros für Fachkräftesicherung und Bildungsscheck
Beratung",2011,"1 .843.829,00",
"Landesagentur für Struktur und Arbeit
Brandendenburg GmbH","Servicestelle: ""Arbeitswelt, Mutterschutz und Elternzeit""",2012,"5 19.120,00",
"Landesagentur für Struktur und Arbeit
Brandendenburg GmbH",Unterhaltung der Regionalbüros für Fachkräftesicherung,2012,"3 .769.166,00",
"Landesagentur für Struktur und Arbeit
Brandendenburg GmbH","Programmagentur zur Umsetzung des Programms ""Vertiefte Berufsorientierung für
Schülerinnen und Schüler""",2012,"9 0.726,00",
"Landesarbeitsgemeinschaft Multimedia Brandenburg
e.V.","Medienpädagogische Zusatzqualifikation für Fachkräfte der außerschulischen
Jugendarbeit",2010,,"13.582,16"
"Landesarbeitsgemeinschaft Multimedia Brandenburg
e.V.","Medienpädagogische Zusatzqualifikation für Fachkräfte der außerschulischen
Jugendarbeit",2010,,"19.014,51"
Landesärztekammer Brandenburg,Bildungsscheck,2011,,"410,90"
"Landesbetrieb Forst Brandenburg Waldarbeitsschule
Kunsterspring",Bildungsscheck,2011,,"350,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Anwendung vermessungstechnischer CAD-Programme,2009,,"100,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Anwendung vermessungstechnischer CAD-Programme,2010,,"100,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg","Verbundausbildung - Grundaufbau, Handhabung und Prüfung klassischer und
elektronischer Messtechnik",2010,,"100,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Geodätische Berechnungen,2011,,"100,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Rechnergestützte Bearbeitung digitaler Geländemodelle,2010,,"160,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Geodätische Berechnungen,2009,,"200,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Geodätische Berechnungen,2009,,"200,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg","Verbundausbildung - Grundaufbau, Handhabung und Prüfung klassischer und
elektronischer Messtechnik",2010,,"200,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - ZAF 2 Vermessungstechnisches Zeichnen,2010,,"200,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Grundlegende Kommandos aus dem UNIX-Betriebssystem,2010,,"200,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg","Verbundausbildung - Grundaufbau, Handhabung und Prüfung klassischer und
elektronischer Messtechnik",2010,,"200,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Anwendung vermessungstechnischer CAD-Programme,2010,,"200,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Rechnergestützte Bearbeitung von Längs- und Querprofilen,2011,,"200,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg","Verbundausbildung - Geodätische Berechnungen, Kartografie und Photogrammetrie",2012,,"200,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Geodätische Berechnungen,2012,,"200,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Geodätische Berechnungen,2012,,"200,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg","Verbundausbildung - Geodätische Berechnungen, Kartographie und Photogrammetrie",2010,,"280,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Grundlagen vermessungstechnischer Berechnungen,2011,,"300,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Rechnergestützte Bearbeitung von Längs- und Querprofilen,2010,,"340,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Geodätische Punktbestimmung,2009,,"400,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Rechnergestützte Bearbeitung digitaler Geländemodelle,2009,,"400,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - ZAF 3 Einführung in vermessungstechnische CAD-Programme,2009,,"400,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Geodätische Punktbestimmung,2010,,"400,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Anwendung vermessungstechnischer CAD-Programme,2010,,"400,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - ZAF 3 Einführung in vermessungstechnische CAD- Programme,2010,,"400,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Rechnergestützte Bearbeitung digitaler Geländemodelle,2011,,"400,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg","Verbundausbildung - Grundaufbau, Handhabung und Prüfung klassischer und
elektronischer Messtechnik",2012,,"400,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Rechnergestützte Bearbeitung von Längs- und Querprofilen,2012,,"400,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg","Verbundausbildung - ZAF 11 Geodätische Berechnungen, ZAF 12 Kartographie und
Photogrammetrie",2009,,"480,00"
"Landesbetrieb Landesvermessung und
Geobasisinformation Brandenburg",Verbundausbildung - Geodätische Berechnungen,2009,,"500,00"
