Begünstigte/r,Maßnahmebezeichnung,Jahr der Bewilligung / Jahr der Restzahlung,Bewilligte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
agrathaer GmbH Eberswalde,"Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2014,,"1.245,00"
agrathaer GmbH Eberswalde,Stipendien an Studierende zur Erstellung einer Abschlussarbeit,2014,"2.250,00",
Agro- Service Luckau GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Agro - Management, Silage-
Seminar",2013,,"7.560,00"
"Agro-Parts-Discount GmbH LandAkademie
Sonnewalde",Bildungsscheck,2012,,"164,72"
"Agro-Parts-Discount GmbH LandAkademie
Sonnewalde",Bildungsscheck,2010,,"175,00"
"Agro-Parts-Discount GmbH LandAkademie
Sonnewalde",Bildungsscheck,2010,,"312,39"
"Agro-Parts-Discount GmbH LandAkademie
Sonnewalde",Bildungsscheck,2011,,"416,50"
"Agro-Parts-Discount GmbH LandAkademie
Sonnewalde",Bildungsscheck,2011,,"577,76"
"Agro-Parts-Discount GmbH LandAkademie
Sonnewalde",Bildungsscheck,2010,,"833,00"
"Agro-Parts-Discount GmbH LandAkademie
Sonnewalde",Bildungsscheck,2010,,"937,13"
Agroplant GmbH Schwedt,"Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Innovations-, Produktions-, Qualitäts-, Umweltmanagement",2014,,"13.068,01"
AGUS gGmbH,Erstausbildung zum Altenpfleger/zur Altenpflegerin,2013,,"179.190,00"
AGUS gGmbH,Erstausbildung zum Altenpfleger/zur Altenpflegerin,2010,,"196.443,00"
AGUS gGmbH,Erstausbildung zum Altenpfleger/zur Altenpflegerin,2012,,"309.081,15"
AGUS/GADAT Berufliche Schulen gGmbH,Bildungsscheck,2013,,"500,00"
AGUS/GADAT Berufliche Schulen gGmbH,"Qualifizierung von Heilerziehungspfleger/innen zu Erzieher/innen für den Bereich der
Kindertagesbetreuung ""Brückenkurs Kita""",2012,"29.192,17",
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"134,50"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2011,,"139,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2011,,"139,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2011,,"139,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2011,,"139,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"153,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2010,,"167,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2011,,"167,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2010,,"181,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2010,,"181,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2010,,"181,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2011,,"181,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2011,,"181,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"181,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"188,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"188,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2010,,"230,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2011,,"230,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2011,,"230,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2012,,"230,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"233,10"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"249,83"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2012,,"251,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2012,,"251,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"251,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"251,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"251,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"251,30"
