Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
MW_Ref_22_NO,"Pflege/Aktualisierung der Webseite
www.gruendungsnetz.brandenburg.de",2008,2012,"117.299,73 €","117.299,73 €"
MW_Ref_22_NO,"Technischer Betrieb der Webseite
www.gruendungsnetz.brandenburg.de incl.
Weiterentwicklung/Problembehandlung",2007,2012,"5.465,95 €","5.465,95 €"
MW_Ref_22_SW,Erneuerung eines Roll-Ups für Gründungsnetz Brandenburg,2011,2011,"121,00 €","121,00 €"
MW_Ref_22_SW,Errichtung und Betrieb eines Netzzuganges für PID,2008,2011,"238,08 €","238,08 €"
MW_Ref_22_SW,Migration der Webseiten Gründungsnetz Brandenburg,2007,2007,"10.478,00 €","10.478,00 €"
MW_Ref_22_SW,"Pflege und Aktualisierung des Internetauftrittes
www.gruendungsnetz.brandenburg.de",2011,2014,"78.590,79 €","78.590,79 €"
MW_Ref_22_SW,"Pflege und Aktualisierung des Internetauftrittes
www.gruendungsnetz.brandenburg.de 2014/2015",2013,,"60.470,42 €",
MW_Ref_22_SW,"Pflege/Aktualisierung der Webseite
www.gruendungsnetz.brandenburg.de",2008,2012,"115.437,80 €","115.437,80 €"
MW_Ref_22_SW,"Technischer Betrieb der Webseite
www.gruendungsnetz.brandenburg.de incl.
Weiterentwicklung/Problembehandlung",2007,2012,"5.379,20 €","5.379,20 €"
MW_Ref_23_NO,Informationsflyer zur Richtlinie M4 des MW,2009,2009,"452,84 €","452,84 €"
MW_Ref_23_SW,Informationsflyer zur Richtlinie M4 des MW,2009,2009,"445,66 €","445,66 €"
MW_Ref_24_NO,Konzeption eines Landespräsentationstools (LPT) Brandenburg,2008,2009,"51.051,57 €","51.051,57 €"
MW_Ref_24_SW,Konzeption eines Landespräsentationstools (LPT) Brandenburg,2008,2009,"50.241,23 €","50.241,23 €"
MW_Ref_24_SW,"Machbarkeitsstudie länderübergreifende Kooperation der Elbe-
Binnenhäfen Mühlberg, Torgau, Riesa, Dresden",2014,,"50.000,00 €",
MW_Ref_26_NO,"Erarbeitung einer Warenstromanalyse im Cluster Ernährungswirtschaft
Brandenburg",2014,,"60.480,00 €",
MW_Ref_26_NO,"Potenzialstudie für die Handlungsfelder Spezialitätenchemie,
Biopolymere und Leichtbau/Verbundwerkstoffe",2014,,"48.636,00 €",
MW_Ref_26_NO,"Potenzialstudie zu den industriellen Handlungsfeldern im Cluster
Verkehr, Mobilität und Logistik",2014,,"98.280,00 €",
MW_Ref_26_NO,"Potenziel- und Verflechtungstudie zur Metallindustrie, Elektroindustrie
und zum Maschinenbau im Land Brandenburg",2014,,"39.312,00 €",
MW_Ref_26_NO,"Vorstudie Collaboration Plattform für Leistungsangebote der
Brandenburger Metallakteure",2014,,"18.144,00 €",
MW_Ref_26_SW,"Potenzialstudie für die Handlungsfelder Spezialitätenchemie,
Biopolymere und Leichtbau/Verbundwerkstoffe",2014,,"47.864,00 €",
MW_Ref_26_SW,"Potenzialstudie zu den industriellen Handlungsfeldern im Cluster
Verkehr, Mobilität und Logistik",2014,,"96.720,00 €",
MW_Ref_26_SW,"Potenziel- und Verflechtungsstudie zur Metallindustrie, Elektroindustrie
und zum Maschinenbau im Land Brandenburg",2014,,"38.688,00 €",
MW_Ref_26_SW,"Vorstudie Collaboration Plattform für Leistungsangebote der
Brandenburger Metallakteure",2014,,"17.856,00 €",
MW_Ref_32_NO,Abschlussbericht zur Konversionsförderung im Land Brandenburg,2014,,"12.600,00 €",
MW_Ref_32_SW,Abschlussbericht zur Konversionsförderung im Land Brandenburg,2014,,"12.400,00 €",
MW_Ref_35_NO,"Konzeption zur nachhaltigen Betreibung touristischer
Wasserinfrastrukturen in der Region Finowkanal",2014,,"60.000,00 €",
MW_Ref_35_NO,Potenzialstudie Gesundheitstourismus,2014,,"50.400,00 €",
MW_Ref_35_SW,Potenzialstudie Gesundheitstourismus,2014,,"49.600,00 €",
MWE Ref. 32 (NO),"Begleitende Evaluierung des Prozesses der Umsetzung der
Clusterstrategie",2013,,"100.800,00 €",
MWE Ref. 32 (NO),Evaluation des BB Life,2014,,"15.120,00 €",
MWE Ref. 32 (NO),"Evaluierung des ""Masterplans Gesundheitsregion Berlin-Brandenburg""",2011,2012,"36.641,30 €","36.641,30 €"
MWE Ref. 32 (NO),Ex-Ante-Bewertung der Richtlinie ProFIT Brandenburg,2014,,"11.495,90 €",
MWE Ref. 32 (NO),Potenzialanalyse zur Optischen Industrie in Brandenburg,2014,2014,"25.189,92 €","25.189,92 €"
MWE Ref. 32 (NO),Potenzialstudie E-Health,2014,,"45.360,00 €",
MWE Ref. 32 (NO),"Potenzialstudie zum Handlungsfeld 1 des Clusters
Gesundheitswirtschaft (Biotechnologie und Pharma)",2014,,"50.400,00 €",
MWE Ref. 32 (SW),"Begleitende Evaluierung des Prozesses der Umsetzung der
Clusterstrategie",2013,,"99.200,00 €",
MWE Ref. 32 (SW),Evaluation des BB Life,2014,,"14.880,00 €",
MWE Ref. 32 (SW),"Evaluierung des ""Masterplans Gesundheitsregion Berlin-Brandenburg""",2011,2012,"36.059,70 €","36.059,70 €"
MWE Ref. 32 (SW),Ex-Ante-Bewertung der Richtlinie ProFIT Brandenburg,2014,,"11.313,42 €",
MWE Ref. 32 (SW),Potenzialanalyse zur Optischen Industrie in Brandenburg,2014,2014,"24.790,08 €","24.790,08 €"
MWE Ref. 32 (SW),Potenzialstudie E-Health,2014,,"44.640,00 €",
MWE Ref. 32 (SW),"Potenzialstudie zum Handlungsfeld 1 des Clusters
Gesundheitswirtschaft (Biotechnologie und Pharma)",2014,,"49.600,00 €",
MWE_Ref_16_NO,Fortbildungsveranstaltungen für zwei Mitarbeiter im Referat 16,2014,,"6.552,00 €",
MWE_Ref_16_NO,Personalkosten EFRE/Beihilfe,2014,,"20.160,00 €",
MWE_Ref_16_NO,Personalkosten EFRE/Öffentliches Auftragswesen,2014,,"40.320,00 €",
MWE_Ref_16_SW,Fortbildungsveranstaltungen für zwei Mitarbeiter im Referat 16,2014,,"6.448,00 €",
MWE_Ref_16_SW,Personalkosten EFRE/Beihilfe,2014,,"19.840,00 €",
MWE_Ref_21_NO (ehem. MW 10),"Erhöhung der Wirksamkeit von EFRE-Interventionen in den RWK und
Umsetzung der Lissabonstrategie im Bereich der regionalen
Wirtschaftsförderung",2007,,"1.062.685,61 €",
MWE_Ref_21_NO (ehem. MW 10),"Erhöhung Wirksamkeit EFRE-Interventionen, Umsetzung
Lissabonstrategie im Bereich regionalen Wirtschaftsförderung (II)",2011,,"882.000,00 €",
MWE_Ref_21_NO (ehem. MW 10),Evaluierung der Neuausrichtung der Wirtschaftsförderpolitik,2010,2010,"50.322,94 €","50.322,94 €"
MWE_Ref_21_NO (ehem. MW 10),Regionalisierung der brandenburgischen Clusterpolitik,2012,,"83.932,38 €",
MWE_Ref_21_SW (ehem. MW 10),"Erhöhung der Wirksamkeit von EFRE-Interventionen in den RWK und
Umsetzung der Lissabonstrategie im Bereich der regionalen
Wirtschaftsförderung",2007,,"1.045.817,59 €",
MWE_Ref_21_SW (ehem. MW 10),"Erhöhung Wirksamkeit EFRE-Interventionen, Umsetzung
Lissabonstrategie im Bereich regionalen Wirtschaftsförderung (II)",2011,,"868.000,00 €",
MWE_Ref_21_SW (ehem. MW 10),Evaluierung der Neuausrichtung der Wirtschaftsförderpolitik,2010,2010,"49.524,17 €","49.524,17 €"
MWE_Ref_21_SW (ehem. MW 10),Regionalisierung der brandenburgischen Clusterpolitik,2012,2014,"82.600,12 €","82.600,12 €"
MWE_Ref_23_NO,Potenzialstudie H2-Mobilität im LAnd Brandenburg,2014,,"10.080,00 €",
MWE_Ref_23_SW,Potenzialstudie H2-Mobilität im LAnd Brandenburg,2014,,"9.920,00 €",
MWE_Ref_27_NO,"Masterplan ""Modellkommune im ländlichen Raum"" - Konzepterstellung",2012,2014,"59.706,12 €","59.706,12 €"
MWE_Ref_27_NO,Masterplan Breitband,2010,2012,"96.314,39 €","96.314,39 €"
MWE_Ref_27_NO,Masterplan IKT Brandenburg,2010,2010,"36.231,46 €","36.231,46 €"
MWE_Ref_27_NO,"Publikation der Potenzialstudie ""Internet der Dinge - cloud computing""",2011,2011,"3.250,70 €","3.250,70 €"
MWE_Ref_27_NO,"Technische Beratung und Begleitung von Maßnahmen zur Förderung
der Breitbandinfrastruktur",2013,,"473.000,00 €",
MWE_Ref_27_SW,"Masterplan ""Modellkommune im ländlichen Raum"" - Konzepterstellung",2012,2014,"58.758,38 €","58.758,38 €"
MWE_Ref_27_SW,Masterplan Breitband Brandenburg,2010,2012,"94.785,60 €","94.785,60 €"
MWE_Ref_27_SW,Masterplan IKT Brandenburg,2010,2010,"35.656,38 €","35.656,38 €"
MWE_Ref_27_SW,"Publikation der Potenzialstudie ""Internet der Dinge - cloud computing""",2011,2011,"3.199,10 €","3.199,10 €"
MWE_Ref_27_SW,"Technische Beratung und Begleitung von Maßnahmen zur Förderung
der Breitbandinfrastruktur in den Planungsregionen Lausitz-Spreewald
und Havelland-Fläming (BB Südwest)",2014,,"500.000,00 €",
MWE_Ref_29_NO,Personalkosten EFRE/VB,2014,,"43.848,00 €",
MWE_Ref_29_SW,Personalkosten EFRE/VB,2014,,"43.152,00 €",
MWE_Ref_36_NO,Evaluierung der deGut,2010,,"0,00 €",
MWE_Ref_36_NO,Evaluierung der Förderung der Unternehmensgründungen,2010,,"0,00 €",
MWE_Ref_36_NO,Evaluierung des Gründungsnetzes Brandenburg,2010,,"0,00 €",
MWE_Ref_36_SW,Evaluierung der deGut,2010,,"0,00 €",
MWE_Ref_36_SW,Evaluierung der Förderung der Unternehmensgründungen,2010,,"0,00 €",
MWE_Ref_42_NO,"Erarbeitung einer vergleichenden Analyse zu Potenzialen des
Wissenschaftsstandortes Potsdam-Golm mit skandinavischen
wissenschafts- und Innovationszentren im Rahmen der EU-
Ostseestrategie und der Internationalisierungsstrategie des Landes
Brandenburg",2014,,"110.880,00 €",
MWE_Ref_42_SW,"Erarbeitung einer vergleichenden Analyse zu Potenzialen des
Wissenschaftsstandortes Potsdam-Golm mit skandinavischen
wissenschafts- und Innovationszentren im Rahmen der EU-
Ostseestrategie und der Internationalisierungsstrategie des Landes
Brandenburg",2014,,"109.120,00 €",
MWFK_Ref_15_NO,Evaluierung von Wissens- und Technologietransfer und e-learning,2010,,"20.934,62 €",
MWFK_Ref_15_NO,"Fachseminar""Finanzielle Abrechnung von EFRE und ESF- Projekten""",2014,,"593,16 €",
MWFK_Ref_15_NO,"Finanzierung einer zusätzlichen Personalstelle für die Prüfung von
neun Verwendungsnachweisen im zuständigen Referat des MWFK",2014,,"8.820,00 €",
MWFK_Ref_15_NO,"Spezialseminar Verwaltungsprüfungen, Vo-Ort-Prüfungen gem. Art. 13
VO (EG) 1828/2006",2013,2013,"1.186,33 €","1.186,33 €"
MWFK_Ref_15_NO,"Weiterbildung Beihilfenrecht für EU-geförderte Projekte - 9.
Jahresfachkonferenz EU Beihilfen in deutscher Praxis bei der
Europäischen Akademie für Steuern, Wirtschaft und Recht",2014,,"923,03 €",
MWFK_Ref_15_SW,Evaluierung von Wissens- und Technologietransfer und e-learning,2010,,"20.602,33 €",
MWFK_Ref_15_SW,"Fachseminar""Finanzielle Abrechnung von EFRE und ESF- Projekten""",2014,,"583,75 €",
MWFK_Ref_15_SW,"Finanzierung einer zusätzlichen Personalstelle für die Prüfung von
neun Verwendungsnachweisen im zuständigen Referat des MWFK",2014,,"8.680,00 €",
MWFK_Ref_15_SW,"Spezialseminar Verwaltungsprüfungen, Vor-Ort-Prüfungen ge,. Art. 13
VO (EG) 1828/2006",2013,2013,"1.167,49 €","1.167,49 €"
MWFK_Ref_15_SW,"Weiterbildung Beihilfenrecht für EU-geförderte Projekte - 9.
Jahresfachkonferenz EU Beihilfen in deutscher Praxis bei der
Europäischen Akademie für Steuern, Wirtschaft und Recht",2014,,"908,38 €",
MX.Composys Fiber Composite Systems GmbH,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung einschließlich Produktvorbereitung und Design",2012,,"28.000,00 €",
MYCOM AG,"Beratung zur Markterschließung durch den Aufbau einer
überregionalen Vertriebs- und Support-Partnerstruktur Konzeption",2008,2009,"48.000,00 €","48.000,00 €"
MYCOM AG,"Beschäftigung eines 2. Innovationsassistenten im Bereich Innovations-
, Produktions-, Umwelt- und betriebsw. Management",2007,2010,"24.294,00 €","24.294,00 €"
MYCOM AG,Beschäftigung eines Innovationsassistenten,2008,2010,"20.060,00 €","20.060,00 €"
Nagola Re GmbH,"Verfahren zur Pflege, Entwicklung, Wiederherstellung und Herstellung
von besonderen und seltenen Lebensräumen",2011,2013,"98.740,00 €","98.740,00 €"
Nagual Sounds GmbH,"Weiterentwicklung einer innovativen Technologie zur Erstellung einer
interaktiven tonalen Musik mit Bewegungserfassungssystem",2013,,"0,00 €",
Nano Access Technologies Ltd.,"mathematische Methoden der Signalverarbeitung
Kompressionsverfahren für multimediale Daten",2007,2008,"12.030,00 €","12.030,00 €"
Nanolytics Gesellschaft für Kolloidanalytik GmbH,"Erhöhung der Genauigkeit und Empfindlichkeit bei Messungen mit der
Analytischen Ultrazentrifuge an biologischen Systemen",2007,2009,"92.400,00 €","92.400,00 €"
Naturapartments Stauensfließ Lang GbR,Errichtung von Ferienwohnungen,2007,2010,"415.500,00 €","415.500,00 €"
Natursteinwerk Rathenow GmbH,"Entwickl. einer neuen Fertigungstechnologie zur kombinierten
Verarbeitung v. Naturstein/Massivglas zur Herst. v. Granitprod.",2009,2014,"158.506,00 €","158.506,00 €"
Natursteinwerk Rathenow GmbH,"Erweiterung einer Betriebsstätte zur Be- und Verarbeitung von
Natursteinen",2007,2010,"49.600,00 €","49.600,00 €"
Naumann-Pumpen GmbH,"Beratung zur Einführung eines integrierten Managementsystems zur
langfr. Unternehmenssteuerung sowie z. Unternehmensnachfolge",2008,2010,"17.500,00 €","17.500,00 €"
NAWARO Damsdorf GmbH & Co. KG,Rohbiogasleitung und Mikro-Wärmenetz,2009,2011,"356.770,00 €","356.770,00 €"
NBW Neuholländer Biowärme GmbH,"Errichtung einer Biogasleitung, Neubau eines BHKW sowie eines
Wärmenetzes",2009,2012,"294.251,00 €","294.251,00 €"
NDM GbR,Erweiterung einer Betriebsstätte des Maler- und Lackierergewerbes,2010,2011,"1.835,00 €","1.835,00 €"
NDM GbR,Erweiterung einer Betriebsstätte des Malerhandwerkes,2012,2014,"1.029,00 €","1.029,00 €"
Nemo Tauchtouristik GmbH & Co. KG,"Messeteilnahme ""Boot 2009"" in Düsseldorf",2008,2009,"7.500,00 €","7.500,00 €"
Nemo Tauchtouristik GmbH & Co. KG,"Messeteilnahme ""Boot 2010"" in Düsseldorf",2010,2011,"4.250,00 €","4.250,00 €"
Net-Components GmbH,"Messeteilnahme: ""Hannovermesse Industrial Supply 2012"" in
Hannover",2011,2012,"4.300,00 €","4.300,00 €"
Net-Components GmbH,"Messeteilnahme: ""Industrial Supply 2013"" in Hannover",2012,2014,"4.070,00 €","4.070,00 €"
NETFOX AG,"Beratung zum Marketing und zum elektronischen Geschäftsverkehr/ E-
Business",2010,,"0,00 €",
NETFOX AG,"Beschäftigung eines Innovationsassistenten im Bereich Innovations-,
Produktions-, Umwelt- und betriebsw. Management",2008,2010,"26.380,00 €","26.380,00 €"
NETFOX AG,Entwicklung einer mandantenfähigen mobilen Sicherheitsplattform,2007,2009,"294.412,00 €","294.412,00 €"
NETFOX AG,"Messeteilnahme ""Moderner Staat 2013"" in Berlin",2014,2014,"2.500,00 €","2.500,00 €"
NETFOX AG,"Messeteilnahme: ""Moderner Staat 2012"" in Berlin",2012,2013,"2.750,00 €","2.750,00 €"
NETFOX AG,Messeteilnahmen in Deutschland lt. Konzept in 2010,2010,2011,"1.230,00 €","1.230,00 €"
netzhaus AG,"Beratung zur Verbesserung des Kundenbeziehungsmanagements und
Ausbau der Vertriebssteuerung",2009,2011,"29.000,00 €","29.000,00 €"
netzhaus AG,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwickl. einschl. Produktvorb. u. Design; Techn.-Market.",2008,2012,"25.310,00 €","25.310,00 €"
netzhaus AG,"Beschäftigung eines Innovationsassistenten im Bereich Technologie-
Marketing und Produktentwicklung",2007,2010,"25.000,00 €","25.000,00 €"
"Netzwerk ""Bäckerei-Verbund""","Bäckerei-Verbund zur Förderung handwerksorientierter Regionalmarkt-
Strategien",2009,2012,"16.153,80 €","16.153,80 €"
"Netzwerk ""Bäckerei-Verbund""","Bäckerei-Verbund zur Förderung handwerksorientierter Regionalmarkt-
Strategien",2009,2012,"10.769,20 €","10.769,20 €"
"Netzwerk ""Brandenburger Backkultur""","Aufbau des Netzwerkes ""Brandenburger Backkultur"" u. Durchführung
gemeinsamer Projekte im Bereich Marketing",2011,2014,"143.684,92 €","143.684,92 €"
"Netzwerk ""Brandenburger Backkultur""","Aufbau des Netzwerkes ""Brandenburger Backkultur"" u. Durchführung
gemeinsamer Projekte im Bereich Marketing",2011,2014,"47.894,97 €","47.894,97 €"
"Netzwerk ""Brandenburger Backkultur""","Fortführung des Netzwerkes ""Brandenburger Backkultur"" u.
Durchführung gemeinsamer Projekte im Bereich Marketing",2013,2014,"21.280,50 €","21.280,50 €"
"Netzwerk ""Brandenburger Backkultur""","Fortführung des Netzwerkes ""Brandenburger Backkultur"" u.
Durchführung gemeinsamer Projekte im Bereich Marketing",2013,2014,"7.093,50 €","7.093,50 €"
"Netzwerk ""eVerwaltung.net GbR""",COMMUNIS,2008,2013,"183.259,89 €","183.259,89 €"
"Netzwerk ""eVerwaltung.net GbR""",COMMUNIS,2008,2013,"38.362,91 €","38.362,91 €"
"Netzwerk ""Fachkräftenachwuchs- sicherung Barnim""","Sicherung des Fachkräftenachwuchses für die beteiligten
Unternehmen",2008,,"0,00 €",
"Netzwerk ""FitFashion""","Aufbau des Netzwerkes und Durchführung von Projekten im Bereich
Marketing, Vertrieb, Wertschöpfung und Wissenstransfer",2012,,"0,00 €",
"Netzwerk ""MoBiCluP""","Stärkung der Branchenkompetenz, Erschließung überregionalerMärkte,
Umsetzung von Innovation",2008,2012,"233.374,00 €","233.374,00 €"
"Netzwerk ""MoBiCluP""","Stärkung der Branchenkompetenz, Erschließung überregionalerMärkte,
Umsetzung von Innovation",2008,2012,"46.686,00 €","46.686,00 €"
"Netzwerk ""Nachwuchsmanagementberatung""","Beratungsdienstleistungen für Nachwuchsführungskräfte, Vernetzung
von Nachwuchsführungskräften",2010,2012,"15.616,00 €","15.616,00 €"
"Netzwerk ""Nachwuchsmanagementberatung""",Beratungsdienstleistungen für Nachwuchsunternehmer,2008,2010,"25.200,00 €","25.200,00 €"
"Netzwerk ""Regionale Produkte und Spezialitäten""","Entwicklung und Aufbau eines kooperativen Handelssystems mit
eigener Vermarktungsorganisation f. regionale Produkte",2008,2012,"206.684,00 €","206.684,00 €"
"Netzwerk ""Regionale Produkte und Spezialitäten""","Entwicklung und Aufbau eines kooperativen Handelssystems mit
eigener Vermarktungsorganisation f. regionale Produkte",2008,2012,"51.671,00 €","51.671,00 €"
Netzwerk CeSaR Mark Brandenburg,"Netzwerk zur Förderung des Themas ""Gesellschaftliche Verantwortung
(CSR)"" in Unternehmen des Landes Brandenburg CeSaR",2009,2012,"37.728,75 €","37.728,75 €"
Netzwerk CeSaR Mark Brandenburg,"Netzwerk zur Förderung des Themas ""Gesellschaftliche Veranwortung
(CSR)"" in Unternehmen des Landes Brandenburg CeSaR",2008,2011,"67.443,97 €","67.443,97 €"
Netzwerk CeSaR Mark Brandenburg,"Netzwerk zur Förderung des Themas ""Gesellschaftliche Veranwortung
(CSR)"" in Unternehmen des Landes Brandenburg CeSaR",2008,2013,"67.443,98 €","67.443,98 €"
Netzwerk EnEV-WWG,"Unternehmernetzwerk zur Entwicklung und Vermarktung eines
energieeffizienten Wohn-Wintergartens",2008,2011,"107.937,35 €","107.937,35 €"
Netzwerk EnEV-WWG,"Unternehmernetzwerk zur Entwicklung und Vermarktung eines
energieeffizienten Wohn-Wintergartens",2008,2011,"21.592,65 €","21.592,65 €"
Netzwerk iDoCo - intelligenter Dokumenten-Container,"Konzept/Vermarktung einer Kommunikations- und
Transaktionsinfrastruktur für intelligente Dokumente",2010,2013,"268.181,00 €","268.181,00 €"
Netzwerk INA 2,"Netzwerk ""Wertschöpfung und Genuss""",2010,,"0,00 €",
Netzwerk INA Innovation durch Integration,INA Innovation durch Integration,2008,2009,"10.580,00 €","10.580,00 €"
Netzwerk Metallverbindung,"Verbesserung der Anpassungsfähigkeit neuer unternehmerischer
Erfordernisse auf den Gebieten des Marketings",2008,2010,"133.490,00 €","133.490,00 €"
Netzwerk Security e.V.,"""Aufbau des Netzwerkes und Durchführung von Projekten im Bereich
Marketing, QM und Vertrieb""",2009,2014,"170.493,19 €","170.493,19 €"
Netzwerk Security e.V.,"""Aufbau des Netzwerkes und Durchführung von Projekten im Bereich
Marketing, QM und Vertrieb""",2009,2014,"42.383,81 €","42.383,81 €"
Netzwerk Stahlapplikation für Photovoltaik,"Stahlapplikation für Photovoltaik (Neue Fertigungstechnikenund
Materialien)",2010,2013,"108.479,50 €","108.479,50 €"
Netzwerk Stahlapplikation für Photovoltaik,"Stahlapplikation für Photovoltaik (Neue Fertigungstechnikenund
Materialien)",2010,2013,"82.203,40 €","82.203,40 €"
Netzwerk VsB (Veredlung strukturierter Brennstoffe),Veredlung strukturierter Brennstoffe,2008,2014,"249.712,26 €","249.712,26 €"
Netzwerk VsB (Veredlung strukturierter Brennstoffe),Veredlung strukturierter Brennstoffe,2008,2014,"41.633,28 €","41.633,28 €"
NEUE LINIE Friseur & Kosmetik GmbH,"Modernisierung und Erweiterung von Betriebsstätten für Friseur- und
Kosmetikdienstleistungen",2013,2014,"20.422,00 €","20.422,00 €"
"Neugebauer, Grit",Errichtung einer Pension / touristische Dienstleistungen,2008,2009,"101.669,00 €","101.669,00 €"
"Neumann, Steffen","Erweiterung und Modernisierung einer Betriebsstätte für
Raumgestaltung",2011,2012,"1.223,00 €","1.223,00 €"
Neumarkt-Fleischerei GmbH,Beratung zur Herstellung fettreduzierter streichfähiger Rohwurst,2010,2011,"39.690,00 €","39.690,00 €"
Neumarkt-Fleischerei GmbH,Errichtung einer Kühlanlage mit Wärmerückgewinnung,2013,2014,"29.780,00 €","29.780,00 €"
"Neustadt, Wilhelm",Beratung zur Optimierung der betriebswirtschaftlichen Abläufe,2008,2008,"8.000,00 €","8.000,00 €"
Newport Spectra-Physics GmbH Geschäftsführung,"Erweiterung einer Betriebsstätte der Entwicklung, Fertigungund des
Vertriebs von Lasern und Laserzubehör",2008,,"0,00 €",
Nextra Anlagenbau Deutschland GmbH,"Erweiterung einer Betriebsstätte zur Herstellung von Hebezeugen und
Fördermitteln",2008,,"0,00 €",
"Nguyen Bach, Tuyet","Errichtung einer Milch-, Tee- und Kaffeebar",2011,2012,"29.852,00 €","29.852,00 €"
NGZ Geldzählmaschinengesellschaft mbH & Co KG,"Entwicklung einer Münzsortiermaschine mit Aussortiermechanismus
für Fremdmünzen und Falsifikate",2009,2012,"203.507,00 €","203.507,00 €"
Nickel Immobilien GmbH,Beratung zur Reorganisation des gesamten Unternehmens,2010,2011,"21.500,00 €","21.500,00 €"
Niederbarnimer Eisenbahn AG,Ausbau Bahnhof Wensickendorf,2009,2010,"140.139,29 €","140.139,29 €"
Niederbarnimer Eisenbahn AG,Ausbau Bahnhof Zühlsdorf,2009,2010,"166.620,00 €","166.620,00 €"
Niederbarnimer Eisenbahn AG,"Geschwindigkeitserhöhung für den Regionalverkehr auf dem
Streckenabschnitt Basdorf - Wensickendorf (80 km/h)",2010,,"1.392.866,64 €",
Niederlausitzer Kreishandwerkerschaft Finsterwalde,Fit für die Unternehmensnachfolge im Handwerk,2008,2009,"60.515,04 €","60.515,04 €"
Niederlausitzer Kreishandwerkerschaft Finsterwalde,Weiterführung Fit für die Unternehmensnachfolge im Handwerk,2009,2012,"134.678,00 €","134.678,00 €"
"Nieke, Burkhard",Messeteilnahme Potsdam Bau 07.-09.03.2008,2008,2008,"620,00 €","620,00 €"
"Nitsche, Hellen","Errichtung einer Betriebsstätte der Schank- und Speisewirtschaft
(Bistro)",2012,,"0,00 €",
NK-Motors International GmbH,Errichtung eines Blockheizkraftwerks (Pilotanlage),2008,,"0,00 €",
"NL Ost, HS Frankfurt Oder","L 23, KV L 23/L 33 Strausberg",2011,2012,"461.000,75 €","461.000,75 €"
"NL Ost, HS Frankfurt Oder","L 23, Stützwand und Straße Hennickendorf -Tofhaus",2008,2008,"1.107.215,52 €","1.107.215,52 €"
"NL Ost, HS Frankfurt Oder","L 232, OD Kagel, Brücke und LAP",2008,2012,"1.779.133,10 €","1.779.133,10 €"
"NL Ost, HS Frankfurt Oder","L 232, Weiterführung der OD Kagel - Einbindung OD Möllensee, IS",2008,2009,"413.082,30 €","413.082,30 €"
"NL Ost, HS Frankfurt Oder","L 233, OD Hennickendorf,  Dammrutsch, IS",2008,2009,"312.043,13 €","312.043,13 €"
"NL Ost, HS Frankfurt Oder","L 235, Ausbau OD Wegendorf 2. BA",2009,2012,"577.220,34 €","577.220,34 €"
"NL Ost, HS Frankfurt Oder",L 30 BW Altlandsberg Stienitzgraben,2010,2011,"222.083,00 €","222.083,00 €"
"NL Ost, HS Frankfurt Oder","L 30, Brücke über Fredersdorfer Fließ",2011,2013,"958.522,79 €","958.522,79 €"
"NL Ost, HS Frankfurt Oder","L 30, OD Altlandsberg, Ausbau",2008,2010,"513.841,48 €","513.841,48 €"
"NL Ost, HS Frankfurt Oder","L 30, OD Erkner EÜ Bahnhofstr.-Flakenfl.",2008,,"2.941.173,13 €",
"NL Ost, HS Frankfurt Oder","L 30, Radwegneubau Altlandsberg - Fredersdorf",2008,,"0,00 €",
"NL Ost, HS Frankfurt Oder","L 303, Brücke über DB Eggersdorf",2009,2010,"1.063.308,89 €","1.063.308,89 €"
"NL Ost, HS Frankfurt Oder","L 303, OD Eggersdorf",2011,,"2.646.639,74 €",
"NL Ost, HS Frankfurt Oder","L 303, RE Eggersdorf einschl. Kreisel KP L 303 / K 6419",2009,,"0,00 €",
"NL Ost, HS Frankfurt Oder","L 33, Golzow - Zechin, IS",2008,2009,"531.447,25 €","531.447,25 €"
"NL Ost, HS Frankfurt Oder","L 33, Herzhorn - Prötzel, IS",2009,2009,"374.888,31 €","374.888,31 €"
"NL Ost, HS Frankfurt Oder","L 33, Schulzendorf - Herzhorn, IS",2008,2008,"316.371,35 €","316.371,35 €"
"NL Ost, HS Frankfurt Oder","L 33, von OU Wriezen-Schulzendorf, IS",2008,2008,"215.857,24 €","215.857,24 €"
"NL Ost, HS Frankfurt Oder","L 339, KP B1 - KP K 6425 Dahlwitz-Hoppegarten",2009,2011,"397.240,22 €","397.240,22 €"
"NL Ost, HS Frankfurt Oder","L 34, Brücke Alttrebbin",2011,2012,"528.482,94 €","528.482,94 €"
"NL Ost, HS Frankfurt Oder","L 34, Reichenberg - Bollersdorf, Abs. 110",2011,2013,"1.138.576,45 €","1.138.576,45 €"
"NL Ost, HS Frankfurt Oder","L 34, Straßenanbindung-Güstebieser Loose",2008,2008,"94.638,62 €","94.638,62 €"
"NL Ost, HS Frankfurt Oder","L 35, Diensdorf-Radlow bis Bad Saarow",2008,2009,"832.670,79 €","832.670,79 €"
"NL Ost, HS Frankfurt Oder","L 361, OD Storkow, IS",2008,2008,"208.301,02 €","208.301,02 €"
"NL Ost, HS Frankfurt Oder","L 37, Bauwerk Graben Politz",2008,2008,"96.577,73 €","96.577,73 €"
