Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Alarmanlagenbau Korsing GmbH Geschäftsführung,"Erweiterung einer Betriebsstätte zum Einbau von Alarmanlagen,
Brandmeldeanlagen, Videoüberwachung und deren Wartung",2009,2010,"5.126,00 €","5.126,00 €"
"Albrecht, Jeannette",Erweiterung einer Praxis für Sprachtherapie,2010,2011,"7.697,00 €","7.697,00 €"
alca mobil auto accessories gmbh,"Erweiterung einer Betriebsstätte zur Herstellung von Autozubehör und
anderen Erzeugnissen",2007,2010,"250.000,00 €","250.000,00 €"
alca mobil auto accessories gmbh,"Messeteilnahme: ""AUTOMECHANIKA 2012"" in Frankfurt/Main",2012,2013,"13.100,00 €","13.100,00 €"
alca mobil logistics + services gmbh,"Messeteilnahme ""Automechanika 2014"" in Frankfurt am Main",2014,2015,"15.000,00 €","15.000,00 €"
ALCAT Europe GmbH,Errichtung eines Labors,2007,2012,"255.350,00 €","255.350,00 €"
alea technologies gmbh,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung einschließlich Produktvorbereitung und Design",2008,2011,"28.600,00 €","28.600,00 €"
alea technologies gmbh,"GazeControl - Kommunikationshilfsmittel für körperlich
Schwerstbehinderte",2007,2009,"74.663,00 €","74.663,00 €"
ALENSYS Alternative Energiesysteme AG,"Beschäftigung eines Innovationsassistenten im Bereich Innovations-
/Produktions-/Umwelt- und betriebsw. Management",2008,2010,"23.200,00 €","23.200,00 €"
ALENSYS Alternative Energiesysteme AG,Beschäftigung von einem Innovationsassistent,2007,2009,"23.800,00 €","23.800,00 €"
aleo solar AG,Erweiterung einer Betriebsstätte zur Fertigung von Solarstrommodulen,2007,2014,"3.805.175,00 €","3.805.175,00 €"
Alette Löbel & Monika Schulze GbR,"Errichtung einer Betriebsstätte der Schank- und Speisenwirtschaft
(Eiscafe)",2013,2014,"49.201,00 €","49.201,00 €"
Alfred Raith GmbH Sägen- und Werkzeugfabrikation,"Erweiterung einer Betriebsstätte zur Herstellung von Werkzeugen und
Maschinen für die metallverarbeitende Industrie",2008,,"0,00 €",
Alfred Rexroth Maschinenbau GmbH,Erweiterung einer Betriebsstätte des Maschinenbaus,2007,2009,"158.400,00 €","158.400,00 €"
Alfred Rexroth Maschinenbau GmbH & Co. KG,Erweiterung einer Betriebsstätte des Maschinenbaus,2008,,"0,00 €",
"Alfred Talke GmbH & Co. KG Grundstücksges.Alfred
Talke GmbH&Co.KG","Erweiterung einer Betriebsstätte zur Erbringung von logistischen
Dienstleistungen",2008,2013,"614.050,00 €","614.050,00 €"
ALGATEC Solar AG,"Aufbau und Einführung eines Managementsystems nach DIN EN ISO
9001:2000",2008,2012,"9.750,00 €","9.750,00 €"
ALKO Fördertechnik GmbH,Erweiterung einer Betriebsstätte,2009,2011,"104.275,00 €","104.275,00 €"
alles-ausschreibungen.de KHI GmbH,"Erweiterung einer Betriebsstätte zur Erbringung von
Informationsdienstleistungen im Bereich Öffentl. Ausschreibungen",2008,2013,"117.000,00 €","117.000,00 €"
Allied Clinical Management GmbH,Beschäftigung von 2 Innovationsassistenten,2009,2013,"28.340,00 €","28.340,00 €"
"Allresist Gesellschaft für chemische Produkte und
Mikrostrukturierung mbH","Beratung und Schulung  zur Einführung einer neuen
Vermarktungsstrategie",2007,2008,"7.130,00 €","7.130,00 €"
"Allresist Gesellschaft für chemische Produkte und
Mikrostrukturierung mbH","Beschäft. eines Innov.assistenten im Bereich Innovations-/ Produktions
/Umweltmanagement; Produktentwicklung/-vorbereitung",2011,2013,"24.411,00 €","24.411,00 €"
"Allresist Gesellschaft für chemische Produkte und
Mikrostrukturierung mbH","Entwicklung vernetzbarer Epoxystyrene für OLED-, OFET-
bzw.Mikrostrukturierungsanwendungen (Verbundvorhaben)",2009,,"129.100,00 €",
"Allresist Gesellschaft für chemische Produkte und
Mikrostrukturierung mbH","Messeteilnahme ""SEMICON Europa 2010"" in Dresden",2010,2011,"2.740,00 €","2.740,00 €"
"Allresist Gesellschaft für chemische Produkte und
Mikrostrukturierung mbH","Messeteilnahme ""SEMICON Europa 2013"" in Dresden",2013,2014,"2.640,00 €","2.640,00 €"
