Name des Begünstigten -  beneficiary name;Bezeichnung des Vorhabens - operation name;Zusammenfassung des Vorhabens - operation summary;Beginns des Vorhabens - operation start date;Ende des Vorhabens  - operation end date;Gesamtbetrag der förderfähigen Ausgaben des Vorhabens - total eligible expenditure allocated to the operation;Unions-Kofinanz-ierungs-satz  pro Prioritätsachse - Union co-financing rate;Postleitzahl des Vorhabens - operation postcode;Land -country;Bezeichnung der Interventionskategorie-  name of category of intervention
Igniti GmbH;2016 AWF 0102;"Teilnahme an der internationalen Messe ""A-Commerce Day"" am 20.10.2016 in Wien/Österreich sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache";13.04.2016;20.10.2016;13.000,00 €;80%;7743;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
IL - Metronic Sensortechnik GmbH;2016 AWF 0019;Teilnahme an der internationalen Messe Offshore Northen Seas (ONS) vom 29.08.2016 bis 01.09.2016 in Stavanger / Norwegen;15.02.2016;01.09.2016;6.000,00 €;80%;98693;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
IL - Metronic Sensortechnik GmbH;2016 EEB 0110;Durchführung einer Energieeffizienzberatung (Erfolgskontrolle) für das Unternehmen IL Metronic Sensortechnik GmbH;15.06.2016;31.10.2016;9.368,00 €;80%;98693;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
IMG Electronic & Power Systems GmbH;2015 FE 0008;Entwicklung eines Hochleistung-Elektro-Energiespeichers mit Lithium-Ionen-Zelltechnologie für den mobilen und stationären Einsatz;25.04.2016;24.06.2018;753.554,12 €;80%;99734;Deutschland;065 - Forschungs- und Innovationsinfrastruktur, Prozesse, Technologietransfer und Zusammenarbeit in Unternehmen mit Schwerpunkt auf der CO 2 -armen Wirtschaft und der Verstärkung der Widerstandsfähigkeit gegenüber dem Klimawandel
IMMS Institut für Mikroelektronik- und Mechatronik-Systeme gemeinnützige GmbH (IMMS GmbH);2015 FE 9159;Entwicklung von Sensorchips zur Integration in eine immunologische und mikroelektronische Diagnoseplattform zur Krebsdiagnostk;01.06.2016;31.05.2019;351.080,00 €;80%;98693;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
IMMS Institut für Mikroelektronik- und Mechatronik-Systeme gemeinnützige GmbH (IMMS GmbH);2015 FGI 0010;Einrichtung eines MEMS 3D-Vibrometer Messplatzes;01.04.2016;31.01.2017;293.100,00 €;80%;98693;Deutschland;058 - Forschungs- und Innovationsinfrastruktur (öffentlich)
IMMS Institut für Mikroelektronik- und Mechatronik-Systeme gemeinnützige GmbH (IMMS GmbH);2015 ITS 0044;die Erlangung und Sicherung des Patents Präzisions Smart-Sensor-Interface für Hochtemperaturanwendungen;22.02.2016;31.08.2016;5.096,50 €;80%;98693;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
Indu-Sol GmbH;2015 AWF 0022;Teilnahme an der internationalen Messe Hannover Messe International vom 25.04.2016 bis 29.04.216 in Hannover (Deutschland) sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;31.10.2015;29.04.2016;13.000,00 €;80%;4626;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Indu-Sol GmbH;2015 AWF 0061;Teilnahme an internationalen Messe in Deutschland/ im Ausland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;17.12.2015;24.11.2016;13.000,00 €;80%;4626;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Indu-Sol GmbH;2015 FE 0004;Entwicklung eines passiv arbeitenden Ethernet-Diagnosegerätes als intelligenter Gigabit-TAP mit integrierter Monitoring- und Securityfunktionalität;01.12.2015;31.01.2018;813.401,62 €;80%;4626;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
Industrie Montage - Service Ichtershausen GmbH;2015 TIZ 0248;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;22.06.2015;14.01.2016;150.012,11 €;80%;99334;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Industrieservice & Metallbau Patrick Strecker;2016 TIZ 0096;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;17.03.2016;30.07.2016;21.200,49 €;80%;37308;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Ingenieurbetrieb für Landespfl. und Forstdienstleist. Heß & Amborn GbR Roland Heß und Kurt Amborn;2015 TIZ 0141;Anschaffung neuer Maschinen entsprechend des Energieberatungsberichtes für das Unternehmen;10.04.2015;30.08.2015;71.120,89 €;80%;36433;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Ingenieurbüro für Energiewirtschaft Dr.-Ing. Dirk Schramm (VBI) GmbH;2015 TIZ 0435;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;31.08.2015;30.08.2017;304.300,00 €;80%;98587;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Ingenieurbüro Roman Grünbeck;2015 TIZ 0014;Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;20.01.2015;28.08.2015;14.146,50 €;80%;7743;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Ingenieurbüro Uwe Neubauer;2015 TIZ 0050;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;05.02.2015;31.01.2016;108.920,77 €;80%;96524;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
INNOWAMESS Jürgen Wachter;2015 TIZ 0063;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;13.02.2015;31.03.2016;206.492,00 €;80%;96515;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Institut für Bioprozess- und Analysenmesstechnik e.V.;2015 FE 9117;Etablierung und Testung acrylierter organischer Bindersysteme für die Strukturierung von ATZ-Keramikdispersionen mittels 2-Photonenpolymerisation;01.04.2016;31.03.2019;586.658,00 €;80%;37308;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
Institut für Bioprozess- und Analysenmesstechnik e.V.;2015 FE 9163;Hydrogelbasierte 3D-Kultivierung von Zellen auf Chips für die Krebsdiagnose;01.06.2016;31.05.2019;209.999,00 €;80%;37308;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
Institut für Bioprozess- und Analysenmesstechnik e.V.;2015 FGI 0015;Systembiologische Analyse komplexer, hierarchisch strukturierter Biosysteme durch High-Performance-Computing (Bio-HPC);01.07.2016;30.06.2019;264.306,14 €;80%;37308;Deutschland;058 - Forschungs- und Innovationsinfrastruktur (öffentlich)
Institut für Bioprozess- und Analysenmesstechnik e.V.;2015 IVN 0020;Entwicklung eines Systems zur Überwachung der Gewässerbelastung auf Mikroschadstoffe;01.12.2015;30.06.2016;35.000,00 €;80%;37308;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
in-TER CONSULT Greiz Dipl.-Ing. Harald Böttcher e.K.;2015 IDS 0021;Durchführbarkeitsstudie für das FuE-Vorhaben mit dem Thema Entwicklung eines Verfahrens zur effektiven Wärmeenergie- Gewinnung aus Abwasser und deren Anwendung in Wohngebieten, Siedlungen und kleineren Industriegebieten;09.12.2015;29.02.2016;9.600,00 €;80%;7957;Deutschland;065 - Forschungs- und Innovationsinfrastruktur, Prozesse, Technologietransfer und Zusammenarbeit in Unternehmen mit Schwerpunkt auf der CO 2 -armen Wirtschaft und der Verstärkung der Widerstandsfähigkeit gegenüber dem Klimawandel
INTRON Jena - Gesellschaft für digitale Farbtransferdrucktechnik mbH;2016 EEB 0125;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Intron Jena  - Gesellschaft für digitale Farbtransferdrucktechnik mbH;07.07.2016;31.10.2016;10.625,00 €;80%;7745;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
IQS GmbH;2016 FE 0036;Entwicklung und Herstellung eines elektrisch leitfähigen synthetischen Quarzglases.;01.07.2016;28.02.2018;124.279,35 €;80%;98693;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
ISOCO Plastics Technology GmbH;2016 AWF 0057;"Teilnahme an der internationalen Messe ""FachPack"" vom 27.09.2016 bis 29.09.2016 in Nürnberg / Deutschland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache";15.03.2016;29.09.2016;13.000,00 €;80%;98739;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Isoplus Fernwärmetechnik GmbH;2015 EEI 0113;Umrüstung auf LED-Beleuchtung im Unternehmen Isoplus Fernwärmetechnik GmbH;01.01.2016;31.10.2016;243.245,00 €;80%;99706;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
ISS Industrie-Service Sondershausen GmbH;2015 EEB 0085;Durchführung einer Energieeffizienzmaßnahme (Situationsanalyse) für das Unternehmen ISS Industrie-Service Sondershausen GmbH;15.12.2015;15.04.2016;9.790,50 €;80%;99706;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
ITP GmbH Gesellschaft für Intelligente Textile Produkte;2016 IDS 0009;Durchführbarkeitsstudie für das FuE-Vorhaben mit dem Thema: Entwicklung eines elektrisch kühlenden Textilsystems auf Basis des Peltiereffektes - TexPeltier;01.04.2016;31.10.2016;50.000,00 €;80%;99423;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
ITP GmbH Gesellschaft für Intelligente Textile Produkte;2016 ITS 0008;"Erlangung und Sicherung des Patents ""Pneumatische textile Bauelemente mit funktionaler Steuerung als neuartige Konstruktionselemente insbesondere für die Fahrzeugtechnik""";15.03.2016;31.08.2016;10.150,00 €;80%;99423;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
Jakobi & Söhne Bautischlerei GmbH;2015 TIZ 0401;Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für die Tischlerei;01.11.2015;31.12.2016;165.000,00 €;80%;99976;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
JAKUSA Bedachungen Inh. Stefan Jakubowski;2015 TIZ 0059;bauliche Investitionen und Anschaffung von neuen Maschinen und Einrichtungen für das Unternehmen;12.02.2015;31.12.2016;141.200,00 €;80%;7318;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Jena Bioscience GmbH;2015 FE 0023;EvoPol: Ein molekulares Evolutionssystem für DNA-Polymerasen;01.04.2016;31.03.2019;736.282,58 €;80%;7749;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
Jenaer Feinblech GmbH;2016 AWF 0067;"Teilnahme an der internationalen Messe ""Z"" Internationale Zuliefermesse für Teile, Komponenten, Module und Technologien in Leipzig/Deutschland vom 07.03.2017 bis zum 10.03.2017";31.03.2016;10.03.2017;6.000,00 €;80%;7745;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
JENA-GEOS-Ingenieurbüro GmbH;2015 FE 9019;Ermittlung prototypischer Referenzlokationen, Probengewinnung und Überführung der Projektergebnisse in ein Algoithmus zur Bestimmung der Erfolgswahrscheinlichkeit unter Ermittlung der Gestehungskosten;03.05.2016;31.03.2019;308.560,01 €;80%;7743;Deutschland;065 - Forschungs- und Innovationsinfrastruktur, Prozesse, Technologietransfer und Zusammenarbeit in Unternehmen mit Schwerpunkt auf der CO 2 -armen Wirtschaft und der Verstärkung der Widerstandsfähigkeit gegenüber dem Klimawandel
JENA-GEOS-Ingenieurbüro GmbH;2016 IVW 0023;"Vorbereitung des Regionalen Wachstumskerns ""smood - smart neighborhood""";01.05.2016;31.03.2017;71.428,57 €;80%;7743;Deutschland;065 - Forschungs- und Innovationsinfrastruktur, Prozesse, Technologietransfer und Zusammenarbeit in Unternehmen mit Schwerpunkt auf der CO 2 -armen Wirtschaft und der Verstärkung der Widerstandsfähigkeit gegenüber dem Klimawandel
JENETRIC GmbH;2015 FE 0016;Entwicklung eines kombinierten stationären Zehnfingerscanners mit integriertem Dokumentenleser für die Personenidentifikation in Sicherheitsanwendungen (Pancake);01.12.2015;30.09.2018;2.413.167,50 €;80%;7745;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
JENETRIC GmbH;2015 ITS 0002;Verfahren und Vorrichtung betreffend Finger- und Dokumentenscanner mit Direktsensor;01.12.2015;31.01.2018;16.200,00 €;80%;7745;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
JENETRIC GmbH;2015 ITS 0003;Vorrichtung und Verfahren betreffend Fingerabdruckscanner mit direkter Benutzerinteraktion;01.12.2015;31.01.2018;16.200,00 €;80%;7745;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
JENETRIC GmbH;2016 IPO 0051;Organisationsionnovation zur Implementierung eines zertifizierungsfähigen Qualitätsmanagement;20.06.2016;31.01.2017;4.360,00 €;80%;7745;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
JENETRIC GmbH;2016 ITS 0035;Vorrichtung und Verfahren zur Aufnahme abgerollter Fingerabdrücke;29.04.2016;28.04.2018;20.000,00 €;80%;7745;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
Jo! GmbH;2015 TIZ 0226;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;15.06.2015;31.08.2015;72.798,39 €;80%;99095;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Jöma GmbH & Co. KG;2015 TIZ 0502;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen durch die Jöma GmbH & Co. KG (Besitzunternehmen) zur Vermietung an die habö Metall GmbH (Betriebsgesellschaft);31.12.2015;31.05.2016;260.000,00 €;80%;99988;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
JS-Car-Styling Inh. Jörgen Scheide;2015 TIZ 0250;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;27.06.2015;31.12.2016;180.000,00 €;80%;37355;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
JSJ Jodeit GmbH;2015 FE 0031;Erhöhung der Produktionsflexibilität zur Herstellung vonBorosilikatglasrohren nach dem Vello-Verfahren sowohl für großformatige Rohrerzeugnisse als auch für Kleinproduktionsmengen;01.12.2015;30.08.2017;817.890,50 €;80%;7751;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
K.I.K. Kunststoff GmbH;2015 TIZ 0271;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;03.07.2015;31.12.2016;250.000,00 €;80%;99880;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
KAHLA/Thüringen Porzellan GmbH;2016 EEI 0100;Installation WRG-System zur Wärmerückgewinnung und Abwärmenutzung von Ofenabgasen für das Unternehmen Kahla Porzellan GmbH;01.06.2016;31.10.2016;151.500,00 €;80%;7768;Deutschland;068- Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
KanalTec Mathias Ringling;2015 TIZ 0167;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;24.04.2015;31.10.2015;38.032,25 €;80%;37339;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Karosserie- und Lackierfachbetrieb Uwe Hahn;2015 EEB 0021;Durchführung einer Energieeffizienzberatung für das Unternehmen Karosserie- und Lackierfachbetrieb Uwe Hahn;22.09.2015;20.11.2015;12.375,00 €;80%;7580;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Karosserie- und Lackierfachbetrieb Uwe Hahn;2016 EEI 0024;Optimierung der RLT-Anlage, Anschaffung PV-Anlage (Nutzung regenerativer Energie) sowie Anschaffung BHKW zur Bereitstellung der Prozesswärme / Energie für das Unternehmen Karosserie- und Lackierfachbetrieb Uwe Hahn;15.02.2016;31.01.2017;195.400,00 €;80%;7580;Deutschland;068- Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Karosserie- und Lackierzentrum Wentorf GmbH;2015 TIZ 0361;Bauliche Investitionen für das Unternehmen;15.09.2015;30.06.2016;309.000,00 €;80%;98634;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Karosserie- und Lackierzentrum Wentorf GmbH;2016 TIZ 0010;Durchführung von baulichen Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;20.01.2016;31.12.2017;250.300,00 €;80%;98634;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Kästner Präzisionswerkzeuge GmbH;2016 AWF 0127;Teilnahme an internationalen Maschinenbaumesse vom 03.10.2016 bis 07.10.2016 in Brno / Tschechien sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;04.06.2016;07.10.2016;13.000,00 €;80%;98587;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Katharina und André Münch GbR;2016 TIZ 0169;Anschaffung neuer Maschinen und Einrichtungen durch die Katharina und Andrè  Münch GbR (Besitzunternehmen) zur Vermietung an die Steinmetz Münch GmbH (Betriebsunternehmen);19.05.2016;31.01.2017;190.000,00 €;80%;7407;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Kaufmann Heizung-Sanitär Inh. Nicky Kaufmann;2015 TIZ 0221;Durchführung von baulichen Investitionen für das Unternehmen;05.06.2015;31.12.2016;210.000,00 €;80%;37351;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Kersten Kunststoffcoating GmbH;2016 EEB 0026;Durchführung einer Energieeffizienzberatung (Projektbegleitung) für die Kersten Kunststoffcoating GmbH;01.04.2016;31.10.2016;6.275,00 €;80%;7768;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Kersten Kunststoffcoating GmbH;2016 EEI 0025;DruckluftanlageWRG DruckluftanlageBeleuchtung (LED);01.04.2016;31.10.2016;81.140,00 €;80%;7768;Deutschland;068- Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Kfz.-Meister-Werkstatt-Köhler Inh. Mathias Köhler;2015 TIZ 0243;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;20.06.2015;19.06.2017;15.000,00 €;80%;99610;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
KfZ-Meisterwerkstatt Gerhard Dietrich;2015 TIZ 0264;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.07.2015;30.10.2016;30.000,00 €;80%;37327;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
KFZ-Sachverständigenbüro Maik Köhler;2015 TIZ 0482;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.01.2016;31.12.2016;263.000,00 €;80%;99718;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
KFZ-Service-Bohlig Mario Bohlig;2015 TIZ 0039;Bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.02.2015;31.01.2017;100.000,00 €;80%;98631;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Kfz-Werkstatt Andy Kanzler;2016 TIZ 0085;Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;14.03.2016;13.03.2018;17.000,00 €;80%;7318;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
KGM Furnierprofile GmbH;2015 EEB 0052;Energieberatung (Situationsanalyse);01.11.2015;31.03.2016;12.110,00 €;80%;98708;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
KGM Furnierprofile GmbH;2016 EEI 0090;Ertüchtigung der Späneabsaugung, Beleuchtung, Drucklufterzeugung- und aufbereitung inkl. Wärmerückgewinnung im Unternehmen KGM Funierprofile GmbH;17.05.2016;16.05.2017;112.500,00 €;80%;98708;Deutschland;068- Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
kh Teile GmbH;2016 TIZ 0032;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.03.2016;15.05.2016;10.544,00 €;80%;99095;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
KHW Kunststoff- und Holzverarbeitungswerk GmbH;2015 EEI 0014;Investitionen in eine neue energieeffiziente Granulattrocknungsanlage für die KHW Kunststoff- und Holzverarbeitungswerk GmbH;01.10.2015;30.06.2016;143.583,00 €;80%;98716;Deutschland;068- Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Kiebitzmarkt-Futterscheune Inh. Markus Heinemann;2016 TIZ 0042;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;15.02.2016;15.06.2016;56.000,00 €;80%;99848;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
KIGLAS Inh. Norbert Kirchner Glas nach Maß;2015 TIZ 0067;Anschaffung einer Kantenschleifmaschine entsprechend des Energieberatungsberichtes und Anschaffung von Hebetechnik für das Unternehmen;19.02.2015;31.12.2015;40.000,00 €;80%;36466;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Klausenhof GmbH & Co. KG;2015 TIZ 0481;Investitionen zur Durchführung von baulichen Maßnahmen zur Ressourceneffizienz und Energieeinsparung für Ihr Unternehmen;01.02.2016;30.09.2016;210.000,00 €;80%;37318;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Klymus KG;2015 TIZ 0260;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;25.06.2015;30.11.2016;56.000,00 €;80%;37327;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
KOMOS GmbH Komponenten Module Systeme;2016 AWF 0005;Teilnahme an der internationalen Messe electronica vom 08.11.2016 - 11.11.2016 in München/Deutschland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;13.01.2016;11.11.2016;13.000,00 €;80%;7616;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
KOMOS GmbH Komponenten Module Systeme;2016 AWF 0014;Teilnahme an der internationalen Messe Power Days vom 15.03.2017 - 17.03.2016 in Salzburg/Österreich sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;15.01.2016;17.03.2017;13.000,00 €;80%;7616;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
KOMOS GmbH Komponenten Module Systeme;2016 AWF 0034;Teilnahme an der internationalen Zuliefermesse vom 07.03.2017 bis 10.03.2017 in Leipzig/Deutschland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;22.02.2016;10.03.2017;13.000,00 €;80%;7616;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
KOMOS GmbH Komponenten Module Systeme;2016 AWF 0079;Teilnahme an der internationalen Messe Light & Building vom 18.03.2018 bis 23.03.2018 in Frankfurt/Deutschland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;29.03.2016;23.03.2018;13.000,00 €;80%;7616;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Kompetenzzentrum Augenoptik Ulm Inh. Robert Ulm;2015 TIZ 0294;Durchführung von baulichen Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;20.07.2015;19.07.2016;83.906,00 €;80%;7551;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Konditorei u. Cafe Kornhaß Inh. Dieter Kornhaß;2015 EEB 0028;Durchführung einer Energieeffizienzberatung (Situationsanalys) in der Bäckerei Konditorei Kornmaß;10.10.2015;30.11.2015;7.300,00 €;80%;99891;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Konditorei u. Cafe Kornhaß Inh. Dieter Kornhaß;2016 EEI 0004;Etagenbackofen;01.02.2016;30.05.2016;20.705,00 €;80%;99891;Deutschland;068- Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Konditorei und Cafe Otto Inh. Michael Otto;2016 TIZ 0067;Durchführung von baulichen Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.03.2016;28.02.2018;223.600,00 €;80%;98544;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
