Name des Begünstigten -  beneficiary name;Bezeichnung des Vorhabens - operation name;Zusammenfassung des Vorhabens - operation summary;Beginns des Vorhabens - operation start date;Ende des Vorhabens  - operation end date;Gesamtbetrag der förderfähigen Ausgaben des Vorhabens - total eligible expenditure allocated to the operation;Unions-Kofinanz-ierungs-satz  pro Prioritätsachse - Union co-financing rate;Postleitzahl des Vorhabens - operation postcode;Land -country;Bezeichnung der Interventionskategorie-  name of category of intervention
"Gewässerunterhaltungsverband ""Orlasenke""";2015 GZ 0044;Hochwasserschutz und Renaturierung an der Kotschau in Pößneck, OT Köstitz;27.06.2016;30.06.2018;1.907.030,00 €;80%;7381;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
"Gewässerunterhaltungszweckverband ""Eichsfeld""";2015 GZ 0005;Herstellung der Durchgängigkeit im Haidelbach und Renaturierung Ahlenbach in Niederorschel;15.02.2016;30.11.2017;202.443,35 €;80%;37355;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
"Gewässerunterhaltungszweckverband ""Südliche Unstrutaue""";2016 GZ 0008;"Gewässerpflege- und Entwicklungsplanung für Gewässer II. Ordnung im Verbandsgebiet des GUZV ""Südliche Unstrutaue""";07.03.2016;30.09.2016;83.485,64 €;80%;99947;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
GEZEA GmbH;2015 EEB 0081;Durchführung einer Energieeffizienzmaßnahme (Situationsanalyse) für das Unternehmen GEZES GmbH;15.11.2015;30.07.2016;12.600,00 €;80%;99817;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
GEZEA GmbH;2015 TIZ 0139;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.04.2015;27.10.2015;65.946,57 €;80%;99817;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
GFA Gothaer Fahrzeugachsen GmbH;2015 TIZ 0427;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;30.11.2015;31.03.2017;250.000,00 €;80%;99867;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
GFE - Gesellschaft für Fertigungstechnik und Entwicklung Schmalkalden e. V.;2015 FE 9045;Untersuchungen zur spanenden Bearbeitung von hochlegierten Stählen durch Fräsen mit überlagerter hochfrequenter Bewegung;01.07.2016;30.06.2018;140.625,00 €;80%;98574;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
GGC GmbH;2015 AWF 0023;Teilnahme an der internationalen Messe AERO vom 20.04.2016 - 23.04.2016 in Friedrichshafen sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;03.11.2015;23.04.2016;13.000,00 €;80%;99996;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
GHS Plastic GmbH;2015 EEI 0044;Austausch Spritzgießmaschine, Verdichteranlage sowie Isolierung Heizbänder;30.10.2015;01.07.2016;246.500,00 €;80%;99842;Deutschland;068- Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Gitterwerk GmbH;2016 TIZ 0026;Anschaffung neuer Klimatechnik für das Unternehmen;09.02.2016;31.12.2017;136.480,00 €;80%;7745;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
