NAME DES BEGÜNSTIGTEN,NAME DES PROJEKTS,JAHR DER BEWILLIGUNG,JAHR DES ABSCHLUSSES,VORGESEHENE ÖFFENTLICHE BETEILIGUNG,ENDGÜLTIGE BETEILIGUNG NACH ABSCHLUSS DES PROJEKTS
bras e. V.,"Arbeitspolitische Maßnahmen: Kommunalschlepper für die
Landschaftspflege im Universitätsbereich",2013,,"18.412,94",
bras e. V.,"Arbeitspolitische Maßnahmen: Multimedia Computer-Systeme
für den Lehrbedarf der MediengestalterInnen",2013,,"5.700,00",
Bremen Marketing GmbH,Wissenswelten 2007/2008,2007,2010,,"200.000,00"
Bremen Marketing GmbH,"Wissenswerte  - Bremer Forum für Wirtschaftsjournalismus
2007",2007,2008,,"17.931,50"
Bremen Marketing GmbH,Wissenschaftsthemenzeit 2007/2008,2007,2008,,"124.220,31"
"bremenports GmbH & Co. KG i. A. des BgA
Hafen","Erweiterung der wasserseitigen Nutzung der Weser Richtung
Weserstadion (Anleger Tiefer)",2014,,"496.000,00",
"bremenports GmbH & Co. KG i. A. des BgA
Hafen",Potenzialanalyse Bereich Tiefer,2014,,"49.000,00",
"bremenports GmbH & Co. KG i. A. des BgA
Hafen",Integrierte Pflege- und Managementplanung Luneplate,2011,,"111.472,00",
"bremenports GmbH & Co. KG i. A. des BgA
Hafen",Auenrevitalisierung an der Weser im Bereich Habenhausen,2013,,"2.113.000,00",
"bremenports GmbH & Co. KG i. A. des BgA
Hafen",Naturerleben Luneplate,2013,,"746.500,00",
Bremer Bootsbau Vegesack gGmbH,Bootsbaulehrpfad beim Schaufenster Bootsbau,2010,2012,,"76.100,65"
Bremer Centrum für Mechatronik (BCM),"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie),
Gesundheitswirtschaft:Rehabilitation zu Hause",2011,2013,,"99.833,49"
Bremer Dämmstoffwerk GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2011,,"20.000,00",
Bremer Heimstiftung,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
IT-gestütztes Assistenzsystem für ältere Menschen",2009,2011,,"4.308,00"
"Bremer Institut für angewandte Strahltechnik
GmbH (BIAS)","QS-CFK: Zerstörungsfreie Qualitätsprüfungsmethoden für die
vollständige Wertschöpfungskette von Faserverbundbauteilen
und Schweißverbindungen",2013,,"285.000,00",
"Bremer Institut für Produktion und Logistik
GmbH (BIBA)","Zentrale Vernetzung komplexer Test- und Verifikationsanlagen
- Bremer Technologie-Center (BRE-TeC)",2009,,"2.065.000,00",
"Bremer Institut für Produktion und Logistik
GmbH (BIBA)","Förderprogramm Angewandte Umweltforschung (AUF):
Kennzahlen grüner Logistik - Kurs auf die öko-effiziente
Logistikfabrik (KeyP green)",2010,2014,,"118.245,00"
Bremer Pflegedienst GmbH,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Zuhause im Quartier",2009,2011,,"30.200,00"
Bremer Touristik-Zentrale BTZ,"Marketing für die Wissens- und Erlebniswelten im Bundesland
Bremen durch den Germany Travel Mart (GTM) 2014",2010,,"728.000,00",
Bremer Touristik-Zentrale BTZ,"Fonds Wissenschaftliche Kongresse: 47. Jahrestagung der
Deutschen Gesellschaft der Psychologen",2009,2013,,"15.400,00"
Bremer-Aufbau-Bank GmbH (BAB),"BRUT - Förderprogramm für Unternehmensgründungen 2009 -
2013",2008,,"3.083.000,00",
"Bremerhavener Beschäftigungsgesellschaft
""Unterweser"" (BBU) mbH",Arbeitspolitische Maßnahmen: Metallwerkstatt BBU,2013,,"179.137,00",
"Bremerhavener Beschäftigungsgesellschaft
""Unterweser"" (BBU) mbH",Standortmanagement Geestemünde,2010,,"488.000,00",
"Bremerhavener Beschäftigungsgesellschaft
""Unterweser"" (BBU) mbH",Arbeitspolitische Maßnahmen: Holzwerkstatt BBU,2013,,"21.250,00",
"Bremerhavener Entwicklungsgesellschaft
Alter-/Neuer Hafen","Errichtung eines Informationszentrums Offshore-Windenergie
Bremerhaven",2013,,"1.371.843,00",
"Bremerhavener Innovations- und
Gründerzentrum GmbH","Förderung des Projekts ""Betrieb der BRIG GmbH in 2013/14""",2012,,"614.000,00",
"Bremerhavener Innovations- und
Gründerzentrum GmbH","Förderung des Projekts ""Betrieb der BRIG GmbH in 2012""",2012,,"307.000,00",
"Bremerhavener Innovations- und
Gründerzentrum GmbH","Förderung des Projekts ""Betrieb der BRIG GmbH in 2011""",2010,2011,,"347.498,46"
"Bremerhavener Innovations- und
Gründerzentrum GmbH","Förderung des Projekts ""Betrieb der BRIG GmbH in 2010""",2010,2012,,"307.000,00"
