NAME DES BEGÜNSTIGTEN,NAME DES PROJEKTS,JAHR DER BEWILLIGUNG,JAHR DES ABSCHLUSSES,VORGESEHENE ÖFFENTLICHE BETEILIGUNG,ENDGÜLTIGE BETEILIGUNG NACH ABSCHLUSS DES PROJEKTS
InCoTrain,"Arbeitspolitische Maßnahmen: Verbesserung der
Medienkompetenz",2013,,"6.508,11",
"Industrie-Werbung Günter Kutz, Nachf.
Michael Kutz","Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"10.479,00"
InnoJoin GmbH & Co. KG,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"17.561,00"
Innoven GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Offshore Rotorblatt",2011,,"116.114,00",
Institut für Berufs- und Sozialpädagogik (ibs),"Arbeitspolitische Maßnahmen: Innovative Hard- und Software
für die berufliche Aus- und Fortbildung",2013,,"21.801,31",
"Institut für Freizeitwissenschaften und
Kulturarbeit e.V.","Fonds Wissenschaftliche Kongresse: Bremer Freizeitkongress
2014",2014,,"5.200,00",
"Institut für Wetter- und Klimakommunikation
GmbH","Fonds Wissenschaftliche Kongresse: ExtremWetterKongress
2010",2009,,"70.000,00",
Intalus GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"6.000,00"
Intalus GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"6.000,00"
Intalus GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"6.000,00"
Intalus GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2009,,"5.775,00"
Intalus GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2014,,"6.000,00"
"Interessengemeinschaft Technologiepark
Universität e. V., c/o Universität Bremen -
UniTransfer","Errichtung eines Campusparks im Technologiepark Universität
/ hier: Technologiepark- und Kommunikationsmanagement",2008,,"200.000,00",
interface.group GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2011,,"5.003,00"
ISEY Fischimport GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2009,,"3.958,00"
iSiTEC GmbH,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Monitherm",2011,2014,,"84.930,00"
iSiTEC GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): CH4 MikroSens",2010,,"63.880,00",
ITSM Consulting AG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"3.350,00"
ITSM Consulting AG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"3.300,00"
IWT Stiftung Institut für Werkstofftechnik,"Förderprogramm Angewandte Umweltforschung (AUF):
Einsatz von Hochfrequenz-Ultraschall zur Keimreduktion in
wassergemischten Kühlschmierstoffen (HUSKK)",2012,,"26.130,00",
IWT Stiftung Institut für Werkstofftechnik,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Gezielte Bewertung der mikrobiellen Belastung von
wassergemischten Kühlschmierstoffen für eine
ressourcenschonende und kostensparende Metallverarbeitung",2009,2010,,"71.326,00"
IWT Stiftung Institut für Werkstofftechnik,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Schnelle Direktanalyse von mikrobiellen
Kontaminationen in wassergemischten Kühlschmierstoffen
durch MALDI-TOF-MS",2010,,"121.006,00",
"J. H. K. Anlagenbau und Service GmbH & Co.
KG","Förderprogramm Angewandte Umweltforschung (AUF):
Ressourceneffiziente Ethanolfermentation mittels
Membranbioreaktortechnologie",2007,2010,,"22.028,83"
Jacobs University Bremen gGmbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Biologische Reststoffbehandlung bei der Autoverwertung
(Shredderabfallbehandlung)",2008,2014,,"93.635,37"
Jacobs University Bremen gGmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Algenfabrik: Aufbau einer geschlossenen
Prozesskette zur Produktion von Biotreibstoffen und
Plattformchemikalien aus Mikroalgen im Rahmen einer
Pilotfabrik",2009,,"128.000,00",
Jacobs University Bremen gGmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Aufbau einer grünen Algen-Industrie im Pilotmaßstab
neben einer Industriekraftwerksanlage in Bremen-Blumenthal",2009,,"95.894,00",
"Jacobs University Bremen GmbH (JUB),
School of Engeneering and Science","Förderprogramm Angewandte Umweltforschung (AUF):
Nutzung mariner Algenbiomasse zur Biogasproduktion",2011,,"119.986,00",
"Jens F. Dörgeloh Yacht- und
Bootsausrüstung","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2008,,"4.270,00"
Jens Warneke Export GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2008,,"3.047,00"
Johann Meineken GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"122.777,00"
judel / vrolijk & co. engeneering gmbH,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Yacht Engeneering nach dem Verfahren ELiSE für die
Anwendung im High-End Regattaeinsatz",2010,2013,,"60.876,00"
Jürgen Klauß - Maschinenbau,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"153.875,00"
Jürgen Klose Industrietechnik GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"505.000,00"
Just in Air GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"5.636,00"
Kahrs GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2013,,"17.582,00",
"Karl Gütschow Schiffs- und Kesselreinigung
GmbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2013,,"5.050,00"
"Karl Gütschow Schiffs- und Kesselreinigung
GmbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2015,,"4.767,00"
"Karl Gütschow Schiffs- und Kesselreinigung
GmbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2011,,"4.650,00"
"KBU Klaus Bodenbach Unternehmens- und
IS-Beratung Logistik GmbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"3.327,00"
Kieserling Spedition + Logistik GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"1.250.000,00"
Kieserling-Stiftung,Fonds Wissenschaftliche Kongresse: Bremer Logistiktag 2011,2011,2012,,"40.000,00"
Kieserling-Stiftung,Fonds Wissenschaftliche Kongresse: Bremer Logistiktag 2010,2010,,"45.000,00",
Kinderwelt-Alles für Ihr Kind UG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"3.113,00"
Kitzinger GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2009,,"2.580,00"
KJH Verwaltungsgesellschaft mbH & Co. KG,Machbarkeitsstudie Schuppen 1,2008,2012,,"93.200,00"
Klimahaus Betriebsgesellschaft mbH,"Fonds Wissenschaftliche Kongresse: 1. Bildungsforum im
Klimahaus Bremerhaven",2012,2012,,"2.642,38"
Klimahaus Betriebsgesellschaft mbH,"Fonds Wissenschaftliche Kongresse: Internationales
Symposium Klimagerechtigkeit 2014",2014,,"37.000,00",
Klimahaus Betriebsgesellschaft mbH,"Fonds Wissenschaftliche Kongresse: 1. Internationaler
Afrikakongress Bremerhaven 2012",2012,,"53.364,00",
KMU Net Informationssysteme,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2008,,"2.209,00"
Knief & Co. GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2008,,"10.000,00"
"KOBAU Maschinenbau und Industrieservice
GmbH","Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"308.265,00"
"Koch & Bergfeld Silbermanufaktur GmbH &
Co. KG","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"4.150,00"
"Koch & Bergfeld Silbermanufaktur GmbH &
Co. KG","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"4.300,00"
"Koch & Bergfeld Silbermanufaktur GmbH &
Co. KG","Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"52.782,00"
"Koch & Bergfeld Silbermanufaktur GmbH &
Co. KG","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"5.838,00"
Kocks Manufacturing GmbH & Co. KG,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"120.000,00"
Köhlenbeck Maschinenbau GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2012,,"121.604,00"
Kopf und Lübben GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2009,,"6.000,00"
KORONA Holzhandelsgesellschaft mbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"5.090,00"
KORONA Holzhandelsgesellschaft mbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"4.113,00"
Kubikfoto GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,,"125.000,00",
Kühlerbau Bareiß,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2010,,"35.000,00",
Kultur vor Ort e. V.,"Finanzierung der Ausrichtung der URBAN-Netzwerktagung in
Bremen am 04./05.03.2010",2010,2010,,"5.440,01"
Kultur vor Ort e. V.,Stadtteilmarketing 2013 - 2014: Kultur vor Ort 2014,2014,2015,,"69.554,33"
Kultur vor Ort e. V.,"Stadtteilmarketing Gröpelingen: Kultur vor Ort e. V. 2010 -
2011",2010,2012,,"157.728,65"
Kultur vor Ort e. V.,Stadtteilmarketing Gröpelingen: hier Kultur vor Ort e. V. 2009,2009,2010,,"70.000,00"
Kultur vor Ort e. V.,Stadtteilmarketing Gröpelingen: Kultur vor Ort e. V. 2012,2012,2013,,"74.860,71"
Laboratorien Dr. Döring GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Chromatfreie Ein-Schritt-Galvanisierung an
Aluminiumteilen",2009,2010,,"149.998,00"
LAHO Kfz-Reparaturdienst GmbH & Co. KG,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"105.970,00"
Landeszentrale für politische Bildung,Denkort Bunker Valentin,2013,,"396.000,00",
"Lanthan Gesellschaft für technische
Entwicklungen mbH & Co. KG","Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Bedarfsorientierte Schaltung der
Luftfahrthinderniskennzeichnungen von Windenergieanlagen
mittels Transpondersignalen von Luftfahrzeugen",2009,2010,,"10.980,00"
Light Partner Lichtsysteme GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2014,,"6.017,00"
Light Partner Lichtsysteme GmbH & Co. KG,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"35.000,00"
Light Partner Lichtsysteme GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"10.000,00"
Light Partner Lichtsysteme GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2013,,"5.500,00"
LLOYD Industrial Parts GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"4.466,00"
Louis Scherholz GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2012,2012,,"80.000,00"
LSA Logistik Service Agentur GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2013,,"3.365,00"
LSA Logistikmanagement GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2015,,"6.000,00"
Lüma GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,,"129.750,00",
machtWissen.de Service GmbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Effizienzgesteigerte, solarthermische Kollektormodule
(EffSoKo)",2008,2012,,"41.750,00"
machtWissen.de Service GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Konzeption, Bau und Erprobung eines ORC-Moduls in
Kompaktbauweise",2008,2009,,"188.056,35"
ma-com maritimes Kompetenzcentrum GmbH,Arbeitspolitische Maßnahmen: Hafenlogistik,2013,,"70.000,00",
"Mager & Wedemeyer Werkzeugmaschinen
GmbH","Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"500.000,00"
"Magistrat Bremerhaven, Amt für Jugend,
Familie und Frauen",Familienzentren Bremerhaven,2012,,"692.000,00",
"Magistrat Bremerhaven, Seestadt Immobilien",Robotikinitiative Bremen / Bremerhaven,2013,,"871.071,28",
Magistrat der Seestadt Bremerhaven,"Integration der F&E-Meile in den Stadtteil Geestemünde
(Kajensanierung)",2014,,"4.606.920,00",
Magistrat der Seestadt Bremerhaven,"Maritime Forschungs- und Entwicklungsmeile Bremerhaven,
Technologie- und Gründerzentrum zur Etablierung maritimer
F&E in Bremerhaven",2008,,"3.351.108,00",
Magistrat der Seestadt Bremerhaven,"Integration der F&E-Meile in den Stadtteil Geestemünde
(Busse- und Köperstraße)",2014,,"953.198,00",
Magistrat der Seestadt Bremerhaven,Campus Karlsburg,2014,,"1.205.000,00",
Magistrat der Seestadt Bremerhaven,Koordinierungsstelle EFRE-Projekte Bremerhaven 2007 - 2013,2008,,"412.000,00",
"Magistrat der Stadt Bremerhaven,
Stadtplanungsamt",Geestemünde geht zum Wasser,2012,,"632.000,00",
"Magistrat der Stadt Bremerhaven,
Stadtplanungsamt",Aufwertung des Stadtteilzentrums Leherheide (Bremerhaven),2007,,"1.935.000,00",
MAK Verlag GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"2.348,00"
MAK Verlag GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"1.934,00"
MAK Verlag GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"2.176,00"
MAK Verlag GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"2.044,00"
MAK Verlag GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"1.967,00"
MARC Systems GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"2.087,00"
Marcam Engineering GmbH,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2011,2014,,"97.693,00"
Markus Klugmann & Andreas Dressler GbR,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2014,,"1.825,00"
"MCB - Microsystems Center Bremen
(Zentrum für Mikrosystemtechnik)","Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Hybride Mediensensoren durch Eigengefertigte Multi-
Chip-Modul-Technologie",2009,2012,,"81.928,81"
MediaMobil Communication GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"6.000,00"
Medical Helpline Worldwide GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2009,,"3.038,00"
Meerestechnik Bremen GmbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Biologische Flüssiggaserzeugung im Labor",2007,2011,,"9.120,00"
membranotec GmbH & Co. KG,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Untersuchungen zu einem neuartigen Niederdruck
Gas-Gas-Trennverfahren für die Emissionsminderung am
Beispiel der Methanabtrennung",2009,,"31.000,00",
mercurius innovative impulse GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2014,,"3.973,00"
Mevisco GmbH & Co. KG,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie),
Gesundheitswirtschaft:Rehabilitation zu Hause",2011,2013,,"72.000,00"
Mevisco GmbH & Co. KG,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie),
Gesundheitswirtschaft:Früherkennung und Therapie von
neurodegenerativen Krankheiten",2012,2014,,"74.800,00"
Mevisco GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2009,,"1.102,00"
m-haditec GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"1.775,00"
m-haditec GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2009,,"1.977,00"
m-haditec GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"2.383,00"
m-haditec GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"1.873,00"
microfab Service GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"1.454,00"
Molzym GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2008,,"2.197,00"
"Mund + Bruns Schiffs- und
Ladungssachverständige GmbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2011,,"10.000,00"
"Mund + Bruns Schiffs- und
Ladungssachverständige GmbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2013,,"10.000,00"
"Mund + Bruns Schiffs- und
Ladungssachverständige GmbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2011,,"10.000,00"
music support group Rüdiger J. Veith e.K.,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2011,,"60.000,00",
Mütterzentrum Tenever e. V.,"Arbeitspolitische Maßnahmen: Maschinenmodernisierung für
berufliche Qualifizierungsmaßnahmen",2013,,"12.273,90",
Nehlsen GmbH & Co. KG,"Förderprogramm Angewandte Umweltforschung (AUF):
Robotergestützte Sortierung von großstückigem Abfall (ROSA)",2009,2012,,"9.000,00"
"Neurologisches Rehabilitationszentrum
Friedehorst","Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Ambulante Rehabilitation in Bremen",2009,2011,,"11.840,00"
"Nord Ceram Fliesenproduktions- und -
vertriebs GmbH & Co. KG","Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Digidruck",2010,2011,,"65.586,00"
"NordAnTec GmbH - Norddeutsche Analytik
und Messtechnik","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): VS-Polar",2010,2013,,"114.956,00"
"Nordwestdeutscher Verband für
Altertumsforschung e.V. c/o
Landesarchäologie Bremen","Fonds Wissenschaftliche Kongresse: 7. Deutscher
Archäologiekongress",2011,2011,,"1.045,72"
Nouvelle OHG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2008,,"779,00"
Nuca Bags,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2015,,"4.041,66"
Nuca Bags,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"2.363,00"
Oceanstar GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"5.750,00"
ODIN Schiffsausrüstung GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"321.928,00"
"Offshore Wind-Messe und Veranstaltungs
GmbH",Fonds Wissenschaftliche Kongresse: Windforce 2014,2012,,"200.000,00",
"Offshore Wind-Messe und Veranstaltungs
GmbH",Fonds Wissenschaftliche Kongresse: Windforce 2012,2012,2012,,"230.000,00"
ÖkoNet gGmbH,"Arbeitspolitische Maßnahmen: Technische Ergänzung von
Flurförderzeugen",2013,,"2.150,00",
ÖkoNet gGmbH,"Arbeitspolitische Maßnahmen: Gemeinsam ökologisch
handeln für Bremen",2013,,"2.712,50",
OPTIMARE Sensorsysteme AG,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Wind-Lidar",2010,,"166.490,00",
OptoPrecision GmbH,"QS-CFK: Zerstörungsfreie Qualitätsprüfungsmethoden für die
vollständige Wertschöpfungskette von Faserverbundbauteilen
und Schweißverbindungen",2013,,"66.038,00",
OptoPrecision GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"5.400,00"
OT medical GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2011,,"6.000,00"
OT medical GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"2.391,00"
OTARIS Interactive Services GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"2.097,00"
OTARIS Interactive Services GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"4.733,00"
Otto Kurt Hollmann GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2010,,"159.500,00"
P. J. Schmidt GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2007,,"23.026,00"
P. Kerner Handelsagentur,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"4.536,00"
P. Kerner Handelsagentur,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"5.029,00"
PAHCO GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2010,,"10.000,00"
Panolife GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2013,,"869,00"
Panolife GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"3.581,00"
Panolife GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"5.497,00"
"Paritätisches Bildungswerk, Landesverband
Bremen","Arbeitspolitische Maßnahmen: Ausstattungsaufwertung
Schulungsräume",2013,,"10.293,68",
part mobil GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2011,,"2.134,00"
part mobil GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"2.863,00"
part mobil GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"2.609,00"
Partners Software GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2009,,"6.000,00"
PCG Packing Center GVZ-Bremen GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2013,,"4.424,00"
PCG Packing Center GVZ-Bremen GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"4.147,00"
PharmaSell Akademie von Seydlitz GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"6.000,00"
Phytolutions GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Algenfabrik: Aufbau einer geschlossenen
Prozesskette zur Produktion von Biotreibstoffen und
Plattformchemikalien aus Mikroalgen im Rahmen einer
Pilotfabrik",2009,2011,,"122.000,00"
Phytolutions GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"2.997,00"
Phytolutions GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Aufbau einer grünen Algen-Industrie im Pilotmaßstab
neben einer Industriekraftwerksanlage in Bremen-Blumenthal",2009,,"120.000,00",
Plan B Autuomatisierung GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2013,,"10.000,00",
Planaqua GmbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Energieeffiziente Produktion von Ammoniakwasser aus
Gärreststoffen",2007,2012,,"2.500,00"
"Planungsbüro Kreikenbaum & Heinemann
GmbH & Co. KG",Attraktivierung des Segelhafens am Osterdeich / Weserstadion,2010,,"819.508,00",
PLUTEX GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"3.402,00"
Polyplan GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Verfahrensentwicklung zur Regulierung organischen
Materials in Aquakulturanlagen zur nachhaltigen
Garnelenproduktion (RoM-A)",2011,,"75.000,00",
Polyplan GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"160.000,00"
Power Blades GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Blade Evolution",2010,2011,,"169.028,00"
Power Blades GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2013,,"4.378.256,00"
PowerWind GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Struktur- und Gewichtsoptimierung einer 2,5 MW
Windenergieanlage",2011,,"123.740,00",
PP-Forschungsgemeinschaft GbR,"Förderprogramm Angewandte Umweltforschung (AUF): PCR-
Validierung einer energieeffizienten Trinkwasser-
Hygienisierung (Bioprotect UF)",2010,,"68.480,00",
Pro Tech GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2008,2009,,"20.000,00"
