A70337,EAKR,Pori Halli Oy: Palvelukonseptin uudistaminen,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,16.9.2014,30.6.2016,PORI HALLI OY,67642,10681,67642,10681,,;
A70338,EAKR,Putkisto- painelaiteliiketoimiman kehittämishanke,2,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,11.4.2014,31.8.2015,PJ-METALLI OY,97810,70044,97810,70044,,;
A70339,EAKR,Roadscanners Goes Global - vaihe 2,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,23.5.2014,31.5.2016,ROADSCANNERS OY,43780,0,43780,0,,;
A70340,EAKR,Tuotannon ja tuotantojärjestelmien kehittäminen,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,26.2.2014,31.3.2016,BETROC OY,261000,261000,261000,261000,,;
A70341,EAKR,Kansainvälisen kilpailukyvyn kehittäminen,1,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,10.10.2014,31.12.2016,PIAKO OY,116350,57586,116350,57586,,;
A70342,EAKR,Hairsome - kansainvälistymishanke,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,12.10.2014,30.9.2016,SIDOS OY,32100,18622,32100,18622,,;
A70343,EAKR,Norja rakentaa,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,28.8.2014,30.10.2015,MAALAUSLIIKE HEINO OY,0,0,41720,0,,;
A70344,EAKR,Konepajan investoinnit,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,13.10.2014,30.9.2016,JÄÄRNI METALLI OY,22400,22225,22400,22225,,;
A70345,EAKR,Raakakiven louhinnan kehittäminen,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,14.10.2014,30.7.2016,FL BLOCK STONE OY,345000,334982,345000,334982,,;
A70346,EAKR,Internet-liiketoimintamallien uudistaminen sekä jatkuva innovointi DevOps- ja Lean Startup- menetelmien avulla.,2,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,13.10.2014,31.5.2016,ELBIT OY,86000,0,86000,0,,;
A70347,EAKR,Tilaelementtituotteen liiketoiminta- ja tuotekehityshankkeen valmisteluhanke,1,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,8.9.2014,31.1.2015,KEVEE OY,13730,13154,13730,13154,,;
A70348,EAKR,24 Pesula pitää kodit puhtaana ja kuivana. 24 Pesula liiketoiminnan voimakas kasvu itsepalvelupesuloilla ja tuotteistuksella kotimaisille ja kansainvälisille markkinoille.,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,11.4.2014,30.3.2015,24 PESULA OY,4760,3839,4760,3839,,;
A70349,EAKR,Suomen Soveltuvuuskoekeskuksen tuotteen- ja myynnin kehityshanke.,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,9.9.2014,30.6.2016,SUOMEN SOVELTUVUUSKOEKESKUS OY,35040,26925,35040,26925,,;
A70350,EAKR,Toimitusmetodologian ja -menetelmän kehittäminen/avainhenkilön palkkaaminen.,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,25.8.2014,31.8.2015,SOULCORE OY,34500,34500,34500,34500,,;
A70351,EAKR,Tuotannonohjauksen tehostaminen IT- ja prosessikehityksellä,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,25.3.2014,31.12.2015,NOKKA-YHTIÖT OY,72050,44255,72050,44255,,;
A70352,EAKR,Activity,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,14.10.2014,31.12.2016,WELITECH OY,48610,0,48610,0,,;
A70353,EAKR,Kairaputkien käsittelyjärjestelmän kehittäminen maanalaiseen kairakoneeseen,2,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,27.1.2014,30.9.2015,ARCTIC DRILLING COMPANY LTD OY,174900,170169,174900,170169,,;
A70354,EAKR,Kuonan ja metallisten kuonien käsittelyn kehittäminen,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,1.7.2014,31.12.2015,PENTTI HÄMEENAHO OY,653250,653250,653250,653250,,;
A70355,EAKR,Laserleikkurin | mittauslaitteiston ja särmääjän teräsarjojen  teräsrakenteiden osavalmistuksen CE SFS-EN 1090-2 -merkinnän hankinta  sekä tuotantotilojen käyttöasteen parantaminen,1, Pohjois-Pohjanmaan elinkeino- liikenne- ja ympäristökeskus,Toiminnassa,31.12.2015,31.12.2015,AIMO KORTTEEN KONEPAJA OY,100000,15.10.2014, 100000,93277,, ;
A70356,EAKR,Ikäihmisille suunnatun konsultoivan kotikäynti -palvelun sähköistäminen ja siihen liittyvän sähköisiin lomakkeisiin perustuvan testiympäristön rakentaminen,2,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,4.9.2014,31.5.2015,MIKKELIN KUNTOPALVELU, AVOIN YHTIÖ,15660,15660,15660,,;
A70357,EAKR,Teräsprofiilisaha,2,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,17.6.2014,30.6.2015,OVIRA OY,15260,14651,15260,14651,,;
A70358,EAKR,Maestro Business Music 2.0,2,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,30.5.2014,27.5.2017,VIIHDEVÄYLÄ OY,36070,36070,36070,36070,,;
A70359,EAKR,Toranda Events toimintakeskus | vaihe2,1, Pohjois-Pohjanmaan elinkeino- liikenne- ja ympäristökeskus,Toiminnassa,425180,31.12.2015,H-EQUITY OY, ,425180,425180,425180, ,;
A70360,EAKR,CarerFriends mobiili web app kehitys,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,18.3.2014,30.9.2016,CARERFRIENDS OY,35340,9145,35340,9145,,;
A70361,EAKR,Flotaation kehittämishanke,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,18.6.2014,31.12.2015,TERCO ENGINEERING OY,40000,40000,40000,40000,,;
A70362,EAKR,Toiminnankehittäminen,2,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,13.8.2014,30.9.2015,KAINUUN LASTU OY,26560,13604,26560,13604,,;
A70363,EAKR,Toiminnankehittäminen,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,20.8.2014,30.9.2015,SUMETEK OY,35800,30960,35800,30960,,;
A70364,EAKR,Parkour Akatemian kumppanuuskonseptin kehittäminen ja pilotointi,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,19.6.2014,31.12.2015,PARKOUR AKATEMIA OY,21120,7560,21120,7560,,;
A70365,EAKR,TactoTek pilottituotannosta massatuotantoon,2,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,2.7.2014,31.12.2016,TACTOTEK OY,344020,0,344020,0,,;
A70366,EAKR,EnMonCon KONSEPTIN MARKKINATUTKIMUS JA LIIKETOIMINTASUUNNITELMA TURKIN | ARABIAN NIEMIMAAN  KANADAN  KAZAKSTANIN JA INTIAN TEOLLISUUS- JA JÄTEHUOLTOSEKTOREILLE,1, Pohjois-Pohjanmaan elinkeino- liikenne- ja ympäristökeskus,Toiminnassa,31.12.2016,31.12.2016,EHP-TEKNIIKKA OY,109150,17.10.2014, 109150,0,, ;
