Begünstigte,Bezeichnung des Vorhabens,öffentliche Beteiligung(EU+nationale Kofinanzierung),Status - G genehmigt - A ausbezahlt
"Land Steiermark, Abteilung 14 Wirtschaft und Innovation","Projekt zur Vorbereitung, Durchführung, Begleitung und Kontrolle des
Programms","204,00",A
"Land Steiermark, Abteilung 14 Wirtschaft und Innovation","Projekt zur Vorbereitung, Durchführung, Begleitung und Kontrolle des
Programms","342,36",A
"Land Steiermark, Abteilung 14 Wirtschaft und Innovation","Projekt zur Vorbereitung, Durchführung, Begleitung und Kontrolle des
Programms","2.780,35",A
"Land Steiermark, Abteilung 14 Wirtschaft und Innovation","Projekt zur Vorbereitung, Durchführung, Begleitung und Kontrolle des
Programms","10.080,00",A
Landgenossenschaft Ennstal - ENNSTAL MILCH KG,Innovationsdienstleistung für Unternehmen,"19.805,62",A
Landgenossenschaft Ennstal - ENNSTAL MILCH KG,Innovationsdienstleistung für Unternehmen,"62.531,24",A
Landgenossenschaft Ennstal - Ennstal Milch KG,Innovationsdienstleistung für Unternehmen,"100.000,00",A
Landgenossenschaft Ennstal - ENNSTAL MILCH KG,ESF cross-financing,"5.770,00",A
Landgenossenschaft Ennstal - ENNSTAL MILCH KG,ESF cross-financing,"1.050,00",A
Landgenossenschaft Ennstal LANDENA KG,Innovationsdienstleistung für Unternehmen,"10.736,88",A
Längauer Dach GmbH,Innovationsdienstleistung für Unternehmen,"11.756,24",A
Längauer Dach GmbH,Innovationsdienstleistung für Unternehmen,"13.950,00",A
LAPO metal engineering e.U.,Investition - Erneuerbare Energien,"7.560,00",A
Lasal Anlagenbau GmbH,ESF cross-financing,"1.936,24",A
Lasal Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"1.165,34",A
LEA GmbH,ESF cross-financing,"8.995,80",A
LEA GmbH,ESF cross-financing,"5.260,80",A
LEA GmbH,ESF cross-financing,"9.452,50",A
LEA GmbH,Innovationsdienstleistung für Unternehmen,"2.400,00",A
LEAN Management Consulting GmbH,ESF cross-financing,"7.197,76",A
LEAN Management Consulting GmbH,ESF cross-financing,"3.588,75",A
"Land Steiermark, Abteilung 14 Wirtschaft und Innovation","Projekt zur Vorbereitung, Durchführung, Begleitung und Kontrolle des
Programms","342,36",A
"Land Steiermark, Abteilung 14 Wirtschaft und Innovation","Projekt zur Vorbereitung, Durchführung, Begleitung und Kontrolle des
Programms","2.780,35",A
"Land Steiermark, Abteilung 14 Wirtschaft und Innovation","Projekt zur Vorbereitung, Durchführung, Begleitung und Kontrolle des
Programms","10.080,00",A
Landgenossenschaft Ennstal - ENNSTAL MILCH KG,Innovationsdienstleistung für Unternehmen,"19.805,62",A
Landgenossenschaft Ennstal - ENNSTAL MILCH KG,Innovationsdienstleistung für Unternehmen,"62.531,24",A
Landgenossenschaft Ennstal - Ennstal Milch KG,Innovationsdienstleistung für Unternehmen,"100.000,00",A
Landgenossenschaft Ennstal - ENNSTAL MILCH KG,ESF cross-financing,"5.770,00",A
Landgenossenschaft Ennstal - ENNSTAL MILCH KG,ESF cross-financing,"1.050,00",A
Landgenossenschaft Ennstal LANDENA KG,Innovationsdienstleistung für Unternehmen,"10.736,88",A
Längauer Dach GmbH,Innovationsdienstleistung für Unternehmen,"11.756,24",A
Längauer Dach GmbH,Innovationsdienstleistung für Unternehmen,"13.950,00",A
LAPO metal engineering e.U.,Investition - Erneuerbare Energien,"7.560,00",A
Lasal Anlagenbau GmbH,ESF cross-financing,"1.936,24",A
Lasal Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"1.165,34",A
LEA GmbH,ESF cross-financing,"8.995,80",A
LEA GmbH,ESF cross-financing,"5.260,80",A
LEA GmbH,ESF cross-financing,"9.452,50",A
LEA GmbH,Innovationsdienstleistung für Unternehmen,"2.400,00",A
LEAN Management Consulting GmbH,ESF cross-financing,"7.197,76",A
LEAN Management Consulting GmbH,ESF cross-financing,"3.588,75",A
LEAN Management Consulting GmbH,Innovationsdienstleistung für Unternehmen,"3.760,00",A
"Learn Consult, DI Meitz und Ing. Pock OG",Innovationsdienstleistung für Unternehmen,"6.240,00",A
Ledinegg GmbH,Innovationsdienstleistung für Unternehmen,"10.266,88",A
LEF Regenerationsprodukte Erzeugung GmbH,Innovationsdienstleistung für Unternehmen,"3.148,60",A
Leichtfried GmbH & Co KG Lodenfabrik,Innovationsdienstleistung für Unternehmen,"9.500,00",A
Leitner Zimmerei & Baugesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"4.200,00",A
Lenhardt GmbH,ESF cross-financing,"11.347,60",A
Lenhardt GmbH,Innovationsdienstleistung für Unternehmen,"1.282,32",A
Lenhardt Metallbau- und Dachdecker GmbH,Innovationsdienstleistung für Unternehmen,"9.400,00",G
Lesky Energetics e.U.,Innovationsdienstleistung für Unternehmen,"26.931,78",A
Letmaier Zimmerei- und Holzbaugesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"4.750,00",A
Lieb Bau Weiz GmbH,Innovationsdienstleistung für Unternehmen,"4.500,00",A
Lieb Bau Weiz GmbH & Co KG,Unternehmensinvestition mit Innovationsbezug,"288.995,88",A
"Liechtenstein Holztreff, Säge- und Hobelwerk, Prinz DI Alfred Liechtenstein
e.U.",Unternehmensinvestition mit Innovationsbezug,"135.720,00",A
LOG audio GmbH,Innovationsdienstleistung für Unternehmen,"49.180,60",A
LOGICDATA Electronic & Software Entwicklungs GmbH,ESF cross-financing,"5.611,50",A
LOGICDATA Electronic & Software Entwicklungs GmbH,ESF cross-financing,"7.440,00",A
LOGICDATA Electronic & Software Entwicklungs GmbH,Innovationsdienstleistung für Unternehmen,"9.030,00",A
LOGICDATA Electronic & Software Entwicklungs GmbH,Innovationsdienstleistung für Unternehmen,"960,00",A
LOGICDATA Elektronic & Software Entwicklungs GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"253.758,00",A
LOGICDATA Elektronic & Software Entwicklungs GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"315.084,00",A
LOI Fertigungstechnik GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"1.955,04",A
LOKO Logistikkomponenten GmbH,Unternehmensinvestition mit Innovationsbezug,"21.810,00",A
"Learn Consult, DI Meitz und Ing. Pock OG",Innovationsdienstleistung für Unternehmen,"6.240,00",A
Ledinegg GmbH,Innovationsdienstleistung für Unternehmen,"10.266,88",A
LEF Regenerationsprodukte Erzeugung GmbH,Innovationsdienstleistung für Unternehmen,"3.148,60",A
Leichtfried GmbH & Co KG Lodenfabrik,Innovationsdienstleistung für Unternehmen,"9.500,00",A
Leitner Zimmerei & Baugesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"4.200,00",A
Lenhardt GmbH,ESF cross-financing,"11.347,60",A
Lenhardt GmbH,Innovationsdienstleistung für Unternehmen,"1.282,32",A
Lenhardt Metallbau- und Dachdecker GmbH,Innovationsdienstleistung für Unternehmen,"9.400,00",G
Lesky Energetics e.U.,Innovationsdienstleistung für Unternehmen,"26.931,78",A
Letmaier Zimmerei- und Holzbaugesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"4.750,00",A
Lieb Bau Weiz GmbH,Innovationsdienstleistung für Unternehmen,"4.500,00",A
Lieb Bau Weiz GmbH & Co KG,Unternehmensinvestition mit Innovationsbezug,"288.995,88",A
"Liechtenstein Holztreff, Säge- und Hobelwerk, Prinz DI Alfred Liechtenstein
e.U.",Unternehmensinvestition mit Innovationsbezug,"135.720,00",A
LOG audio GmbH,Innovationsdienstleistung für Unternehmen,"49.180,60",A
LOGICDATA Electronic & Software Entwicklungs GmbH,ESF cross-financing,"5.611,50",A
LOGICDATA Electronic & Software Entwicklungs GmbH,ESF cross-financing,"7.440,00",A
LOGICDATA Electronic & Software Entwicklungs GmbH,Innovationsdienstleistung für Unternehmen,"9.030,00",A
LOGICDATA Electronic & Software Entwicklungs GmbH,Innovationsdienstleistung für Unternehmen,"960,00",A
LOGICDATA Elektronic & Software Entwicklungs GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"253.758,00",A
LOGICDATA Elektronic & Software Entwicklungs GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"315.084,00",A
LOI Fertigungstechnik GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"1.955,04",A
LOKO Logistikkomponenten GmbH,Unternehmensinvestition mit Innovationsbezug,"21.810,00",A
Looop Internet Management Solutions GmbH,Innovationsdienstleistung für Unternehmen,"6.016,72",A
LTC GmbH,Innovationsdienstleistung für Unternehmen,"76.680,00",A
Luff Up Büro für Grafik und Werbung GesmbH,Innovationsdienstleistung für Unternehmen,"10.200,00",A
Lukmann Consulting GmbH,Innovationsdienstleistung für Unternehmen,"10.750,00",A
Lutterschmied Bau und Planungs GmbH,ESF cross-financing,"5.460,00",A
Lutterschmied Bau und Planungs GmbH,ESF cross-financing,"6.090,00",A
Lutterschmied Bau und Planungs GmbH,Innovationsdienstleistung für Unternehmen,"1.480,00",A
Lux Tischlerei & Kooperative GmbH,ESF cross-financing,"10.770,00",A
Lux Tischlerei & Kooperative GmbH,Innovationsdienstleistung für Unternehmen,"2.500,00",A
M & R Automation GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"112.657,00",A
M & R Automation GmbH,ESF cross-financing,"705,00",A
M&R Automation GmbH,Innovationsdienstleistung für Unternehmen,"4.600,00",A
M.A.L. Metallbau Anlagenservice - Leitungsbau Gesellschaft m.b.H.,ESF cross-financing,"8.951,44",A
M.A.L. Metallbau Anlagenservice - Leitungsbau Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"1.375,00",A
M.A.L. Metallbau Anlagenservice - Leitungsbau Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"1.237,56",A
M.A.L. Metallbau Anlagenservice - Leitungsbau GmbH,ESF cross-financing,"8.296,10",A
M.A.L. Metallbau Anlagenservice - Leitungsbau GmbH,ESF cross-financing,"18.209,56",A
M.M. Vertriebs Ges.m.b.H.,Innovationsdienstleistung für Unternehmen,"60.900,00",A
m27 Fedas Management und Beratungs GmbH,ESF cross-financing,"8.346,60",A
m27 Fedas Management und Beratungs GmbH,Innovationsdienstleistung für Unternehmen,"1.152,90",A
MA KFZ-Qualitätskontrolle GmbH,Innovationsdienstleistung für Unternehmen,"2.835,00",A
MACO Produktions GmbH,Innovationsdienstleistung für Unternehmen,"8.200,00",A
Looop Internet Management Solutions GmbH,Innovationsdienstleistung für Unternehmen,"6.016,72",A
LTC GmbH,Innovationsdienstleistung für Unternehmen,"76.680,00",A
Luff Up Büro für Grafik und Werbung GesmbH,Innovationsdienstleistung für Unternehmen,"10.200,00",A
Lukmann Consulting GmbH,Innovationsdienstleistung für Unternehmen,"10.750,00",A
Lutterschmied Bau und Planungs GmbH,ESF cross-financing,"5.460,00",A
Lutterschmied Bau und Planungs GmbH,ESF cross-financing,"6.090,00",A
Lutterschmied Bau und Planungs GmbH,Innovationsdienstleistung für Unternehmen,"1.480,00",A
Lux Tischlerei & Kooperative GmbH,ESF cross-financing,"10.770,00",A
Lux Tischlerei & Kooperative GmbH,Innovationsdienstleistung für Unternehmen,"2.500,00",A
M & R Automation GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"112.657,00",A
M & R Automation GmbH,ESF cross-financing,"705,00",A
M&R Automation GmbH,Innovationsdienstleistung für Unternehmen,"4.600,00",A
M.A.L. Metallbau Anlagenservice - Leitungsbau Gesellschaft m.b.H.,ESF cross-financing,"8.951,44",A
M.A.L. Metallbau Anlagenservice - Leitungsbau Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"1.375,00",A
M.A.L. Metallbau Anlagenservice - Leitungsbau Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"1.237,56",A
M.A.L. Metallbau Anlagenservice - Leitungsbau GmbH,ESF cross-financing,"8.296,10",A
M.A.L. Metallbau Anlagenservice - Leitungsbau GmbH,ESF cross-financing,"18.209,56",A
M.M. Vertriebs Ges.m.b.H.,Innovationsdienstleistung für Unternehmen,"60.900,00",A
m27 Fedas Management und Beratungs GmbH,ESF cross-financing,"8.346,60",A
m27 Fedas Management und Beratungs GmbH,Innovationsdienstleistung für Unternehmen,"1.152,90",A
MA KFZ-Qualitätskontrolle GmbH,Innovationsdienstleistung für Unternehmen,"2.835,00",A
MACO Produktions GmbH,Innovationsdienstleistung für Unternehmen,"8.200,00",A
Mag Dr Miorini KG,ESF cross-financing,"1.575,00",A
MAG Maschinen- und Apparatebau AG,ESF cross-financing,"21.594,00",A
MAG Maschinen- und Apparatebau AG,Innovationsdienstleistung für Unternehmen,"1.800,00",A
MAG Maschinen- und Apparatebau Aktiengesellschaft,ESF cross-financing,"16.312,40",A
MAG Maschinen- und Apparatebau Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"12.000,00",A
Mag. (FH) Barbara Waldhuber,ESF cross-financing,"6.135,30",A
Mag. (FH) Barbara Waldhuber,Innovationsdienstleistung für Unternehmen,"500,00",A
Mag. (FH) Josef Schrattner,Innovationsdienstleistung für Unternehmen,"4.000,00",A
Mag. Claudia Sabine Lenger,ESF cross-financing,"4.920,00",A
Mag. Claudia Sabine Lenger,Innovationsdienstleistung für Unternehmen,"280,00",A
Mag. Eva Fidlschuster,ESF cross-financing,"707,40",A
Mag. Eva Fidlschuster,Innovationsdienstleistung für Unternehmen,"720,00",A
Mag. Gottfried Schafzahl,Innovationsdienstleistung für Unternehmen,"8.400,00",A
Mag. Thomas Krahofer,Innovationsdienstleistung für Unternehmen,"38.000,00",A
Mag. Walter Johannes Kriegl,Innovationsdienstleistung für Unternehmen,"100.000,00",A
Magirus Lohr GmbH,ESF cross-financing,"16.020,00",A
Magirus Lohr GmbH,Innovationsdienstleistung für Unternehmen,"10.500,00",A
MAGNA Auteca AG,Innovationsdienstleistung für Unternehmen,"5.625,00",A
Magna Auteca AG,ESF cross-financing,"13.251,36",A
MAGNA Auteca AG,ESF cross-financing,"24.583,65",A
MAGNA Auteca AG,ESF cross-financing,"15.297,48",A
Magna Auteca AG,Innovationsdienstleistung für Unternehmen,"1.400,00",A
MAGNA Heavy Stamping Zweigniederlassung der MAGNA Metalforming AG,Unternehmensinvestition mit Innovationsbezug,"740.065,88",A
MAG Maschinen- und Apparatebau AG,ESF cross-financing,"21.594,00",A
MAG Maschinen- und Apparatebau AG,Innovationsdienstleistung für Unternehmen,"1.800,00",A
MAG Maschinen- und Apparatebau Aktiengesellschaft,ESF cross-financing,"16.312,40",A
MAG Maschinen- und Apparatebau Aktiengesellschaft,Innovationsdienstleistung für Unternehmen,"12.000,00",A
Mag. (FH) Barbara Waldhuber,ESF cross-financing,"6.135,30",A
Mag. (FH) Barbara Waldhuber,Innovationsdienstleistung für Unternehmen,"500,00",A
Mag. (FH) Josef Schrattner,Innovationsdienstleistung für Unternehmen,"4.000,00",A
Mag. Claudia Sabine Lenger,ESF cross-financing,"4.920,00",A
Mag. Claudia Sabine Lenger,Innovationsdienstleistung für Unternehmen,"280,00",A
Mag. Eva Fidlschuster,ESF cross-financing,"707,40",A
Mag. Eva Fidlschuster,Innovationsdienstleistung für Unternehmen,"720,00",A
Mag. Gottfried Schafzahl,Innovationsdienstleistung für Unternehmen,"8.400,00",A
Mag. Thomas Krahofer,Innovationsdienstleistung für Unternehmen,"38.000,00",A
Mag. Walter Johannes Kriegl,Innovationsdienstleistung für Unternehmen,"100.000,00",A
Magirus Lohr GmbH,ESF cross-financing,"16.020,00",A
Magirus Lohr GmbH,Innovationsdienstleistung für Unternehmen,"10.500,00",A
MAGNA Auteca AG,Innovationsdienstleistung für Unternehmen,"5.625,00",A
Magna Auteca AG,ESF cross-financing,"13.251,36",A
MAGNA Auteca AG,ESF cross-financing,"24.583,65",A
MAGNA Auteca AG,ESF cross-financing,"15.297,48",A
Magna Auteca AG,Innovationsdienstleistung für Unternehmen,"1.400,00",A
MAGNA Heavy Stamping Zweigniederlassung der MAGNA Metalforming AG,Unternehmensinvestition mit Innovationsbezug,"740.065,88",A
MAGNA Heavy Stamping Zweigniederlassung der MAGNA Metalforming AG,Unternehmensinvestition mit Forschungs-/Technologiebezug,"3.994.822,08",A
MAGNA Powertrain AG & Co KG,Betriebliches Forschungs- und Entwicklungsprojekt,"163.015,00",A
MAGNA Powertrain AG & Co KG,Betriebliches Forschungs- und Entwicklungsprojekt,"114.510,00",A
MAGNA Powertrain AG & Co KG,Unternehmensinvestition mit Innovationsbezug,"6.690.750,00",G
MAGNA Presstec AG,ESF cross-financing,"2.892,66",A
Magna Presstec AG,ESF cross-financing,"18.223,10",A
Magna Presstec AG,Innovationsdienstleistung für Unternehmen,"980,00",A
Magna Presstec AG,Innovationsdienstleistung für Unternehmen,"2.057,45",A
MAGNA STEYR Fahrzeugtechnik AG & Co KG,Betriebliches Forschungs- und Entwicklungsprojekt,"88.155,00",A
MAGNA STEYR Fahrzeugtechnik AG & Co KG,Betriebliches Forschungs- und Entwicklungsprojekt,"306.819,00",A
MAGNA STEYR Fuel Systems GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"656.623,14",A
MAGNA STEYR Fuel Systems GmbH,Unternehmensinvestition mit Innovationsbezug,"1.057.278,91",A
Maini Precision Products Austria GmbH,Innovationsdienstleistung für Unternehmen,"1.354,86",A
Malli Baugesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"4.725,00",A
Manfred Deisl Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"12.452,00",A
Manfred Schmelzer GmbH,ESF cross-financing,"2.280,00",A
Manfred Schmelzer GmbH,Innovationsdienstleistung für Unternehmen,"5.850,00",A
Manfred Windhaber e. U.,ESF cross-financing,"2.970,00",A
Manfred Windhaber e.U.,Innovationsdienstleistung für Unternehmen,"1.400,00",A
Manfred Zottler GmbH,Innovationsdienstleistung für Unternehmen,"67.500,00",A
Marhold GmbH,Innovationsdienstleistung für Unternehmen,"800,00",A
Marion Diernberger-Sterner,Innovationsdienstleistung für Unternehmen,"4.950,00",A
Mark Marx,Innovationsdienstleistung für Unternehmen,"1.125,00",A
MAGNA Powertrain AG & Co KG,Betriebliches Forschungs- und Entwicklungsprojekt,"163.015,00",A
MAGNA Powertrain AG & Co KG,Betriebliches Forschungs- und Entwicklungsprojekt,"114.510,00",A
MAGNA Powertrain AG & Co KG,Unternehmensinvestition mit Innovationsbezug,"6.690.750,00",G
MAGNA Presstec AG,ESF cross-financing,"2.892,66",A
Magna Presstec AG,ESF cross-financing,"18.223,10",A
Magna Presstec AG,Innovationsdienstleistung für Unternehmen,"980,00",A
Magna Presstec AG,Innovationsdienstleistung für Unternehmen,"2.057,45",A
MAGNA STEYR Fahrzeugtechnik AG & Co KG,Betriebliches Forschungs- und Entwicklungsprojekt,"88.155,00",A
MAGNA STEYR Fahrzeugtechnik AG & Co KG,Betriebliches Forschungs- und Entwicklungsprojekt,"306.819,00",A
MAGNA STEYR Fuel Systems GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"656.623,14",A
MAGNA STEYR Fuel Systems GmbH,Unternehmensinvestition mit Innovationsbezug,"1.057.278,91",A
Maini Precision Products Austria GmbH,Innovationsdienstleistung für Unternehmen,"1.354,86",A
Malli Baugesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"4.725,00",A
Manfred Deisl Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"12.452,00",A
Manfred Schmelzer GmbH,ESF cross-financing,"2.280,00",A
Manfred Schmelzer GmbH,Innovationsdienstleistung für Unternehmen,"5.850,00",A
Manfred Windhaber e. U.,ESF cross-financing,"2.970,00",A
Manfred Windhaber e.U.,Innovationsdienstleistung für Unternehmen,"1.400,00",A
Manfred Zottler GmbH,Innovationsdienstleistung für Unternehmen,"67.500,00",A
Marhold GmbH,Innovationsdienstleistung für Unternehmen,"800,00",A
Marion Diernberger-Sterner,Innovationsdienstleistung für Unternehmen,"4.950,00",A
Mark Marx,Innovationsdienstleistung für Unternehmen,"1.125,00",A
Marktgemeinde Bad Gams,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"27.324,00",A
Marktgemeinde Bad Gams Infrastruktur und Freizeitanlagen KG,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"15.000,00",A
Marktgemeinde Eggersdorf Orts- und Infrastrukturentwicklungs KG,Projekt im Bereich Technologietransfer / KMU-Kooperation,"5.750,00",A
Marktgemeinde Feldkirchen b. Graz,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"723.359,45",A
Marktgemeinde Groß St. Florian Orts- und Infrastrukturentwicklungs KEG,Projekt zur überbetrieblichen Forschungsinfrastruktur,"23.400,00",A
Marktgemeinde Neudau,Investition zur überbetrieblichen Forschungsinfrastruktur,"70.000,00",A
Marktgemeinde Schwanberg Orts- und Infrastrukturentwicklungs KG,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"473.763,44",A
"Marktgemeinde St. Peter/Kammersberg Orts-, Tourismus- u.
Infrastrukturentwicklungs-KEG",Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"10.000,00",A
Marktgemeinde Wies,Projekt zur überbetrieblichen Forschungsinfrastruktur,"56.340,00",A
Markus Pöltl Elektrotechnik e.U.,Innovationsdienstleistung für Unternehmen,"3.515,06",A
Marmorverarbeitung Rudolf Fast GmbH,Innovationsdienstleistung für Unternehmen,"4.800,00",A
Martin Anlagenbau u. Produktionsgesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"6.461,43",A
Maschinen- und Stahlbau Kurt Watzl Gesellschaft m.b.H.,Unternehmensinvestition mit Innovationsbezug,"33.850,00",A
Maschinenbau Koller GmbH,Innovationsdienstleistung für Unternehmen,"11.880,00",A
Maschinenbau Koller GmbH,Unternehmensinvestition mit Innovationsbezug,"292.759,14",A
Maschinenfabrik Liezen und Gießerei Ges.m.b.H,Investition zur Verbesserung der Energieeffizienz,"36.136,00",A
Maschinenfabrik Ludwig Berger GmbH,ESF cross-financing,"27.523,72",A
Maschinenfabrik Ludwig Berger GmbH,ESF cross-financing,"14.853,24",A
Maschinenfabrik Ludwig Berger GmbH,ESF cross-financing,"14.661,79",A
Maschinenfabrik Ludwig Berger GmbH,ESF cross-financing,"16.732,47",A
Maschinenfabrik Ludwig Berger GmbH,Innovationsdienstleistung für Unternehmen,"2.240,00",A
MASCHINEN-SERVICE Erzberg GmbH,Innovationsdienstleistung für Unternehmen,"18.000,00",A
MATEC-Baumgartner Fertigungstechnologie GmbH,Innovationsdienstleistung für Unternehmen,"7.350,00",A
Marktgemeinde Bad Gams Infrastruktur und Freizeitanlagen KG,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"15.000,00",A
Marktgemeinde Eggersdorf Orts- und Infrastrukturentwicklungs KG,Projekt im Bereich Technologietransfer / KMU-Kooperation,"5.750,00",A
Marktgemeinde Feldkirchen b. Graz,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"723.359,45",A
Marktgemeinde Groß St. Florian Orts- und Infrastrukturentwicklungs KEG,Projekt zur überbetrieblichen Forschungsinfrastruktur,"23.400,00",A
Marktgemeinde Neudau,Investition zur überbetrieblichen Forschungsinfrastruktur,"70.000,00",A
Marktgemeinde Schwanberg Orts- und Infrastrukturentwicklungs KG,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"473.763,44",A
"Marktgemeinde St. Peter/Kammersberg Orts-, Tourismus- u.
Infrastrukturentwicklungs-KEG",Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"10.000,00",A
Marktgemeinde Wies,Projekt zur überbetrieblichen Forschungsinfrastruktur,"56.340,00",A
Markus Pöltl Elektrotechnik e.U.,Innovationsdienstleistung für Unternehmen,"3.515,06",A
Marmorverarbeitung Rudolf Fast GmbH,Innovationsdienstleistung für Unternehmen,"4.800,00",A
Martin Anlagenbau u. Produktionsgesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"6.461,43",A
Maschinen- und Stahlbau Kurt Watzl Gesellschaft m.b.H.,Unternehmensinvestition mit Innovationsbezug,"33.850,00",A
Maschinenbau Koller GmbH,Innovationsdienstleistung für Unternehmen,"11.880,00",A
Maschinenbau Koller GmbH,Unternehmensinvestition mit Innovationsbezug,"292.759,14",A
Maschinenfabrik Liezen und Gießerei Ges.m.b.H,Investition zur Verbesserung der Energieeffizienz,"36.136,00",A
Maschinenfabrik Ludwig Berger GmbH,ESF cross-financing,"27.523,72",A
Maschinenfabrik Ludwig Berger GmbH,ESF cross-financing,"14.853,24",A
Maschinenfabrik Ludwig Berger GmbH,ESF cross-financing,"14.661,79",A
Maschinenfabrik Ludwig Berger GmbH,ESF cross-financing,"16.732,47",A
Maschinenfabrik Ludwig Berger GmbH,Innovationsdienstleistung für Unternehmen,"2.240,00",A
MASCHINEN-SERVICE Erzberg GmbH,Innovationsdienstleistung für Unternehmen,"18.000,00",A
MATEC-Baumgartner Fertigungstechnologie GmbH,Innovationsdienstleistung für Unternehmen,"7.350,00",A
Materials Cluster Styria GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"62.939,02",A
Materials Cluster Styria GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"87.568,70",A
Materials Cluster Styria GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"376.990,48",G
MATIVY Management GmbH,Innovationsdienstleistung für Unternehmen,"78.264,50",A
MATIVY Management GmbH,Innovationsdienstleistung für Unternehmen,"19.566,54",A
Matschy Stein & Design Gmbh,Innovationsdienstleistung für Unternehmen,"13.949,40",A
Matschy Stein & Design Gmbh,Unternehmensinvestition mit Innovationsbezug,"62.318,24",A
Maxim Integrated GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"640.476,00",A
Maxim Integrated GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"791.302,00",A
Maxim Integrated GmbH,ESF cross-financing,"29.538,00",A
Mayr-Melnhof Holz Gaishorn GmbH,Innovationsdienstleistung für Unternehmen,"32.115,00",A
Mayr-Melnhof Holz Gaishorn GmbH,Unternehmensinvestition mit Innovationsbezug,"680.142,00",G
Mayr-Melnhof Holz Leoben GmbH,Innovationsdienstleistung für Unternehmen,"44.300,00",A
Mayr-Melnhof Holz Leoben GmbH,ESF cross-financing,"2.268,00",A
Mayr-Melnhof Holz Leoben GmbH,ESF cross-financing,"4.000,00",A
Mayr-Melnhof Karton GmbH,Innovationsdienstleistung für Unternehmen,"9.390,00",A
"MDD Produktions und Handels GmbH, Johann Gritsch",Unternehmensinvestition mit Forschungs-/Technologiebezug,"532.705,25",A
Media Plus Lichtwerbung GmbH,Innovationsdienstleistung für Unternehmen,"5.500,00",A
Medianova eBusiness GmbH,ESF cross-financing,"10.800,00",A
Medianova eBusiness GmbH,Innovationsdienstleistung für Unternehmen,"1.000,00",A
Medienhaus Hannes Krois,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"17.885,35",A
Medizinische Universität Graz,Investition zur überbetrieblichen Forschungsinfrastruktur,"75.438,00",A
Materials Cluster Styria GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"62.939,02",A
Materials Cluster Styria GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"87.568,70",A
Materials Cluster Styria GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"376.990,48",G
MATIVY Management GmbH,Innovationsdienstleistung für Unternehmen,"78.264,50",A
MATIVY Management GmbH,Innovationsdienstleistung für Unternehmen,"19.566,54",A
Matschy Stein & Design Gmbh,Innovationsdienstleistung für Unternehmen,"13.949,40",A
Matschy Stein & Design Gmbh,Unternehmensinvestition mit Innovationsbezug,"62.318,24",A
Maxim Integrated GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"640.476,00",A
