Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Opis projekta,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi
Plan provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,POŽEŠKO-SLAVONSKA,Hrvatske ceste d.o.o. (55545787885),"Projekt predviđa izradu Plana provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske.

Cilj ovog projekta, odnosno navedeni Plan definirat će opasna mjesta, te će se dati prijedloga mjera za njihovu sanaciju, odnosno smanjenje broja nezgoda. Izrađeni materijal će zatim biti podloga za razvoj daljnje projektne dokumentacije sanacije opasnih mjesta na državnim cestama.
",16.10.2015,30.06.2016,"559.300,00 kn","658.000,00 kn"
Izrada studije uvođenja Europskog sustava upravljanja željezničkim prometom (ERTMS),Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,POŽEŠKO-SLAVONSKA,HŽ Infrastruktura d.o.o. (39901919995),"Studijom će se odrediti željezničke pruge, odnosno pojedine dionice na kojima je potrebno i opravdano izgraditi Europski sustav upravljanja željezničkim prometom (ERTMS) te odrediti postupnost (faznost) izrade tehničke dokumentacije i izvođenja radova kao i financijska sredstva potrebna za izradu tehničke dokumentacije, nabavu opreme i izvođenje radova. ",08.06.2015,30.09.2016,"4.250.000,00 kn","5.000.000,00 kn"
Izgradnja kapaciteta za programsko financiranje visokih učilišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,"Ministarstvo znanosti, obrazovanja i sporta (49508397045)","Svrha projekta jest omogućavanje uvođenja višegodišnjeg programskog financiranja javnih sveučilišta i JZI u RH koji se većim dijelom financiraju iz državnog proračuna. Uvođenje višegodišnjeg programskog financiranja predstavlja strukturnu reformu za čije je provođenje potrebno osigurati ekspertna znanja, ojačati stručne kapacitete dionika, otkloniti postojeće pravne prepreke te izraditi potrebne pravne i stručne podloge. Projektom se planiraju osigurati navedene pretpostavke kako bi se ostvario cilj unapređenja sustava kvalitete, upravljanja i financiranja visokog obrazovanja. ",08.06.2015,19.05.2016,"1.950.750,00 kn","2.295.000,00 kn"
Filtarsko postrojenje Kutjevo,Kohezijski fond,EN,Okoliš,Continental Croatia,POŽEŠKO-SLAVONSKA,Tekija d.o.o. za obavljanje vodnih usluga (57790565988),"Svrha izgradnje Filtarskog postrojenja Kutjevo je uklanjanje mujtnoće i suspendiranih tvari, te dezinfekcija vode za ljudsku uporabu maksimalnog kapaciteta 20 l/s.
Izgradnja se sastoji od građevinsko-obrtničkih radova i ugradnje projektirane opreme. Cilj je sniziti mutnoću sa maksimalno 30 NTU-a na ispod propisanih 4 NTU-a, dezinfekcija, povećanje tlaka i distribucija prema vodospremi Kutjevo, odnosno potrošačima.
Izgradnjom će se osigurati zdravstveno ispravna voda sukladno zakonu o vodi za ljudsku potrošnju.
",25.03.2016,30.06.2016,"2.006.456,24 kn","2.360.536,76 kn"
"""Veliki koraci malih poduzetnika""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Dječji vrtić svetog Leopolda Mandića (25993977429),"Cilj je projekta „Veliki koraci malih poduzetnika“ odgajati poduzetnike kroz razvoj poduzetničkih osobina kod djece razvojem okruženja gdje mogu biti inovativna, stvarati prilike, razmišljati kritički, preuzimati rizike i pronalaziti rješenja. Tako raste vjerojatnost da će ono u budućnosti pokrenuti uspješan vlastiti posao. Integrirat će se Montessori metode s metodama razvoja poduzetničkih osobina. Edukacijom učitelja i odgajatelja iz poduzetništva stvorit će se predispozicije za primjenu tih metoda u odgojno obrazovni proces koje će se kontinuirano primjenjivati i nakon završetka projekta.",20.07.2015,19.05.2016,"279.873,59 kn","298.275,41 kn"
"Pr(a)vi put u biznis!- Projekt promicanja poduzetništva ugroženih skupina
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Institut za razvoj poduzetništva i europske projekte (68105934277),"Cilj projekta ""Pr(a)vi put u biznis!"" je jačati poduzetničku kulturu u RH i stvoriti pretpostavke za (samo)zapošljavanje ugroženih skupina jačanjem njihovih kompetencija i motivacije te sinergijom dionika u lokalnim zajednicama. Kroz 6 kampanja (Business caffe, portale EU-PROJEKTI.INFO I Women in Adria, B2B mentorstvo, konferenciju i društvene mreže) jačat će se poduzetnička kultura i potencijali više od 50.000 direktnih korisnika. U projektu sudjeluju 4 partnera: Instutut za razvoj poduzetništva i EU projekte, tvrtke Zaokret i Matić savjetovanje te i EU PROJEKTI Obrt za poslovno savjetovanje",21.07.2015,20.07.2016,"235.549,37 kn","248.236,50 kn"
Unaprjeđenje kvalitete i primjena HKO-a u preddiplomskim sveučilišnim studijima poljoprivrede,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,"Poljoprivredni fakultet, Sveučilište J.J. Strossmayera  (98816779821)","Postojeći preddiplomski studiji poljoprivrede nisu usklađeni s tržištem rada i ne temelje se na ishodima učenja. Suradnjom različitih dionika – fakulteti, poslodavci, lokalna samouprava - kroz analizu tržišta rada izraditi će se standardi zanimanja, standardi kvalifikacija i skupovi ishoda učenja za prvostupnike poljoprivrede te unaprijediti postojeći programi Agronomskog fakulteta i izraditi novi studijski program preddiplomskog studija Poljoprivrede na Poljoprivrednom fakultetu u Osijeku. Ciljne skupine projekta su: studenti, nastavnici i suradnici te poslodavci.",18.06.2015,18.09.2016,"2.676.097,88 kn","2.816.945,14 kn"
RURAL-ENO-GASTRO(REG):Stručno obrazovanje u funkciji održivog razvoja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Veleučilište u Požegi (14821098391),"Cilj projekta je jačanje kapaciteta ustanova provođenjem inovativnog pristupa u obrazovanju te unapređenje postojećih studijskih programa iz biotehničkih znanosti.Ciljevi projekta ostvarit će se kroz edukacije ciljnih skupina:30 studenata,9 nastavnika.Aktivnosti su:Upravljanje projektom;Predstavljanje projekta;Provedba ankete;Analiza ishoda učenja;Stručno usavršavanje;Studijsko putovanje;Opremanje laboratorija;Izrada standarda kvalifikacija;Provedba stručne prakse;Uspostava i održavanje e-učionice;Promidžbene aktivnosti;Završna konferencija;Evaluacija projekta



",18.06.2015,18.09.2016,"871.957,72 kn","919.980,71 kn"
Znanjem do promjena,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,"S.O.S. savjetovanje, osnaživanje, suradnja (50205897655)","Projektom se utječe na jačanje OCDa za pružanje usluga svojim korisnicima/ama i jačanje i očuvanje ljudskog kapaciteta organizacija, povećanju vidljivosti OCDa  i prihvaćanju kao relevantnih lokalnih dionika, umrežavanje s javnim sektorom i pružanje pomoći i podrške osobama u nepovoljnom položaju. 
Specifični cilj projekta: jačanje kapaciteta OCDa i međusektorske suradnje za pružanje socijalnih usluga na području VPŽ-a, PSŽ-a i KKŽ-a.
Korisnici projekta su predstavnici OCDa; predstavnici javnog sektora, osobe u nepovoljnom položaju te šire građanstvo. 
",29.12.2014,28.02.2016,"749.957,00 kn","749.957,00 kn"
ZAJEDNO ĆE NAM BITI LAKŠE!!!,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,HRVATSKO ŽENSKO DRUŠTVO PLETERNICA (50501953677),HŽD će zaposliti osobu koja će aplicirati projektne prijave za SVE ZAINTERESIRANE UDRUGE sa područja Grada Pleternice za dobivanje javnih sredstava. Kako bi novozaposlena osoba bila na raspolaganju svim udrugama urediti će se prostor Grada Pleternice. U projektu POTIČE SE VOLONTERSTVO u lokalnoj zajednici. Kako će djeca iz udruge Osmjeh posjećivati djecu u dječjim igraonicama koje provodi udruga HŽD volonteri će pomagati voditeljici igraonica kako bi se djeca lakše snašla u zajedničkoj igri i učenju. Organizirati će se i druženje članica HŽD s majkama iz udruge Osmjeh.,29.12.2014,28.12.2015,"198.100,00 kn","198.100,00 kn"
