Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Opis projekta,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi
Paritetnim fondom do jačanja socijalnog dijaloga u sektoru graditeljstva - SOGRADI,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Hrvatska udruga poslodavaca (80978339255),"Projekt „Paritetnim fondom do jačanja socijalnog dijaloga u sektoru graditeljstva – SOGRADI“ prijavitelj, HUP, u suradnji s projektnim partnerima, SGH i B4 direktno doprinosi dugoročnom rješenju ključnog problema, a to je nedostatna podrška ciljnoj skupini radnika i poslodavaca unutar sektora graditeljstva, te ostvaruje mogućnost stvaranja dugoročno održivog rješenja. Projekt cilja na uspostavu preduvjeta za uspostavu paritetnog fonda, kao jedinog uspješnog modela rješavanja problematike graditeljskog sektora u EU, te brisanja barijera među poslodavcima i radnicima.",27.07.2015,26.07.2016,"1.697.471,00 kn","1.697.471,00 kn"
SPEAK UP - Socijalnim dijalogom do unapređenja radnih uvjeta u sektoru cestovnog prometa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Nezavisni cestarski sindikat (84712436363),"Cilj projekta SPEAK UP je unapređenje kvalitete i održivosti socijalnog dijaloga u sektoru cestovnog prometa RH jačanjem kapaciteta cestarskih sindikata. Aktivnosti projekta obuhvaćaju osposobljavanje članova Nezavisnog cestarskog sindikata (NCS), aktivnosti umrežavanja nacionalnih i međunarodnih cestarskih sindikata te promociju sindikalnog djelovanja. Navedenim aktivnostima unaprijedit će se socijalni dijalog u sektoru cestovnog prometa s naglaskom na dijalog NCSa i njegovih socijalnih partnera na svim razinama te dati temelji za udruživanje nacionalnih i regionalnih cestarskih sindikata.
",29.07.2015,28.07.2016,"853.264,00 kn","853.264,00 kn"
"""3R""  (razgovor- razumijevanje- rezultat)",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Hrvatski sindikat pošte (23353461188),"„3R“ je projekt koji ima za cilj da upornim razgovorom svih dionika socijalnog dijaloga, boljim razumijevanjem pozadine socijalnog dijaloga i fokusom na rezultate poboljša informiranost, poveća znanja, vještine i motivaciju sindikalnih povjerenika članova RV i PZNR, unaprijedi njihovu suradnju i osigura prepoznatljivost uloge sindikata u jačanju bipartitnog socijalnog dijaloga sa poslodavcem na regionalnoj razini. „3R“ je razgovor, razumijevanje i rezultat. Ciljne skupine su sindikalni povjerenici iz HSP i RSRH, predstavnici srodnih sindikata iz zemlje i inozemstva i predstavnici poslodavca.",27.07.2015,26.07.2016,"958.445,75 kn","958.445,75 kn"
Zajedno do cilja ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,INAŠ - Sindikat naftne djelatnosti (78734140349),"Boljim razumijevanjem uloge, odgovornosti, prava i obaveza dionika socijalnog dijaloga kao i podizanjem nivoa njihovih znanja i sposobnosti moguće je očekivati učinkovitiji i kvalitetniji socijalni dijalog. Projektom „Zajedno do cilja“, razmjenom  iskustava i najboljih praksi na stručnom simpoziju, te kroz stručnu edukaciju, osigurati će se dionicima više znanja za učinkovitiju participaciju u socijalnom dijalogu u periodu dok obnašaju svoje funkcije. Ciljna skupina su sindikalni povjerenici INAŠa i drugih srodnih sindikata HURSa, članovi RV i predstavnici poslodavaca u kojima djelujemo.",27.07.2015,26.07.2016,"783.577,66 kn","783.577,66 kn"
Unaprjeđenje kvalitete i primjena HKO-a u preddiplomskim sveučilišnim studijima poljoprivrede,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Poljoprivredni fakultet, Sveučilište J.J. Strossmayera  (98816779821)","Postojeći preddiplomski studiji poljoprivrede nisu usklađeni s tržištem rada i ne temelje se na ishodima učenja. Suradnjom različitih dionika – fakulteti, poslodavci, lokalna samouprava - kroz analizu tržišta rada izraditi će se standardi zanimanja, standardi kvalifikacija i skupovi ishoda učenja za prvostupnike poljoprivrede te unaprijediti postojeći programi Agronomskog fakulteta i izraditi novi studijski program preddiplomskog studija Poljoprivrede na Poljoprivrednom fakultetu u Osijeku. Ciljne skupine projekta su: studenti, nastavnici i suradnici te poslodavci.",18.06.2015,18.09.2016,"2.676.097,88 kn","2.816.945,14 kn"
Usvajanje načela HKO u visokoobrazovnim institucijama u polju ekonomija - ECONQUAL,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Sveučilište u Rijeci, Ekonomski fakultet (26093119930)","Cilj projekta je unaprjeđenje kvalitete visokog obrazovanja ekonomista kroz razvoj standarda kvalifikacija u polju ekonomije te unapređenje studijskih programa uz razvoj i korištenje modernih metoda učenja i poučavanja. Ostvarenje specifičnih ciljeva projekta temeljit će se na preporukama najbolje svjetske i europske prakse i načelima HKO-a, a rezultirat će pripremljenom dokumentacijom za upis standarda kvalifikacija u Registar HKO. Projektni cilj će se ostvariti kroz suradnju, integraciju i koordinaciju svih relevantnih dionika u oblikovanju visokoobrazovnih programa u polju ekonomije. ",18.06.2015,18.09.2016,"3.794.856,45 kn","3.994.842,20 kn"
Kroz školski kurikulum do suvremenih sadržaja i metoda u studijskoj produkciji?,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Elektrostrojarska škola (64081807431),"
3 Cilja  projekta će se ostvariti putem sljedećih ključnih  Elemenata projekta:
Element projekta  1. Dubinsko istraživanje potreba tržišta rada/mapiranje kompetencija 
Element projekta 2.  Ciljano stručno usavršavanje 
Element projekt 3. Razvoj izbornog modula „Suvremena studijska produkcija“ 
Element projekta 4. Razvoj inovativnih nastavnih metoda/metoda 
Element projekta 5.  Pilotiranje izbornog modula „Suvremena studijska produkcija“ 

   
    
   
    
   
    
   
    
   
    
   
    
   
    
   
    
   
   ",23.04.2015,22.05.2016,"2.191.727,24 kn","2.191.727,24 kn"
Primjena inovativnih metoda podučavanja i komunikacije sukladno smjernicama ruralnog razvoja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Poljoprivredna, prehrambena i veterinarska škola Stanka Ožanića (61683945214)","Zastarjele metode poučavanja i prenošenja znanja čine nastavu neatraktivnom, a modernizacija školskog kurikuluma, uvođenjem hidroponskog uzgoja jagoda kao inovativne metode za razvijanje relevantnih strukovnih kompetencija profesora i učenika, uz stručno usavršavanje profesora omogućit će korištenje novih metoda poučavanja kojima će se motivirati i animirati učenike za rad u grupama te transfer stečenih znanja i praktičnog iskustva kroz suradnju sa projektnim partnerima čime će se pozitivno djelovati na jačanje svijesti ciljanih skupina o važnosti cjeloživotnog učenja i usavršavanja.",20.04.2015,30.04.2016,"1.291.635,00 kn","1.291.635,00 kn"
Interdisciplinarni kurikulum srednjih strukovnih škola,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Gospodarska škola Varaždin (78424884380),"U programima zanimanja partnerskih škola Ekonomist, Komercijalist, Grafički tehničar, Grafički urednik dizajner ,Tehničar nutricionist i Agroturistički tehničar nedostaju  sadržaji za stjecanje poduzetničkih i dijela strukovnih kompetencija koje zahtjevaju dotični sektori i tržišta rada. Cilj projekta je uvesti IKT nastavne metode i interdisciplinarne sadržaje u skladu sa sektorskim potrebama u kurikulume navedenih zanimanja za stjecanje relevantnih strukovnih i poduzetničkih kompetencija. Ciljna skupina su učenici i strukovni nastavnici partnerskih strukovnih škola.",20.04.2015,10.05.2016,"2.198.788,80 kn","2.198.788,80 kn"
SUPPORT - SUstavna Podrška za POdršku Roditeljstvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Udruga za promicanje dobrobiti djece ""Portić"" (03827102663)","Projekt SUPPORT–SUstavna Podrška za Podršku RodiTeljstvu omogućuje jačanje učinkovitosti i sposobnosti  OCD-a u pružanju podrške roditeljstvu kroz razvoj sustava osiguranja kvalitete provedbe programa Rastimo zajedno i Rastimo zajedno PLUS. Sustav uključuje minimalne standarde i pokazatelje kvalitete te stručnu podršku (pro)voditeljima programa u OCD-ima. Standardi će se provjeriti u 3 OCD-a, educirati će se članovi 6 OCD-a za pružanje interne supervizije i provesti će se 12 grupa supervizije s (pro)voditeljima. Projekt će uspostaviti dijalog i ojačati suradnju OCD-a i ostalih dionika.",29.12.2014,28.02.2016,"641.089,32 kn","641.089,32 kn"
Izgradnja i povećanje kapaciteta OCD-a za pripremu projektnih prijedloga u okviru ESF-a,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Centar za ruralni razvoj CERURA Sinj (08085275642),"Osnovni problemi udruga su nedostatak financijskih sredstava, slaba informiranost o programima ESF-a, podkapacitiranost za pripremu projekata na natječaje ESF-a.

Opći cilj:
Doprinijeti povećanju sposobnosti OCD-a za pripremu projektnih prijedloga u okviru ESF-a u Cetinskoj krajini 
Specifični ciljevi:
1.educirati predstavnike OCD-a obuhvaćenim u projektu o programima ESF-a  
2.osposobiti predstavnike OCD-a obuhvaćenim u projektu za pripremu projektnih prijedloga u okviru ESF-a

Ciljna skupina obuhvaća 10 OCD-a s područja Cetinske krajine (60 zaposlenika i predstavnika).


",29.12.2014,28.12.2015,"184.887,97 kn","184.887,97 kn"
More mogućnosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Udruga za promicanje zdravog života Buđenje (47150764424),"Projekt će potaknuti inovativan, uključiv i održiv razvoj te podizanje kvalitete života na Šolti, uspostavom partnerstva, angažiranjem lokalne i šire javnosti volonterskim i edukativnim aktivnostima. Projektne aktivnosti će djelovati na uspostavu kvalitetnih lokalnih politika, pristup informacijama, uslugama i mogućnostima poticanja (samo)zapošljavanja, potaknuti poslovni sektor za nova radna mjesta, educirati i razvijati projekte sukladno potrebama lokalne zajednice. Jačat će se kapaciteti OCD-ova, volontera i ostalih dionika za pripremu i provedbu projekata. ",29.12.2014,28.12.2015,"198.430,00 kn","198.430,00 kn"
„Solidarnost i kvaliteta u pružanju socijalnih usluga“,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Udruga MI (15816581765),"Projekt djeluje na razvoj kapaciteta OCD-a u pružanju socijalnih usluga na području cijele RH u smislu unaprjeđenja organiziranog uključivanja volontera kroz (a)edukaciju predstavnika OCD-a za koordinatore volontera, (b)razvoj temeljnog sustava kvalitete za volonterske programe, (c)mentorsku podršku i savjetovanje OCD-a prema sustavu te (d)promociju razvoja volonterskih programa i volontiranja u pružanju socijalnih usluga. U projektu naglašava se suradnja sa građanima te promocija suradnje s OCD-ima i ustanovama socijalne skrbi kao pružateljima socijalnih usluga.",29.12.2014,28.12.2015,"749.989,67 kn","749.989,67 kn"
Job Club za nezaposlene branitelje Cetinske krajine ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Braniteljska socijalno-radna zadruga DALMATIA RURALIS za savjetovanje i upravljanje (52945179501),"Projekt će rješavati otežan pristup tržištu rada nezaposlenim hrvatskim braniteljima prijavljenim na HZZ-u u Sinju. Njihovi problemi su: nedovoljno znanja i vještina, zastarjelost stečenih znanja, inertnost u aktivnom pristupu pronalaženja posla.

Cilj: Pridonijeti uključivanju nezaposlenih hrvatskih branitelja na tržište rada na području Cetinske krajine

Posebni ciljevi: Senzibilizirati javnost o otežanom pristupu tržištu rada nezaposlenih branitelja Cetinske krajine; Povećati motiviranost i kompetencije nezaposlenih branitelja za ulazak na tržište rada na području Cetinske krajine.

",29.12.2014,28.12.2015,"199.580,00 kn","199.580,00 kn"
"VOLONTIRAJ! POKRENI SEBE, POKRENI LJUDE OKO SEBE.",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Beretinečka udruga mladih (68658901628),"Projekt će ojačati kapacitete Beretinečke udruge mladih-BUM za neposredan rad sa mladima iz ruralnih sredina u usmjeren ka povećanju  zapošljivosti mladih , odnosno umreženost i praktična znanja za osmišljavanje većih projekata na  području zapošljivosti i socijalne uključenosti mladih u skladu sa standardima Europskog socijalnog fonda i primjerima dobre prakse iz Hrvatske/drugih zemalja članica EU.",29.12.2014,28.09.2015,"199.535,84 kn","199.535,84 kn"
Osobno mentorstvo za osamostaljivanje i zapošljavanje mladih bez roditeljske skrbi,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,SVIMA (51902281798),"Zbog suženih socijalnih kontakata i nedostatka kontinuiteta podržavajućih odnosa u sustavu socijalne skrbi, proces osamostaljivanja i zapošljavanja mladih bez odgovarajuće roditeljske skrbi predstavlja kritično razdoblje. Cilj projekta je razviti uslugu osobnog mentora kao novu uslugu u sustavu socijalne skrbi usmjerenu na individualnu podršku mladima bez odgovarajuće roditeljske skrbi  u procesu osamostaljivanja i zapošljavanja. Ciljne skupine su mladi  u dobi od 15 - 24 godine, na smještaju u Dječjem domu Zagreb: trudnice i majke, mladi  u stambenoj zajednici i  mladi na domskom smještaju. ",03.07.2015,02.09.2016,"1.279.651,36 kn","1.460.851,36 kn"
Dječji osmjeh osnažuje obitelj,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Udruga tjelesnih invalida TOMS (32404253978),Članovi obitelji djece s teškoćama u razvoju često se zbog skrbi o djetetu odriču vlastite karijere te su redovito smanjene ekonomske aktivnosti. Cilj projekta „Dječji osmjeh osnažuje obitelj“ je unaprijediti mogućnosti zapošljavanja članova obitelji koji skrbe o djeci s teškoćama u razvoju te promicati pomirenje njihovog poslovnog i obiteljskog života razvojem novih i unaprjeđenjem kvalitete socijalnih usluga u zajednici. Projekt će uključiti 40 nezaposlenih članova obitelji koji će dobiti stručnu podršku u jačanju zapošljivosti .,15.07.2015,14.09.2016,"1.460.370,07 kn","1.460.370,07 kn"
Osobni asistent u Splitsko-dalmatinskoj županiji,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Udruga osoba s invaliditetom Split (75984385228),"Usluga osobne asistencije predstavlja pružanje potpore osobama s najtežom vrstom i stupnjem invaliditeta u provođenju aktivnosti svakodnevnog življenja i samozbrinjavanja. Širenjem usluge osobne asistencije veći broj korisnika, osoba s najtežim stupnjem i vrstom invaliditeta, dobiva mogućnost unapređenja kvalitete življenja, socijalnog uključivanja u zajednicu te sprječavanja institucionalizacije. Pružatelji usluge su osobe u nepovoljnom položaju na tržištu rada. Usluga se pruža 80 sati mjesečno prema unaprijed utvrđenom planu korisnika, a o pruženoj usluzi se vodi evidencija.
",29.10.2015,28.10.2016,"535.925,40 kn","535.925,40 kn"
"""Lokalne mreže podrške mladima u riziku - osnaženi, educirani, aktivni, zaposleni""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Udruga ""Most"" (72486881282)","Projekt „Lokalne mreže podrške mladima u riziku-osnaženi, educirani, aktivni, zaposleni“ usmjeren je na širenje punktova podrške mladima u riziku u lokalnoj zajednici u cilju osnaživanja, educiranja i razvijanja kompetencija koje im olakšavaju pristup tržištu rada te pokretanje mreže dionika u Jadranskoj regiji koji su usmjereni prema mladima u riziku, njihovom socijalnom uključivanju, zapošljavanju i smanjenju stigme.Ciljna skupina su mladi riziku;mladi volonteri;Dionici javnog, privatnog i civilnog sektora i građani. ",20.07.2015,19.07.2016,"717.281,20 kn","717.281,20 kn"
"Razvoj modernih studijskih programa za izobrazbu nastavnika informatike, tehnike, biologije, kemije, fizike i matematike na temeljima Hrvatskoga kvalifikacijskog okvira",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Prirodoslovno-matematički fakultet (20858497843),"Cilj ovog projekta je doprinos daljnjem provođenju Hrvatskoga kvalifikacijskog okvira u sektoru obrazovanja profesora. Dakle, ovim projektom razvijamo prijedlog standarda zanimanja i prijedlog standarda kvalifikacija za nastavnike informatike, fizike, tehnike, biologije, kemije, matematike, te moderniziramo studijske programe za izobrazbu profesora informatike, tehnike, biologije, kemije, fizike i matematike na temeljima Hrvatskog kvalifikacijskog okvira razradom ishoda učenja. Kao ciljne skupine u projekt će biti uključeni i predstavnici ključnih sudionika u obrazovanju tog kadra.",18.06.2015,18.09.2016,"3.797.380,44 kn","3.997.242,58 kn"
Pomorski menadžment za 21. stoljeće – održiv i inteligentan razvoj obalnog područja kroz razvoj standarda zanimanja i standarda kvalifikacije u području Pomorskog menadžmenta te unaprijeđenje istoimenog sveučilišnog diplomskog studija,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Sveučilište u Splitu - Pomorski Fakultet (24624257529),"Provedbom ovog projekta prijavitelj s projektnim partnerima značajno utječe na doprinos rješavanju ključnog problema, a to je neprepoznatljivost zanimanja i kvalifikacija iz područja pomorskog menadžmenta na tržištu rada, što proizlazi iz nepostojanja veza s ključnim poslodavcima u predmetnom sektoru, što će se, kroz razvoj triple-helix mreže, te ključnih poduzetničkih, praktičnih i inovativnih vještina nastavničkog kadra i edukacije u području primjene HKO, ciljano izmijeniti razvojem standarda zanimanja i standarda kvalifikacije te modernizacije studijskih programa pomorskog menadžmenta.",18.06.2015,18.09.2016,"1.853.378,12 kn","1.950.924,34 kn"
Razvoj visokoobrazovnih standarda zanimanja i standarda kvalifikacija za područje održive i zelene gradnje uz razvoj novog sveučilišnog diplomskog programa održive i zelene gradnje s naglaskom na mediteransko područje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Sveučilište u Splitu, Fakultet građevinarstva, arhitekture i geodezije (83615500218)","Ovim projektom prijavitelj u suradnji s projektnim partnerima direktno utječe na doprinos rješenju ključnog problema, a to je slaba zapošljivost stručnjaka u području građevinarstva uslijed loše povezanosti ponude obrazovnih programa sa suvremenim zelenim tehnologijama, te znanja nastavnika o ključnim praktičnim vještinama u predmetnom području i primjeni koncepta HKO i ishoda učenja, a sve kroz razvoj standarda zanimanja, kvalifikacije i studijskog programa iz područja zelene i održive gradnje, edukaciju i usavršavanje nastavničkog kadra te razvoj ključnih triple-helix suradničkih mreža.",18.06.2015,18.09.2016,"2.747.952,33 kn","2.892.581,40 kn"
"RAZVOJ STANDARDA ZANIMANJA, STANDARDA KVALIFIKACIJA  I DIPLOMSKIH STUDIJSKIH PROGRAMA U KINEZIOLOGIJI",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,KINEZIOLOŠKI FAKULTET SPLIT (57848936921),"Opći cilj projekta je unaprjeđenje diplomskih studijskih programa na Kineziološkom fakultetu u Splitu u suradnji s partnerima Hrvatskim kineziološkim savezom, Udrugom diplomiranih studenata Kineziološkog fakulteta u Splitu, Hrvatskim paraolimpijskim odborom. Specifični ciljevi projekta su razvoj 4 standarda zanimanja, razvoj 5 standarda kvalifikacija u podsektoru Sport na 7. razini HKO-a prema potrebama tržišta rada, te razvoj 2 kurikuluma diplomskih studijskih programa na Kineziološkom fakultetu u Splitu u skladu s predloženim standardima kvalifikacija.",18.06.2015,18.09.2016,"563.980,51 kn","593.663,70 kn"
IZRADA STANDARDA ZANIMANJA I STANDARDA KVALIFIKACIJE STRUČNJAKA ZA OBRAZOVANJE ODRASLIH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Filozofski fakultet Sveučilišta u Splitu (98004523293),"Projektom se osnažuje nacionalni sustav obrazovanja kroz razvoj standarda zanimanja i kvalifikacije te visokoškolskog kurikuluma za izobrazbu nastavnika u obrazovanju odraslih. Cjeloživotno obrazovanje je tematika o kojoj nedostaju podaci na razini RH. Stoga će publicirani dokumenti biti distribuirani među knjižnicama te ustanovama visokoškolskog i cjeloživotnog obrazovanja, a bit će održani i znanstveno-stručni kolokvij, studijski putovanja, interaktivne radionice stručnog usavršavanja te internetska savjetovanja za dionike cjeloživotnog obrazovanja zbog uspješnosti izvedbe projekta.

",30.06.2015,31.08.2016,"896.900,00 kn","944.546,00 kn"
Unapređenje studijskog programa Dentalna medicina u skladu s HKO,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Sveučilište u Zagrebu, STOMATOLOŠKI  FAKULTET (70221464726)","Projektom se unapređuje i usklađuje studijski program dentalne medicine s programima u EU, razvojem programa stručne prakse koji će biti iskazan ishodima učenja u skladu s HKO. Tijekom projekta 80 studenata će provesti praksu u 40 suradnih stomatoloških ordinacija, koje će ju nastaviti redovno provoditi nakon završetka projekta. Programom stručne prakse koji će se ovim projektom razviti studentima će se omogućiti stjecanje potrebnog kliničkog iskustva prije završetka studija, te će odmah nakon završetka studija biti u mogućnosti započeti sa samostalnim radom, kako predviđaju EU strategije.",18.06.2015,18.09.2016,"2.436.799,96 kn","2.565.052,59 kn"
Razvoj Kvalifikacija i Inovativnih metoda stjecanja Kompetencija u LOgistici i Pomorskom prometu - KIKLOP,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Sveučilište u Rijeci, Pomorski fakultet u Rijeci (76722145702)","Projektom Razvoj Kvalifikacija i Inovativnih metoda stjecanja Kompetencija u LOgistici i Pomorskom prometu -KIKLOP istražit će se potrebe tržišta rada u domeni pomorstva, te u skladu s potrebama razviti 20 standarda zanimanja, 5 standarda kvalifikacija sukladno načelima HKO, unaprijediti 5 preddiplomskih sveučilišnih studija te razvojem okružja za e-učenje i unapređenjem nastavničkih kompetencija ponuditi kvalitetno, učinkovito i inovativno visoko obrazovanje temeljeno na ishodima učenja pritom zadržavajući fleksibilnost prilagođavanja stalnim i brzim promjenama u širem društvenom kontekstu.",18.06.2015,18.09.2016,"2.941.675,00 kn","3.096.500,00 kn"
Razvoj i primjena HKO u području visokog obrazovanja građevinskih inženjera,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Građevinski fakultet Osijek (04150850819),"Cilj projekta je izraditi standarde kvalifikacija te modernizirati i uskladiti postojeće studijske programe preddiplomskih i diplomskih studija građevinarstva kroz kontekst i mehanizme koje pruža Hrvatski kvalifikacijski okvir sinergijskom snagom svih građevinskih fakulteta u Republici Hrvatskoj - Osijeku, Zagrebu, Rijeci i Splitu. S ciljem osiguranja zamjetne kvalitete inženjerskog obrazovanja i osiguranje željenih ishoda učenja u okviru projekta provode se aktivnosti unapređivanja nastavničkih kompetencija u procesu prijenosa znanja uz uključivanje svih dionika sustava obrazovanja.",18.06.2015,18.09.2016,"2.600.891,16 kn","2.992.281,59 kn"
Procjena rizika od zagađenja uzrokovanim rijekama i ispustima u priobalju,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Fakultet građevinarstva, arhitekture i geodezije u Splitu (83615500218)","Ovim projektom Prijavitelj direktno utječe na pojačavanje istraživačkih i komplementarnih kompetencija ciljne skupine, mladih istraživača i poslijedoktoranada, kroz provedbu konkurentnog znanstvenog istraživanja procjene rizika od zagađenja uzrokovanog rijekama i ispustima u priobalju. Uz problem kompetencija projekt adresira i malu vidljivost ciljne skupine zbog nedostataka mobilnosti i umrežavanja. Studijski boravak na vodećoj instituciji za predmetno istraživanje i konferencija će omogućiti ciljnoj skupini povećanje prepoznatljivosti u europskom istraživačkom prostoru. ",29.06.2015,29.09.2016,"453.202,50 kn","453.202,50 kn"
Obrazovni ishodi i radne karijere mladih koji su odrasli u siromaštvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Pravni fakultet u Zagrebu (38583303160),"Projekt se bavi razvojem obrazovnih i radnih karijera mladih odraslih u siromaštvu. Ciljevi projekta su ojačati konkurentnost ciljnih skupina mladih istraživača i poslijedoktoranda u ovom području istraživanja, vještine za vođenje projekata i razviti pan-europsku suradnju s mladim istraživačima te javnim, civilnim i privatnim sektorom. Istraživanje ima karakter eksplorativne sekvencijalne studije s kombinacijom kvantitativnog i kvalitativnog pristupa. Nastoje se produbiti spoznaje o činiteljima značajnim za uspješnost prelaska mladih iz obrazovanja na tržište rada te za izlazak iz siromaštva.",30.06.2015,30.09.2016,"941.999,00 kn","957.802,00 kn"
Istraživačke stipendije za profesionalni razvoj mladih istraživača i poslijedoktoranada u području medicinske neuroelektronike,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Medicinski fakultet Sveučilišta u Splitu (02879747067),"Ovaj projekt će kroz provedbu konkretnih aktivnosti pružanja  potpore  dvoje mladih  istraživača, te dvoje poslije-doktoranda omogućiti temeljna i primijenjena istraživanja u medicinskoj neuroelektronici što će dovesti do jačanja njihovih istraživačkih i poduzetničkih kompetencija i njihovo  uključivanje  u  Europski istraživački  prostor. Temeljna istraživanja su vezana uz razumijevanje neuralne podloge slušanja električnom stimulacijom, a primijenjena istraživanja uz razvoj inovativnog auditornog neuroelektroničkog sučelja. Važan aspekt projekta čini istraživačka mobilnost, te umrežavanje. ",30.06.2015,30.09.2016,"1.580.000,00 kn","1.580.000,00 kn"
Pojavnost mikotoksina u hrvatskim žitaricama (CroMycoScreen),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Prehrambeno-tehnološki fakultet (96371000697),Zbog premalog ulaganja u znanost i razvoj mladih znanstvenika potrebna su dodatna sredstva kako bi se mogli isti dovoljno usavršiti te postati konkurentniji na tržištu rada. Podaci o pojavnosti nereguliranih mikotoksina za Republiku Hrvatsku ne postoje unatoč interesu Europske agencije za sigurnost hrane (EFSA). CroMycoScreen projekt ispitat će pojavnost reguliranih i nereguliranih mikotoksina u uzorcima žitarica s područja Republike Hrvatske te time usavršiti dvoje mladih znanstvenika u području analitike mikotoksina. Rezultati projekta su temelj za daljnja istraživanja i procjenu rizika.,29.06.2015,29.09.2016,"776.078,34 kn","776.078,34 kn"
Probiotici u akvakulturi - ekološki održiva profilaksa BIOAQUA,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Institut za oceanografiju i ribarstvo (86235185568),"Ovim projektnim prijedlogom se pruža potpora trima mladim istraživačima pri Institutu za oceanografiju i ribarstvo, a teži rješavanju problema profilakse bolesti riba u akvakulturi s ciljem razvoja alternativnog načina prevencije bolesti kroz specifične ciljeve:
1.Definirati sastav autohtonih probiotičkih kultura u crijevu lubina u kaveznom uzgoju u Jadranu
2.Ocijeniti utjecaj autohtonih probiotičkih kultura lubina na rast, imunološki sustav i post-infekcijsko preživljavanje 
3.Potaknuti suradnju i apsorpciju tehnologija između znanosti i industrije primjenom ""bottom-up"" pristupa
",29.06.2015,29.09.2016,"1.158.258,74 kn","1.158.258,74 kn"
