Name des Begünstigten,Bezeichnung des Vorhabens / Zusammenfassung des Vorhabens,Beginns des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens  ,Unions-Kofinan-zierungssatz  pro Prioritäts-achse ,Ort des Vorhabens,Land,Bezeichnung der Interventionskategorie
Krüger-Werke GmbH Niederlassung: Uebigau,"Einstellung eines Markterschließungsassistenten für die Zielländer Österreich, Tschechien, Polen",14.08.2015,"40.000,00 € ",80%,"Uebigau-Wahrenbrück, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Kunststoffverarbeitungs GmbH ,"Messeteilnahme: ""Fakuma 2015"" in Friedrichshafen ",23.06.2015,"5.858,32 € ",80%,"Falkensee, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Kurt Eulzer Druck GmbH & Co. KG ,"Messeteilnahme: ""Paperworld 2017"" in Frankfurt/Main ",02.06.2016,"15.000,00 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
kweak.ly GmbH ,Entwicklung einer Mobilen Video Messaging APP mit entsprechender Plattform als interaktives Kommunikationsmedium (AP 9),01.06.2016,"211.110,91 € ",80%,"Potsdam, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
kweak.ly GmbH ,Entwicklung einer Mobilen Video Messaging APP mit entsprechender Plattform als interaktives Kommunikationsmedium (AP 1-8),01.06.2016,"1.574.718,89 € ",80%,"Potsdam, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
kweak.ly GmbH ,kweak (AP10) ,01.06.2016,"1.081.315,19 € ",80%,"Potsdam, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Länderinstitut für Bienenkunde Hohen Neuendorf e.V.,Innovativer Ausbau der Infrastruktur des LIB Hohen Neuendorf zur Verbesserung einer nachhaltigen Bienenhaltung,23.05.2016,"809.200,00 € ",80%,"Hohen Neuendorf, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Laserneedle GmbH ,"Messe: ""Arab Health 2016"" in Dubai ",03.02.2015,"5.988,57 € ",80%,Glienicke/Nordbahn,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Leibniz-Institut für Agrartechnik und Bioökonomie e.V. (ATB),AgroBAT # Luftgestützte Boden-Analyse-Technik ,15.09.2016,"495.040,00 € ",80%,"Potsdam, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Leibniz-Zentrum für Agrarland- schaftsforschung (ZALF) e. V.,"Forschungsplattform und Landschaftslabor ""AgroScapeLab Quillow"" ",01.02.2016,"1.365.000,00 € ",80%,"Müncheberg, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
LKT Lausitzer Klärtechnik GmbH ,"Messeteilnahme: ""IFAT 2016"" in München ",03.11.2015,"17.977,33 € ",80%,"Luckau, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Loge Deutschland GmbH ,ProFIT Brandenburg: Integriertes projektübergreifendes Simulationswerkzeug zur Optimierung der Abgasnachbehandlung,01.08.2016,"183.612,12 € ",80%,"Cottbus, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Loge Deutschland GmbH ,ProFIT Brandenburg: Integriertes projektübergreifendes Simulationswerkzeug zur Optimierung der Abgasnachbehandlung,01.08.2016,"318.046,79 € ",80%,"Cottbus, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
