Name des Begünstigten,Bezeichnung des Vorhabens / Zusammenfassung des Vorhabens,Beginns des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens  ,Unions-Kofinan-zierungssatz  pro Prioritäts-achse ,Ort des Vorhabens,Land,Bezeichnung der Interventionskategorie
TMB Tourismus-Marketing Brandenburg GmbH,Clustermanagement Tourismus 2015 - 2017 ,01.01.2015,"1.891.578,00 € ",80%,"Potsdam, Stadt",Deutschland,"063 Förderung von Clustern und Unternehmensnetzen, vor allem zugunsten von KMU"
TTZ GmbH & Co. KG ,"Messeteilnahme: ""Chillventa 2016"" in Nürnberg ",15.06.2016,"6.829,45 € ",80%,"Königs Wusterhausen, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
UME-tec GmbH & Co. KG ,"Messeteilnahme: ""Industrial Automation/HANNOVER MESSE 2016"" in Hannover",30.09.2015,"13.796,40 € ",80%,"Eberswalde, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Universität Potsdam ,"Spektroskop zur Messung von Oberflächenplasmonresonanz (surface plasmon resonance, SPR)",05.02.2016,"125.000,00 € ",80%,"Potsdam, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Universität Potsdam ,Lebensmittelsicherheit und Verbraucherschutz durch hochsensitive Massenspektrometrie,01.02.2016,"198.000,00 € ",80%,Nuthetal,Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Universität Potsdam ,Verbesserung der Fähigkeit zur Genomsequenzierung und Identifikation wirtschaftlich interessanter Gene und Genotypen,02.02.2016,"75.000,00 € ",80%,"Potsdam, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Universität Potsdam ,Nachweis zur enzymatischen Produktion von Bioenergieträgern aus CO2 und CO,04.02.2016,"42.245,00 € ",80%,"Potsdam, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Universität Potsdam ,Aufnahme- und Visualisationsinstrumente für die digitale Kartografie: Multi-Touch-Tabletop und Smart Digitizing Devices,04.02.2016,"45.116,00 € ",80%,"Potsdam, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Universität Potsdam ,Multidimensionale Analytikplattform zur Charakterisierung von Nanopartikeln und -material (InnoNano),01.10.2016,"196.070,56 € ",80%,"Potsdam, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Universität Potsdam ,Entwicklung eines Testsystems zur Bestimmung der Aktivität von Neurotoxinen und neuromodulatorischen Pharmaka,07.03.2016,"413.268,27 € ",80%,Nuthetal,Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Universität Potsdam ,Prävention und mobile Diagnostik bei Metabolischem Syndrom - eine regionale Kohorte,07.03.2016,"766.513,48 € ",80%,"Potsdam, Stadt",Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Universität Potsdam ,Wirtschaftsbezogener Wissens- und Technologietransfer an der Universität Potsdam 2015 - 2016,01.01.2015,"316.915,00 € ",80%,"Potsdam, Stadt",Deutschland,"062 Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU"
Vakuplastic Kunststoff GmbH & Co. KG ,"Messeteilnahme: ""INTERSCHUTZ 2015"" in Hannover ",02.02.2015,"3.162,40 € ",80%,Schönefeld,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Vakuplastic Kunststoff GmbH & Co. KG ,"Messseteilnahme: ""FAKUMA 2015"" in Friedrichshafen ",23.06.2015,"3.674,50 € ",80%,Schönefeld,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Vakuplastic Kunststoff GmbH & Co. KG ,"Messeteilnahme: ""Industrial Supply 2016"" in Hannover ",01.12.2015,"7.135,00 € ",80%,Schönefeld,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Vakuplastic Kunststoff GmbH & Co. KG ,"Messeteilnahme: ""Internationale Zuliefermesse 2017"" in Leipzig ",23.06.2016,"3.485,75 € ",80%,Schönefeld,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Veinland GmbH ,"Messeteilnahme: ""SMM 2016"" in Hamburg ",15.10.2014,"22.200,00 € ",80%,Seddiner See,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Verband der GeoInformationswirtschaft Berlin/Brandenburg (GEOKOMM) e.V.,"Gemeinschaftsstand ""Intergeo 2015"" in Stuttgart ",20.05.2014,"47.545,35 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Voigt Andreas,"Messeteilnahme: ""Wetec 2016"" in Stuttgart ",16.06.2015,"24.133,20 € ",80%,"Spremberg, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Wankel Super Tec GmbH ,"Messeteilnahme: ""Industrial Automation/HANNOVER MESSE 2016"" in Hannover",11.12.2015,"10.053,50 € ",80%,"Cottbus, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
waste2chemicals GmbH ,"Messeteilnahme: ""EuroTier 2016"" in Hannover ",19.01.2016,"23.436,00 € ",80%,"Eberswalde, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Weise Ulrich,Einrichtung einer Betriebsstätte zur Herstellung von innovativen Produkten zur Trinkwassererzeugung,15.03.2016,"133.333,34 € ",80%,"Hennigsdorf, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Weiß & Weber GmbH ,"Messeteilnahme: ""Hannovermesse 2016"" in Hannover ",15.10.2015,"5.000,00 € ",80%,"Bad Wilsnack, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Wilms Natascha,"Messeteilnahme: ""maison & objet 2015"" in Paris ",08.06.2015,"6.461,00 € ",80%,Eichwalde,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
WP Systems GmbH ,"ProFIT Brb.: SkyServiceShop S3 - ein innovatives, mobiles und werkstattähnliches Rotorblattwartungssystem (AP 1,2,3,5,7,9)",07.10.2015,"545.703,23 € ",80%,"Ruhland, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
WP Systems GmbH ,"ProFIT Brandenburg: SkyServiceShop S3 - ein innovatives, mobiles und werkstattähnliches Rotorblattwartungssystem (AP13)",07.10.2015,"236.564,59 € ",80%,"Ruhland, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
WP Systems GmbH ,"ProFIT Brb.: SkyServiceShop S3 - ein innovatives, mobiles und werkstattähnliches Rotorblattwartungssystem (AP 4,6,8,10,11,12)",07.10.2015,"922.155,22 € ",80%,"Ruhland, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
WP Systems GmbH ,"Messeteilnahme: ""WindEnergy 2016"" in Hamburg ",03.03.2016,"19.157,80 € ",80%,"Ruhland, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Ytterstone Sandsteintapete GmbH ,Errichtung einer Betriebsstätte zur Herstellung von bedruckter Sandsteintapete,21.07.2015,"133.333,34 € ",80%,"Treuenbrietzen, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Ytterstone Vertriebs GmbH ,"Messeteilnahme: ""bautec 2016"" in Berlin ",04.02.2016,"14.958,00 € ",80%,"Treuenbrietzen, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ZAB ZukunftsAgentur Brandenburg GmbH ,Clusterkoordinierung und Initiierung von Innovationskooperationen in Brandenburg 2015 - 2017,01.01.2015,"14.075.985,40 € ",80%,"Potsdam, Stadt",Deutschland,"063 Förderung von Clustern und Unternehmensnetzen, vor allem zugunsten von KMU"
ZAB ZukunftsAgentur Brandenburg GmbH ,Unternehmensreise nach China 2015 ,24.02.2015,"115.600,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ZAB ZukunftsAgentur Brandenburg GmbH ,"Gemeinschaftsstand ""ILA 2016"" in Selchow ",09.07.2015,"130.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ZAB ZukunftsAgentur Brandenburg GmbH ,Unternehmensreise nach Südkorea 2015 ,19.08.2015,"147.500,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ZAB ZukunftsAgentur Brandenburg GmbH ,Unternehmensreise USA 2016 ,08.01.2016,"81.554,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ZAB ZukunftsAgentur Brandenburg GmbH ,Unternehmensreise Iran 2016 ,25.04.2016,"88.100,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ZEDAS GmbH ,"Messeteilnahme: ""AusRAIL PLUS 2015"" in Melbourne ",30.07.2015,"6.083,81 € ",80%,"Senftenberg, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ZEDAS GmbH ,"Messeteilnahme: ""InnoTrans 2016"" in Berlin ",16.09.2015,"19.668,00 € ",80%,"Senftenberg, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Zemmler Siebanlagen GmbH ,"Messeteilnahme: ""IFAT 2016"" in München ",20.08.2015,"12.816,80 € ",80%,"Großräschen, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Zemmler Siebanlagen GmbH ,Einstellung eines Markterschließungsassistenten für die Zielländer Großbritanien/Irland und Italien,28.08.2015,"25.200,00 € ",80%,"Großräschen, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Ziegler Ralf,"Messeteilnahme: ""LASER World of PHOTONICS"" 2015 in München ",28.05.2014,"5.448,10 € ",80%,Schulzendorf,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Ziegler Ralf,"Messeteilnahme: ""LASER World of PHOTONICS 2017"" in München ",26.06.2016,"7.000,00 € ",80%,Schulzendorf,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
