years,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gärtnerei Blumenhof Jens Meyer-Ottens
Pansdorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gärtnerei Diercks Inh.: Henning Diercks
Tarp","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gärtnerei Edert
Gönnebek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.400,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gaßner Handelsvertretung GmbH
Talkau","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.760,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gasthaus Hilligenley
Langeness","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","600,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gasthof Zur Eiche 
Latendorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gawron & Co.
Rellingen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"gear-tec GmbH 
Eggebek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"gear-tec GmbH 
Eggebek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gebäudereinigung Boettger & Sohn GmbH
Lentföhrden","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gebäudereinigung Boettger & Sohn GmbH
Lentföhrden","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gebhardt & Sohn GmbH
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gebr. Knorr
Heiligenhafen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gebr. Piehl GbR
Leezen/ Heiderfeld","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","720,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gebr. Pries Dachdeckerei GmbH
Kiebitzreihe","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.680,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gebr. Reise GmbH Karosserie & Lackierbetrieb
Kiebitzreihe","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gebr. Reise GmbH Karosserie & Lackierbetrieb
Kiebitzreihe","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gebrüder Buchholz e. K.
Schönberg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gemeinschaftspraxis Dres. Kosak, Schulz-
Douglas
Bordesholm","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","840,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gemeinschaftspraxis Dres. Sina, Schmidt, Rainer, 
Jepsen
Glücksburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gemeinschaftspraxis für Kieferorthopädie S. 
Mühlstädt Dr. G. Behrends
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gemeinschaftspraxis für Kinder- und 
Jugendmedizin Dethleff Banthien, Dr. med. Jens 
Uwe Meyer
Bad Oldesloe","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gemüsegärtnerei Breklingfeld
Nübel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Georg Gehlsdorf GmbH und Co. KG
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Georg Steenwerth GmbH & Co. KG
Handewitt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","840,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gerd Stüven
Lohe-Rickelshof","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gergeleit Pflanzenhandel GmbH
Rellingen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gerhard Kummerfeldt Gerätebau GmbH
Norderstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gerhard Möller
Westerrade","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gerhard Paul Malermeister
Quickborn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gerhard Paul Malermeister
Quickborn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gerrit Griesenbach
Norderbrarup","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gerüstbau Frank Jäschke
Wattenbek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gerüstbau Frank Jäschke
Wattenbek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"GERZ Zweirad- und Kfz-Service Gerhard Zorawik
Ziethen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Getränke Hoffmann Frank Wichtrup
Risum-Lindholm","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Getränke Tadsen GmbH
Husum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.040,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gettorfer Backhaus
Gettorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gettorfer Backhaus
Gettorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","305,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"GG-NET acer group outlet store
Ahrensburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","840,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glas Müllenbach
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glas und Gebäudereinigung Schiebler
Itzstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glasbau Harder
Heide","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glasbau Harder
Heide","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glaserei Carsten Waetge
Mölln","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glaserei Grund
Heiligenhafen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.320,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glaserei Markus Ziege
Uetersen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glaserei Uwe Raub
Süderbrarup","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.853,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glasfiber Koch GmbH
Barsbüttel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glas-Team Glasverarbeitung
Nortorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glas-Team Glasverarbeitung
Nortorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","600,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Global Sports GmbH
Husum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Glücks-Strähne K. Schmidt
Schafflund","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.080,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"GO Tankstelle L. Witt
Pinneberg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","240,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"GO Tankstelle L. Witt
Pinneberg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.080,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gold & Diamonds
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Goldschmiede Krieglstein
Stockelsdorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Goldschmiede Silke Lazarevic
Husum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.320,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Goldstube in der Marlesgrube
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gollan Recyling GmbH
Beusloe/Schashagen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gönnebeker Holzbau Holger Saslona
Gönnebek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gönnebeker-Holzbau
Gönnebek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Görte u. Tiedemann GmbH & Co. KG
Altenholz","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.520,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Göthe GmbH & Co. KG
Kaltenkirchen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.200,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Göthe GmbH & Co. KG
Kaltenkirchen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","120,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Göthe GmbH & Co. KG
Kaltenkirchen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.080,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Göthe GmbH & Co. KG
Kaltenkirchen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Göthe GmbH & Co. KG
Kaltenkirchen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","269,97",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Göthe GmbH & Co. KG
Kaltenkirchen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Göthe GmbH & Co. KG
Kaltenkirchen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Göthe GmbH & Co. KG
Kaltenkirchen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.040,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Göthe Verwaltungs KG
Kaltenkirchen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.040,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"GrandPA Beschallungs- und Lichttechnik GmbH & 
Co. KG
Hamweddel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.200,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Graphische Werkstatt Uetersen GmbH
Moorrege","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Grauel Pferdeboxen GmbH & Co. KG
Kropp","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","600,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Grefebau GmbH
Horst","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Grenz-Pavillon Anna Poetzsch GmbH & Co.
Harrislee","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Grossmann Automobile e.K.
Plön","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.920,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gummi Grassau Reifen, Räder und Autoservice 
GmbH
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gunnar Köhne
Flensburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gunnar Köhne
Flensburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Günter Griese e.K.
Altenholz","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Günter Schmincke
Rendsburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.080,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gustav Ramelow KG
Elmshorn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gut Apeldör GmbH & Co. Golfplatz KG
Hennstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gutgesell - die Tischlerei
Norderstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gutshof Restaurant
Sierksdorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","600,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Gutsverwaltung Gaarz K.-E. Struckmann
Göhl","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.872,15",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"H & B Holz- und Bautenschutz 
Malermeisterbetrieb GmbH
Ellerbek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","720,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"H. Heinrich Bothmann GmbH
Schleswig","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"H. Heinrich Bothmann GmbH
Schleswig","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"H. P. Logistik GmbH
Norderstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"H. Papenburg Brunnen-u. Rohrleitungsbau GmbH 
Beregnungstechnik
Wahlstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"H. Penk Sohn GmbH
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","162,27",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"H. Teckenburg
Schleswig","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","240,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"H. u. H. Schmidt GmbH & Co. KG
Güterkraftverkehr u. Spedition
Heide","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.680,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"H.C.A. Collection Handels- GmbH
Bargteheide","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Haar Galerie LR
Schwarzenbek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.520,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Haar und Nagelstudio Steinbergkirche
Steinbergkirche","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Haareszeiten Alexandra Wuhlert-Koch
Malente","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Haareszeiten Joaquian Rodrigues
Uetersen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Haarfabrik
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"HaarJuWel
Böklund","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"haarmonie Sabine Höhne
Niebüll","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"haarmonie Sabine Höhne
Niebüll","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Haarmonie Tanja Berg Friseurmeisterin
Pinneberg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Haarmonie Tanja Berg Friseurmeisterin
Pinneberg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
