N¡;Programme op_rationnel / Operationneel programma ;Priorite/Prioriteit;Sub-Priorite/Sub-Prioriteit;B_n_ficiaire / Begunstigde;FEDER;Financement public sans FEDER;Op_ration / Actie;Site web / Website;Ann_e d'allocation / Jaar van toewijzing;Ann_e d'allocation 2/ Jaar van toewijzing 2;Ann_e d'allocation 3/ Jaar van toewijzing 3;Financement total du projet / Totale projectfinanciering (Û);Financement public / Publieke financiering (Û) ;Financement FEDER (UE) / EFRO-financiering (EU) (Û)
P22-03;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Commune de Saint-Gilles;305.556;430.556;Crèche Lily;http://www.stgilles.irisnet.be/fr/services-administratifs/creches-et-petite-enfance/creches/les-creches/;2008;;;1.039.376,35;1.039.376,35;305.556,00
P22-04;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Elmer vzw;160.325;645.668;Elmer in de stad;http://www.elmer.be/FicheStad.htm;2008;2010;;1.002.225,00;1.002.225,00;116.113,00
P22-05;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Commune d'Anderlecht;288.000;288.000;Crèche Les Tulipes;http://www.bruplus.irisnet.be/fr/content/accueil-de-la-petite-enfance;2010;;;747.895,00;747.895,00;144.000,00
P22-06;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Commune de Molenbeek-Saint-Jean;662.535;2.320.858;"Milieux d'accueil de la petite enfance ""Rives Ouest""";http://www.bruplus.irisnet.be/fr/content/accueil-de-la-petite-enfance;2008;;;3.337.482,65;3.337.482,65;843.021,00
P22-07;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Commune de Saint-Josse;607.290;1.821.871;Crèche Station;http://www.stjosse.irisnet.be/index.php?id=396;2010;;;2.254.622,00;2.254.622,00;607.290,00
P22-08;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Ath_n_e Royal Serge Creuz;478.500;478.500;Centre de technologie avanc_e - Automatismes industriels;http://www.bruplus.irisnet.be/fr/content/cta-automatismes-industriels;2008;;;1.136.000,00;1.136.000,00;478.500,00
P22-09;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Ville de Bruxelles;476.500;476.500;Centre de technologie avanc_e en _lectricit_ r_sidentielle et industrielle Arts et M_tiers;http://www.bruplus.irisnet.be/fr/content/cta-%C3%A9lectricit%C3%A9-r%C3%A9sidentielle-et-industrielle;2008;;;953.000,00;953.000,00;476.500,00
P22-10;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Institut Notre-Dame;476.500;476.500;Centre de technologie avanc_e - Energies vertes et renouvelables;http://www.bruplus.irisnet.be/fr/content/cta-%C3%A9nergies-vertes-et-renouvelables;2008;;;953.000,00;953.000,00;476.500,00
P22-11;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Ville de Bruxelles;476.500;476.500;Centre de technologie avanc_e en infographie et en industries graphiques Arts et M_tiers;http://cta-diderot.brucity.be/;2008;;;2.478.000,00;2.478.000,00;476.500,00
P22-12;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Institut Communal Technique Frans Fischer;500.000;791.000;Centre de technologie avanc_e Fischer;http://www.bruplus.irisnet.be/fr/content/cta-chimie;2008;;;1.500.000,00;1.500.000,00;225.000,00
